"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000000003",315.028464791284,-0.0280972001912254,0.0963561094399201,-0.291597495525123,0.770594390538799,0.957102594934559,"TSPAN6","no","no"
"ENSG00000000419",186.088159750777,-0.0573735189496124,0.109337950022461,-0.524735637880773,0.599766979385678,0.907481993453159,"DPM1","no","no"
"ENSG00000000457",15.8326557756093,-0.700277112090946,0.334481538867511,-2.09361961937256,0.0362938784296448,0.285018939344545,"SCYL3","no","no"
"ENSG00000000460",5.72495403504133,-0.677121985003661,0.502731984550055,-1.34688463398581,0.178017391148513,0.612811124568942,"FIRRM","no","no"
"ENSG00000001036",191.140405664751,0.0444818090477808,0.104284362888725,0.426543422384854,0.669711914301641,0.929144926275033,"FUCA2","no","no"
"ENSG00000001084",48.6327345495054,-0.241344798769368,0.176228817951218,-1.36949678023815,0.170844040572198,0.604618867680932,"GCLC","no","no"
"ENSG00000001167",112.196476680904,0.119101916701797,0.13107126131776,0.908680632995929,0.363518730051672,0.792178752378105,"NFYA","no","no"
"ENSG00000001460",22.9777482154696,0.372504493619087,0.265842450602736,1.40122276474099,0.161147468860216,0.59028582309295,"STPG1","no","no"
"ENSG00000001461",41.4506172750057,0.254282889291825,0.211803161182126,1.20056229506967,0.229921034392022,0.67740316277998,"NIPAL3","no","no"
"ENSG00000001497",169.277787256589,-0.120789598751858,0.133164900286205,-0.907067842143462,0.364370922362857,0.792178752378105,"LAS1L","no","no"
"ENSG00000001561",29.09380150871,0.253479109739454,0.210345959839827,1.20505813343157,0.228180860618183,0.676063869407086,"ENPP4","no","no"
"ENSG00000001617",9.70158062315452,0.472723167210083,0.462654466073805,1.02176289623166,0.306893134376961,0.751373468279639,"SEMA3F","no","no"
"ENSG00000001629",200.107989590114,-0.0661498768815211,0.120001542454692,-0.551241888465698,0.581467868598259,0.898702534253825,"ANKIB1","no","no"
"ENSG00000001630",395.025691516318,0.317354621359623,0.151296626479065,2.09756574713539,0.0359435235562912,0.283761872678749,"CYP51A1","no","no"
