"ENSEMBL","gene","cluster"
"ENSG00000140557","ST8SIA2","Forebrain"
"ENSG00000104490","NCALD","Forebrain"
"ENSG00000140391","TSPAN3","Forebrain"
"ENSG00000054793","ATP9A","Forebrain"
"ENSG00000102181","CD99L2","Forebrain"
"ENSG00000104960","PTOV1","Forebrain"
"ENSG00000106524","ANKMY2","Forebrain"
"ENSG00000113648","MACROH2A1","Forebrain"
"ENSG00000128594","LRRC4","Forebrain"
"ENSG00000166147","FBN1","Forebrain"
"ENSG00000198646","NCOA6","Forebrain"
"ENSG00000170558","CDH2","Forebrain"
"ENSG00000157851","DPYSL5","Forebrain"
"ENSG00000185551","NR2F2","Forebrain"
"ENSG00000116729","WLS","Forebrain"
"ENSG00000183853","KIRREL1","Forebrain"
"ENSG00000146242","TPBG","Forebrain"
"ENSG00000276644","DACH1","Forebrain"
"ENSG00000135333","EPHA7","Forebrain"
"ENSG00000196576","PLXNB2","Forebrain"
"ENSG00000147509","RGS20","Forebrain"
"ENSG00000143622","RIT1","Forebrain"
"ENSG00000160310","PRMT2","Forebrain"
"ENSG00000196182","STK40","Forebrain"
"ENSG00000143499","SMYD2","Forebrain"
"ENSG00000162734","PEA15","Forebrain"
"ENSG00000204262","COL5A2","Forebrain"
"ENSG00000109436","TBC1D9","Forebrain"
"ENSG00000165072","MAMDC2","Forebrain"
"ENSG00000162374","ELAVL4","Forebrain"
"ENSG00000125266","EFNB2","Forebrain"
"ENSG00000105290","APLP1","Forebrain"
"ENSG00000004848","ARX","Forebrain"
"ENSG00000138792","ENPEP","Forebrain"
"ENSG00000100422","CERK","Forebrain"
"ENSG00000183955","KMT5A","Forebrain"
"ENSG00000166741","NNMT","Forebrain"
"ENSG00000234456","MAGI2-AS3","Forebrain"
"ENSG00000175414","ARL10","Forebrain"
"ENSG00000205084","TMEM231","Forebrain"
"ENSG00000100401","RANGAP1","Forebrain"
"ENSG00000164610","RP9","Forebrain"
"ENSG00000139687","RB1","Forebrain"
"ENSG00000005486","RHBDD2","Forebrain"
"ENSG00000087274","ADD1","Forebrain"
"ENSG00000065054","NHERF2","Forebrain"
"ENSG00000172379","ARNT2","Forebrain"
"ENSG00000182054","IDH2","Forebrain"
"ENSG00000150471","ADGRL3","Forebrain"
"ENSG00000168283","BMI1","Forebrain"
"ENSG00000160991","ORAI2","Forebrain"
"ENSG00000122068","FYTTD1","Forebrain"
"ENSG00000139219","COL2A1","Forebrain"
"ENSG00000160216","AGPAT3","Forebrain"
"ENSG00000180530","NRIP1","Forebrain"
"ENSG00000109906","ZBTB16","Forebrain"
"ENSG00000112539","C6orf118","Forebrain"
"ENSG00000119522","DENND1A","Forebrain"
"ENSG00000182463","TSHZ2","Forebrain"
"ENSG00000033800","PIAS1","Forebrain"
"ENSG00000157514","TSC22D3","Forebrain"
"ENSG00000129474","AJUBA","Forebrain"
"ENSG00000142871","CCN1","Forebrain"
"ENSG00000173482","PTPRM","Forebrain"
"ENSG00000163110","PDLIM5","Forebrain"
"ENSG00000143479","DYRK3","Forebrain"
"ENSG00000171016","PYGO1","Forebrain"
"ENSG00000164542","MATCAP2","Forebrain"
"ENSG00000185046","ANKS1B","Forebrain"
"ENSG00000148204","CRB2","Forebrain"
"ENSG00000159692","CTBP1","Forebrain"
"ENSG00000075618","FSCN1","Forebrain"
"ENSG00000114166","KAT2B","Forebrain"
"ENSG00000171456","ASXL1","Forebrain"
"ENSG00000148516","ZEB1","Forebrain"
"ENSG00000122642","FKBP9","Forebrain"
"ENSG00000257698","GIHCG","Forebrain"
"ENSG00000025156","HSF2","Forebrain"
"ENSG00000156858","PRR14","Forebrain"
"ENSG00000039523","RIPOR1","Forebrain"
"ENSG00000134198","TSPAN2","Forebrain"
"ENSG00000184557","SOCS3","Forebrain"
"ENSG00000127990","SGCE","Forebrain"
"ENSG00000134352","IL6ST","Forebrain"
"ENSG00000165156","ZHX1","Forebrain"
"ENSG00000187189","TSPYL4","Forebrain"
"ENSG00000107485","GATA3","Forebrain"
"ENSG00000141431","ASXL3","Forebrain"
"ENSG00000145284","SCD5","Forebrain"
"ENSG00000136026","CKAP4","Forebrain"
"ENSG00000130202","NECTIN2","Forebrain"
"ENSG00000137166","FOXP4","Forebrain"
"ENSG00000166847","DCTN5","Forebrain"
"ENSG00000172458","IL17D","Forebrain"
"ENSG00000179456","ZBTB18","Forebrain"
"ENSG00000152904","GGPS1","Forebrain"
"ENSG00000100345","MYH9","Forebrain"
"ENSG00000073921","PICALM","Forebrain"
"ENSG00000020577","SAMD4A","Forebrain"
"ENSG00000148677","ANKRD1","Forebrain"
"ENSG00000113721","PDGFRB","Forebrain"
"ENSG00000188026","RILPL1","Forebrain"
"ENSG00000166448","TMEM130","Forebrain"
"ENSG00000162909","CAPN2","Forebrain"
"ENSG00000138434","ITPRID2","Forebrain"
"ENSG00000280099",NA,"Forebrain"
"ENSG00000146966","DENND2A","Forebrain"
"ENSG00000171130","ATP6V0E2","Forebrain"
"ENSG00000132669","RIN2","Forebrain"
"ENSG00000265477",NA,"Forebrain"
"ENSG00000155304","HSPA13","Forebrain"
"ENSG00000095794","CREM","Forebrain"
"ENSG00000137962","ARHGAP29","Forebrain"
"ENSG00000137801","THBS1","Forebrain"
"ENSG00000111540","RAB5B","Forebrain"
"ENSG00000150457","LATS2","Forebrain"
"ENSG00000180370","PAK2","Forebrain"
"ENSG00000197694","SPTAN1","Forebrain"
"ENSG00000188042","ARL4C","Forebrain"
"ENSG00000175662","TOM1L2","Forebrain"
"ENSG00000082701","GSK3B","Forebrain"
"ENSG00000101353","MROH8","Forebrain"
"ENSG00000070778","PTPN21","Forebrain"
"ENSG00000165669","FAM204A","Forebrain"
"ENSG00000111785","RIC8B","Forebrain"
"ENSG00000134291","TMEM106C","Forebrain"
"ENSG00000167552","TUBA1A","Forebrain"
"ENSG00000182628","SKA2","Forebrain"
"ENSG00000134824","FADS2","Forebrain"
"ENSG00000150347","ARID5B","Forebrain"
"ENSG00000026025","VIM","Forebrain"
"ENSG00000166313","APBB1","Forebrain"
"ENSG00000177697","CD151","Forebrain"
"ENSG00000138722","MMRN1","Forebrain"
"ENSG00000111783","RFX4","Forebrain"
"ENSG00000257711","LOC100505978","Forebrain"
"ENSG00000286627",NA,"Forebrain"
"ENSG00000113140","SPARC","Forebrain"
"ENSG00000138771","SHROOM3","Forebrain"
"ENSG00000108946","PRKAR1A","Forebrain"
"ENSG00000168874","ATOH8","Forebrain"
"ENSG00000113300","CNOT6","Forebrain"
"ENSG00000178531","CTXN1","Forebrain"
"ENSG00000115226","FNDC4","Forebrain"
"ENSG00000072958","AP1M1","Forebrain"
"ENSG00000115561","CHMP3","Forebrain"
"ENSG00000153130","SCOC","Forebrain"
"ENSG00000129055","ANAPC13","Forebrain"
"ENSG00000168672","LRATD2","Forebrain"
"ENSG00000101871","MID1","Forebrain"
"ENSG00000115963","RND3","Forebrain"
"ENSG00000185909","KLHDC8B","Forebrain"
"ENSG00000155366","RHOC","Forebrain"
"ENSG00000107099","DOCK8","Forebrain"
"ENSG00000158270","COLEC12","Forebrain"
"ENSG00000153936","HS2ST1","Forebrain"
"ENSG00000182197","EXT1","Forebrain"
"ENSG00000203727","SAMD5","Forebrain"
"ENSG00000138018","SELENOI","Forebrain"
"ENSG00000103855","CD276","Forebrain"
"ENSG00000116157","GPX7","Forebrain"
"ENSG00000101439","CST3","Forebrain"
"ENSG00000286190","LOC728392","Forebrain"
"ENSG00000271601","LIX1L","Forebrain"
"ENSG00000113361","CDH6","Forebrain"
"ENSG00000244486","SCARF2","Forebrain"
"ENSG00000243279","PRAF2","Forebrain"
"ENSG00000022267","FHL1","Forebrain"
"ENSG00000118523","CCN2","Forebrain"
"ENSG00000130779","CLIP1","Forebrain"
"ENSG00000143195","ILDR2","Forebrain"
"ENSG00000114019","AMOTL2","Forebrain"
"ENSG00000242247","ARFGAP3","Forebrain"
"ENSG00000197702","PARVA","Forebrain"
"ENSG00000062725","APPBP2","Forebrain"
"ENSG00000167601","AXL","Forebrain"
"ENSG00000174099","MSRB3","Forebrain"
"ENSG00000015153","YAF2","Forebrain"
"ENSG00000158258","CLSTN2","Forebrain"
"ENSG00000137076","TLN1","Forebrain"
"ENSG00000264596",NA,"Forebrain"
"ENSG00000134318","ROCK2","Forebrain"
"ENSG00000120278","PLEKHG1","Forebrain"
"ENSG00000100626","GALNT16","Forebrain"
"ENSG00000183722","LHFPL6","Forebrain"
"ENSG00000006210","CX3CL1","Forebrain"
"ENSG00000166225","FRS2","Forebrain"
"ENSG00000226137","BAIAP2-DT","Forebrain"
"ENSG00000047634","SCML1","Forebrain"
"ENSG00000176973","FAM89B","Forebrain"
"ENSG00000170456","DENND5B","Forebrain"
"ENSG00000273108",NA,"Forebrain"
"ENSG00000162929","SANBR","Forebrain"
"ENSG00000213722","DDAH2","Forebrain"
"ENSG00000205593","DENND6B","Forebrain"
"ENSG00000066629","EML1","Forebrain"
"ENSG00000058091","CDK14","Forebrain"
"ENSG00000117707","PROX1","Forebrain"
"ENSG00000163596","ICA1L","Forebrain"
"ENSG00000106868","SUSD1","Forebrain"
"ENSG00000188315","C3orf62","Forebrain"
"ENSG00000115694","STK25","Forebrain"
"ENSG00000167470","MIDN","Forebrain"
"ENSG00000056586","RC3H2","Forebrain"
"ENSG00000143344","RGL1","Forebrain"
"ENSG00000152377","SPOCK1","Forebrain"
"ENSG00000092148","HECTD1","Forebrain"
"ENSG00000124243","BCAS4","Dorsal forebrain"
"ENSG00000155254","MARVELD1","Dorsal forebrain"
"ENSG00000279439",NA,"Dorsal forebrain"
"ENSG00000285595",NA,"Dorsal forebrain"
"ENSG00000173376","NDNF","Dorsal forebrain"
"ENSG00000257842","NOVA1-DT","Dorsal forebrain"
"ENSG00000168077","SCARA3","Dorsal forebrain"
"ENSG00000168916","ZNF608","Dorsal forebrain"
"ENSG00000106829","TLE4","Dorsal forebrain"
"ENSG00000139679","LPAR6","Dorsal forebrain"
"ENSG00000112175","BMP5","Dorsal forebrain"
"ENSG00000008196","TFAP2B","Dorsal forebrain"
"ENSG00000003436","TFPI","Dorsal forebrain"
"ENSG00000255092",NA,"Dorsal forebrain"
"ENSG00000077943","ITGA8","Dorsal forebrain"
"ENSG00000231609","EHBP1-AS1","Dorsal forebrain"
"ENSG00000198795","ZNF521","Dorsal forebrain"
"ENSG00000109819","PPARGC1A","Dorsal forebrain"
"ENSG00000108384","RAD51C","Dorsal forebrain"
"ENSG00000178202","POGLUT3","Dorsal forebrain"
"ENSG00000137285","TUBB2B","Dorsal forebrain"
"ENSG00000120149","MSX2","Dorsal forebrain"
"ENSG00000091879","ANGPT2","Dorsal forebrain"
"ENSG00000053770","AP5M1","Dorsal forebrain"
"ENSG00000144834","TAGLN3","Dorsal forebrain"
"ENSG00000091986","CCDC80","Dorsal forebrain"
"ENSG00000163132","MSX1","Dorsal forebrain"
"ENSG00000007171","NOS2","Dorsal forebrain"
"ENSG00000184486","POU3F2","Dorsal forebrain"
"ENSG00000144331","ZNF385B","Dorsal forebrain"
"ENSG00000106003","LFNG","Dorsal forebrain"
"ENSG00000164651","SP8","Dorsal forebrain"
"ENSG00000070367","EXOC5","Dorsal forebrain"
"ENSG00000140522","RLBP1","Dorsal forebrain"
"ENSG00000152495","CAMK4","Dorsal forebrain"
"ENSG00000163909","HEYL","Dorsal forebrain"
"ENSG00000136250","AOAH","Dorsal forebrain"
"ENSG00000123307","NEUROD4","Dorsal forebrain"
"ENSG00000128641","MYO1B","Dorsal forebrain"
"ENSG00000087470","DNM1L","Dorsal forebrain"
"ENSG00000110651","CD81","Dorsal forebrain"
"ENSG00000186188","FFAR4","Dorsal forebrain"
"ENSG00000109184","DCUN1D4","Dorsal forebrain"
"ENSG00000135903","PAX3","Dorsal forebrain"
"ENSG00000075213","SEMA3A","Dorsal forebrain"
"ENSG00000237732",NA,"Dorsal forebrain"
"ENSG00000288658","LOC122319436","Dorsal forebrain"
"ENSG00000285535",NA,"Dorsal forebrain"
"ENSG00000006432","MAP3K9","Dorsal forebrain"
"ENSG00000260338",NA,"Dorsal forebrain"
"ENSG00000126259","KIRREL2","Dorsal forebrain"
"ENSG00000103121","CMC2","Dorsal forebrain"
"ENSG00000149503","INCENP","Dorsal forebrain"
"ENSG00000106571","GLI3","Dorsal forebrain"
"ENSG00000180447","GAS1","Dorsal forebrain"
"ENSG00000007372","PAX6","Dorsal forebrain"
"ENSG00000229847","EMX2OS","Dorsal forebrain"
"ENSG00000170370","EMX2","Dorsal forebrain"
"ENSG00000169129","AFAP1L2","Dorsal forebrain"
"ENSG00000100097","LGALS1","Dorsal forebrain"
"ENSG00000078053","AMPH","Dorsal forebrain"
"ENSG00000152503","TRIM36","Dorsal forebrain"
"ENSG00000006128","TAC1","Dorsal forebrain"
"ENSG00000120156","TEK","Dorsal forebrain"
"ENSG00000085117","CD82","Dorsal forebrain"
"ENSG00000064309","CDON","Dorsal forebrain"
"ENSG00000101384","JAG1","Dorsal forebrain"
"ENSG00000158555","GDPD5","Dorsal forebrain"
"ENSG00000100003","SEC14L2","Dorsal forebrain"
"ENSG00000138795","LEF1","Dorsal forebrain"
"ENSG00000066032","CTNNA2","Dorsal forebrain"
"ENSG00000135074","ADAM19","Dorsal forebrain"
"ENSG00000142149","HUNK","Dorsal forebrain"
"ENSG00000033170","FUT8","Dorsal forebrain"
"ENSG00000253734","LINC01289","Dorsal forebrain"
"ENSG00000197555","SIPA1L1","Dorsal forebrain"
"ENSG00000133124","IRS4","Dorsal forebrain"
"ENSG00000163635","ATXN7","Dorsal forebrain"
"ENSG00000280000",NA,"Dorsal forebrain"
"ENSG00000078328","RBFOX1","Dorsal forebrain"
"ENSG00000079156","OSBPL6","Dorsal forebrain"
"ENSG00000135048","CEMIP2","Dorsal forebrain"
"ENSG00000134369","NAV1","Dorsal forebrain"
"ENSG00000254377","MIR124-2HG","Dorsal forebrain"
"ENSG00000111432","FZD10","Dorsal forebrain"
"ENSG00000168785","TSPAN5","Dorsal forebrain"
"ENSG00000198948","MFAP3L","Dorsal forebrain"
"ENSG00000144857","BOC","Dorsal forebrain"
"ENSG00000115507","OTX1","Dorsal forebrain"
"ENSG00000179796","LRRC3B","Dorsal forebrain"
"ENSG00000198860","TSEN15","Dorsal forebrain"
"ENSG00000183908","LRRC55","Dorsal forebrain"
"ENSG00000123240","OPTN","Dorsal forebrain"
"ENSG00000120963","ZNF706","Dorsal forebrain"
"ENSG00000130176","CNN1","Dorsal forebrain"
"ENSG00000160963","COL26A1","Dorsal forebrain"
"ENSG00000128283","CDC42EP1","Dorsal forebrain"
"ENSG00000186166","CENATAC","Dorsal forebrain"
"ENSG00000279221",NA,"Dorsal forebrain"
"ENSG00000149591","TAGLN","Dorsal forebrain"
"ENSG00000224063",NA,"Dorsal forebrain"
"ENSG00000164741","DLC1","Dorsal forebrain"
"ENSG00000110880","CORO1C","Dorsal forebrain"
"ENSG00000113448","PDE4D","Dorsal forebrain"
"ENSG00000122861","PLAU","Dorsal forebrain"
"ENSG00000138061","CYP1B1","Dorsal forebrain"
"ENSG00000255248","MIR100HG","Dorsal forebrain"
"ENSG00000149218","ENDOD1","Dorsal forebrain"
"ENSG00000172965","MIR4435-2HG","Dorsal forebrain"
"ENSG00000167434","CA4","Dorsal forebrain"
"ENSG00000135697","BCO1","Dorsal forebrain"
"ENSG00000120833","SOCS2","Dorsal forebrain"
"ENSG00000260477","LINC01584","Dorsal forebrain"
"ENSG00000260125","AGBL1-AS1","Dorsal forebrain"
"ENSG00000273540","AGBL1","Dorsal forebrain"
"ENSG00000236782","ZNF593OS","Dorsal forebrain"
"ENSG00000111275","ALDH2","Dorsal forebrain"
"ENSG00000188582","PAQR9","Dorsal forebrain"
"ENSG00000042980","ADAM28","Dorsal forebrain"
"ENSG00000279398",NA,"Dorsal forebrain"
"ENSG00000112333","NR2E1","Dorsal forebrain"
"ENSG00000189127","ANKRD34B","Dorsal forebrain"
"ENSG00000170893","TRH","Dorsal forebrain"
"ENSG00000069696","DRD4","Dorsal forebrain"
"ENSG00000119681","LTBP2","Dorsal forebrain"
"ENSG00000154342","WNT3A","Dorsal forebrain"
"ENSG00000182165","TP53TG1","Dorsal forebrain"
"ENSG00000075290","WNT8B","Dorsal forebrain"
"ENSG00000138653","NDST4","Dorsal forebrain"
"ENSG00000067141","NEO1","Dorsal forebrain"
"ENSG00000103460","TOX3","Dorsal forebrain"
"ENSG00000137501","SYTL2","Dorsal forebrain"
"ENSG00000171004","HS6ST2","Dorsal forebrain"
"ENSG00000007350","TKTL1","Dorsal forebrain"
"ENSG00000061918","GUCY1B1","Dorsal forebrain"
"ENSG00000064218","DMRT3","Dorsal forebrain"
"ENSG00000228835",NA,"Dorsal forebrain"
"ENSG00000197705","KLHL14","Dorsal forebrain"
"ENSG00000280451",NA,"Dorsal forebrain"
"ENSG00000168710","AHCYL1","Dorsal forebrain"
"ENSG00000148672","GLUD1","Dorsal forebrain"
