"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000000003",519.148492298092,0.544004726116352,0.153168725486303,3.55166973146225,0.000382795013351747,0.00522908556198978,"TSPAN6","no","no"
"ENSG00000000005",1.77709250864686,-1.40482777455261,1.45869346148532,-0.963072647986053,0.335511066948241,0.623799825080607,"TNMD","no","no"
"ENSG00000000419",193.030099681656,-0.116422532446396,0.109961374884493,-1.05875842829984,0.289709810745449,0.577830126392194,"DPM1","no","no"
"ENSG00000000457",25.2657738593174,0.119072950839531,0.337625906853377,0.352677174418494,0.724330473344242,0.88854773062096,"SCYL3","no","no"
"ENSG00000000460",4.92577617779282,-0.187792937798445,0.518058396868999,-0.362493763122871,0.716983083393754,0.884918018641227,"FIRRM","no","no"
"ENSG00000001036",197.154126703806,-0.465442909682054,0.110622092677186,-4.20750411077734,2.5820670779937e-05,0.000552254784799795,"FUCA2","no","no"
"ENSG00000001084",68.1209258862737,0.022334878694439,0.162615082611495,0.137348137305316,0.890755622869182,0.960447824803108,"GCLC","no","no"
"ENSG00000001167",128.844634938292,0.0551594046529321,0.124675264940694,0.442424603462208,0.65818197843653,0.852792812182856,"NFYA","no","no"
"ENSG00000001460",29.6343928113889,0.699137216784752,0.2455468845264,2.84726567854125,0.00440965439610946,0.035901424909846,"STPG1","no","no"
"ENSG00000001461",49.6048141047584,-0.290663925879168,0.223115462599323,-1.30275115177091,0.192659732517126,0.462949927873678,"NIPAL3","no","no"
"ENSG00000001497",161.89117987822,0.0521741663059545,0.0975408086250042,0.534895773793901,0.592721930870478,0.818081183526718,"LAS1L","no","no"
"ENSG00000001561",45.2159949645532,0.252042983197251,0.261824324516499,0.962641586730679,0.335727420078792,0.623897376770642,"ENPP4","no","no"
"ENSG00000001617",6.4858225288412,-0.0648493456002446,0.484207626082773,-0.133928798529825,0.893458877495002,0.96106177444556,"SEMA3F","no","no"
"ENSG00000001626",3.21841030326781,-2.15413365556964,1.17334537151175,-1.83589052965218,0.0663738486130836,0.244989093523593,"CFTR","no","no"
"ENSG00000001629",231.015813550476,0.0732845844841744,0.10140444815882,0.722695954810542,0.469866701362798,0.733503612322253,"ANKIB1","no","no"
"ENSG00000001630",332.239661020382,-0.242155916593969,0.131099290798824,-1.84711843304755,0.0647299775177316,0.24090014737455,"CYP51A1","no","no"
"ENSG00000001631",36.4351717284267,0.3431071766912,0.24541820428142,1.39805104391425,0.162097739553666,0.421033396714706,"KRIT1","no","no"
"ENSG00000002016",59.6064944073271,0.13863017623161,0.218130211270026,0.635538632748113,0.525077178750019,0.773236202287439,"RAD52","no","no"
"ENSG00000002330",45.5776148063647,0.400635779733242,0.233629419077364,1.71483446440697,0.0863755808082329,0.289375253138434,"BAD","no","no"
"ENSG00000002549",149.809037343743,-0.292899645846418,0.120145426181882,-2.43787595711727,0.0147738426098931,0.0871787277511652,"LAP3","no","no"
"ENSG00000002587",1.68368038834124,-0.876535471949066,1.11758723385,-0.78431056243321,0.432857903225953,0.705766391777016,"HS3ST1","no","no"
"ENSG00000002834",78.0269887436232,-0.0892971955816305,0.174875961878243,-0.510631619249096,0.609609030900853,0.828505537130686,"LASP1","no","no"
"ENSG00000002919",37.7634239715273,0.28572454710905,0.234195371617216,1.2200264468764,0.22245484940846,0.499066528024294,"SNX11","no","no"
"ENSG00000002933",2.11495768426675,0.108741215161425,0.885717253502497,0.122771928322968,0.902287704013109,0.965148480248857,"TMEM176A","no","no"
"ENSG00000003056",18.2593844659639,-0.859612680377056,0.291860365009443,-2.94528748481913,0.00322654713683691,0.0285516995697244,"M6PR","no","no"
"ENSG00000003096",69.1694485936855,0.841962648811251,0.177147209990044,4.75289816226048,2.00521361315674e-06,6.20119272415989e-05,"KLHL13","no","no"
"ENSG00000003147",23.0197523274962,-0.637457441799421,0.245097613641424,-2.6008308784761,0.00929982881945454,0.0628682545582329,"ICA1","no","no"
"ENSG00000003249",5.44137140905294,-0.279390109088982,0.517007229983507,-0.540398843354463,0.588922005320044,0.815825650586705,"DBNDD1","no","no"
