"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","high_threshold"
"ENSG00000000003",315.028464791284,0.0356652713663016,0.106851027302285,0.333785011400999,0.738541794583427,0.97231407624366,"TSPAN6","no","no"
"ENSG00000000419",186.088159750777,0.107807039120568,0.121842711013448,0.88480499345315,0.376261815820641,0.88814512477819,"DPM1","no","no"
"ENSG00000000457",15.8326557756093,-0.13590739822939,0.371647588039146,-0.36568890153829,0.714597228661041,0.970252390820738,"SCYL3","no","no"
"ENSG00000000460",5.72495403504133,-0.109582470429705,0.582708232288515,-0.188057186011143,0.850831822838013,0.987768767281916,"FIRRM","no","no"
"ENSG00000001036",191.140405664751,0.15658266055362,0.108527295007476,1.44279520228376,0.14907817108459,0.740594563538009,"FUCA2","no","no"
"ENSG00000001084",48.6327345495054,0.0238820359042983,0.198751249694616,0.120160431398511,0.904356061778097,0.992301164379607,"GCLC","no","no"
"ENSG00000001167",112.196476680904,-0.11057396919056,0.139352668979794,-0.793482966634764,0.427496489452178,0.905071804079705,"NFYA","no","no"
"ENSG00000001460",22.9777482154696,0.150358849238613,0.305854840843921,0.491601992709153,0.623000734455523,0.954793282037681,"STPG1","no","no"
"ENSG00000001461",41.4506172750057,-0.20865639632869,0.238392876281783,-0.87526271582904,0.381430975826507,0.888608267144542,"NIPAL3","no","no"
"ENSG00000001497",169.277787256589,-0.168488202168859,0.14593580182489,-1.15453644727309,0.248280304884863,0.817990537128111,"LAS1L","no","no"
"ENSG00000001561",29.09380150871,0.337243093718589,0.255927813302838,1.31772740667123,0.187594916558925,0.777740924962486,"ENPP4","no","no"
"ENSG00000001617",9.70158062315452,-0.0586004099844953,0.41850978262454,-0.140021601447409,0.888642923035189,0.991084857995202,"SEMA3F","no","no"
"ENSG00000001629",200.107989590114,0.0261765409794923,0.124757963149219,0.209818598498465,0.833809256656193,0.983658866403935,"ANKIB1","no","no"
"ENSG00000001630",395.025691516318,0.192547754145879,0.146800960902884,1.31162461717985,0.189646822789825,0.779558997359681,"CYP51A1","no","no"
"ENSG00000001631",34.8673821529666,-0.306951155225907,0.247257511518285,-1.24142297372918,0.214449536612941,0.796965323468553,"KRIT1","no","no"
"ENSG00000002016",64.940429004685,0.092502945305986,0.246987371877659,0.374524999406876,0.708013760885929,0.969820042655925,"RAD52","no","no"
"ENSG00000002330",45.5173574347957,0.167486801559931,0.244038328974694,0.686313507651083,0.492515432891042,0.925563600648837,"BAD","no","no"
"ENSG00000002549",137.6543975424,0.258650395575693,0.137571822727155,1.8801117150906,0.0600928541918423,0.58421979709435,"LAP3","no","no"
"ENSG00000002834",74.2581977438497,-0.258469783636119,0.234711549153032,-1.10122311649691,0.270799563182439,0.833803182490232,"LASP1","no","no"
"ENSG00000002919",35.7790909395554,0.123608725378272,0.239906939002053,0.515236140698766,0.606388017089175,0.952063326923133,"SNX11","no","no"
"ENSG00000002933",8.45442835087335,-0.357213146615918,0.41528718073795,-0.860159338367159,0.389701215398722,0.8933978708681,"TMEM176A","no","no"
"ENSG00000003056",16.3565467029874,0.0991548867672047,0.362567001621171,0.273480174212894,0.784484130360731,0.976453857127084,"M6PR","no","no"
"ENSG00000003096",51.63136998138,-0.271061021549341,0.243939197575228,-1.11118272193934,0.266489706810427,0.830611234469265,"KLHL13","no","no"
"ENSG00000003147",15.8709970556599,-1.05222020566035,0.442022867023281,-2.38046554637847,0.0172907778782788,0.378093483040545,"ICA1","no","no"
"ENSG00000003393",129.321254483675,0.130441317490899,0.132703861844547,0.982950425690716,0.325631838122508,0.861482584907556,"ALS2","no","no"
"ENSG00000003402",69.7707201353478,0.130602666326962,0.175982025893808,0.742136395257608,0.458004700616985,0.911983024722191,"CFLAR","no","no"
"ENSG00000003436",204.060226417351,0.466846593207721,0.449206820758149,1.0392687101674,0.298679782737914,0.846772774307136,"TFPI","no","no"
"ENSG00000003509",89.1147917735895,-0.061781298504786,0.194654320155895,-0.317389814186023,0.750947835095798,0.973516737522757,"NDUFAF7","no","no"
"ENSG00000003756",455.782819585026,-0.182852186749192,0.141399942864156,-1.29315601580448,0.195957104627129,0.784151317249835,"RBM5","no","no"
"ENSG00000003987",7.42473636729265,0.0744691332819471,0.538997786870065,0.138162224587945,0.890112209133994,0.991182357406677,"MTMR7","no","no"
"ENSG00000003989",28.8622150348183,0.330813928128991,0.319355202788176,1.03588081622211,0.300257748401317,0.847723915960427,"SLC7A2","no","no"
"ENSG00000004059",195.471538329852,0.347913352336425,0.111693093670537,3.11490478867629,0.00184004293194326,0.134833996735863,"ARF5","no","no"
"ENSG00000004139",5.79804122609737,-0.104642449753245,0.508335314613664,-0.205853197181024,0.836905585622079,0.984179891358873,"SARM1","no","no"
"ENSG00000004142",178.69880373585,0.111938563224685,0.133381975538287,0.839233058087021,0.401338539860116,0.895884774234963,"POLDIP2","no","no"
"ENSG00000004399",60.2283203990327,0.451908442574435,0.224223715084376,2.01543553234046,0.0438590345408936,0.537587733812813,"PLXND1","no","no"
"ENSG00000004455",106.555494549863,0.157048650645353,0.209519152801175,0.749567037407723,0.453515509574336,0.911276807442253,"AK2","no","no"
"ENSG00000004468",7.37089692739133,1.84787214946249,0.886053983683872,2.08550741093646,0.0370232661594893,0.506316976069858,"CD38","no","no"
"ENSG00000004478",171.955818927401,-0.0285629727667072,0.158827423409878,-0.179836530452277,0.857280903973752,0.988649002329283,"FKBP4","no","no"
"ENSG00000004487",557.804314606169,-0.21061480737412,0.114743261158768,-1.83553095185866,0.0664270573305827,0.601218973743338,"KDM1A","no","no"
"ENSG00000004534",511.80545639879,-0.257577253455725,0.13225617356728,-1.94756317613176,0.0514672535193711,0.559982732560939,"RBM6","no","no"
"ENSG00000004660",13.1195326934953,-0.509107604364149,0.383291907071523,-1.32825033602692,0.184095420564148,0.777740924962486,"CAMKK1","no","no"
"ENSG00000004700",31.7589104053135,0.169362457291201,0.24248413053237,0.698447592918218,0.484897321447564,0.921388967546381,"RECQL","no","no"
"ENSG00000004766",38.4791215033078,-0.112788344939791,0.213216601917855,-0.528984816028745,0.596815983086745,0.950855107985261,"VPS50","no","no"
"ENSG00000004777",15.44545599427,-0.289272893845847,0.330666187639773,-0.874818486615209,0.381672676795101,0.888608267144542,"ARHGAP33","no","no"
"ENSG00000004779",493.110347957929,0.0946786978154006,0.0871980579809862,1.08578906466066,0.277572325532424,0.839099901009937,"NDUFAB1","no","no"
"ENSG00000004848",220.237600196166,0.375236561868081,0.259181051696638,1.44777775771695,0.147679215191599,0.740594563538009,"ARX","no","no"
"ENSG00000004864",141.321348570165,0.0683973662536929,0.167631031496137,0.408023297615209,0.683256570721738,0.965963130562637,"SLC25A13","no","no"
"ENSG00000004866",19.9496843035957,-0.301634931043326,0.284566661061624,-1.05997986523799,0.289153759519397,0.842148863085911,"ST7","no","no"
"ENSG00000004897",201.956731084532,-0.0309892342231468,0.0958502853549358,-0.32330873203343,0.746461441615619,0.973516737522757,"CDC27","no","no"
"ENSG00000004961",57.6169296077403,-0.0948788589019019,0.179174127517746,-0.529534370929223,0.596434807754695,0.950855107985261,"HCCS","no","no"
"ENSG00000004975",133.886735653669,0.0763228389105792,0.133146869340566,0.573222932605041,0.566493758903395,0.944004811081806,"DVL2","no","no"
"ENSG00000005007",82.8660230498024,-0.223062246271334,0.163456326809818,-1.36465960434109,0.17236006160445,0.766494210423598,"UPF1","no","no"
"ENSG00000005020",9.95122099161412,-0.211976469262889,0.524764636453211,-0.403945796911163,0.686252578226735,0.967173930742312,"SKAP2","no","no"
"ENSG00000005022",769.143229416538,0.11535840240144,0.0963218866082568,1.1976343743204,0.231059387897357,0.807822925075846,"SLC25A5","no","no"
"ENSG00000005059",92.8873073330947,0.09893628636623,0.180415412190933,0.548380457992834,0.583430691928469,0.947766661605349,"MCUB","no","no"
"ENSG00000005075",151.516096612885,0.122374625560384,0.143292732345705,0.85401836895081,0.393094811628652,0.893476808646274,"POLR2J","no","no"
"ENSG00000005100",207.141120713511,0.0472132692774565,0.150855443241038,0.312970273150958,0.754303247002503,0.973834636089024,"DHX33","no","no"
"ENSG00000005102",20.9247539984319,0.769973168606276,0.334498227161618,2.30187518522857,0.0213422119868379,0.41099213033103,"MEOX1","no","no"
"ENSG00000005108",29.0115154029936,0.274565608663625,0.383421998048193,0.716092477899806,0.473934248165139,0.917001841029956,"THSD7A","no","no"
"ENSG00000005156",99.7082529710552,-0.22424181893097,0.140463441331721,-1.59644258182025,0.110390015547201,0.694317736988233,"LIG3","no","no"
"ENSG00000005175",114.214337500169,0.0143619298411356,0.142744401022089,0.100612911878156,0.919857746525234,0.992938339422755,"RPAP3","no","no"
"ENSG00000005189",15.0212643227258,0.0451161856366815,0.356915747196698,0.126405702160902,0.89941078868853,0.991855120873986,"REXO5","no","no"
"ENSG00000005194",157.021133724358,0.0245054104036841,0.146652291657593,0.167098721245352,0.86729237216756,0.989580100115288,"CIAPIN1","no","no"
