,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
512,CA4,UP,UP,no,no,no,no,UP
513,CYP2S1,DOWN,DOWN,no,no,no,no,DOWN
514,ANGPTL4,UP,no,no,no,no,no,UP
515,IGFBP6,DOWN,no,no,no,no,no,DOWN
516,PLAAT5,DOWN,no,no,no,no,no,DOWN
517,NAALADL1,DOWN,no,no,no,no,no,DOWN
518,SCARA3,UP,no,no,no,no,no,UP
519,DDIT4,DOWN,no,no,no,no,no,DOWN
520,GBX2,UP,no,no,no,no,no,no
521,ZNF608,UP,no,no,no,no,no,UP
522,PPIC,DOWN,no,no,no,no,no,DOWN
523,PXDC1,DOWN,no,no,no,no,UP,no
524,CHST14,UP,no,no,no,no,no,UP
525,AFAP1L2,UP,no,no,no,no,no,UP
526,UGP2,DOWN,no,no,no,no,no,DOWN
527,TACR3,DOWN,no,no,no,no,no,no
528,PCDH7,DOWN,no,UP,no,no,UP,no
529,MUC3A,DOWN,no,no,no,no,no,DOWN
530,ALCAM,DOWN,no,no,no,no,no,DOWN
531,FOS,UP,no,UP,no,no,UP,no
532,DCLK2,UP,no,no,no,no,no,UP
533,SERPINB9,DOWN,no,no,no,no,UP,DOWN
534,CDH2,UP,no,no,no,no,no,UP
535,IRX2,DOWN,no,no,no,no,no,DOWN
536,DLGAP1,DOWN,no,no,no,no,no,DOWN
537,ZNF296,DOWN,no,no,no,no,no,DOWN
538,PAQR8,UP,no,no,no,no,no,UP
539,CAVIN3,DOWN,no,no,no,no,no,DOWN
540,PDGFD,DOWN,no,no,no,no,no,DOWN
541,S1PR1,UP,UP,no,no,no,UP,UP
542,HS6ST2,UP,no,no,no,no,no,UP
543,PYGO1,UP,no,no,no,no,UP,UP
544,CDC42BPG,DOWN,no,no,no,no,no,DOWN
545,NPTX1,DOWN,DOWN,no,no,no,no,DOWN
546,ASXL1,UP,no,no,no,no,no,UP
547,PTGER4,DOWN,no,no,no,no,UP,DOWN
548,PIK3CD,DOWN,no,no,no,no,no,DOWN
549,ENC1,UP,no,no,no,no,no,UP
550,TMEM51,DOWN,no,no,no,no,no,DOWN
551,KNDC1,DOWN,no,no,no,no,no,DOWN
552,PWWP2B,DOWN,no,no,no,no,UP,DOWN
553,SNTB1,DOWN,no,no,no,no,no,DOWN
554,MBOAT1,DOWN,no,no,no,no,no,DOWN
555,CEBPB,DOWN,DOWN,no,no,no,no,DOWN
556,ARNT2,UP,no,no,no,no,no,UP
557,PDE3A,DOWN,UP,UP,no,no,UP,no
558,BNC2,DOWN,no,no,no,no,no,DOWN
559,LRRN3,UP,no,no,no,no,no,UP
560,ADAMTS20,UP,no,no,no,no,no,UP
561,ADCY5,DOWN,no,no,no,no,no,DOWN
562,SNCG,DOWN,no,UP,no,no,UP,DOWN
563,PPP1R3B,DOWN,no,no,no,no,no,DOWN
564,STOX2,UP,no,no,no,no,no,UP
565,RNF26,UP,no,no,no,no,no,no
566,WFIKKN2,DOWN,no,no,no,no,no,DOWN
567,MSRB3,UP,UP,no,no,no,no,UP
568,PHLDA3,DOWN,no,UP,no,no,UP,DOWN
569,IGDCC3,UP,no,no,no,no,no,UP
570,UGT8,DOWN,DOWN,no,no,no,no,DOWN
571,FGFBP3,UP,no,no,UP,no,UP,UP
572,FUT1,DOWN,no,no,no,no,no,no
573,ZDHHC14,UP,no,no,no,no,DOWN,UP
574,SPSB4,UP,no,no,no,no,no,UP
575,TMEM51-AS1,DOWN,no,no,no,no,no,DOWN
576,DDIT3,DOWN,no,UP,no,no,UP,DOWN
577,GAL3ST3,UP,no,no,no,no,no,no
578,SCUBE2,UP,UP,no,no,no,no,UP
579,KDF1,DOWN,no,no,no,no,no,DOWN
580,JAKMIP2,DOWN,no,no,no,no,no,DOWN
581,FOXG1,UP,no,DOWN,no,no,DOWN,UP
582,HSD11B2,DOWN,no,no,no,no,no,DOWN
583,DMRTA1,UP,UP,no,no,no,no,UP
584,PLAAT3,DOWN,no,no,no,no,no,DOWN
585,PRR15,DOWN,no,no,no,no,no,DOWN
586,MYO1D,DOWN,no,no,no,no,no,DOWN
587,BDNF,DOWN,no,no,no,no,UP,DOWN
588,EPS8L2,DOWN,no,no,UP,no,UP,DOWN
589,IRX3,DOWN,no,no,no,no,no,no
590,SRRM3,DOWN,no,no,no,no,no,DOWN
591,CALHM5,DOWN,no,no,no,no,no,no
592,SHISA3,DOWN,no,no,no,no,no,DOWN
593,BEND3,DOWN,no,no,no,no,no,DOWN
594,GLDC,UP,no,no,no,no,no,UP
595,CTXN1,UP,no,no,no,no,no,UP
596,MAF,DOWN,no,no,no,no,UP,DOWN
597,SMIM10L2A,DOWN,no,no,no,no,no,DOWN
598,TRIML2,DOWN,no,no,no,no,no,DOWN
599,ZNF664,UP,no,no,no,no,no,UP
600,EGR3,UP,DOWN,no,no,no,UP,no
601,HTR1D,DOWN,no,no,no,no,DOWN,DOWN
602,SSC5D,DOWN,no,no,no,no,no,DOWN
603,FZD2,UP,no,no,no,no,no,UP
604,GAS1,UP,no,no,no,no,no,UP
605,SKIDA1,UP,no,no,no,no,no,UP
606,TMEM64,DOWN,no,no,no,no,no,DOWN
607,CUEDC1,UP,no,no,no,no,no,UP
608,FRAT2,DOWN,no,no,no,no,DOWN,DOWN
609,LRRC75A,UP,no,no,no,no,no,UP
610,CLDN7,DOWN,no,no,no,no,no,DOWN
611,TMEM30B,DOWN,no,no,no,no,no,DOWN
612,BACE2,DOWN,no,no,UP,no,UP,DOWN
613,C1S,DOWN,no,no,no,no,UP,DOWN
614,ANXA2,DOWN,UP,no,no,no,no,no
615,LCK,DOWN,no,no,no,no,no,DOWN
616,GALNT9,DOWN,no,no,no,no,no,DOWN
617,GAS6,DOWN,no,no,no,no,no,DOWN
618,CCBE1,UP,no,no,no,no,no,UP
619,UPP1,DOWN,no,no,no,no,UP,DOWN
620,OPCML,DOWN,no,no,no,no,no,DOWN
621,B3GALT5,DOWN,no,no,no,no,DOWN,DOWN
622,KCTD8,DOWN,no,no,no,no,no,DOWN
623,FAM3B,DOWN,no,no,no,no,no,DOWN
624,KIRREL1,UP,no,no,no,no,no,UP
625,SCN5A,DOWN,no,no,no,no,no,DOWN
626,PRKX,DOWN,no,no,no,no,no,DOWN
627,TMPRSS2,DOWN,DOWN,no,no,no,no,DOWN
628,CLDN5,DOWN,no,no,no,no,no,DOWN
629,OAF,DOWN,no,no,UP,no,UP,DOWN
630,KCNK12,DOWN,no,no,no,no,no,no
631,CSF1,DOWN,no,no,no,no,no,no
632,POU3F2,UP,UP,no,no,no,no,UP
633,NELL2,UP,UP,no,no,no,no,UP
634,CLDN6,DOWN,no,no,no,no,no,DOWN
635,SORCS2,UP,no,no,no,no,no,UP
636,ANO9,DOWN,no,no,no,no,no,DOWN
637,FAM43A,DOWN,no,no,no,no,UP,DOWN
638,NR2F2,UP,UP,no,no,no,no,UP
639,PCYT2,DOWN,no,no,no,no,UP,DOWN
640,LINC01405,DOWN,DOWN,no,no,no,no,DOWN
641,C16orf54,DOWN,no,no,no,no,no,DOWN
642,LEMD1,UP,no,no,no,no,no,UP
643,GABRA5,DOWN,no,no,no,no,no,DOWN
644,CARMIL3,DOWN,no,no,no,no,no,DOWN
645,ESPN,DOWN,no,no,no,no,no,DOWN
646,WDR86,UP,no,UP,no,no,UP,UP
647,EPOR,DOWN,no,no,no,no,no,DOWN
648,LUZP2,DOWN,no,no,no,no,no,DOWN
649,SPRY4,UP,DOWN,no,no,no,UP,no
650,FYB2,DOWN,UP,no,no,no,DOWN,DOWN
651,C6orf132,DOWN,no,no,no,no,DOWN,DOWN
652,RUFY4,DOWN,no,no,no,no,DOWN,DOWN
653,IER5L,UP,no,no,UP,no,UP,UP
654,HMX3,DOWN,no,no,no,no,no,DOWN
655,SHISA6,UP,no,no,no,no,no,no
656,HMX2,DOWN,no,no,no,no,no,DOWN
657,AKR1C3,DOWN,no,no,no,no,no,DOWN
658,ACADSB,DOWN,no,no,no,no,no,DOWN
659,RYR1,DOWN,no,no,no,no,no,DOWN
660,SLC35F1,UP,no,no,no,no,no,no
661,MME,DOWN,no,no,no,no,no,DOWN
662,POU3F4,DOWN,no,no,no,no,no,DOWN
663,MVB12B,UP,no,no,no,no,no,UP
664,UAP1L1,DOWN,no,no,no,no,UP,no
665,OGDHL,DOWN,no,no,no,no,no,DOWN
666,STMN3,DOWN,DOWN,UP,no,no,UP,DOWN
667,PDGFA,DOWN,no,no,no,no,UP,DOWN
668,COL13A1,DOWN,DOWN,no,no,no,no,DOWN
669,GALP,UP,no,no,DOWN,no,DOWN,UP
670,COL4A6,UP,no,no,no,no,UP,UP
671,KLHL14,DOWN,no,no,no,no,no,no
672,S100A10,DOWN,no,no,no,no,no,DOWN
673,EME2,DOWN,no,no,no,no,no,DOWN
674,MBP,DOWN,no,no,no,no,no,DOWN
675,ELOVL2,UP,UP,no,no,no,no,UP
676,SPRED2,UP,no,no,no,no,no,no
677,CCDC69,DOWN,no,no,no,no,no,DOWN
678,RYR2,DOWN,no,no,no,no,no,DOWN
679,ECI2,DOWN,no,no,no,no,no,DOWN
680,PPP1R14C,UP,no,no,no,no,UP,UP
681,SMOC1,UP,no,no,no,no,DOWN,UP
682,COLGALT2,UP,UP,no,no,no,no,UP
683,ZNF521,UP,no,no,no,no,no,UP
684,GRM3,UP,no,no,no,no,no,UP
685,TOX,DOWN,no,no,no,no,no,DOWN
686,GRK5,UP,no,no,no,no,UP,UP
687,RASGEF1A,DOWN,no,no,no,no,no,no
688,CSAG1,DOWN,no,no,no,no,no,DOWN
689,RNU4-42P,DOWN,no,no,no,no,no,DOWN
690,ZNF525,DOWN,no,no,no,no,no,DOWN
691,SCUBE1-AS1,UP,no,no,no,no,no,UP
692,CCDC160,UP,no,no,no,no,no,UP
693,ACOXL-AS1,DOWN,no,no,no,no,no,DOWN
694,CD177,DOWN,no,no,no,no,no,DOWN
695,ADGRG1,UP,no,UP,no,no,UP,UP
696,MT1H,DOWN,no,no,no,no,no,DOWN
697,RGL3,DOWN,no,no,no,no,no,DOWN
698,HLA-A,UP,no,no,no,no,no,no
699,VGLL3,UP,no,no,no,no,DOWN,UP
700,XKR4,DOWN,no,no,no,no,UP,DOWN
701,RPL31P43,DOWN,no,no,no,no,no,DOWN
702,S1PR3,UP,no,no,UP,no,UP,no
703,PPM1N,DOWN,no,no,no,no,no,DOWN
704,PLIN5,DOWN,no,no,no,no,UP,no
705,ALOX12-AS1,DOWN,no,no,no,no,no,no
706,TNFRSF25,DOWN,no,no,no,no,no,no
707,LINC01356,DOWN,no,no,no,no,no,DOWN
708,RPSAP43,DOWN,no,no,no,no,no,DOWN
709,CEBPZOS,DOWN,no,no,no,no,no,no
710,PLXNA4,UP,no,no,no,no,no,no
711,CEBPD,DOWN,no,no,no,no,UP,no
712,SLC12A8,DOWN,no,no,no,no,no,DOWN
713,APOL6,DOWN,no,no,no,no,no,DOWN
714,ROR1-AS1,DOWN,no,no,no,no,no,DOWN
715,C13orf42,DOWN,no,no,no,no,DOWN,DOWN
716,RBM26-AS1,UP,no,no,no,no,no,no
717,ATP8,DOWN,no,no,no,no,no,DOWN
718,HDAC2-AS2,DOWN,no,no,no,no,no,DOWN
719,SNHG26,DOWN,no,no,no,no,no,DOWN
720,EMX2OS,UP,no,no,no,no,no,UP
721,LINC01315,DOWN,no,no,no,no,no,DOWN
722,FEZF1-AS1,UP,no,no,no,no,no,UP
723,FBXW4P1,DOWN,no,no,UP,no,no,DOWN
724,FOXD3-AS1,DOWN,no,no,no,no,no,DOWN
725,MIR205HG,DOWN,no,no,no,no,no,DOWN
726,EHBP1-AS1,UP,no,DOWN,no,no,DOWN,UP
727,PIK3CD-AS2,DOWN,no,no,no,no,no,DOWN
728,KIAA0040,DOWN,no,no,no,no,no,DOWN
729,LOC101927661,DOWN,no,no,no,no,no,DOWN
730,RPL5P9,DOWN,no,no,no,no,DOWN,DOWN
731,LINC01829,DOWN,no,no,no,no,no,DOWN
732,ZNF503-AS2,UP,no,no,no,no,no,UP
733,CKMT1B,DOWN,no,no,no,no,no,DOWN
734,WAKMAR2,UP,no,no,no,no,DOWN,UP
735,L1TD1,DOWN,no,no,no,no,no,DOWN
736,PNMA2,UP,no,no,no,no,UP,UP
737,RPS26P23,DOWN,no,no,UP,no,no,DOWN
738,RPL32P13,DOWN,no,no,no,no,no,DOWN
739,PEG10,UP,no,no,no,no,no,UP
740,SOX2-OT,UP,no,no,no,no,no,UP
741,LINC00698,DOWN,no,no,no,no,no,DOWN
742,ETV5,UP,no,no,no,no,UP,UP
743,PTCHD4,UP,no,UP,UP,no,UP,UP
744,BDNF-AS,DOWN,no,no,no,no,no,DOWN
745,LOC101928847,UP,no,no,no,no,no,UP
746,NR2F2-AS1,UP,UP,no,no,no,UP,UP
747,APELA,DOWN,no,no,no,no,DOWN,DOWN
748,ZNF436-AS1,UP,no,no,no,no,no,UP
749,MIR302CHG,DOWN,no,no,no,no,no,DOWN
750,HS3ST5,DOWN,no,no,no,no,no,DOWN
751,SELENOP,DOWN,no,no,no,no,no,DOWN
752,MIR124-1HG,DOWN,no,UP,no,no,UP,DOWN
753,TRNP1,DOWN,no,no,no,no,no,DOWN
754,ZFHX4-AS1,UP,no,no,no,no,no,UP
755,RPL7P20,DOWN,no,no,no,no,DOWN,DOWN
756,LINC00678,DOWN,no,no,no,no,no,DOWN
757,RMST,UP,no,no,no,no,no,UP
758,LINC01152,UP,no,no,no,no,no,UP
759,PGA5,DOWN,no,no,no,no,no,DOWN
760,SLC22A31,DOWN,no,no,no,no,no,DOWN
761,AGBL1-AS1,UP,UP,UP,no,no,no,UP
762,GREP1,DOWN,no,no,no,no,no,DOWN
763,MIR193BHG,DOWN,no,no,no,no,no,DOWN
764,SPON1,UP,no,no,no,no,no,UP
765,CFAP298-TCP10L,DOWN,no,no,no,no,no,DOWN
766,ESRG,DOWN,DOWN,DOWN,no,no,DOWN,DOWN
767,BAHCC1,UP,no,no,no,no,no,UP
768,GDF10,UP,no,no,no,no,no,UP
769,GABRQ,DOWN,no,no,no,no,no,DOWN
770,SPIB,DOWN,no,no,no,no,no,DOWN
771,LIX1L,UP,no,no,no,no,no,UP
772,ATP2B1-AS1,UP,no,no,no,no,DOWN,UP
773,FGF14-AS2,UP,no,no,no,no,DOWN,no
774,CD24,DOWN,no,no,no,no,no,DOWN
775,DACH1,UP,UP,no,no,no,no,UP
776,CCDC92B,DOWN,no,no,no,no,no,DOWN
777,NEFL,DOWN,no,no,no,no,UP,DOWN
778,CHD9NB,DOWN,no,no,no,no,no,DOWN
779,HPAT5,DOWN,no,no,no,no,no,DOWN
780,JAKMIP2-AS1,DOWN,DOWN,no,no,no,no,DOWN
781,BLACAT1,UP,no,no,no,no,no,UP
782,LOC728392,UP,no,no,no,no,no,UP
783,LOC122319436,UP,no,no,no,no,no,UP
784,TMEM176A,no,UP,no,no,no,no,no
785,ANOS1,no,DOWN,no,no,no,no,no
786,SAMD4A,no,UP,no,no,no,UP,UP
787,HDAC9,no,UP,no,no,no,UP,UP
788,TMCC3,no,UP,no,no,no,no,UP
789,SLC2A3,no,UP,no,no,no,no,UP
790,COL11A1,no,UP,no,no,no,UP,UP
791,CDON,no,UP,no,no,no,no,UP
792,NUAK1,no,UP,no,no,no,no,UP
793,SEMA3C,no,UP,no,no,no,no,UP
794,WNT8B,no,UP,no,no,no,no,UP
795,FOSL2,no,UP,UP,no,no,UP,no
796,RARB,no,UP,no,no,no,no,UP
797,COL5A3,no,UP,no,no,no,UP,UP
798,CD82,no,UP,no,no,no,no,UP
799,TESC,no,DOWN,DOWN,no,no,no,DOWN
800,DLL3,no,UP,no,no,no,no,no
801,JPH4,no,DOWN,no,no,no,no,no
802,SEMA6A,no,DOWN,no,no,no,no,DOWN
803,PCDH11Y,no,UP,no,no,no,no,UP
804,PDGFB,no,UP,no,UP,no,UP,UP
805,SYT17,no,UP,no,no,no,no,no
806,CAV1,no,UP,no,no,no,no,UP
807,HOXA2,no,UP,no,no,no,no,UP
808,LFNG,no,UP,no,DOWN,no,DOWN,UP
809,NPTX2,no,DOWN,no,no,no,no,DOWN
810,SFRP4,no,UP,UP,no,DOWN,DOWN,UP
811,RARRES2,no,DOWN,no,no,no,no,DOWN
812,CORO2A,no,DOWN,no,no,no,no,DOWN
813,ACTA2,no,UP,no,no,no,no,UP
814,RASD1,no,UP,no,no,no,no,no
815,TBC1D9,no,UP,UP,no,no,UP,UP
816,SOX6,no,UP,UP,no,no,UP,UP
817,VWF,no,DOWN,DOWN,no,no,no,no
818,ALDH2,no,UP,UP,no,no,no,no
819,RFX4,no,UP,no,no,no,UP,UP
820,NEDD9,no,UP,no,no,no,UP,UP
821,HBEGF,no,UP,UP,no,no,UP,UP
822,CDH6,no,UP,UP,no,no,UP,UP
823,PDE4D,no,UP,no,no,no,UP,UP
824,PDGFRB,no,UP,no,no,no,UP,UP
825,BCL6,no,UP,no,no,no,no,no
826,FGF12,no,UP,no,no,no,no,UP
827,IGFBP2,no,UP,no,no,no,no,no
828,IGFBP5,no,UP,no,no,no,DOWN,no
829,EFHD1,no,UP,UP,no,no,UP,no
830,KCNJ13,no,UP,no,no,no,no,UP
831,ID2,no,DOWN,DOWN,no,no,DOWN,no
832,SLC2A1,no,UP,no,no,no,no,UP
833,CCN2,no,UP,UP,UP,no,UP,UP
834,LTBP2,no,UP,UP,no,no,UP,UP
835,PLEKHG1,no,UP,UP,no,no,UP,UP
836,NPPB,no,UP,UP,no,DOWN,no,UP
837,CXCR4,no,UP,no,no,no,no,UP
838,NPY,no,UP,no,no,no,no,UP
839,ARL4A,no,UP,UP,no,no,no,UP
840,NEUROD4,no,UP,no,no,no,DOWN,UP
841,PREX1,no,DOWN,no,no,no,no,no
842,CITED1,no,UP,no,no,no,no,UP
843,KIRREL2,no,UP,no,no,no,no,UP
844,KDR,no,DOWN,no,UP,no,no,DOWN
845,AJUBA,no,UP,no,no,no,UP,UP
846,SHC2,no,UP,UP,no,no,UP,no
847,GSE1,no,DOWN,no,no,no,no,DOWN
848,MORC4,no,UP,UP,no,no,UP,no
849,CNTN6,no,UP,no,no,no,no,UP
850,WNT2B,no,UP,UP,no,no,UP,UP
851,DTNA,no,UP,no,no,no,UP,no
852,ETS1,no,UP,UP,no,no,UP,no
853,ANXA1,no,UP,UP,no,no,UP,UP
854,PI15,no,UP,UP,no,DOWN,no,UP
855,BCAR3,no,UP,no,no,no,UP,UP
856,CYP1B1,no,UP,no,no,no,no,UP
857,ASCL1,no,UP,no,no,no,no,UP
858,TPM1,no,UP,no,no,no,no,UP
859,ST8SIA2,no,UP,no,no,no,no,UP
860,MYOCD,no,UP,no,no,DOWN,no,UP
861,ASXL3,no,UP,no,no,no,no,UP
862,PRDM16,no,UP,no,UP,no,UP,no
863,CCN1,no,UP,UP,UP,no,UP,UP
864,BARHL2,no,UP,no,no,no,no,UP
865,RGS5,no,UP,no,no,no,no,UP
866,GDF7,no,UP,UP,no,no,UP,UP
867,MEIS1,no,UP,no,no,no,no,UP
868,ST6GAL2,no,UP,no,no,no,no,UP
869,SETD7,no,UP,no,no,no,no,UP
870,PLK2,no,UP,UP,no,no,UP,UP
871,TENM2,no,UP,no,no,no,UP,UP
872,EGFR,no,UP,no,no,no,no,UP
873,RGS20,no,UP,no,no,no,no,UP
874,NTRK2,no,UP,no,no,no,no,UP
875,CRB2,no,UP,no,no,no,no,UP
876,CDH8,no,UP,no,no,no,UP,UP
877,ADRA2A,no,DOWN,no,no,no,no,DOWN
878,PGM5,no,UP,no,no,no,no,UP
879,JAM2,no,UP,no,no,no,UP,no
880,FZD7,no,DOWN,no,no,no,no,DOWN
881,LHFPL4,no,DOWN,no,no,no,DOWN,DOWN
882,DUSP2,no,DOWN,no,no,no,no,DOWN
883,CLSTN2,no,UP,UP,no,no,UP,UP
884,COLEC12,no,UP,no,no,no,no,UP
885,TNNI1,no,UP,no,no,no,UP,no
886,DRAXIN,no,DOWN,no,no,no,no,DOWN
887,PKDCC,no,DOWN,no,no,no,no,DOWN
888,LRATD1,no,UP,no,no,no,no,UP
889,FZD5,no,DOWN,DOWN,no,no,DOWN,DOWN
890,HEYL,no,UP,no,no,no,no,UP
891,DLC1,no,UP,no,no,no,UP,UP
892,BAALC,no,UP,UP,no,no,UP,no
893,MAMDC2,no,UP,UP,no,no,UP,UP
894,RBPMS2,no,DOWN,no,no,no,no,DOWN
895,PPP1R14A,no,DOWN,no,no,no,no,DOWN
896,IRS1,no,UP,no,no,no,UP,no
897,MAP6,no,UP,UP,no,no,UP,UP
898,ID4,no,UP,UP,no,no,UP,UP
899,PTPRM,no,UP,UP,no,no,UP,UP
900,NR2F1,no,UP,UP,no,no,UP,UP
901,TCIM,no,UP,UP,no,no,UP,UP
902,FZD8,no,DOWN,DOWN,no,no,DOWN,DOWN
903,MYL11,no,UP,no,no,no,DOWN,UP
904,NRIP1,no,UP,no,no,no,no,UP
905,SSTR2,no,DOWN,UP,no,no,no,no
906,TSHZ2,no,UP,no,no,no,UP,UP
907,MACC1,no,DOWN,no,no,no,DOWN,DOWN
908,ZNF703,no,UP,no,no,no,UP,UP
909,SOCS3,no,UP,no,no,no,no,UP
910,EMID1,no,UP,no,no,no,no,no
911,CCK,no,UP,UP,no,no,UP,no
912,GCNT1,no,UP,no,no,no,UP,no
913,DCC,no,UP,no,no,no,no,UP
914,CFAP77,no,UP,no,no,no,no,UP
915,MYL4,no,UP,no,no,no,DOWN,UP
916,ALPK2,no,UP,UP,no,no,no,UP
917,SNORD114-3,no,DOWN,no,no,no,no,DOWN
918,LINC02487,no,UP,no,no,no,no,UP
919,COL5A2,no,UP,no,no,no,no,UP
920,MRPL23,no,DOWN,UP,DOWN,no,no,no
921,LINC02981,no,UP,no,no,no,no,UP
922,MIAT,no,UP,no,no,no,no,no
923,LINC01239,no,UP,no,DOWN,no,no,UP
924,APOBEC3C,no,DOWN,no,no,no,UP,DOWN
925,SEMA6A-AS1,no,DOWN,no,no,no,no,DOWN
926,LINC01414,no,UP,no,no,no,no,UP
927,LINC01833,no,DOWN,no,no,no,UP,DOWN
928,ATP8B1-AS1,no,DOWN,no,no,no,no,DOWN
929,AGBL1,no,UP,UP,no,no,UP,UP
930,LINC03025,no,UP,no,no,no,no,UP
931,LOC124903640,no,UP,no,no,no,no,UP
932,CROT,no,no,UP,no,no,UP,UP
933,MMP25,no,no,DOWN,no,no,DOWN,no
934,STMN4,no,no,UP,UP,no,UP,no
935,ADAM28,no,no,UP,no,no,UP,UP
936,HERPUD1,no,no,UP,no,no,UP,no
937,GUCY1B1,no,no,UP,no,no,UP,UP
938,SEZ6,no,no,DOWN,no,no,DOWN,DOWN
939,DLX3,no,no,DOWN,no,no,DOWN,no
940,FGFR3,no,no,UP,UP,no,UP,no
941,DRD4,no,no,UP,no,no,UP,UP
942,OSBPL3,no,no,UP,no,no,UP,no
943,FBLN1,no,no,DOWN,no,no,DOWN,no
944,TP53INP2,no,no,UP,no,no,no,no
945,HSD17B2,no,no,UP,no,no,UP,no
946,TSPAN15,no,no,UP,no,no,no,no
947,SYP,no,no,UP,no,no,no,no
948,PCYT1B,no,no,DOWN,no,no,DOWN,no
949,ARMCX3,no,no,UP,no,no,UP,no
950,NDRG4,no,no,UP,no,no,UP,no
951,SLC7A5,no,no,UP,no,no,no,no
952,CDK6,no,no,UP,no,no,UP,no
953,CAV2,no,no,UP,no,no,UP,no
954,SERPINE1,no,no,UP,no,no,UP,no
955,DOCK8,no,no,UP,no,no,UP,UP
956,EBF3,no,no,UP,no,no,UP,no
957,P2RX3,no,no,UP,no,no,UP,no
958,CARS1,no,no,UP,no,no,no,no
959,ASIC1,no,no,UP,no,no,UP,UP
960,NR2E1,no,no,UP,no,no,UP,no
961,SLC1A4,no,no,UP,no,no,UP,no
962,NEK6,no,no,UP,no,no,UP,no
963,ONECUT2,no,no,UP,no,no,UP,DOWN
964,PPP1R3C,no,no,DOWN,no,no,no,no
965,MSX2,no,no,UP,no,no,UP,no
966,SLC12A4,no,no,UP,no,no,UP,no
967,BARHL1,no,no,UP,no,no,UP,UP
968,EDA2R,no,no,UP,no,no,UP,no
969,KANK4,no,no,UP,no,no,UP,UP
970,SYT4,no,no,UP,no,no,UP,no
971,SOX3,no,no,UP,no,no,UP,UP
972,MMRN1,no,no,UP,no,no,UP,UP
973,GLIPR1,no,no,UP,no,no,UP,no
974,JDP2,no,no,UP,no,no,UP,no
975,ADCYAP1,no,no,UP,no,no,UP,no
976,DMRTA2,no,no,UP,no,no,UP,no
977,LHX9,no,no,UP,no,no,UP,no
978,TMEFF2,no,no,UP,no,no,UP,no
979,GRIP2,no,no,UP,UP,no,UP,DOWN
980,RBMS3,no,no,UP,no,no,UP,no
981,SLIT2,no,no,UP,no,no,UP,no
982,SNCA,no,no,UP,no,no,UP,no
983,PDGFC,no,no,UP,no,no,UP,no
984,SCUBE3,no,no,UP,no,no,UP,UP
985,CREB5,no,no,UP,UP,no,UP,UP
986,CHST7,no,no,DOWN,no,no,DOWN,no
987,GPC3,no,no,UP,no,no,UP,UP
988,ST18,no,no,UP,no,no,UP,no
989,PAMR1,no,no,DOWN,no,no,DOWN,no
990,ENDOD1,no,no,UP,no,no,UP,UP
991,KLHL35,no,no,UP,no,no,UP,no
992,LYPD1,no,no,UP,no,no,UP,no
993,GPM6A,no,no,UP,no,no,UP,no
994,AKAP6,no,no,UP,no,no,UP,no
995,INPP1,no,no,UP,no,no,UP,no
996,GFRA1,no,no,UP,no,no,UP,UP
997,DDAH1,no,no,UP,no,no,UP,no
998,ROBO3,no,no,UP,no,no,no,no
999,GRIA1,no,no,UP,no,no,UP,UP
1000,LRP8,no,no,UP,no,no,UP,DOWN
1001,STC1,no,no,DOWN,no,no,no,no
1002,CLIC6,no,no,UP,no,UP,UP,no
1003,CELF3,no,no,UP,no,no,UP,no
1004,VCAM1,no,no,UP,no,no,UP,UP
1005,DDR2,no,no,UP,no,no,UP,no
1006,NEUROD1,no,no,UP,no,no,UP,no
1007,VSNL1,no,no,DOWN,DOWN,no,DOWN,no
1008,EBF1,no,no,UP,no,no,UP,no
1009,UNCX,no,no,UP,no,no,UP,no
1010,CTHRC1,no,no,UP,no,no,UP,no
1011,FAT3,no,no,UP,no,no,UP,no
1012,HACD1,no,no,UP,no,no,UP,no
1013,COL3A1,no,no,UP,UP,no,UP,no
1014,LRATD2,no,no,UP,no,no,UP,UP
1015,NLGN1,no,no,UP,no,no,UP,UP
1016,TRH,no,no,UP,no,no,UP,no
1017,NHLH1,no,no,UP,no,no,UP,no
1018,BCL2,no,no,UP,UP,no,UP,UP
1019,PRNP,no,no,UP,no,no,UP,DOWN
1020,INSM1,no,no,UP,no,no,UP,UP
1021,CD248,no,no,UP,UP,no,UP,no
1022,CADM2,no,no,UP,no,no,UP,no
1023,CREG2,no,no,UP,no,no,no,no
1024,SPHK1,no,no,UP,no,no,UP,no
1025,RIMKLA,no,no,DOWN,no,no,no,no
1026,CAVIN1,no,no,UP,no,no,UP,no
1027,JUN,no,no,UP,no,no,UP,no
1028,ERBB4,no,no,UP,UP,no,UP,no
1029,PIPOX,no,no,DOWN,no,no,DOWN,DOWN
1030,RNF182,no,no,UP,no,no,no,no
1031,SHISA2,no,no,DOWN,no,no,DOWN,no
1032,GREM2,no,no,UP,no,no,UP,no
1033,BGN,no,no,UP,UP,no,UP,no
1034,RFLNB,no,no,UP,no,no,UP,no
1035,LHFPL6,no,no,UP,no,no,UP,UP
1036,SLIT3,no,no,UP,no,no,UP,no
1037,SLITRK6,no,no,DOWN,no,no,DOWN,UP
1038,ROBO2,no,no,UP,no,no,UP,no
1039,MAFF,no,no,UP,UP,no,UP,no
1040,RASA3,no,no,UP,no,no,UP,no
