,gene,day_04_02,day_06_04,day_08_06,day_10_08,day_12_10,day_12_06,day_06_02
117,LACTB,DOWN,no,no,no,no,no,DOWN
118,SCG3,DOWN,DOWN,no,no,no,UP,DOWN
119,RHOV,DOWN,no,no,no,no,no,DOWN
120,SGK3,DOWN,no,no,no,no,no,DOWN
121,CALB1,DOWN,DOWN,no,no,no,no,DOWN
122,ESRP1,DOWN,DOWN,no,no,no,DOWN,DOWN
123,TRPS1,DOWN,no,no,no,no,UP,DOWN
124,NCALD,UP,UP,no,no,no,no,UP
125,TNFRSF10A,DOWN,no,no,no,no,UP,DOWN
126,NEFM,DOWN,no,no,no,no,UP,DOWN
127,PPP1R13L,DOWN,no,no,no,no,no,DOWN
128,IL27RA,DOWN,no,no,no,no,UP,DOWN
129,OLFM2,DOWN,no,no,no,no,no,DOWN
130,APLP1,UP,no,no,no,no,no,UP
131,KCNN1,DOWN,no,no,no,no,no,DOWN
132,HPN,DOWN,no,no,no,no,no,DOWN
133,PTN,UP,no,no,no,no,no,UP
134,MET,DOWN,no,no,no,no,no,no
135,ABHD11,DOWN,no,no,no,no,no,DOWN
136,COBL,DOWN,no,no,no,no,no,DOWN
137,GLI3,UP,no,no,no,no,no,UP
138,LHX2,UP,no,no,no,no,no,UP
139,NMRK1,DOWN,no,no,no,no,no,DOWN
140,TLE4,UP,no,no,no,no,no,UP
141,ELAVL2,UP,no,no,no,no,no,no
142,GLIS3,UP,no,no,no,no,UP,UP
143,PTGDS,DOWN,no,no,no,no,no,DOWN
144,PDLIM1,DOWN,no,no,no,no,no,no
145,HPS1,DOWN,no,no,no,no,no,DOWN
146,CXCL12,DOWN,DOWN,no,no,no,UP,DOWN
147,SFXN3,DOWN,no,no,no,no,UP,no
148,FGF8,UP,no,no,no,no,DOWN,no
149,DKK1,UP,no,no,no,no,DOWN,no
150,SORCS1,UP,no,no,no,no,no,UP
151,LGI1,UP,no,no,no,no,UP,UP
152,RAI1,UP,no,no,no,no,no,UP
153,DHX58,DOWN,no,no,no,no,no,no
154,COL1A1,DOWN,no,no,UP,no,UP,no
155,FAM20A,DOWN,no,no,no,no,no,DOWN
156,DCUN1D4,UP,no,no,no,no,no,no
157,MAPK10,UP,no,no,no,no,no,UP
158,CPE,UP,no,no,no,no,no,UP
159,CTSC,DOWN,no,no,no,no,no,DOWN
160,ZBTB16,UP,UP,no,no,no,no,UP
161,DTX4,UP,no,no,no,no,no,UP
162,CPT1A,DOWN,no,no,no,no,no,DOWN
163,ARHGEF17,UP,no,no,no,no,no,UP
164,GALNT18,DOWN,no,no,no,no,UP,no
165,TCIRG1,DOWN,no,no,no,no,UP,DOWN
166,LIN7A,DOWN,no,no,no,no,no,DOWN
167,GLI1,DOWN,no,no,no,no,no,DOWN
168,PPM1H,DOWN,no,no,no,no,no,DOWN
