"","cyclo_dose_qual","type"
"PC1",1.94550769638316e-07,6.98117773897537e-08
"PC2",0.0315516681680007,0.683083850194044
"PC3",0.933634411101543,0.148007176331784
"PC4",0.687299641873372,0.950106441733052
"PC5",0.672790132754114,0.366705245319633
