"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"1197","ENSG00000198947","DMD","blue","blue",0.280251419695225,-0.280251419695225
"1129","ENSG00000188042","ARL4C","blue","blue",0.276172360300797,-0.276172360300797
"575","ENSG00000138670","RASGEF1B","blue","blue",0.275680071818913,-0.275680071818913
"760","ENSG00000156299","TIAM1","blue","blue",0.273097556698402,-0.273097556698402
"175","ENSG00000100664","EIF5","blue","blue",0.272318560861808,0.272318560861808
"609","ENSG00000140807","NKD1","blue","blue",0.265435522372461,0.265435522372461
"215","ENSG00000104332","SFRP1","blue","blue",0.261302351406635,0.261302351406635
"349","ENSG00000117592","PRDX6","blue","blue",0.259321049343072,-0.259321049343072
"756","ENSG00000155966","AFF2","blue","blue",0.259293759479568,0.259293759479568
"1039","ENSG00000179546","HTR1D","blue","blue",0.255519957979713,0.255519957979713
"1031","ENSG00000178585","CTNNBIP1","blue","blue",0.242525659348949,-0.242525659348949
"687","ENSG00000148704","VAX1","blue","blue",0.242519199652834,-0.242519199652834
"160","ENSG00000100097","LGALS1","blue","blue",0.242276682199537,-0.242276682199537
"44","ENSG00000035403","VCL","blue","blue",0.241309174809143,-0.241309174809143
"1301","ENSG00000235098","ANKRD65","blue","blue",0.240830980474863,0.240830980474863
"252","ENSG00000108175","ZMIZ1","blue","blue",0.239935111548886,0.239935111548886
"1097","ENSG00000185189","NRBP2","blue","blue",0.236022300380871,0.236022300380871
"1133","ENSG00000188517","COL25A1","blue","blue",0.233286752429632,-0.233286752429632
"955","ENSG00000171617","ENC1","blue","blue",0.232583794439242,-0.232583794439242
"120","ENSG00000082497","SERTAD4","blue","blue",0.228942514727068,-0.228942514727068
"937","ENSG00000170275","CRTAP","blue","blue",0.225053380149574,-0.225053380149574
"577","ENSG00000138709","LARP1B","blue","blue",0.224822485024558,-0.224822485024558
"974","ENSG00000172987","HPSE2","blue","blue",0.222792384851495,-0.222792384851495
"1161","ENSG00000197406","DIO3","blue","blue",0.222255776696621,-0.222255776696621
"367","ENSG00000119787","ATL2","blue","blue",0.221109930497087,-0.221109930497087
"859","ENSG00000164651","SP8","blue","blue",0.215100304702379,-0.215100304702379
"746","ENSG00000154640","BTG3","blue","blue",0.211088642829126,-0.211088642829126
"164","ENSG00000100219","XBP1","blue","blue",0.205511865514058,-0.205511865514058
"772","ENSG00000157216","SSBP3","blue","blue",0.205143446357996,0.205143446357996
