,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
399,JAG1,ID1,0.554,negative,unknown,9,388.303579512387,no
400,JAG1,SHH,0.616,negative,unknown,9,388.303579512387,no
401,JAG1,SOX2,0.701,negative,unknown,9,388.303579512387,no
402,JAG1,EGF,0.869,negative,unknown,9,388.303579512387,no
403,JAG1,NOTCH2,0.999,negative,unknown,9,388.303579512387,no
404,KHDC4,SMC5,0.429,negative,unknown,1,20.2499573967569,no
405,KLF9,DDIT4,0.409,negative,unknown,1,9.04226631999198,no
406,KRT17,DSP,0.435,negative,unknown,1,7.03582462505648,no
407,LAMC1,LGALS1,0.631,negative,unknown,6,548.378189260063,no
408,LAMC1,LGALS3,0.439,negative,unknown,6,548.378189260063,no
409,LAMC1,COL11A1,0.432,negative,unknown,6,548.378189260063,no
410,LAMC1,TNC,0.447,negative,unknown,6,548.378189260063,no
411,LAMC1,EGF,0.561,negative,unknown,6,548.378189260063,no
412,LAMC1,DMD,0.687,negative,unknown,6,548.378189260063,no
413,LARP1B,LARP4B,0.616,negative,unknown,1,0,no
414,LARP4B,LARP1B,0.616,negative,unknown,1,0,no
415,LGALS1,TMSB10,0.427,negative,unknown,7,1104.52510012736,no
416,LGALS1,TRH,0.451,negative,unknown,7,1104.52510012736,no
417,LGALS1,EGF,0.493,negative,unknown,7,1104.52510012736,no
418,LGALS1,NLGN1,0.54,negative,unknown,7,1104.52510012736,no
419,LGALS1,LAMC1,0.631,negative,unknown,7,1104.52510012736,no
420,LGALS1,ANXA5,0.689,negative,unknown,7,1104.52510012736,no
421,LGALS1,LGALS3,0.735,negative,unknown,7,1104.52510012736,no
422,LGALS3,LGALS1,0.735,negative,unknown,11,2351.98238408647,no
423,LGALS3,GDF15,0.667,negative,unknown,11,2351.98238408647,no
424,LGALS3,LAMC1,0.439,negative,unknown,11,2351.98238408647,no
425,LGALS3,DSP,0.457,negative,unknown,11,2351.98238408647,no
426,LGALS3,COX17,0.474,negative,unknown,11,2351.98238408647,no
427,LGALS3,ANXA5,0.477,negative,unknown,11,2351.98238408647,no
428,LGALS3,MSN,0.506,negative,unknown,11,2351.98238408647,no
429,LGALS3,FGF2,0.613,negative,unknown,11,2351.98238408647,no
430,LGALS3,EGF,0.773,negative,unknown,11,2351.98238408647,no
431,LGALS3,SLC3A2,0.829,negative,unknown,11,2351.98238408647,no
432,LGALS3,MERTK,0.918,negative,unknown,11,2351.98238408647,no
433,LGR4,UBC,0.519,negative,unknown,1,3.4730536087953,no
434,LHX2,VAX2,0.449,negative,unknown,12,1834.17630856842,no
435,LHX2,SHH,0.581,negative,unknown,12,1834.17630856842,no
436,LHX2,SOX2,0.601,negative,unknown,12,1834.17630856842,no
437,LHX2,SOX1,0.464,negative,unknown,12,1834.17630856842,no
438,LHX2,LMO1,0.429,negative,unknown,12,1834.17630856842,no
439,LHX2,FOXG1,0.731,negative,unknown,12,1834.17630856842,no
440,LHX2,VAX1,0.47,negative,unknown,12,1834.17630856842,no
441,LHX2,ZIC2,0.445,negative,unknown,12,1834.17630856842,no
442,LHX2,UNC5D,0.464,negative,unknown,12,1834.17630856842,no
443,LHX2,SP8,0.52,negative,unknown,12,1834.17630856842,no
444,LHX2,FEZF1,0.554,negative,unknown,12,1834.17630856842,no
445,LHX2,PAX6,0.576,negative,unknown,12,1834.17630856842,no
446,LIG3,REV3L,0.423,negative,unknown,3,1.79166666666667,no
447,LIG3,UBC,0.449,negative,unknown,3,1.79166666666667,no
448,LIG3,CUL4B,0.464,negative,unknown,3,1.79166666666667,no
449,LIMA1,VCL,0.773,negative,unknown,2,27.6330873119886,no
450,LIMA1,PALLD,0.565,negative,unknown,2,27.6330873119886,no
451,LMO1,LHX2,0.429,negative,unknown,2,279.777906936823,no
452,LMO1,LMO4,0.627,negative,unknown,2,279.777906936823,no
453,LMO4,LMO1,0.627,negative,unknown,1,0,no
454,LPAR1,GNG11,0.611,negative,unknown,3,88.8183312200131,no
455,LPAR1,FGF2,0.433,negative,unknown,3,88.8183312200131,no
456,LPAR1,RGS16,0.559,negative,unknown,3,88.8183312200131,no
457,LPP,VCL,0.631,negative,unknown,2,0,no
458,LPP,PALLD,0.657,negative,unknown,2,0,no
459,LRIG1,EGF,0.776,negative,unknown,3,373.679097079384,no
460,LRIG1,UBC,0.517,negative,unknown,3,373.679097079384,no
461,LRIG1,PTPRG,0.561,negative,unknown,3,373.679097079384,no
462,MAN2A1,GORASP2,0.465,negative,unknown,2,183.531964998154,no
463,MAN2A1,GOLGA2,0.555,negative,unknown,2,183.531964998154,no
464,MAX,FOXO3,0.627,negative,unknown,2,90.1528969884288,no
465,MAX,PALLD,0.503,negative,unknown,2,90.1528969884288,no
466,ME3,AARS1,0.41,negative,unknown,1,61.3737142696145,no
467,MERTK,LGALS3,0.918,negative,unknown,2,561.370671549156,no
468,MERTK,CA4,0.48,negative,unknown,2,561.370671549156,no
469,MRPS6,SLC5A3,0.695,negative,unknown,1,474.371386749721,no
470,MSN,VCL,0.951,negative,unknown,12,2045.73514264633,no
471,MSN,LGALS3,0.506,negative,unknown,12,2045.73514264633,no
472,MSN,EGF,0.423,negative,unknown,12,2045.73514264633,no
473,MSN,RAB5A,0.421,negative,unknown,12,2045.73514264633,no
474,MSN,RAB11FIP1,0.451,negative,unknown,12,2045.73514264633,no
475,MSN,PLS1,0.862,negative,unknown,12,2045.73514264633,no
476,MSN,FERMT2,0.45,negative,unknown,12,2045.73514264633,no
477,MSN,ADD3,0.501,negative,unknown,12,2045.73514264633,no
478,MSN,PALLD,0.474,negative,unknown,12,2045.73514264633,no
479,MSN,RRBP1,0.509,negative,unknown,12,2045.73514264633,no
480,MSN,DSP,0.583,negative,unknown,12,2045.73514264633,no
481,MSN,TPM4,0.655,negative,unknown,12,2045.73514264633,no
482,MYLK,VCL,0.814,negative,unknown,5,117.135756585195,no
483,MYLK,MYL11,0.738,negative,unknown,5,117.135756585195,no
484,MYLK,TPM1,0.857,negative,unknown,5,117.135756585195,no
485,MYLK,FBN2,0.503,negative,unknown,5,117.135756585195,no
486,MYLK,TPM4,0.707,negative,unknown,5,117.135756585195,no
487,MYL11,VCL,0.571,negative,unknown,6,25.6691332251942,no
488,MYL11,PDLIM3,0.483,negative,unknown,6,25.6691332251942,no
489,MYL11,MYLK,0.738,negative,unknown,6,25.6691332251942,no
490,MYL11,TPM4,0.748,negative,unknown,6,25.6691332251942,no
491,MYL11,ACTN3,0.784,negative,unknown,6,25.6691332251942,no
492,MYL11,TPM1,0.833,negative,unknown,6,25.6691332251942,no
493,NAV1,NRG1,0.496,negative,unknown,1,0,no
494,NCALD,AP1S2,0.548,negative,unknown,1,367,no
495,NLGN1,LGALS1,0.54,negative,unknown,4,645.541631097812,no
496,NLGN1,HOMER1,0.726,negative,unknown,4,645.541631097812,no
497,NLGN1,ATP1A2,0.528,negative,unknown,4,645.541631097812,no
498,NLGN1,GRIA1,0.633,negative,unknown,4,645.541631097812,no
499,NOTCH2,TOX3,0.421,negative,unknown,8,722.491822930202,no
500,NOTCH2,JAG1,0.999,negative,unknown,8,722.491822930202,no
501,NOTCH2,GLI2,0.431,negative,unknown,8,722.491822930202,no
502,NOTCH2,ZIC3,0.44,negative,unknown,8,722.491822930202,no
503,NOTCH2,SOX2,0.504,negative,unknown,8,722.491822930202,no
504,NOTCH2,UBC,0.536,negative,unknown,8,722.491822930202,no
505,NOTCH2,SHH,0.553,negative,unknown,8,722.491822930202,no
506,NOTCH2,TNRC6C,0.555,negative,unknown,8,722.491822930202,no
507,NRG1,FGF2,0.593,negative,unknown,4,953.079882137598,no
508,NRG1,EGF,0.972,negative,unknown,4,953.079882137598,no
509,NRG1,NAV1,0.496,negative,unknown,4,953.079882137598,no
510,NRG1,UBC,0.538,negative,unknown,4,953.079882137598,no
511,OPTN,RAB5A,0.405,negative,unknown,4,227.682837278525,no
512,OPTN,CEP57,0.507,negative,unknown,4,227.682837278525,no
513,OPTN,HERPUD1,0.43,negative,unknown,4,227.682837278525,no
514,OPTN,UBC,0.996,negative,unknown,4,227.682837278525,no
515,OTX2,FGF2,0.559,negative,unknown,11,578.779559750905,no
516,OTX2,ZIC5,0.501,negative,unknown,11,578.779559750905,no
517,OTX2,ZIC3,0.685,negative,unknown,11,578.779559750905,no
518,OTX2,SHH,0.74,negative,unknown,11,578.779559750905,no
519,OTX2,SOX2,0.914,negative,unknown,11,578.779559750905,no
520,OTX2,SOX1,0.807,negative,unknown,11,578.779559750905,no
521,OTX2,FOXG1,0.781,negative,unknown,11,578.779559750905,no
522,OTX2,ZIC2,0.684,negative,unknown,11,578.779559750905,no
523,OTX2,GLI3,0.444,negative,unknown,11,578.779559750905,no
524,OTX2,GLI2,0.555,negative,unknown,11,578.779559750905,no
525,OTX2,PAX6,0.479,negative,unknown,11,578.779559750905,no
526,P3H2,COL25A1,0.503,negative,unknown,3,367,no
527,P3H2,CRTAP,0.517,negative,unknown,3,367,no
528,P3H2,COL11A1,0.596,negative,unknown,3,367,no
529,PALLD,VCL,0.469,negative,unknown,7,846.363761138853,no
530,PALLD,PRSS23,0.457,negative,unknown,7,846.363761138853,no
531,PALLD,PDLIM3,0.409,negative,unknown,7,846.363761138853,no
532,PALLD,MAX,0.503,negative,unknown,7,846.363761138853,no
533,PALLD,MSN,0.474,negative,unknown,7,846.363761138853,no
534,PALLD,LIMA1,0.565,negative,unknown,7,846.363761138853,no
535,PALLD,LPP,0.657,negative,unknown,7,846.363761138853,no
536,PALM2AKAP2,DHRS2,0.478,negative,unknown,1,0,no
537,PAX6,XBP1,0.438,negative,known,17,2467.15022820058,no
538,PAX6,FGF2,0.708,negative,known,17,2467.15022820058,no
539,PAX6,EGF,0.614,negative,known,17,2467.15022820058,no
540,PAX6,IMMP1L,0.625,negative,known,17,2467.15022820058,no
541,PAX6,ZIC3,0.401,negative,known,17,2467.15022820058,no
542,PAX6,SHH,0.829,negative,known,17,2467.15022820058,no
543,PAX6,SOX2,0.977,negative,known,17,2467.15022820058,no
544,PAX6,SOX1,0.899,negative,known,17,2467.15022820058,no
545,PAX6,FOXG1,0.865,negative,known,17,2467.15022820058,no
546,PAX6,FOXO3,0.502,negative,known,17,2467.15022820058,no
547,PAX6,VAX1,0.416,negative,known,17,2467.15022820058,no
548,PAX6,LHX2,0.576,negative,known,17,2467.15022820058,no
549,PAX6,ZIC2,0.494,negative,known,17,2467.15022820058,no
550,PAX6,GLI3,0.6,negative,known,17,2467.15022820058,no
551,PAX6,GLI2,0.535,negative,known,17,2467.15022820058,no
552,PAX6,SP8,0.6,negative,known,17,2467.15022820058,no
553,PAX6,OTX2,0.479,negative,known,17,2467.15022820058,no
554,PCDH9,COL11A1,0.413,negative,unknown,2,0,no
555,PCDH9,UNC5D,0.456,negative,unknown,2,0,no
556,PDLIM3,PALLD,0.409,negative,unknown,5,79.7693761504911,no
557,PDLIM3,ACTN3,0.446,negative,unknown,5,79.7693761504911,no
558,PDLIM3,MYL11,0.483,negative,unknown,5,79.7693761504911,no
559,PDLIM3,TPM1,0.525,negative,unknown,5,79.7693761504911,no
560,PDLIM3,CD2AP,0.568,negative,unknown,5,79.7693761504911,no
561,PERP,GJA1,0.457,negative,unknown,4,264.199301252682,no
562,PERP,INSIG1,0.401,negative,unknown,4,264.199301252682,no
563,PERP,GADD45A,0.418,negative,unknown,4,264.199301252682,no
564,PERP,DSP,0.844,negative,unknown,4,264.199301252682,no
565,PHLDA1,DUSP4,0.536,negative,unknown,2,367,no
566,PHLDA1,IER2,0.503,negative,unknown,2,367,no
567,PLK2,DBF4,0.541,negative,unknown,5,917.517627850397,no
568,PLK2,BTG2,0.416,negative,unknown,5,917.517627850397,no
569,PLK2,GADD45A,0.42,negative,unknown,5,917.517627850397,no
570,PLK2,AEN,0.429,negative,unknown,5,917.517627850397,no
571,PLK2,HOMER1,0.504,negative,unknown,5,917.517627850397,no
572,PLS1,ECT2,0.418,negative,unknown,2,24.2222518672549,no
573,PLS1,MSN,0.862,negative,unknown,2,24.2222518672549,no
574,POLH,REV3L,0.986,negative,unknown,3,1.23333333333333,no
575,POLH,SEM1,0.441,negative,unknown,3,1.23333333333333,no
576,POLH,UBC,0.908,negative,unknown,3,1.23333333333333,no
577,PRDM16,FOXG1,0.715,negative,unknown,1,0,no
578,PRDX6,HSPB1,0.581,negative,unknown,3,393.022988081993,no
579,PRDX6,AHCYL1,0.444,negative,unknown,3,393.022988081993,no
580,PRDX6,TMEM68,0.596,negative,unknown,3,393.022988081993,no
581,PRICKLE1,FJX1,0.406,negative,unknown,3,1232.03848684142,no
582,PRICKLE1,SEM1,0.436,negative,unknown,3,1232.03848684142,no
583,PRICKLE1,UBC,0.528,negative,unknown,3,1232.03848684142,no
584,PRRC1,SEC23A,0.796,negative,unknown,1,0,no
585,PRSS23,PALLD,0.457,negative,unknown,1,367,no
586,PTPRG,LRIG1,0.561,negative,unknown,1,12.1024543324466,no
587,PTTG1,FGF2,0.453,negative,unknown,6,1026.24197911333,no
588,PTTG1,DBF4,0.425,negative,unknown,6,1026.24197911333,no
589,PTTG1,ECT2,0.623,negative,unknown,6,1026.24197911333,no
590,PTTG1,GOLGA2,0.445,negative,unknown,6,1026.24197911333,no
591,PTTG1,UBC,0.527,negative,unknown,6,1026.24197911333,no
592,PTTG1,HJURP,0.708,negative,unknown,6,1026.24197911333,no
593,RAB11FIP1,RAB5A,0.506,negative,unknown,3,270.686242363366,no
594,RAB11FIP1,MSN,0.451,negative,unknown,3,270.686242363366,no
595,RAB11FIP1,RAB1A,0.666,negative,unknown,3,270.686242363366,no
596,RAB1A,BET1,0.884,negative,unknown,9,619.629574620126,no
597,RAB1A,GORASP2,0.868,negative,unknown,9,619.629574620126,no
598,RAB1A,USO1,0.99,negative,unknown,9,619.629574620126,no
599,RAB1A,RAB5A,0.519,negative,unknown,9,619.629574620126,no
600,RAB1A,SEC23A,0.463,negative,unknown,9,619.629574620126,no
601,RAB1A,RAB11FIP1,0.666,negative,unknown,9,619.629574620126,no
602,RAB1A,SURF4,0.657,negative,unknown,9,619.629574620126,no
603,RAB1A,SCFD1,0.946,negative,unknown,9,619.629574620126,no
604,RAB1A,GOLGA2,0.947,negative,unknown,9,619.629574620126,no
605,RAB5A,EHD4,0.431,negative,unknown,10,3191.41816590452,no
606,RAB5A,EGF,0.696,negative,unknown,10,3191.41816590452,no
607,RAB5A,OPTN,0.405,negative,unknown,10,3191.41816590452,no
608,RAB5A,TIAM1,0.406,negative,unknown,10,3191.41816590452,no
609,RAB5A,SOX2,0.407,negative,unknown,10,3191.41816590452,no
610,RAB5A,MSN,0.421,negative,unknown,10,3191.41816590452,no
611,RAB5A,RAB11FIP1,0.506,negative,unknown,10,3191.41816590452,no
612,RAB5A,RAB1A,0.519,negative,unknown,10,3191.41816590452,no
613,RAB5A,GOLGA2,0.62,negative,unknown,10,3191.41816590452,no
614,RAB5A,TBC1D9,0.691,negative,unknown,10,3191.41816590452,no
615,RASGEF1B,UNC5D,0.41,negative,unknown,1,0,no
616,REV3L,LIG3,0.423,negative,unknown,4,218.661056282039,no
617,REV3L,SMC5,0.487,negative,unknown,4,218.661056282039,no
618,REV3L,UBC,0.544,negative,unknown,4,218.661056282039,no
619,REV3L,POLH,0.986,negative,unknown,4,218.661056282039,no
620,RGS16,GNG11,0.518,negative,unknown,3,162.563809719243,no
621,RGS16,ADRA2B,0.504,negative,unknown,3,162.563809719243,no
622,RGS16,LPAR1,0.559,negative,unknown,3,162.563809719243,no
623,RHOU,TIAM1,0.479,negative,unknown,1,13.3135565741448,no
624,RPLP1,EIF1,0.504,negative,unknown,2,361.916666666667,no
625,RPLP1,UBC,0.648,negative,unknown,2,361.916666666667,no
626,RRBP1,VCL,0.527,negative,unknown,6,392.02274501883,no
627,RRBP1,GJA1,0.587,negative,unknown,6,392.02274501883,no
628,RRBP1,FOXG1,0.485,negative,unknown,6,392.02274501883,no
629,RRBP1,MSN,0.509,negative,unknown,6,392.02274501883,no
630,RRBP1,ATL2,0.456,negative,unknown,6,392.02274501883,no
631,RRBP1,TPM4,0.66,negative,unknown,6,392.02274501883,no
632,RTL1,BEGAIN,0.602,negative,unknown,3,40.9729982867198,no
633,RTL1,DIO3,0.791,negative,unknown,3,40.9729982867198,no
634,RTL1,SGCE,0.436,negative,unknown,3,40.9729982867198,no
635,SCFD1,BET1,0.999,negative,unknown,8,158.525822434348,no
636,SCFD1,GORASP2,0.531,negative,unknown,8,158.525822434348,no
637,SCFD1,USO1,0.97,negative,unknown,8,158.525822434348,no
638,SCFD1,ZFPL1,0.41,negative,unknown,8,158.525822434348,no
639,SCFD1,SEC23A,0.665,negative,unknown,8,158.525822434348,no
640,SCFD1,RAB1A,0.946,negative,unknown,8,158.525822434348,no
641,SCFD1,GRIA1,0.499,negative,unknown,8,158.525822434348,no
642,SCFD1,GOLGA2,0.771,negative,unknown,8,158.525822434348,no
643,SEC23A,BET1,0.816,negative,unknown,10,872.879092232439,no
644,SEC23A,GORASP2,0.5,negative,unknown,10,872.879092232439,no
645,SEC23A,USO1,0.704,negative,unknown,10,872.879092232439,no
646,SEC23A,DHCR7,0.432,negative,unknown,10,872.879092232439,no
647,SEC23A,RAB1A,0.463,negative,unknown,10,872.879092232439,no
648,SEC23A,GRIA1,0.499,negative,unknown,10,872.879092232439,no
649,SEC23A,CREB3L2,0.553,negative,unknown,10,872.879092232439,no
650,SEC23A,GOLGA2,0.612,negative,unknown,10,872.879092232439,no
651,SEC23A,SCFD1,0.665,negative,unknown,10,872.879092232439,no
652,SEC23A,PRRC1,0.796,negative,unknown,10,872.879092232439,no
653,SEM1,SHH,0.4,negative,unknown,6,184.732000025052,no
654,SEM1,PRICKLE1,0.436,negative,unknown,6,184.732000025052,no
655,SEM1,POLH,0.441,negative,unknown,6,184.732000025052,no
656,SEM1,GLI3,0.4,negative,unknown,6,184.732000025052,no
657,SEM1,GLI2,0.46,negative,unknown,6,184.732000025052,no
658,SEM1,UBC,0.808,negative,unknown,6,184.732000025052,no
659,SEMA3F,EPHA4,0.403,negative,unknown,3,107.742005461263,no
660,SEMA3F,ECT2,0.407,negative,unknown,3,107.742005461263,no
661,SEMA3F,TNC,0.468,negative,unknown,3,107.742005461263,no
662,SGCE,DMD,0.981,negative,unknown,3,756.293220936084,no
663,SGCE,BEGAIN,0.401,negative,unknown,3,756.293220936084,no
664,SGCE,RTL1,0.436,negative,unknown,3,756.293220936084,no
665,SHH,VAX2,0.422,positive,known,25,5702.13496272092,SHH
666,SHH,JAG1,0.616,positive,known,25,5702.13496272092,SHH
667,SHH,NOTCH2,0.553,positive,known,25,5702.13496272092,SHH
668,SHH,FGF2,0.749,positive,known,25,5702.13496272092,SHH
669,SHH,EGF,0.783,positive,known,25,5702.13496272092,SHH
670,SHH,BOC,0.996,positive,known,25,5702.13496272092,SHH
671,SHH,ZIC3,0.406,positive,known,25,5702.13496272092,SHH
672,SHH,SEM1,0.4,positive,known,25,5702.13496272092,SHH
673,SHH,WNT5B,0.418,positive,known,25,5702.13496272092,SHH
674,SHH,CXCL14,0.454,positive,known,25,5702.13496272092,SHH
675,SHH,VAX1,0.48,positive,known,25,5702.13496272092,SHH
676,SHH,UBC,0.522,positive,known,25,5702.13496272092,SHH
677,SHH,DHCR7,0.551,positive,known,25,5702.13496272092,SHH
678,SHH,LHX2,0.581,positive,known,25,5702.13496272092,SHH
679,SHH,SOX1,0.583,positive,known,25,5702.13496272092,SHH
680,SHH,SP8,0.608,positive,known,25,5702.13496272092,SHH
681,SHH,OTX2,0.74,positive,known,25,5702.13496272092,SHH
682,SHH,FOXG1,0.757,positive,known,25,5702.13496272092,SHH
683,SHH,SOX2,0.824,positive,known,25,5702.13496272092,SHH
684,SHH,PAX6,0.829,positive,known,25,5702.13496272092,SHH
685,SHH,ZIC2,0.864,positive,known,25,5702.13496272092,SHH
686,SHH,GLI3,0.966,positive,known,25,5702.13496272092,SHH
687,SHH,GLI2,0.975,positive,known,25,5702.13496272092,SHH
688,SHH,GAS1,0.999,positive,known,25,5702.13496272092,SHH
689,SHH,CDON,0.999,positive,known,25,5702.13496272092,SHH
690,SLC1A5,GJA1,0.485,negative,unknown,3,890.506435204432,no
691,SLC1A5,ATP1B3,0.523,negative,unknown,3,890.506435204432,no
692,SLC1A5,SLC3A2,0.894,negative,unknown,3,890.506435204432,no
693,SLC35F1,TMEM132B,0.408,negative,unknown,1,367,no
694,SLC3A2,LGALS3,0.829,negative,unknown,3,173.549804364921,no
695,SLC3A2,AARS1,0.533,negative,unknown,3,173.549804364921,no
696,SLC3A2,SLC1A5,0.894,negative,unknown,3,173.549804364921,no
697,SLC5A3,MRPS6,0.695,negative,unknown,1,0,no
698,SMC5,REV3L,0.487,negative,unknown,3,80.2872115306493,no
699,SMC5,KHDC4,0.429,negative,unknown,3,80.2872115306493,no
700,SMC5,CUL4B,0.554,negative,unknown,3,80.2872115306493,no
701,SMOC1,TOX3,0.453,negative,unknown,2,19.0842967524946,no
702,SMOC1,GLI3,0.415,negative,unknown,2,19.0842967524946,no
703,SOX1,FGF2,0.604,negative,unknown,9,963.320236029717,no
704,SOX1,EGF,0.434,negative,unknown,9,963.320236029717,no
705,SOX1,SHH,0.583,negative,unknown,9,963.320236029717,no
706,SOX1,SOX2,0.771,negative,unknown,9,963.320236029717,no
707,SOX1,ZIC2,0.403,negative,unknown,9,963.320236029717,no
708,SOX1,LHX2,0.464,negative,unknown,9,963.320236029717,no
709,SOX1,FOXG1,0.681,negative,unknown,9,963.320236029717,no
710,SOX1,OTX2,0.807,negative,unknown,9,963.320236029717,no
711,SOX1,PAX6,0.899,negative,unknown,9,963.320236029717,no
712,SOX2,ID2,0.418,negative,unknown,24,7595.93041695547,no
713,SOX2,HSPB1,0.453,negative,unknown,24,7595.93041695547,no
714,SOX2,JAG1,0.701,negative,unknown,24,7595.93041695547,no
715,SOX2,NOTCH2,0.504,negative,unknown,24,7595.93041695547,no
716,SOX2,FGF2,0.933,negative,unknown,24,7595.93041695547,no
717,SOX2,EGF,0.725,negative,unknown,24,7595.93041695547,no
718,SOX2,RAB5A,0.407,negative,unknown,24,7595.93041695547,no
719,SOX2,GJA1,0.612,negative,unknown,24,7595.93041695547,no
720,SOX2,ZIC3,0.879,negative,unknown,24,7595.93041695547,no
721,SOX2,ANXA5,0.635,negative,unknown,24,7595.93041695547,no
722,SOX2,SHH,0.824,negative,unknown,24,7595.93041695547,no
723,SOX2,ID1,0.405,negative,unknown,24,7595.93041695547,no
724,SOX2,DSP,0.411,negative,unknown,24,7595.93041695547,no
725,SOX2,TNRC6C,0.499,negative,unknown,24,7595.93041695547,no
726,SOX2,AHCYL1,0.51,negative,unknown,24,7595.93041695547,no
727,SOX2,ZIC2,0.581,negative,unknown,24,7595.93041695547,no
728,SOX2,LHX2,0.601,negative,unknown,24,7595.93041695547,no
729,SOX2,FOXO3,0.64,negative,unknown,24,7595.93041695547,no
730,SOX2,GLI2,0.694,negative,unknown,24,7595.93041695547,no
731,SOX2,GLI3,0.747,negative,unknown,24,7595.93041695547,no
732,SOX2,FOXG1,0.749,negative,unknown,24,7595.93041695547,no
733,SOX2,SOX1,0.771,negative,unknown,24,7595.93041695547,no
734,SOX2,OTX2,0.914,negative,unknown,24,7595.93041695547,no
735,SOX2,PAX6,0.977,negative,unknown,24,7595.93041695547,no
736,SP8,SHH,0.608,negative,unknown,3,0.407440476190476,no
737,SP8,LHX2,0.52,negative,unknown,3,0.407440476190476,no
738,SP8,PAX6,0.6,negative,unknown,3,0.407440476190476,no
739,SPRY1,EGF,0.612,negative,unknown,2,0,no
740,SPRY1,UBC,0.499,negative,unknown,2,0,no
741,SURF4,GORASP2,0.65,negative,unknown,2,92.8846613996247,no
742,SURF4,RAB1A,0.657,negative,unknown,2,92.8846613996247,no
743,TBC1D9,RAB5A,0.691,negative,unknown,1,367,no
744,TIAM1,RAB5A,0.406,negative,unknown,3,320.207802242927,no
745,TIAM1,TPM1,0.412,negative,unknown,3,320.207802242927,no
746,TIAM1,RHOU,0.479,negative,unknown,3,320.207802242927,no
747,TMEM132B,SLC35F1,0.408,negative,unknown,1,0,no
748,TMEM68,PRDX6,0.596,negative,unknown,1,0,no
749,TMSB10,LGALS1,0.427,negative,unknown,1,11.128420258219,no
750,TNC,SEMA3F,0.468,negative,unknown,3,98.1528186850706,no
751,TNC,LAMC1,0.447,negative,unknown,3,98.1528186850706,no
752,TNC,EGF,0.599,negative,unknown,3,98.1528186850706,no
753,TNRC6C,NOTCH2,0.555,negative,unknown,4,518.660813396104,no
754,TNRC6C,SOX2,0.499,negative,unknown,4,518.660813396104,no
755,TNRC6C,FOXO3,0.433,negative,unknown,4,518.660813396104,no
756,TNRC6C,ARL4C,0.529,negative,unknown,4,518.660813396104,no
757,TOX3,NOTCH2,0.421,negative,unknown,3,373.963194970779,no
758,TOX3,GLI3,0.429,negative,unknown,3,373.963194970779,no
759,TOX3,SMOC1,0.453,negative,unknown,3,373.963194970779,no
760,TPM1,VCL,0.957,negative,unknown,8,415.498352569718,no
761,TPM1,PDLIM3,0.525,negative,unknown,8,415.498352569718,no
762,TPM1,TIAM1,0.412,negative,unknown,8,415.498352569718,no
763,TPM1,MYL11,0.833,negative,unknown,8,415.498352569718,no
764,TPM1,ACTN3,0.681,negative,unknown,8,415.498352569718,no
765,TPM1,DMD,0.781,negative,unknown,8,415.498352569718,no
766,TPM1,MYLK,0.857,negative,unknown,8,415.498352569718,no
767,TPM1,TPM4,0.982,negative,unknown,8,415.498352569718,no
768,TPM4,VCL,0.711,negative,unknown,7,122.933795648294,no
769,TPM4,MYL11,0.748,negative,unknown,7,122.933795648294,no
770,TPM4,TPM1,0.982,negative,unknown,7,122.933795648294,no
771,TPM4,MSN,0.655,negative,unknown,7,122.933795648294,no
772,TPM4,MYLK,0.707,negative,unknown,7,122.933795648294,no
773,TPM4,DMD,0.548,negative,unknown,7,122.933795648294,no
774,TPM4,RRBP1,0.66,negative,unknown,7,122.933795648294,no
775,TRH,LGALS1,0.451,negative,unknown,2,344.765873247037,no
776,TRH,DIO3,0.83,negative,unknown,2,344.765873247037,no
777,TRIB1,BTG2,0.481,negative,unknown,1,87.2766446797132,no
778,TTC3,DHRS2,0.874,negative,unknown,1,0,no
779,UBC,HSPB1,0.573,negative,unknown,23,8346.93652208414,no
780,UBC,JAG1,0.457,negative,unknown,23,8346.93652208414,no
781,UBC,NOTCH2,0.536,negative,unknown,23,8346.93652208414,no
782,UBC,FGF2,0.747,negative,unknown,23,8346.93652208414,no
783,UBC,EGF,0.696,negative,unknown,23,8346.93652208414,no
784,UBC,LRIG1,0.517,negative,unknown,23,8346.93652208414,no
785,UBC,NRG1,0.538,negative,unknown,23,8346.93652208414,no
786,UBC,SHH,0.522,negative,unknown,23,8346.93652208414,no
787,UBC,PRICKLE1,0.528,negative,unknown,23,8346.93652208414,no
788,UBC,RPLP1,0.648,negative,unknown,23,8346.93652208414,no
789,UBC,REV3L,0.544,negative,unknown,23,8346.93652208414,no
790,UBC,CD2AP,0.947,negative,unknown,23,8346.93652208414,no
791,UBC,POLH,0.908,negative,unknown,23,8346.93652208414,no
792,UBC,LIG3,0.449,negative,unknown,23,8346.93652208414,no
793,UBC,OPTN,0.996,negative,unknown,23,8346.93652208414,no
794,UBC,LGR4,0.519,negative,unknown,23,8346.93652208414,no
795,UBC,PTTG1,0.527,negative,unknown,23,8346.93652208414,no
796,UBC,GLI3,0.529,negative,unknown,23,8346.93652208414,no
797,UBC,CUL4B,0.611,negative,unknown,23,8346.93652208414,no
798,UBC,GLI2,0.529,negative,unknown,23,8346.93652208414,no
799,UBC,EIF1,0.774,negative,unknown,23,8346.93652208414,no
800,UBC,SPRY1,0.499,negative,unknown,23,8346.93652208414,no
