,gene1,gene2,combined_score,type,known,degree,betweenness,isSHH
91,CDON,SHH,0.999,negative,known,6,1.02881192881193,no
92,CDON,GAS1,0.995,negative,known,6,1.02881192881193,no
93,CDON,ZIC2,0.464,negative,known,6,1.02881192881193,no
94,CDON,GLI3,0.526,negative,known,6,1.02881192881193,no
95,CDON,GLI2,0.623,negative,known,6,1.02881192881193,no
96,CEP57,FGF2,0.517,negative,unknown,2,8.74822922237317,no
97,CEP57,OPTN,0.507,negative,unknown,2,8.74822922237317,no
98,CNN3,VCL,0.644,negative,unknown,1,0,no
99,COL11A1,LAMC1,0.432,negative,unknown,9,1316.9458170411,no
100,COL11A1,CDH11,0.455,negative,unknown,9,1316.9458170411,no
101,COL11A1,P3H2,0.596,negative,unknown,9,1316.9458170411,no
102,COL11A1,CRTAP,0.57,negative,unknown,9,1316.9458170411,no
103,COL11A1,COLGALT2,0.568,negative,unknown,9,1316.9458170411,no
104,COL11A1,PCDH9,0.413,negative,unknown,9,1316.9458170411,no
105,COL11A1,UNC5D,0.414,negative,unknown,9,1316.9458170411,no
106,COL11A1,FBN2,0.481,negative,unknown,9,1316.9458170411,no
107,COL11A1,COL25A1,0.505,negative,unknown,9,1316.9458170411,no
108,COL25A1,P3H2,0.503,negative,unknown,4,2.88080065359477,no
109,COL25A1,CRTAP,0.503,negative,unknown,4,2.88080065359477,no
110,COL25A1,COLGALT2,0.629,negative,unknown,4,2.88080065359477,no
111,COL25A1,COL11A1,0.505,negative,unknown,4,2.88080065359477,no
112,COLGALT2,COL11A1,0.568,negative,unknown,2,0,no
113,COLGALT2,COL25A1,0.629,negative,unknown,2,0,no
114,COX17,ATP5F1E,0.6,negative,unknown,2,285.854036409421,no
115,COX17,LGALS3,0.474,negative,unknown,2,285.854036409421,no
116,CREB3L2,XBP1,0.495,negative,unknown,3,283.726723137342,no
117,CREB3L2,SEC23A,0.553,negative,unknown,3,283.726723137342,no
118,CREB3L2,CREB5,0.922,negative,unknown,3,283.726723137342,no
119,CREB5,CREB3L2,0.922,negative,unknown,1,10.2304593554594,no
120,CRTAP,P3H2,0.517,negative,unknown,3,242.180623537828,no
121,CRTAP,COL25A1,0.503,negative,unknown,3,242.180623537828,no
122,CRTAP,COL11A1,0.57,negative,unknown,3,242.180623537828,no
123,CTNNBIP1,FOXO3,0.435,negative,unknown,1,25.4018699536804,no
124,CUL4B,SMC5,0.554,negative,unknown,3,417.922495292795,no
125,CUL4B,LIG3,0.464,negative,unknown,3,417.922495292795,no
