"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"824","ENSG00000162769","FLVCR1","blue","blue",0.000627457962962486,-0.000627457962962486
"274","ENSG00000110328","GALNT18","blue","blue",0.000622184558795879,0.000622184558795879
"689","ENSG00000148826","NKX6-2","blue","blue",0.000621788683985722,0.000621788683985722
"883","ENSG00000166250","CLMP","blue","blue",0.000618251552881803,-0.000618251552881803
"243","ENSG00000106868","SUSD1","blue","blue",0.000614072997328451,0.000614072997328451
"790","ENSG00000159164","SV2A","blue","blue",0.000610007747563507,-0.000610007747563507
"997","ENSG00000175197","DDIT3","blue","blue",0.000602561109610281,-0.000602561109610281
"1070","ENSG00000183087","GAS6","blue","blue",0.000602256432912541,-0.000602256432912541
"816","ENSG00000162438","CTRC","blue","blue",0.000600318173920022,0.000600318173920022
"1217","ENSG00000204954","UQCC6","blue","blue",0.000597719699492948,-0.000597719699492948
"527","ENSG00000135406","PRPH","blue","blue",0.000592563970084365,-0.000592563970084365
"60","ENSG00000054690","PLEKHH1","blue","blue",0.000591664912572107,0.000591664912572107
"321","ENSG00000115163","CENPA","blue","blue",0.000587549101400868,-0.000587549101400868
"1264","ENSG00000226235","LEMD1-AS1","blue","blue",0.000582226270721901,-0.000582226270721901
"1014","ENSG00000176542","USF3","blue","blue",0.000578534996665181,0.000578534996665181
"1022","ENSG00000177200","CHD9","blue","blue",0.000572936909560125,0.000572936909560125
"170","ENSG00000100504","PYGL","blue","blue",0.00055988442861448,-0.00055988442861448
"228","ENSG00000105877","DNAH11","blue","blue",0.000557434974974097,-0.000557434974974097
"3","ENSG00000002834","LASP1","blue","blue",0.000541880539971771,0.000541880539971771
"748","ENSG00000154743","TSEN2","blue","blue",0.000538913328157418,0.000538913328157418
"1167","ENSG00000197724","PHF2","blue","blue",0.000536204595333003,0.000536204595333003
"430","ENSG00000125995","ROMO1","blue","blue",0.000532346412954358,-0.000532346412954358
"903","ENSG00000167522","ANKRD11","blue","blue",0.000531011992078754,0.000531011992078754
"841","ENSG00000163602","RYBP","blue","blue",0.000529358720963454,0.000529358720963454
"1102","ENSG00000185697","MYBL1","blue","blue",0.000521146942720191,-0.000521146942720191
"473","ENSG00000130540","SULT4A1","blue","blue",0.000514917443102172,-0.000514917443102172
"1230","ENSG00000214491","SEC14L6","blue","blue",0.000514505756525788,-0.000514505756525788
"1309","ENSG00000239697","TNFSF12","blue","blue",0.000512835039360135,0.000512835039360135
"61","ENSG00000055609","KMT2C","blue","blue",0.000508646362739686,-0.000508646362739686
"1307","ENSG00000238372","LOC124902079","blue","blue",0.000506580179295175,-0.000506580179295175
"115","ENSG00000080561","MID2","blue","blue",0.000504558144081999,-0.000504558144081999
"259","ENSG00000109107","ALDOC","blue","blue",0.000495278811682459,-0.000495278811682459
"42","ENSG00000034239","CLXN","blue","blue",0.000494023325310356,0.000494023325310356
"64","ENSG00000058404","CAMK2B","blue","blue",0.000481714343583125,0.000481714343583125
"563","ENSG00000138134","STAMBPL1","blue","blue",0.000475375222696136,0.000475375222696136
"489","ENSG00000131781","FMO5","blue","blue",0.000460595665974712,0.000460595665974712
"977","ENSG00000173110","HSPA6","blue","blue",0.00044946155326282,-0.00044946155326282
"553","ENSG00000137393","RNF144B","blue","blue",0.000448769271842103,0.000448769271842103
"288","ENSG00000111799","COL12A1","blue","blue",0.000441808597759817,0.000441808597759817
"1023","ENSG00000177311","ZBTB38","blue","blue",0.000437649220018677,-0.000437649220018677
"109","ENSG00000078795","PKD2L2","blue","blue",0.000435383430840453,0.000435383430840453
"356","ENSG00000118473","SGIP1","blue","blue",0.000435010927419674,-0.000435010927419674
"323","ENSG00000115353","TACR1","blue","blue",0.000432676792211211,0.000432676792211211
"6","ENSG00000004838","ZMYND10","blue","blue",0.000426465748510227,0.000426465748510227
"225","ENSG00000105784","RUNDC3B","blue","blue",0.00042631094939118,-0.00042631094939118
"1069","ENSG00000183036","PCP4","blue","blue",0.000425954868725352,-0.000425954868725352
"644","ENSG00000143768","LEFTY2","blue","blue",0.000425752493287608,-0.000425752493287608
"307","ENSG00000112984","KIF20A","blue","blue",0.000421502880757891,-0.000421502880757891
"1270","ENSG00000227165","WDR11-DT","blue","blue",0.000416412478326601,0.000416412478326601
"126","ENSG00000086062","B4GALT1","blue","blue",0.000415106987934424,-0.000415106987934424
"246","ENSG00000107864","CPEB3","blue","blue",0.000409790485785719,0.000409790485785719
"875","ENSG00000165443","PHYHIPL","blue","blue",0.000407134313685391,-0.000407134313685391
"1299","ENSG00000234912","SNHG20","blue","blue",0.000407057568389397,0.000407057568389397
"404","ENSG00000123977","DAW1","blue","blue",0.000397944356189063,0.000397944356189063
"800","ENSG00000160179","ABCG1","blue","blue",0.000396886571911337,0.000396886571911337
"1344","ENSG00000253230","MIR124-1HG","blue","blue",0.000395075773289076,0.000395075773289076
"761","ENSG00000156395","SORCS3","blue","blue",0.000393936530486949,0.000393936530486949
"1392","ENSG00000272232","RN7SL726P","blue","blue",0.000392226134945693,-0.000392226134945693
"954","ENSG00000171596","NMUR1","blue","blue",0.000391322258000677,0.000391322258000677
"1067","ENSG00000182870","GALNT9","blue","blue",0.000386924660042581,0.000386924660042581
"1124","ENSG00000187736","NHEJ1","blue","blue",0.000383410113440627,0.000383410113440627
"1005","ENSG00000176092","CRYBG2","blue","blue",0.000379474574142274,0.000379474574142274
"820","ENSG00000162576","MXRA8","blue","blue",0.000368348696227148,0.000368348696227148
"1144","ENSG00000196182","STK40","blue","blue",0.000367831059740074,-0.000367831059740074
"1272","ENSG00000227337","RPL23AP43","blue","blue",0.00036504415834093,0.00036504415834093
"1051","ENSG00000180992","MRPL14","blue","blue",0.000362365730639208,-0.000362365730639208
"565","ENSG00000138385","SSB","blue","blue",0.000352936776943019,0.000352936776943019
"738","ENSG00000153898","MCOLN2","blue","blue",0.000351732817572501,-0.000351732817572501
"479","ENSG00000130940","CASZ1","blue","blue",0.000351148629410961,0.000351148629410961
"572","ENSG00000138650","PCDH10","blue","blue",0.000350292594237536,-0.000350292594237536
"985","ENSG00000173548","SNX33","blue","blue",0.000348221821430675,0.000348221821430675
"369","ENSG00000119899","SLC17A5","blue","blue",0.00034564716776289,-0.00034564716776289
"1341","ENSG00000251136","RIPK2-DT","blue","blue",0.000343909856337659,0.000343909856337659
