"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035914","GO:0035914","skeletal muscle cell differentiation","9/625","69/20772",0.000216180497269973,0.0247605759799949,0.0227058899699989,"ENSG00000064309/ENSG00000100625/ENSG00000102554/ENSG00000120738/ENSG00000124641/ENSG00000148704/ENSG00000159388/ENSG00000170345/ENSG00000185022",9
"GO:0051101","GO:0051101","regulation of DNA binding","13/625","136/20772",0.000239573742072551,0.0267866260183976,0.0245638140054839,"ENSG00000007372/ENSG00000106689/ENSG00000109670/ENSG00000114315/ENSG00000117650/ENSG00000123485/ENSG00000125968/ENSG00000134259/ENSG00000136826/ENSG00000138798/ENSG00000153879/ENSG00000175197/ENSG00000178585",13
"GO:0002064","GO:0002064","epithelial cell development","18/625","233/20772",0.000258140724773474,0.028191368454331,0.0258519878836789,"ENSG00000007372/ENSG00000035403/ENSG00000054267/ENSG00000067182/ENSG00000075426/ENSG00000086062/ENSG00000101384/ENSG00000102554/ENSG00000110723/ENSG00000111186/ENSG00000113448/ENSG00000115884/ENSG00000129116/ENSG00000134250/ENSG00000134852/ENSG00000147065/ENSG00000165215/ENSG00000172037",18
"GO:0001657","GO:0001657","ureteric bud development","11/625","103/20772",0.000272723727928988,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000115884/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000164056/ENSG00000178585/ENSG00000205213",11
"GO:0045444","GO:0045444","fat cell differentiation","20/625","277/20772",0.000294528266398977,0.0284273401563849,0.0260683781448423,"ENSG00000068323/ENSG00000073712/ENSG00000100219/ENSG00000101255/ENSG00000101384/ENSG00000102554/ENSG00000109819/ENSG00000111186/ENSG00000114315/ENSG00000115738/ENSG00000128016/ENSG00000136826/ENSG00000142611/ENSG00000152518/ENSG00000164307/ENSG00000170419/ENSG00000171488/ENSG00000175197/ENSG00000186480/ENSG00000266524",20
"GO:0072080","GO:0072080","nephron tubule development","11/625","104/20772",0.000296857652452856,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000101384/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000125430/ENSG00000134250/ENSG00000138685/ENSG00000141449/ENSG00000178585/ENSG00000205213",11
"GO:0072163","GO:0072163","mesonephric epithelium development","11/625","104/20772",0.000296857652452856,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000115884/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000164056/ENSG00000178585/ENSG00000205213",11
"GO:0072164","GO:0072164","mesonephric tubule development","11/625","104/20772",0.000296857652452856,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000115884/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000164056/ENSG00000178585/ENSG00000205213",11
"GO:0060675","GO:0060675","ureteric bud morphogenesis","9/625","72/20772",0.000299761676230672,0.0284273401563849,0.0260683781448423,"ENSG00000100625/ENSG00000105696/ENSG00000106571/ENSG00000114315/ENSG00000125430/ENSG00000138685/ENSG00000141449/ENSG00000178585/ENSG00000205213",9
"GO:0051294","GO:0051294","establishment of spindle orientation","7/625","44/20772",0.000314181911391175,0.0284273401563849,0.0260683781448423,"ENSG00000007372/ENSG00000099812/ENSG00000115163/ENSG00000152661/ENSG00000164056/ENSG00000164109/ENSG00000166579",7
