"cor","link","target","source","target_info","ttarget_info"
0.903331796849245,1,"ZNF521","SHH","no","no"
0.904614074569608,1,"INPP5F","SHH","no","no"
0.888431698846484,1,"SMC5","SHH","no","no"
0.878541231839898,1,"DMD","SHH","no","no"
0.939440544569921,1,"MEG3","SHH","no","no"
0.905217429326969,1,"FEZF1-AS1","SHH","no","no"
0.897891539482987,1,"L1TD1","SHH","no","no"
0.888576763955536,1,"MRPS6","SHH","no","no"
0.906867691406015,1,"ETV5","SHH","no","no"
0.851140694432397,1,"PVT1","SHH","no","no"
0.888474954578418,1,"RTL1","SHH","no","no"
0.914604709033152,1,"BLACAT1","SHH","no","no"
