"","gene","hetero_vs_control","homo_vs_control","homo_vs_hetero"
"277","KCND3","absent","neg","neg"
"278","OTP","neg","neg","neg"
"279","CFAP46","absent","neg","neg"
"280","FRMD3","absent","neg","neg"
"281","PDE3A","absent","absent","neg"
"282","RAB37","absent","absent","neg"
"283","HPSE2","absent","pos","pos"
"284","CCDC96","absent","neg","neg"
"285","HOXB2","absent","neg","neg"
"286","GOLGA6L2","absent","neg","neg"
"287","KY","absent","absent","neg"
"288","FUT1","absent","absent","pos"
"289","VWA3A","absent","neg","neg"
"290","FOXC2","absent","absent","neg"
"291","IRX5","absent","absent","neg"
"292","CLVS1","absent","pos","pos"
"293","ERICH5","absent","absent","neg"
"294","NHLH2","absent","absent","pos"
"295","ADAMTSL1","absent","absent","neg"
"296","ZNF454","absent","absent","pos"
"297","SLITRK1","absent","pos","pos"
"298","NEUROG2","absent","pos","pos"
"299","ERBB4","absent","neg","neg"
"300","THBD","absent","absent","neg"
"301","FOXE1","absent","neg","neg"
"302","GRM8","absent","absent","neg"
"303","ZBTB42","absent","neg","neg"
"304","TSHZ1","absent","neg","neg"
"305","SERTM1","absent","neg","neg"
"306","GLIPR1L2","neg","absent","pos"
"307","GSX2","pos","absent","neg"
"308","ARSJ","absent","neg","neg"
"309","TMEM132E","absent","neg","neg"
"310","NXPH4","absent","absent","neg"
"311","PLCXD3","absent","neg","neg"
"312","TMEM119","absent","absent","neg"
"313","CABCOCO1","absent","neg","neg"
"314","HOATZ","absent","neg","neg"
"315","OPCML","absent","neg","neg"
"316","FOXL2","absent","absent","neg"
"317","TBX1","absent","absent","neg"
"318","SLIT3","absent","absent","neg"
"319","CCR10","absent","absent","pos"
"320","POU3F2","absent","neg","neg"
"321","SLITRK6","absent","absent","neg"
"322","PRR16","absent","absent","neg"
"323","SLC24A3","absent","neg","neg"
"324","NPY2R","absent","absent","pos"
"325","FAM174B","absent","neg","neg"
"326","GPRIN3","absent","neg","neg"
"327","KRT79","absent","neg","neg"
"328","MORN5","absent","absent","neg"
"329","DLEU7","absent","neg","neg"
"330","FOXD2","absent","absent","neg"
"331","LINC01551","neg","neg","neg"
"332","EFCAB6","absent","neg","neg"
"333","MITF","absent","absent","neg"
"334","SLIT1","absent","neg","neg"
"335","DCC","absent","neg","neg"
"336","LIAT1","absent","neg","neg"
"337","SHISA7","absent","neg","neg"
"338","CFAP77","absent","neg","neg"
"339","CFAP54","absent","neg","neg"
"340","PRELP","absent","pos","pos"
"341","LRRK2","absent","neg","neg"
"342","KRT77","absent","neg","neg"
"343","PAX8-AS1","absent","pos","pos"
"344","SPOCK3","absent","neg","neg"
"345","POU3F4","absent","neg","neg"
"346","TLE1","absent","absent","neg"
"347","ZNF860","absent","absent","neg"
"348","SLC22A6","absent","absent","neg"
"349","MYL4","absent","neg","neg"
"350","PPP1R14C","absent","neg","neg"
"351","F5","absent","neg","neg"
"352","EGFL6","absent","neg","neg"
"353","GRM3","absent","absent","neg"
"354","LINC02901","absent","neg","neg"
"355","SAMD5","absent","neg","neg"
"356","MAFB","absent","neg","neg"
"357","C2orf72","absent","neg","neg"
"358","SAMD9","absent","neg","neg"
"359","C22orf42","absent","pos","pos"
"360","RPS3AP47","absent","pos","pos"
"361","CFAP44","absent","neg","neg"
"362","VGLL3","absent","absent","neg"
"363","EEF1B2P6","absent","pos","pos"
"364","RPL7AP50","absent","absent","pos"
"365","RPS19P1","absent","absent","pos"
"366","POLR2J4","absent","neg","neg"
"367","ARHGEF28","absent","neg","neg"
"368","CFAP90","absent","neg","neg"
"369","RPL21P16","absent","pos","pos"
"370","SLC12A8","absent","neg","neg"
"371","LINC03007","absent","neg","neg"
"372","RPS14P1","absent","pos","pos"
"373","PRR29","absent","neg","neg"
"374","RPL35P5","absent","pos","pos"
"375","MTND1P23","absent","absent","pos"
"376","RPL26P19","absent","pos","pos"
"377","C14orf132","absent","neg","neg"
"378","LINC01317","absent","pos","pos"
"379","LOC101927745","absent","absent","neg"
"380","RPL21P37","absent","pos","pos"
"381","LINC02525","absent","absent","pos"
"382","GNG12-AS1","absent","neg","neg"
"383","LINC00327","absent","neg","neg"
"384","NEMP2-DT","absent","neg","neg"
"385","RPL10P12","absent","absent","pos"
"386","RPS15AP11","absent","absent","pos"
"387","LINC01239","absent","neg","neg"
"388","DNAJC9-AS1","absent","neg","neg"
"389","PAGE2B","absent","pos","pos"
"390","RN7SL653P","absent","absent","neg"
"391","L1TD1","absent","pos","pos"
"392","RPL37P6","absent","pos","pos"
"393","RPL31P49","absent","absent","pos"
"394","LOC102546299","absent","absent","neg"
"395","LINC02082","absent","neg","neg"
"396","RPLP0P2","absent","absent","pos"
"397","RPL7P18","absent","neg","neg"
"398","RPL11P2","absent","pos","pos"
"399","CXXC4-AS1","absent","absent","neg"
"400","MIR4458HG","absent","neg","neg"
"401","INSL3","absent","pos","pos"
"402","HHIP-AS1","absent","absent","neg"
"403","ADAMTS16-DT","absent","absent","neg"
"404","LINC02381","absent","neg","neg"
"405","RASGRF2-AS1","absent","neg","neg"
"406","LOC101927636","absent","pos","pos"
"407","LINC01484","absent","absent","neg"
"408","PCDHGA11","absent","pos","pos"
"409","PGA5","absent","neg","neg"
"410","LINC02356","absent","pos","pos"
"411","LOC100505978","absent","neg","neg"
"412","LINC00261","absent","neg","neg"
"413","LINC01963","absent","absent","neg"
"414","LOC121725015","absent","neg","neg"
"415","LINC00664","absent","neg","neg"
"416","TRABD2B","absent","neg","neg"
"417","SMIM32","absent","neg","neg"
"418","LOC283683","absent","absent","neg"
"419","CCL4L2","absent","neg","neg"
"420","LOC105374338","absent","absent","pos"
"421","NHIP","absent","absent","pos"
"422","C8orf44-SGK3","absent","absent","pos"
"423","SEMA3F","absent","pos","absent"
"424","TMEM176A","absent","neg","absent"
"425","NOS2","neg","neg","absent"
"426","MATK","absent","pos","absent"
"427","PAX6","absent","pos","absent"
"428","ANOS1","absent","pos","absent"
"429","MAMLD1","absent","neg","absent"
"430","SLC38A5","absent","pos","absent"
"431","CNTN1","absent","neg","absent"
"432","CLXN","absent","neg","absent"
"433","ZIC2","absent","pos","absent"
"434","FAM184B","absent","pos","absent"
"435","TNFRSF9","absent","neg","absent"
"436","LTBP1","absent","pos","absent"
"437","FNIP2","absent","neg","absent"
"438","METTL24","absent","neg","absent"
"439","CDON","absent","pos","absent"
"440","SNAP91","absent","neg","absent"
"441","STON1-GTF2A1L","absent","pos","absent"
"442","PITX1","absent","neg","absent"
"443","TRIB2","absent","pos","absent"
"444","CYP2W1","absent","neg","absent"
"445","ARHGAP15","absent","pos","absent"
"446","RGS11","absent","neg","absent"
"447","PAG1","absent","neg","absent"
"448","NMRK2","absent","pos","absent"
"449","DCX","absent","neg","absent"
"450","CDH17","pos","pos","absent"
"451","CXCL2","absent","neg","absent"
"452","HSD17B2","absent","neg","absent"
"453","MYBPC2","absent","pos","absent"
"454","MT3","absent","pos","absent"
"455","PHACTR3","absent","neg","absent"
"456","TESC","absent","pos","absent"
"457","ANKRD24","absent","pos","absent"
"458","CHRD","absent","neg","absent"
"459","SLC7A8","absent","pos","absent"
"460","WDR76","absent","neg","absent"
"461","UNC13D","absent","pos","absent"
"462","BLNK","absent","pos","absent"
"463","KCNK6","absent","pos","absent"
"464","CBARP","absent","neg","absent"
"465","MADCAM1","absent","neg","absent"
"466","RAB36","absent","neg","absent"
"467","HMOX1","absent","pos","absent"
"468","APOBEC3H","absent","pos","absent"
"469","PDGFB","absent","pos","absent"
"470","CHRNA4","absent","neg","absent"
"471","E2F1","absent","neg","absent"
"472","CACNA1F","pos","pos","absent"
"473","PCSK1N","absent","neg","absent"
"474","SRPX2","absent","neg","absent"
"475","CORO1A","absent","neg","absent"
"476","WFDC1","absent","neg","absent"
"477","CRYM","absent","pos","absent"
"478","CALB1","absent","pos","absent"
"479","ESRP1","pos","pos","absent"
"480","DHDH","absent","pos","absent"
"481","SLC17A7","absent","pos","absent"
"482","TNNT1","absent","pos","absent"
"483","TJP3","absent","pos","absent"
"484","CRX","absent","pos","absent"
"485","CACNG7","absent","pos","absent"
"486","TMEM176B","neg","neg","absent"
"487","CNTNAP3","pos","pos","absent"
"488","KAZALD1","absent","pos","absent"
"489","FGF8","pos","pos","absent"
"490","SORCS1","absent","pos","absent"
"491","FOLR1","absent","pos","absent"
"492","PRMT8","neg","neg","absent"
"493","RASAL1","absent","pos","absent"
"494","ADGRD1","absent","neg","absent"
"495","MAN1A1","absent","neg","absent"
"496","RIPOR2","absent","pos","absent"
"497","CD83","absent","neg","absent"
"498","NR2E1","neg","neg","absent"
"499","SMOC2","absent","neg","absent"
"500","CLIC5","absent","neg","absent"
"501","NPR3","absent","pos","absent"
"502","ST8SIA4","absent","neg","absent"
"503","DPYSL3","absent","pos","absent"
"504","SERPINI2","absent","neg","absent"
"505","STEAP3","absent","neg","absent"
"506","DNAH6","absent","neg","absent"
"507","IGFBP2","absent","pos","absent"
"508","IGFBP5","absent","pos","absent"
"509","KCNJ13","absent","pos","absent"
"510","OTX1","neg","neg","absent"
"511","QPCT","absent","pos","absent"
"512","DLX2","absent","neg","absent"
"513","BMP8B","absent","neg","absent"
"514","DNAI7","absent","neg","absent"
"515","PLAGL1","absent","neg","absent"
"516","MYB","absent","neg","absent"
"517","SPP1","pos","pos","absent"
"518","DNAH7","absent","neg","absent"
"519","ONECUT2","absent","neg","absent"
"520","CD274","absent","neg","absent"
