"","gene","hetero_vs_control","homo_vs_control","homo_vs_hetero"
"688","SNX31","pos","pos","absent"
"689","GALNTL6","absent","neg","absent"
"690","GOLT1A","absent","pos","absent"
"691","WDR49","absent","neg","absent"
"692","RTP1","absent","pos","absent"
"693","ETV4","absent","pos","absent"
"694","FOXG1","neg","neg","absent"
"695","SYNE3","absent","neg","absent"
"696","SLCO3A1","absent","pos","absent"
"697","MIR7-3HG","absent","pos","absent"
"698","EFCAB5","absent","neg","absent"
"699","NIM1K","absent","neg","absent"
"700","RPL10P16","absent","pos","absent"
"701","MAF","pos","pos","absent"
"702","CTNNBIP1","absent","pos","absent"
"703","KCTD12","absent","neg","absent"
"704","LMO7DN","absent","neg","absent"
"705","FJX1","absent","pos","absent"
"706","LRRC3B","pos","pos","absent"
"707","MYL11","pos","pos","absent"
"708","H2AC6","absent","pos","absent"
"709","FAM181B","absent","neg","absent"
"710","SYNM","absent","neg","absent"
"711","ARHGEF37","absent","pos","absent"
"712","RIPPLY3","pos","pos","absent"
"713","CTNNA3","absent","neg","absent"
"714","CCDC60","absent","pos","absent"
"715","GTF2H2C","absent","pos","absent"
"716","FAM162B","absent","neg","absent"
"717","CNTN2","neg","neg","absent"
"718","KCNQ3","absent","neg","absent"
"719","C1QTNF12","absent","pos","absent"
"720","PCDH9","absent","pos","absent"
"721","RALYL","absent","neg","absent"
"722","H2BC21","absent","pos","absent"
"723","MANEAL","absent","neg","absent"
"724","DLK1","absent","pos","absent"
"725","IFITM1","absent","pos","absent"
"726","IRS2","absent","pos","absent"
"727","HYAL3","absent","neg","absent"
"728","SELENOV","absent","pos","absent"
"729","FGF3","absent","pos","absent"
"730","C3orf70","absent","neg","absent"
"731","CCK","pos","pos","absent"
"732","ZNF385C","absent","neg","absent"
"733","TMEM221","absent","pos","absent"
"734","WNT7B","absent","neg","absent"
"735","SERPINA5","absent","pos","absent"
"736","LCTL","absent","pos","absent"
"737","VWC2","absent","neg","absent"
"738","CPNE4","absent","pos","absent"
"739","ADGRA1","absent","neg","absent"
"740","C6orf141","absent","pos","absent"
"741","C5AR1","absent","pos","absent"
"742","DIO3","pos","pos","absent"
"743","PCDHB11","absent","pos","absent"
"744","DMBX1","neg","neg","absent"
"745","PLCG2","absent","neg","absent"
"746","CHSY3","absent","neg","absent"
"747","LPAR1","pos","pos","absent"
"748","SOWAHC","absent","neg","absent"
"749","CD247","pos","pos","absent"
"750","RYR3","absent","pos","absent"
"751","POU3F3","absent","neg","absent"
"752","CSAG1","neg","neg","absent"
"753","LOC124901526","absent","pos","absent"
"754","NTMT2","absent","neg","absent"
"755","CLPSL1","absent","pos","absent"
"756","SP5","neg","neg","absent"
"757","CFAP95","absent","neg","absent"
"758","LRRC10B","absent","neg","absent"
"759","LINC00654","neg","neg","absent"
"760","C17orf107","absent","pos","absent"
"761","ONECUT3","absent","neg","absent"
"762","OLIG2","absent","neg","absent"
"763","LOC100652833","absent","pos","absent"
"764","SNORD38C","absent","pos","absent"
"765","RNU1-56P","absent","pos","absent"
"766","RPL17P39","absent","pos","absent"
"767","RPL15P3","absent","pos","absent"
"768","CFAP45","absent","neg","absent"
"769","RPL8P4","absent","pos","absent"
"770","RPS10P15","absent","pos","absent"
"771","RPS18P2","absent","pos","absent"
"772","RPL31P43","absent","neg","absent"
"773","RPL31P4","absent","pos","absent"
"774","S1PR3","absent","pos","absent"
"775","ITGA1","absent","neg","absent"
"776","RPS3AP26","absent","pos","absent"
"777","RPS3AP21","absent","pos","absent"
"778","RPL13P12","absent","pos","absent"
"779","HMSD","absent","neg","absent"
"780","FXYD7","absent","neg","absent"
"781","LOC105375614","absent","pos","absent"
"782","TINCR","absent","pos","absent"
"783","RPL17P6","absent","pos","absent"
"784","RPL10AP6","absent","pos","absent"
"785","RPS7P10","absent","pos","absent"
"786","LINC00511","absent","neg","absent"
"787","SLC2A1-DT","absent","pos","absent"
"788","SLC9A7P1","absent","pos","absent"
"789","RPS19P7","absent","pos","absent"
"790","RPS13P2","absent","pos","absent"
"791","LOC124908056","pos","pos","absent"
"792","LINC00710","absent","neg","absent"
"793","RPL10P6","absent","pos","absent"
"794","LOC340512","absent","pos","absent"
"795","APCDD1L-DT","absent","pos","absent"
"796","LINC01363","absent","pos","absent"
"797","RPS27AP5","absent","pos","absent"
"798","LOC105375971","neg","neg","absent"
"799","RPS17P16","absent","pos","absent"
"800","RPS11P5","absent","pos","absent"
"801","RPS15P4","absent","pos","absent"
"802","LINC01503","pos","pos","absent"
"803","RPL10P9","absent","pos","absent"
"804","RPL5P34","absent","pos","absent"
"805","NAP1L4P3","absent","pos","absent"
"806","RPL17P18","absent","pos","absent"
"807","LOC100422627","absent","pos","absent"
"808","MNX1-AS2","pos","pos","absent"
"809","RPL26P37","absent","pos","absent"
"810","RPS2P7","absent","pos","absent"
"811","RPL6P27","absent","pos","absent"
"812","NFAM1","absent","pos","absent"
"813","RPL13AP12","absent","pos","absent"
"814","RPL17P36","absent","pos","absent"
"815","SIX3-AS1","pos","pos","absent"
"816","RPL24P8","absent","pos","absent"
"817","LOC101927164","absent","pos","absent"
"818","SCIRT","absent","pos","absent"
"819","LINC02984","absent","neg","absent"
"820","CDK6-AS1","absent","neg","absent"
"821","LOC124902079","absent","pos","absent"
"822","SNORD5","absent","pos","absent"
"823","RPL21P97","absent","pos","absent"
"824","LOC105374042","absent","pos","absent"
"825","RPL34P18","absent","pos","absent"
"826","RPL32P13","absent","pos","absent"
"827","TDGF1","absent","pos","absent"
"828","RPL9P28","absent","pos","absent"
"829","RPL7AP6","absent","pos","absent"
"830","SLC5A4-AS1","absent","pos","absent"
"831","RPS18P5","absent","pos","absent"
"832","RPL21P80","absent","pos","absent"
"833","RPL6P10","absent","pos","absent"
"834","RPS10P11","absent","pos","absent"
"835","CFAP57","absent","neg","absent"
"836","RPL5P17","absent","pos","absent"
"837","RPL23AP65","absent","pos","absent"
"838","RTL9","absent","neg","absent"
"839","RPS17P11","absent","neg","absent"
"840","RPL17P7","absent","pos","absent"
"841","LINC00461","absent","neg","absent"
"842","LOC101928847","absent","neg","absent"
"843","NR2F2-AS1","absent","neg","absent"
"844","ANK2-AS1","absent","pos","absent"
"845","LINC01948","absent","pos","absent"
"846","ACTN3","pos","pos","absent"
"847","PCGF3-AS1","absent","pos","absent"
"848","LINC02891","absent","pos","absent"
"849","PSMC1P5","absent","pos","absent"
"850","PURPL","absent","pos","absent"
"851","FOXD1","absent","neg","absent"
"852","LINC00605","absent","pos","absent"
"853","RNU7-160P","absent","pos","absent"
"854","MIR124-1HG","absent","neg","absent"
"855","NKX2-1-AS1","neg","neg","absent"
"856","RTL1","absent","pos","absent"
"857","NAP1L1P1","absent","pos","absent"
"858","LINC02387","absent","pos","absent"
"859","CLEC5A","absent","pos","absent"
"860","LINC00519","pos","pos","absent"
"861","KIF23-AS1","absent","neg","absent"
"862","DDX59-AS1","pos","pos","absent"
"863","XKR7","absent","neg","absent"
"864","ESRG","absent","pos","absent"
"865","MGC12916","absent","pos","absent"
"866","LOC105371899","absent","pos","absent"
"867","ZNF114-AS1","absent","pos","absent"
"868","LOC100129534","absent","neg","absent"
"869","MTDHP1","pos","pos","absent"
"870","RN7SL715P","absent","neg","absent"
"871","ATP6V1FNB","absent","neg","absent"
"872","TMEM271","absent","neg","absent"
"873","H2BC8","absent","pos","absent"
"874","UHRF1","absent","neg","absent"
"875","CHD9NB","absent","pos","absent"
"876","CISD3","absent","neg","absent"
"877","JAKMIP2-AS1","absent","pos","absent"
"878","HYMAI","absent","neg","absent"
"879","FAM246C","absent","neg","absent"
"880","LOC124903940","absent","pos","absent"
"881","TNFRSF1B","neg","absent","absent"
"882","LGI1","neg","absent","absent"
"883","OLFM3","neg","absent","absent"
"884","GAD1","neg","absent","absent"
"885","PCDH10","pos","absent","absent"
"886","HDC","neg","absent","absent"
"887","SLC47A1","neg","absent","absent"
"888","ZSCAN1","neg","absent","absent"
"889","KLHDC8A","neg","absent","absent"
"890","EMX2","neg","absent","absent"
"891","TNFSF15","pos","absent","absent"
"892","SOX1","neg","absent","absent"
"893","ANKRD34B","neg","absent","absent"
"894","ZFP28","neg","absent","absent"
"895","EMX2OS","neg","absent","absent"
