"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","EN","is_DE","is_highly_DE","FCsign"
"ENSG00000000003",287.644528348896,0.0772206724533232,0.115506893060761,0.66853735224877,0.503790647188878,0.604662303151073,"TSPAN6","ENSG00000000003",FALSE,FALSE,"pos"
"ENSG00000000005",0.759211508226519,-1.95906576371777,0.867040982393166,-2.25948461895129,0.0238532560107882,0.0492653527713689,"TNMD","ENSG00000000005",FALSE,FALSE,"neg"
"ENSG00000000419",97.1653197503433,-0.0670912554937396,0.0868124159819751,-0.772830184885879,0.439622886904386,0.545575953152377,"DPM1","ENSG00000000419",FALSE,FALSE,"neg"
"ENSG00000000457",12.603132650933,-0.159321933975058,0.211109468098538,-0.754688718654212,0.450435777039679,0.555763540669861,"SCYL3","ENSG00000000457",FALSE,FALSE,"neg"
"ENSG00000000460",2.9489582351431,-1.35399008648464,0.455448934182255,-2.97286915143559,0.00295030195538914,0.00805472909846855,"FIRRM","ENSG00000000460",TRUE,FALSE,"neg"
"ENSG00000000971",1.28854306701168,-0.356431308936065,0.764703902069403,-0.466103687939226,0.641141283624116,0.725923940549526,"CFH","ENSG00000000971",FALSE,FALSE,"neg"
"ENSG00000001036",148.221520900699,0.112473128284081,0.110574387631001,1.01717161355138,0.309071797355524,0.414867776911361,"FUCA2","ENSG00000001036",FALSE,FALSE,"pos"
"ENSG00000001084",34.620277675743,0.241967960890996,0.119529540351156,2.02433607776068,0.042935583929954,0.0811947044055489,"GCLC","ENSG00000001084",FALSE,FALSE,"pos"
"ENSG00000001167",109.673628078596,0.463838566642844,0.0847688847221952,5.47180216140554,4.45481990383906e-08,4.06823487172092e-07,"NFYA","ENSG00000001167",FALSE,FALSE,"pos"
"ENSG00000001460",16.6058054210211,-0.190898392212175,0.178147508952688,-1.07157486138565,0.283911029530526,0.387470407247592,"STPG1","ENSG00000001460",FALSE,FALSE,"neg"
"ENSG00000001461",29.2717757149852,0.265377459410409,0.125241333921774,2.11892872025912,0.034096491337973,0.0668913174274859,"NIPAL3","ENSG00000001461",FALSE,FALSE,"pos"
"ENSG00000001497",76.1262419375371,-0.00992887765431313,0.0933661054904518,-0.106343491593194,0.915309825904397,0.940658625350589,"LAS1L","ENSG00000001497",FALSE,FALSE,"neg"
"ENSG00000001561",30.1878158519395,0.00334563919776011,0.148643666849106,0.0225077816544744,0.982042904710888,0.986947941695404,"ENPP4","ENSG00000001561",FALSE,FALSE,"pos"
"ENSG00000001617",13.6925546821781,2.73085567966149,0.373940801629557,7.30290909085336,2.81611466830466e-13,6.91016538324243e-12,"SEMA3F","ENSG00000001617",TRUE,TRUE,"pos"
"ENSG00000001626",1.16752128297809,-1.90720325197958,0.937625662046379,-2.03407748868251,0.0419437832748657,0.0795850766266285,"CFTR","ENSG00000001626",FALSE,FALSE,"neg"
"ENSG00000001629",128.264957596914,0.372843516986332,0.0781861989445171,4.76866150317541,1.85453966154421e-06,1.17920852285478e-05,"ANKIB1","ENSG00000001629",FALSE,FALSE,"pos"
"ENSG00000001630",366.539958122988,-0.579738251599422,0.0735084513520943,-7.88668841386094,3.1031090502918e-15,1.00167917632325e-13,"CYP51A1","ENSG00000001630",FALSE,FALSE,"neg"
"ENSG00000001631",16.794160496321,-0.717450989425053,0.176929774343933,-4.05500426417999,5.01333882229333e-05,0.000221646857258081,"KRIT1","ENSG00000001631",FALSE,FALSE,"neg"
"ENSG00000002016",45.7904343933626,1.37311917226095,0.183822375863704,7.46981517244155,8.0307539415453e-14,2.13866063422712e-12,"RAD52","ENSG00000002016",TRUE,FALSE,"pos"
"ENSG00000002330",41.8369635034541,-0.703171491473816,0.143901242420447,-4.88648659070856,1.02651315360284e-06,6.9284855380521e-06,"BAD","ENSG00000002330",FALSE,FALSE,"neg"
"ENSG00000002549",62.5425524503296,-0.491919798765138,0.185025670966744,-2.65865701875257,0.00784527838698163,0.0189502662811592,"LAP3","ENSG00000002549",FALSE,FALSE,"neg"
"ENSG00000002834",24.7702949204154,-0.617019368787613,0.215891394127094,-2.85800817249981,0.00426309411693709,0.0111432406702676,"LASP1","ENSG00000002834",FALSE,FALSE,"neg"
"ENSG00000002919",19.9149423773961,-0.190198665561551,0.157141666366389,-1.21036431622207,0.226139128165573,0.323089031317583,"SNX11","ENSG00000002919",FALSE,FALSE,"neg"
"ENSG00000002933",3.02770627033225,-3.67018964382387,0.610482328016056,-6.01195067472508,1.83304101918457e-09,2.24287431191983e-08,"TMEM176A","ENSG00000002933",TRUE,TRUE,"neg"
"ENSG00000003056",8.25480739913204,0.256539206482214,0.244932867422187,1.04738579669678,0.294921679772883,0.399905406140558,"M6PR","ENSG00000003056",FALSE,FALSE,"pos"
"ENSG00000003096",41.9600729276255,-0.184117599963185,0.112817708348357,-1.63199202198531,0.102681166860073,0.168703797012254,"KLHL13","ENSG00000003096",FALSE,FALSE,"neg"
"ENSG00000003147",8.31301848851998,-0.502914113409678,0.241762690436933,-2.08019737247617,0.037507433157161,0.0725622674609996,"ICA1","ENSG00000003147",FALSE,FALSE,"neg"
"ENSG00000003249",2.52960569362451,-0.537276049350091,0.446224920658375,-1.20404761024412,0.228571177270657,0.325703739149884,"DBNDD1","ENSG00000003249",FALSE,FALSE,"neg"
"ENSG00000003393",128.950126066575,0.300549279771612,0.0718370286097139,4.18376547009589,2.8671991264934e-05,0.000134513235703806,"ALS2","ENSG00000003393",FALSE,FALSE,"pos"
"ENSG00000003400",1.30984053356097,1.57744384653021,0.713308606818313,2.21144653443386,0.0270049304197028,0.0547892124080981,"CASP10","ENSG00000003400",FALSE,FALSE,"pos"
"ENSG00000003402",76.1606322877009,-0.598418458692486,0.123533108961549,-4.84419491845503,1.27126086424899e-06,8.39885552378146e-06,"CFLAR","ENSG00000003402",FALSE,FALSE,"neg"
"ENSG00000003436",67.1866601860183,0.3094145340973,0.0932167585448526,3.31930158189764,0.000902429111654007,0.00286000853744179,"TFPI","ENSG00000003436",FALSE,FALSE,"pos"
"ENSG00000003509",36.3878440272844,0.183884810632685,0.12028107326346,1.52879256597512,0.126315875894564,0.200004738705487,"NDUFAF7","ENSG00000003509",FALSE,FALSE,"pos"
"ENSG00000003756",273.31682728872,0.0628162066318416,0.0718716509589722,0.874005338595883,0.382115346410653,0.490378201980761,"RBM5","ENSG00000003756",FALSE,FALSE,"pos"
"ENSG00000003987",3.32081464732268,0.0230134749582481,0.395393463550382,0.0582039843339891,0.953586147065293,0.967507807320999,"MTMR7","ENSG00000003987",FALSE,FALSE,"pos"
"ENSG00000003989",26.8935885339138,-0.690742262859327,0.188673788020389,-3.66103988321199,0.000251193648533892,0.000930238401083895,"SLC7A2","ENSG00000003989",FALSE,FALSE,"neg"
"ENSG00000004059",124.810588063607,0.424640410961645,0.108642775215798,3.90859318641465,9.28351384490156e-05,0.00038443894858752,"ARF5","ENSG00000004059",FALSE,FALSE,"pos"
"ENSG00000004139",10.529482353696,-1.94426467574749,0.343640402154958,-5.65784658484588,1.53284056648139e-08,1.5361488554738e-07,"SARM1","ENSG00000004139",TRUE,FALSE,"neg"
"ENSG00000004142",114.385933815097,-0.436841130682909,0.0942778328943008,-4.63355082814294,3.59446453788214e-06,2.13003922378505e-05,"POLDIP2","ENSG00000004142",FALSE,FALSE,"neg"
"ENSG00000004399",41.0311367128269,-0.344130139357881,0.137772202741063,-2.49781982512582,0.0124959687774892,0.0283074178873594,"PLXND1","ENSG00000004399",FALSE,FALSE,"neg"
"ENSG00000004455",57.1767094078845,-0.467360318316189,0.122825182349046,-3.80508548310589,0.000141755225630727,0.000561716713555106,"AK2","ENSG00000004455",FALSE,FALSE,"neg"
"ENSG00000004478",65.1559270644054,0.253979565104203,0.11832949027225,2.14637589091148,0.0318430012199177,0.0631801149437372,"FKBP4","ENSG00000004478",FALSE,FALSE,"pos"
"ENSG00000004487",415.936456764232,-0.130226347766559,0.0657637237113038,-1.98021554159918,0.0476793142420931,0.0887840310138883,"KDM1A","ENSG00000004487",FALSE,FALSE,"neg"
"ENSG00000004534",295.43119490011,0.494409395828215,0.0997675824135309,4.95561167132342,7.21030958282481e-07,5.02584666033004e-06,"RBM6","ENSG00000004534",FALSE,FALSE,"pos"
"ENSG00000004660",9.9487738815703,0.745302080730151,0.237694794707679,3.13554228920636,0.00171536694728366,0.00502078229325358,"CAMKK1","ENSG00000004660",FALSE,FALSE,"pos"
"ENSG00000004700",17.1740272454258,-0.523561813550036,0.169319501976827,-3.09215304461319,0.00198710372019791,0.00571091275496969,"RECQL","ENSG00000004700",FALSE,FALSE,"neg"
"ENSG00000004766",26.283559132016,-0.468003890440161,0.169022520276654,-2.768884818864,0.00562485165057942,0.0141689301071558,"VPS50","ENSG00000004766",FALSE,FALSE,"neg"
"ENSG00000004777",11.61866711672,-1.37734350013589,0.231583264379705,-5.94750878836217,2.7225415381887e-09,3.22660371171853e-08,"ARHGAP33","ENSG00000004777",TRUE,FALSE,"neg"
"ENSG00000004779",322.62757489975,0.204901767523436,0.0611194904797433,3.35247833244529,0.000800915103476895,0.00257524353850552,"NDUFAB1","ENSG00000004779",FALSE,FALSE,"pos"
"ENSG00000004799",4.99742291215165,-2.53379432517048,0.675333336063312,-3.75191655714881,0.000175487876876357,0.000676871131491787,"PDK4","ENSG00000004799",TRUE,TRUE,"neg"
"ENSG00000004838",3.72346500065408,-3.37775771255741,0.755459241362697,-4.4711316344011,7.78067865987349e-06,4.20849193105284e-05,"ZMYND10","ENSG00000004838",TRUE,TRUE,"neg"
"ENSG00000004848",158.032699517024,-4.25683192173663,0.543864922808016,-7.82700215295791,4.99640537239504e-15,1.57083168209552e-13,"ARX","ENSG00000004848",TRUE,TRUE,"neg"
"ENSG00000004864",63.8733251674395,-0.55870708492654,0.171982376539739,-3.24862986642962,0.00115962261460449,0.00356227411838384,"SLC25A13","ENSG00000004864",FALSE,FALSE,"neg"
"ENSG00000004866",13.870408259773,-1.28859057438436,0.237975798619099,-5.41479672244681,6.13583730798049e-08,5.41754645588584e-07,"ST7","ENSG00000004866",TRUE,FALSE,"neg"
"ENSG00000004897",160.500971814827,-0.381275588043267,0.0713698036473972,-5.34225356604539,9.17981222759886e-08,7.80456430185858e-07,"CDC27","ENSG00000004897",FALSE,FALSE,"neg"
"ENSG00000004961",32.8199722911284,0.217779429298663,0.12495574827456,1.74285242820639,0.0813593955543764,0.138967863996812,"HCCS","ENSG00000004961",FALSE,FALSE,"pos"
"ENSG00000004975",106.594451739413,-0.0620040753485139,0.0675963775290347,-0.917269203100141,0.359001591196268,0.467406701773903,"DVL2","ENSG00000004975",FALSE,FALSE,"neg"
"ENSG00000005007",59.3081956390648,-0.0686241741787575,0.116441224819084,-0.589346035181096,0.555629169347911,0.651845596509544,"UPF1","ENSG00000005007",FALSE,FALSE,"neg"
"ENSG00000005020",9.31102860184503,-1.04955302320379,0.429483719428629,-2.44375508482622,0.0145352901450616,0.0322178175320587,"SKAP2","ENSG00000005020",FALSE,FALSE,"neg"
"ENSG00000005022",408.459940858713,0.363867335551446,0.054750364196326,6.64593452285864,3.0129918768941e-11,5.20632346361405e-10,"SLC25A5","ENSG00000005022",FALSE,FALSE,"pos"
"ENSG00000005059",66.5246958199367,-0.435465042445468,0.131691618247113,-3.30670279735144,0.000944009910470702,0.00297460857294483,"MCUB","ENSG00000005059",FALSE,FALSE,"neg"
"ENSG00000005075",82.2461559433991,-0.00133746025363595,0.0930078914672846,-0.0143800728361463,0.988526757320787,0.991480439463453,"POLR2J","ENSG00000005075",FALSE,FALSE,"neg"
"ENSG00000005100",106.458183102743,-0.565767238848512,0.084232733086907,-6.71671472733506,1.85867338231568e-11,3.31940002764839e-10,"DHX33","ENSG00000005100",FALSE,FALSE,"neg"
"ENSG00000005108",31.2759720375736,-2.80744725134007,0.547402913871665,-5.12866698403849,2.91801000777435e-07,2.21932982909641e-06,"THSD7A","ENSG00000005108",TRUE,TRUE,"neg"
"ENSG00000005156",71.4364894576512,0.522732336269615,0.156551880233753,3.33903582307096,0.000840697220618628,0.00268788594071023,"LIG3","ENSG00000005156",FALSE,FALSE,"pos"
"ENSG00000005175",75.4247947715093,-0.0295764332474657,0.0889938557058904,-0.332342418618323,0.739630712960775,0.806477154444044,"RPAP3","ENSG00000005175",FALSE,FALSE,"neg"
"ENSG00000005189",6.21615437891169,-0.866237682129467,0.290402150877701,-2.98289003546076,0.00285540565441924,0.00783106784732364,"REXO5","ENSG00000005189",FALSE,FALSE,"neg"
"ENSG00000005194",114.780953563047,-0.325779693489662,0.0866556295253907,-3.75947523864224,0.000170270128023542,0.000659978970115222,"CIAPIN1","ENSG00000005194",FALSE,FALSE,"neg"
"ENSG00000005206",49.0953704010405,0.0520920574923834,0.113658216528365,0.458321968120827,0.646721143611329,0.730506062229139,"SPPL2B","ENSG00000005206",FALSE,FALSE,"pos"
"ENSG00000005238",41.722117438754,0.619230743625346,0.128828391006356,4.80663259696224,1.53493693479456e-06,9.95921639276054e-06,"ATOSB","ENSG00000005238",FALSE,FALSE,"pos"
"ENSG00000005243",1.67836363700255,-0.795021771194428,0.574913120659722,-1.3828555004661,0.166709177220239,0.251630408338539,"COPZ2","ENSG00000005243",FALSE,FALSE,"neg"
"ENSG00000005249",49.0833683767198,-0.460610861357149,0.11627459102862,-3.96140598975553,7.45097180208961e-05,0.00031651336702801,"PRKAR2B","ENSG00000005249",FALSE,FALSE,"neg"
"ENSG00000005302",35.2933465731233,-0.295352981358007,0.134765940697564,-2.19159959726638,0.0284084310570771,0.0572372360939707,"MSL3","ENSG00000005302",FALSE,FALSE,"neg"
