"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
11.7444937981284,0.236612050783562,0.36475005776148,0.648696403876348,0.51653462925679,0.770495578684238,"LAS1L"
11.196938897996,-0.793244822413643,0.383380665123105,-2.06907884141452,0.0385386888823316,0.185916995187751,"CYP26B1"
101.753230427216,-0.887950752994502,0.239023822246096,-3.7149048352188,0.00020328018277182,0.00401464736297215,"CFLAR"
28.9403971402191,-1.09018526500047,0.346914962082907,-3.14251440311165,0.00167503471957169,0.0206340188323158,"TFPI"
21.0109263310975,0.319607704935629,0.302797729987712,1.05551552499617,0.291189612923114,0.590190750749243,"FKBP4"
29.5162942139748,-0.50190994375385,0.286520586570604,-1.7517412963629,0.0798183024560373,0.286502764120441,"ABCB5"
12.0503283053729,-0.0908388045775215,0.602807072483804,-0.150692997351921,0.880217897455904,0.956219605015324,"ST7"
65.8210786162034,0.263078787655974,0.347748466104955,0.756520339550753,0.449337282331172,0.723902261408984,"CDC27"
1664.55359654655,0.252629585391446,0.151047979967455,1.67251217425005,0.094423369245379,0.315165269391067,"SLC4A1"
19.6797171675607,-0.61644607158678,0.342674270701117,-1.79892721541516,0.0720301948742326,0.271373000186162,"DVL2"
10.8519666120737,-0.0900398918944332,0.415164102549802,-0.216877835394336,0.828303551300786,0.933173540810573,"UPF1"
18.0380647127794,0.165939317947611,0.352000345857493,0.471418053704957,0.637342226055507,0.843745739748583,"MCUB"
17.7817002959268,-0.386856867994698,0.295314224354327,-1.30998386156481,0.190201295176266,0.46783852067645,"HOXA11"
91.1008502398285,0.245288820824589,0.152593562779066,1.60746506181085,0.107952387693198,0.338973258287273,"SPPL2B"
77.5992607091299,0.357085169389622,0.185001307453511,1.93017646364123,0.0535849767762178,0.227315710579907,"ATOSB"
13.6447583541336,-0.888551836820648,0.544572656615408,-1.63164974595514,0.102753292274738,0.33032167904947,"COPZ2"
142.970755125389,-0.128212433930292,0.110315033974572,-1.16223899237384,0.245138400071233,0.538084631741579,"MSL3"
25.4077350192897,-0.0269578209497834,0.241572335857486,-0.11159316257838,0.911145993631345,0.967896911719584,"TSPOAP1"
44.2231349712999,-0.314039024360108,0.246139588446114,-1.27585743659785,0.202005919460585,0.483455687364002,"MPO"
15.6132720975895,-0.925288372639316,0.400574997179678,-2.30990046596512,0.0208936652735806,0.125964275083695,"GCFC2"
105.631906492066,-0.46271318615194,0.152329455459515,-3.0375818304879,0.0023848464381649,0.027012463707989,"WDR54"
4.74014630485826,0.625990032889664,0.609224735547049,1.02751906868581,0.304176111109403,0.603484830843694,"ABCB4"
18.3129855301351,0.388318725197791,0.333464699943808,1.16449724742447,0.244222558196617,0.537275041049837,"KMT2E"
136.340458914466,-0.29500414176775,0.11994010013992,-2.45959559333037,0.013909364981643,0.095792852525068,"SOX8"
45.5670105306454,0.382914683474724,0.257407788652381,1.48758002032267,0.136861685726757,0.389341298118611,"ZNF195"
166.697805830565,-0.23090746456036,0.139688192610996,-1.65302063291342,0.098326664449818,0.322295189559242,"MYCBP2"
530.45681491013,0.41178638794757,0.089327696672409,4.60983998566214,4.02979015632713e-06,0.000169147858613013,"ITGAL"
13.9699798487862,0.862444677150845,0.331399771306413,2.60242991041001,0.00925657339739418,0.0732029500074119,"PDK2"
226.935164976422,0.070078836462695,0.101871027448389,0.687917244166396,0.491504896722873,0.75387369974221,"ITGA3"
17.1597660664381,-0.202457788202362,0.3150743233218,-0.642571524292644,0.520502165167013,0.772728577126724,"LAMP2"
46.3556304580111,1.1775427222448,0.334901632497059,3.51608534561305,0.000437960176537139,0.00741662905853065,"ITGA2B"
13.5635951028196,-0.890724233316637,0.324042980553567,-2.74878422545985,0.00598167491289335,0.0536058494474804,"GDE1"
42.4805258447075,0.048414374744966,0.269240653604769,0.179818218745062,0.857295280263422,0.946532626208109,"CRLF1"
31.8812967311135,-0.409327988175861,0.213959331180617,-1.91311117826556,0.0557338210244767,0.232877590797962,"TMEM98"
33.5193254036064,-0.213197671413014,0.224644481456463,-0.949044775241153,0.342597839838053,0.635784604400307,"KRT33A"
16.0146961721884,0.702966810850287,0.363419369047841,1.93431300233683,0.053074655543533,0.225931493823424,"MAP3K14"
284.705064685628,-0.109174353507099,0.084424544313402,-1.29315893138635,0.195956096443891,0.474606585000461,"ABCC8"
23.8890741113326,-0.807447352539332,0.284719740013694,-2.83593737652506,0.00456914042606672,0.0442701834682013,"AP2B1"
19.1898245512198,0.172509954711975,0.322179573494147,0.535446592225093,0.592341079281251,0.817131191109613,"ZNF263"
53.8648383258578,-0.184510290918209,0.185204640086965,-0.996250908355046,0.319128249763225,0.615877855913911,"CX3CL1"
28.3812844374742,-0.336340018592544,0.24505209086225,-1.37252458205553,0.169900191755161,0.437841442212488,"CACNA1G"
54.1083464593642,0.178681651992203,0.20877125591364,0.855872860515417,0.392068108137117,0.678770791678513,"DLX6"
18.7220164419726,0.106439012425936,0.287435129603277,0.370306206387664,0.71115434997626,0.881747138219076,"KDM7A"
5.31074863004377,0.155688234127299,0.524268935333418,0.296962538946326,0.766495109273913,0.90629770210828,"AGK"
20.9077793988158,-0.885941993719923,0.302081133459843,-2.93279485406094,0.00335925776455339,0.0353787228246497,"ALDH3B1"
586.570225072068,-0.0537921368638081,0.0695159920620656,-0.773809525954563,0.439043438398937,0.716088451005373,"TTC22"
6.19486692506757,-2.01295093731705,0.659135956532094,-3.05392372752317,0.0022586949836076,0.0258364543427723,"FARP2"
6.24646418183219,0.183298708874378,0.534450270692337,0.342966818291492,0.731623423002595,0.891288702921975,"COX10"
