"","line","type","day"
"PC1",0.624906525719473,0.0457695326212435,1.03566126580818e-20
"PC2",0.890478147453363,2.22604554371382e-17,0.0385046657031715
"PC3",8.98046774407027e-30,0.564296310440948,0.870988583141177
"PC4",0.19593781257781,0.337785677921659,0.295221397323549
"PC5",0.198909566781571,0.634643746153033,0.127388726396896
