"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type","cluster_1","cluster_2","cluster_3"
"ENSG00000188290",261.352234834612,3.50608602377176,0.230502785616334,15.2106015308967,3.00766754868788e-52,5.74223888395491e-50,"HES4","dorsal",3,3,3
"ENSG00000184163",17.1456309263958,1.47663981731151,0.435541406052071,3.39035461793722,0.000698022666421664,0.00279912807127125,"C1QTNF12","dorsal",3,3,3
"ENSG00000205116",12.9486871629249,-2.09600267848104,0.453599091376012,-4.62082644857761,3.82214413247216e-06,2.5479181486438e-05,"TMEM88B","dorsal",1,1,1
"ENSG00000228594",15.6442288343629,-1.35284428648094,0.314458564846184,-4.30213846184369,1.69157544091155e-05,9.86425116612196e-05,"FNDC10","dorsal",5,6,6
"ENSG00000177133",6.18869730261695,2.60443865893938,0.666337748999406,3.90858639308713,9.28377484947354e-05,0.000463630210374441,"PRDM16-DT","dorsal",3,3,3
"ENSG00000142611",65.9759714289823,3.39180075297792,0.31060579753102,10.919953136545,9.2543545049932e-28,5.86990485745283e-26,"PRDM16","dorsal",2,2,2
"ENSG00000162591",94.6292966982569,1.15965426822298,0.177070031374637,6.54912781807461,5.78740825334767e-11,8.2457610726055e-10,"MEGF6","dorsal",2,2,2
"ENSG00000187017",5.7325920890633,-2.29479923205088,0.551246059665226,-4.16293085785416,3.14188528921967e-05,0.000174172107844895,"ESPN","dorsal",5,6,6
"ENSG00000207056",3.97093310014176,2.92286141370921,0.959080334574362,3.04756682870197,0.00230702221453255,0.00807288638560401,"RNU1-8P","dorsal",3,3,3
"ENSG00000049249",5.34644107943528,2.72283052675668,0.842331469806017,3.23249293699513,0.0012271516940253,0.00459477939641715,"TNFRSF9","dorsal",3,3,3
"ENSG00000116285",76.7564020883005,1.28011676688282,0.184560506619164,6.93602759513608,4.03278859227543e-12,6.70095733713861e-11,"ERRFI1","dorsal",3,3,3
"ENSG00000228526",61.1640030569919,1.43421438668445,0.257842516186094,5.56236577232799,2.66141724738519e-08,2.59508570414086e-07,"MIR34AHG","dorsal",3,3,8
"ENSG00000234546",27.9633711906685,2.58561232271394,0.33370064364321,7.74829887795619,9.31317307613843e-15,2.02744698255e-13,"LNCTAM34A","dorsal",3,3,3
"ENSG00000171608",34.6655365877427,-1.69340087826984,0.2583567196439,-6.55450680982442,5.58260677606952e-11,7.97777908448497e-10,"PIK3CD","dorsal",5,6,6
"ENSG00000231789",18.9329679445833,-2.17459265248244,0.35730156693341,-6.08615481635354,1.15654613631018e-09,1.38524333967591e-08,"PIK3CD-AS2","dorsal",5,6,6
"ENSG00000175279",27.0227868588434,-1.00318340231633,0.235904945778933,-4.25248991284997,2.11406741958613e-05,0.00012113377903583,"CENPS","dorsal",5,6,10
"ENSG00000230337",1.39456975635565,-3.35662466100949,1.09269239034192,-3.07188435709627,0.00212712115789661,0.00751359799196337,"EXOSC10-AS1","dorsal",1,1,1
"ENSG00000116661",40.0228397848937,-2.00880381004954,0.241293634979703,-8.32514214566214,8.42276093900813e-17,2.23654175031354e-15,"FBXO2","dorsal",1,1,1
"ENSG00000162490",83.0014637148721,-1.79111393886613,0.226187218791575,-7.91872303145737,2.39962202322594e-15,5.51970887559393e-14,"DRAXIN","dorsal",5,6,6
"ENSG00000011021",75.8353019603961,1.27868440575393,0.187310015988283,6.82656716997943,8.69705839062921e-12,1.38254986506156e-10,"CLCN6","dorsal",4,5,5
"ENSG00000120937",7.23424352256599,2.59396095252271,0.682395464661628,3.8012576091914,0.000143963529580028,0.000684229949400522,"NPPB","dorsal",2,2,2
"ENSG00000120949",31.0787446275311,-1.2438562419399,0.221328184144814,-5.61996316350769,1.90998178035077e-08,1.90320313937667e-07,"TNFRSF8","dorsal",1,1,1
"ENSG00000162496",53.54178379522,-2.44738862191341,0.299962207831828,-8.15898989277184,3.37837912262878e-16,8.62299655203591e-15,"DHRS3","dorsal",1,1,1
"ENSG00000189337",96.4063300099964,1.93783838052195,0.241788924321451,8.01458704512723,1.10507674362485e-15,2.66727246387935e-14,"KAZN","dorsal",4,5,5
"ENSG00000175147",3.92760439691039,-2.72065032319938,0.795410549604408,-3.42043530168474,0.00062521005265117,0.00254047942752738,"TMEM51-AS1","dorsal",1,1,1
"ENSG00000171729",59.6563104417743,-1.12071083233577,0.312094361220723,-3.59093585655387,0.000329492726140982,0.00143655517869003,"TMEM51","dorsal",1,1,1
"ENSG00000116771",4.32169588571429,-2.08967223145249,0.616755738682805,-3.38816828184748,0.00070361080673907,0.00282035219866939,"AGMAT","dorsal",1,1,1
"ENSG00000162458",43.1839076154667,-1.28564049945416,0.215150259033877,-5.97554706755771,2.29319316683855e-09,2.6200864118062e-08,"FBLIM1","dorsal",5,6,6
"ENSG00000142627",324.472631844621,3.75317001773011,0.178082375192013,21.0754714703426,1.33569293302342e-98,1.10874128162101e-95,"EPHA2","dorsal",3,3,3
"ENSG00000142632",3.15050265467691,-3.20596541066838,0.771910445612503,-4.15328673020415,3.27733657561199e-05,0.000180840780062382,"ARHGEF19","dorsal",5,6,6
"ENSG00000179023",5.45020817978569,-1.6487721874564,0.547035102161561,-3.01401533638595,0.00257814772930253,0.00889607743499799,"KLHDC7A","dorsal",1,1,1
"ENSG00000159423",18.4337914429023,-1.47861635255145,0.300890609030773,-4.91413260558169,8.91763794737927e-07,6.68980525309882e-06,"ALDH4A1","dorsal",5,6,10
"ENSG00000169991",39.3120606190355,2.0121654052506,0.28162800590667,7.1447631735795,9.01511813273573e-13,1.59219829223118e-11,"IFFO2","dorsal",4,5,5
"ENSG00000158747",37.6259672553291,2.61639105399123,0.280852703818885,9.31588344500498,1.20941807783019e-20,4.53638702199097e-19,"NBL1","dorsal",4,5,5
"ENSG00000158825",4.31542033224537,-4.08756575261116,0.79582413447427,-5.13626764449843,2.80248464714688e-07,2.30724609242467e-06,"CDA","dorsal",5,6,6
"ENSG00000162551",143.368408241367,-1.88967442811714,0.165331811069361,-11.4295876631048,2.97518230604141e-30,2.20163490647064e-28,"ALPL","dorsal",5,6,6
"ENSG00000162552",15.7609074241632,-3.51466381249292,0.449580527653704,-7.81765133564714,5.3818009260894e-15,1.19894216197081e-13,"WNT4","dorsal",1,1,1
"ENSG00000070886",3.17584235586607,-3.23670183393434,0.872655590590498,-3.70902549509157,0.000208058479594539,0.000952350154020363,"EPHA8","dorsal",1,1,1
"ENSG00000179546",18.4556891780365,-3.70152161540482,0.403916637336731,-9.16407316076707,4.99745609117835e-20,1.76361241576298e-18,"HTR1D","dorsal",1,4,4
"ENSG00000249087",25.403227542309,3.14127470374628,0.413782976322654,7.59159966333854,3.15979991257783e-14,6.58590610599737e-13,"ZNF436-AS1","dorsal",2,2,2
"ENSG00000127423",18.4358911359931,-1.51290719654878,0.289170359175397,-5.23188891442059,1.67786577037704e-07,1.4307196644948e-06,"AUNIP","dorsal",1,1,1
