"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
523.813442760004,-0.326835748692571,0.120421336117636,-2.71410166362292,0.00664557684038704,0.0314289453731376,"TSPAN6","no","no"
190.595196768216,-0.251194383391783,0.0947970047870324,-2.64981350366615,0.00805362136313695,0.0365167594235604,"DPM1","no","no"
24.3367230799491,-0.260828498308292,0.300291001217129,-0.8685857959483,0.385073726345992,0.586132906628495,"SCYL3","no","no"
4.73894100841712,-0.344367801009985,0.514848495811036,-0.668872112498854,0.503577061044157,0.687347264174552,"FIRRM","no","no"
198.831214683681,0.269076821052474,0.09904220311797,2.71678953599178,0.00659185103776161,0.0312514564896992,"FUCA2","no","no"
68.107464586442,-0.212614063632535,0.147599801981707,-1.44047661838249,0.149732600497608,0.314572506682973,"GCLC","no","no"
134.695774200805,0.30998953335673,0.0958910153566647,3.23272761482116,0.00122614412785383,0.00811479379737412,"NFYA","no","no"
31.5303537159558,0.25108781124214,0.186934294684667,1.34318751765529,0.179211262461624,0.355362278971852,"STPG1","no","no"
51.7297344473006,0.139020480867519,0.180779268300501,0.769006768167861,0.441889292646651,0.6359391822592,"NIPAL3","no","no"
160.696397895303,-0.307949325796317,0.0854824550029608,-3.60248574734605,0.00031518868697778,0.00263532341745601,"LAS1L","no","no"
46.5265308381647,-0.0606811426183769,0.199963910560508,-0.30346047168354,0.761538967060552,0.869633345915016,"ENPP4","no","no"
7.17583372665775,0.913936176209636,0.436261000618753,2.09492981245949,0.0361772322325887,0.114980566425903,"SEMA3F","no","no"
3.35967894441511,2.44212675152713,0.977696933607346,2.49783615717866,0.0124953931151924,0.0510803068121147,"CFTR","no","no"
225.317209642452,-0.574725010998625,0.0889587541665857,-6.46057846001739,1.04303496296393e-10,5.45582685747939e-09,"ANKIB1","no","no"
347.306771983184,0.81183147937212,0.121954290879491,6.65685047666205,2.79757532037471e-11,1.70465589521499e-09,"CYP51A1","no","no"
36.9322471928858,-0.315834638215495,0.219840408523963,-1.43665416351821,0.150816285158296,0.315855717325009,"KRIT1","no","no"
62.6082475403412,0.303472205525931,0.203789651151333,1.48914433982015,0.136449363987859,0.295680016847163,"RAD52","no","no"
50.3822912871451,0.659968747311568,0.168099433866804,3.92606168938381,8.63480188321486e-05,0.000886765047332402,"BAD","no","no"
147.920777955735,-0.270785410814451,0.101126040251233,-2.67770210463816,0.00741291153353929,0.0342647382729421,"LAP3","no","no"
76.5153041605887,-0.410875660067645,0.151523234282623,-2.71163470086228,0.00669523319618483,0.0316035389195286,"LASP1","no","no"
37.9563705808486,-0.0724381509416741,0.185111334492959,-0.391322071876854,0.695559186055484,0.828980909000037,"SNX11","no","no"
2.18224442714652,0.106662402369619,0.786759845202482,0.135571741516839,0.892159846163371,0.943023441920914,"TMEM176A","no","no"
17.5394788398631,-0.50718785289396,0.268061714335223,-1.89205629066335,0.0584834811871822,0.162882266881729,"M6PR","no","no"
70.5320164658061,-0.0950393120107314,0.12476823766439,-0.761726812767643,0.446223069032878,0.639589855176859,"KLHL13","no","no"
22.3530481257353,-0.713698113525749,0.23824916821021,-2.99559540495875,0.00273909601038771,0.015632088289234,"ICA1","no","no"
5.73689107496234,0.33149867980753,0.473725948634912,0.699768886975214,0.484071648022518,0.670740304760157,"DBNDD1","no","no"
233.560473431163,0.344211063546465,0.111195770213654,3.0955409804266,0.00196454223655518,0.0118253866481862,"ALS2","no","no"
4.18674427043022,-1.06547713901615,0.739469787096244,-1.44086635804294,0.149622441972621,0.314557679785983,"CASP10","no","no"
134.961682684471,0.292770909003439,0.104881355160096,2.79144857116443,0.00524726956784123,0.0261700411588543,"CFLAR","no","no"
52.402914288894,0.879071185720826,0.240127447393575,3.66085258167096,0.00025137736986837,0.0021925276183113,"TFPI","no","no"
94.8093777492525,-0.138959890054685,0.136794313727678,-1.01583089434052,0.309709921420527,0.512048433879809,"NDUFAF7","no","no"
491.333528990334,0.0302475995478018,0.0658546253483332,0.459308657331347,0.646012531717951,0.79531615566842,"RBM5","no","no"
8.81537573546221,-0.571662004167673,0.437646667243286,-1.30621811373212,0.191478394610695,0.371366294483954,"MTMR7","no","no"
62.88496794049,0.389767696837527,0.190964545253678,2.04104744322962,0.0412461116029448,0.126039059316688,"SLC7A2","no","no"
183.753687702751,0.197557906552776,0.129187850548005,1.52922976669053,0.126207493737007,0.280619249759104,"ARF5","no","no"
9.11771078805253,1.65802671201624,0.390273464541198,4.24837162312689,2.15329983297468e-05,0.000271957853814096,"SARM1","yes","no"
182.606924514717,-0.00145455569337882,0.0884280610179407,-0.0164490284716716,0.986876165965387,0.993745102527565,"POLDIP2","no","no"
53.8245340400495,1.26848460396209,0.167407470071635,7.5772282050454,3.53015533238363e-14,4.1294448179104e-12,"PLXND1","yes","no"
122.197475736158,0.113666500198605,0.104151237651542,1.09136005256988,0.275114482860685,0.473784025124817,"AK2","no","no"
7.45584877108477,-2.49913651041576,0.575886675004872,-4.33963246396459,1.42721215723455e-05,0.000192131521880117,"CD38","yes","yes"
148.29144621041,-0.0799360286178643,0.178307463835283,-0.44830444502148,0.653933493097153,0.800632280125173,"FKBP4","no","no"
675.809418519375,-0.288160090095205,0.0609069113994112,-4.73115584872673,2.23245040717811e-06,3.94793622923167e-05,"KDM1A","no","no"
556.674497971676,-0.0730335093615819,0.0884679996176832,-0.825535896337638,0.40906741186213,0.608311754957848,"RBM6","no","no"
14.8915011186556,0.891031142982223,0.318018494595158,2.80182177491444,0.00508149376643295,0.0255573011880202,"CAMKK1","no","no"
