"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","classic_threshold","volcano_treshold"
"ENSG00000000003",380.356006705363,0.832087606771261,0.185254631412725,4.49158868755874,7.06938512250067e-06,0.000177264831946704,"TSPAN6","no","no"
"ENSG00000000419",160.668252094598,0.00202553322952424,0.16246553499224,0.0124674641278287,0.99005266055924,0.997608225639843,"DPM1","no","no"
"ENSG00000000457",20.5668361351902,0.627972964257988,0.402646588097554,1.55961327581358,0.118851297327346,0.421415293749282,"SCYL3","no","no"
"ENSG00000000460",4.28298570228871,-0.814796411310787,0.748561373546133,-1.08848310920838,0.276381889230322,0.646735299338575,"FIRRM","no","no"
"ENSG00000001036",181.939721690531,-0.109653322725538,0.155863399613292,-0.703521949332531,0.481730532959971,0.798555065896252,"FUCA2","no","no"
"ENSG00000001084",54.7232536445777,0.447343804779281,0.22560039274293,1.98290348407782,0.0473782114287425,0.24039768697955,"GCLC","no","no"
"ENSG00000001167",127.80101188277,0.0345757454404374,0.17906499997709,0.193090472425439,0.846888114152293,0.962040190856412,"NFYA","no","no"
"ENSG00000001460",23.7714021146284,0.482450079736069,0.367707097161637,1.31204995350958,0.189503280407154,0.53787560027839,"STPG1","no","no"
"ENSG00000001461",47.8757947862553,0.42759006050173,0.268278055544202,1.59383166705291,0.110973742768938,0.406414108616136,"NIPAL3","no","no"
"ENSG00000001497",150.909486868304,-0.0734871046482855,0.154183870750844,-0.47661992328003,0.63363279367729,0.876142846423317,"LAS1L","no","no"
"ENSG00000001561",33.2192005140184,0.962184473504799,0.32372689410013,2.9722104991598,0.00295663897156797,0.030710771660662,"ENPP4","no","no"
"ENSG00000001617",11.015159890434,-1.10532755967701,0.60087437233503,-1.83953187316285,0.0658369943216028,0.300754272542665,"SEMA3F","no","no"
"ENSG00000001629",204.627156166638,-0.0322199181670082,0.159824933407291,-0.201595067053152,0.840233301975626,0.959583264311475,"ANKIB1","no","no"
"ENSG00000001630",468.138981972238,-0.653856331831719,0.141734420592845,-4.61325011311138,3.96420792340695e-06,0.000105722470785498,"CYP51A1","no","no"
"ENSG00000001631",33.2347896529986,0.0694160580267854,0.28114023692121,0.24690901162696,0.804978641947078,0.945981333321571,"KRIT1","no","no"
"ENSG00000002016",90.8701607209932,-0.15048985649377,0.258574366628004,-0.58199835682193,0.560567787682339,0.840589782912183,"RAD52","no","no"
"ENSG00000002330",53.6933650168097,0.191663222047024,0.236451601927684,0.810581194986544,0.417606219651641,0.758115906444518,"BAD","no","no"
"ENSG00000002549",107.450523061659,0.200122767295913,0.186845646386276,1.07105930037133,0.28414276677457,0.652909954352563,"LAP3","no","no"
"ENSG00000002834",71.4349975993129,-0.204205207427963,0.214134367671648,-0.95363116929035,0.340270372491844,0.700533539159605,"LASP1","no","no"
"ENSG00000002919",30.3812366291599,0.137150826810594,0.309525917265001,0.443099653891575,0.657693655530825,0.888060745951734,"SNX11","no","no"
"ENSG00000002933",7.66598241671734,-2.1931600728905,0.733082813686082,-2.99169484258247,0.00277433433127082,0.0290806775625304,"TMEM176A","no","no"
"ENSG00000003056",11.5612566444604,0.0555309365638769,0.515598583360851,0.107701879632614,0.914232178457429,0.980394119604733,"M6PR","no","no"
"ENSG00000003096",62.8381672836635,0.562431906370446,0.229578811334403,2.44984240096623,0.0142918753735798,0.102574246867267,"KLHL13","no","no"
"ENSG00000003147",14.6935124117086,0.311077750904617,0.4203960188728,0.739963598462954,0.459322082299572,0.784192056152172,"ICA1","no","no"
"ENSG00000003249",2.81534336347791,0.489072080339505,1.09761806672981,0.445575829301553,0.655903673422555,0.887304152883115,"DBNDD1","no","no"
"ENSG00000003393",224.162592875387,0.727687779526943,0.154988791234997,4.69509939221094,2.66477122944735e-06,7.38588060279295e-05,"ALS2","no","no"
"ENSG00000003402",124.253424216051,0.949116119805848,0.172293605084559,5.50871356682121,3.61465513526712e-08,1.45748707564741e-06,"CFLAR","no","no"
"ENSG00000003436",187.091866549589,-1.68719007572187,0.180062838335679,-9.37000711149821,7.25276409772191e-21,1.5728697059492e-18,"TFPI","yes","no"
"ENSG00000003509",69.496097901919,-0.0572947060054788,0.21138715448251,-0.271041568943676,0.786359061047608,0.937833695874852,"NDUFAF7","no","no"
"ENSG00000003756",579.204134679108,-0.0177244712793873,0.174565944920018,-0.101534530618262,0.919126147716792,0.981974567153858,"RBM5","no","no"
"ENSG00000003987",6.45188624909515,0.0716578239447689,0.719204807182294,0.099634795581401,0.920634268382512,0.982071369370465,"MTMR7","no","no"
"ENSG00000003989",33.7786224364004,1.39793049794179,0.299662432546561,4.66501752008763,3.08590745109475e-06,8.37946578260043e-05,"SLC7A2","yes","no"
"ENSG00000004059",142.708104104707,-0.0933588856075823,0.169864436478453,-0.549608190761135,0.582588139669279,0.851646426071469,"ARF5","no","no"
"ENSG00000004139",8.77389425190013,0.351774897418725,0.67207678998843,0.523414738700887,0.600685669782015,0.86124285167208,"SARM1","no","no"
"ENSG00000004142",162.445893292415,0.123550480025757,0.150482162048863,0.821030734431098,0.411628761945743,0.754127904368092,"POLDIP2","no","no"
"ENSG00000004399",72.688482570932,-0.548457347593438,0.21687191081559,-2.52894598258878,0.0114405633343242,0.0865620746766782,"PLXND1","no","no"
"ENSG00000004455",101.12232622166,0.33973388498885,0.239552353758272,1.41820307610782,0.156131484089679,0.485863497512346,"AK2","no","no"
"ENSG00000004478",117.049533141554,-0.33924942570662,0.190503036875845,-1.78080849140329,0.0749437417664848,0.324351987019565,"FKBP4","no","no"
