gene,day02,day04,day06,day08,day10,day12
FAM110B,no,no,no,no,no,YES
RSPO1,no,no,no,no,no,YES
NMD3,no,no,no,no,no,YES
CD52,no,no,no,no,no,YES
GPR183,no,no,no,no,no,YES
DRD5,no,no,no,no,no,YES
TM4SF1,no,no,no,no,no,YES
VGLL2,no,no,no,no,no,YES
SLC16A5,no,no,no,no,no,YES
FSHR,no,no,no,no,no,YES
RBKS,no,no,no,no,no,YES
TMEM37,no,no,no,no,no,YES
APLN,no,no,no,no,no,YES
ENC1,no,no,no,no,no,YES
CFAP46,no,no,no,no,no,YES
COL8A2,no,no,no,no,no,YES
ADRA1D,no,no,no,no,no,YES
MAL,no,no,no,no,no,YES
NEGR1,no,no,no,no,no,YES
EFCAB12,no,no,no,no,no,YES
MIR4435-2HG,no,no,no,no,no,YES
HSPA6,no,no,no,no,no,YES
SLC2A14,no,no,no,no,no,YES
TRIB1,no,no,no,no,no,YES
RPL10P2,no,no,no,no,no,YES
NPAS4,no,no,no,no,no,YES
KY,no,no,no,no,no,YES
VWA3A,no,no,no,no,no,YES
SFN,no,no,no,no,no,YES
CREG2,no,no,no,no,no,YES
B3GNT4,no,no,no,no,no,YES
GCNT4,no,no,no,no,no,YES
SCN4B,no,no,no,no,no,YES
CLVS1,no,no,no,no,no,YES
NHLH2,no,no,no,no,no,YES
NEUROG2,no,no,no,no,no,YES
TRIML2,no,no,no,no,no,YES
CATSPERE,no,no,no,no,no,YES
GPBAR1,no,no,no,no,no,YES
GSX2,no,no,no,no,no,YES
S1PR5,no,no,no,no,no,YES
BHLHE22,no,no,no,no,no,YES
NQO1,no,no,no,no,no,YES
CFAP65,no,no,no,no,no,YES
TNFSF15,no,no,no,no,no,YES
FAM181B,no,no,no,no,no,YES
GRID1,no,no,no,no,no,YES
GLUD2,no,no,no,no,no,YES
NKX2-5,no,no,no,no,no,YES
RIPPLY3,no,no,no,no,no,YES
CCDC60,no,no,no,no,no,YES
CABCOCO1,no,no,no,no,no,YES
OVCH2,no,no,no,no,no,YES
TENT5C,no,no,no,no,no,YES
KCNJ12,no,no,no,no,no,YES
KCND2,no,no,no,no,no,YES
SLITRK6,no,no,no,no,no,YES
PDE4B,no,no,no,no,no,YES
PRR16,no,no,no,no,no,YES
MAFF,no,no,no,no,no,YES
SLC24A3,no,no,no,no,no,YES
FLRT2,no,no,no,no,no,YES
MAPK11,no,no,no,no,no,YES
FAM174B,no,no,no,no,no,YES
GPRIN3,no,no,no,no,no,YES
AHNAK2,no,no,no,no,no,YES
INKA1,no,no,no,no,no,YES
KCNQ5,no,no,no,no,no,YES
LINC01405,no,no,no,no,no,YES
CCDC190,no,no,no,no,no,YES
LEMD1,no,no,no,no,no,YES
EDARADD,no,no,no,no,no,YES
FOXD2,no,no,no,no,no,YES
CYP26C1,no,no,no,no,no,YES
SPRY4,no,no,no,no,no,YES
PEAR1,no,no,no,no,no,YES
HES4,no,no,no,no,no,YES
NCCRP1,no,no,no,no,no,YES
CFAP54,no,no,no,no,no,YES
ALKAL2,no,no,no,no,no,YES
PAX5,no,no,no,no,no,YES
SLC35F1,no,no,no,no,no,YES
ESRRG,no,no,no,no,no,YES
SLC6A17,no,no,no,no,no,YES
RAMP2-AS1,no,no,no,no,no,YES
ZNF860,no,no,no,no,no,YES
MAP1LC3C,no,no,no,no,no,YES
SLC22A6,no,no,no,no,no,YES
MYL4,no,no,no,no,no,YES
TAFA2,no,no,no,no,no,YES
LRRTM3,no,no,no,no,no,YES
CD247,no,no,no,no,no,YES
RN7SKP76,no,no,no,no,no,YES
NTMT2,no,no,no,no,no,YES
PLPP4,no,no,no,no,no,YES
ERICH2,no,no,no,no,no,YES
VIT,no,no,no,no,no,YES
FLRT2-AS1,no,no,no,no,no,YES
RNU6-905P,no,no,no,no,no,YES
CFAP45,no,no,no,no,no,YES
HBE1,no,no,no,no,no,YES
FOXI3,no,no,no,no,no,YES
CAPN14,no,no,no,no,no,YES
CEBPD,no,no,no,no,no,YES
CYTOR,no,no,no,no,no,YES
SOX1-OT,no,no,no,no,no,YES
PRR29,no,no,no,no,no,YES
LINC00237,no,no,no,no,no,YES
ZNF385D-AS1,no,no,no,no,no,YES
RPL7P6,no,no,no,no,no,YES
NPM1P30,no,no,no,no,no,YES
LOC124908056,no,no,no,no,no,YES
LINC00710,no,no,no,no,no,YES
LINC02525,no,no,no,no,no,YES
HAPSTR2,no,no,no,no,no,YES
ANKRD63,no,no,no,no,no,YES
LOC340512,no,no,no,no,no,YES
LINC00472,no,no,no,no,no,YES
LINC01122,no,no,no,no,no,YES
CLEC2L,no,no,no,no,no,YES
UNC5B-AS1,no,no,no,no,no,YES
SHISA9,no,no,no,no,no,YES
LINC02004,no,no,no,no,no,YES
SMKR1,no,no,no,no,no,YES
LINC02067,no,no,no,no,no,YES
LINC01322,no,no,no,no,no,YES
ETV5,no,no,no,no,no,YES
PTCHD4,no,no,no,no,no,YES
CXXC4-AS1,no,no,no,no,no,YES
NEAT1,no,no,no,no,no,YES
LOC100507053,no,no,no,no,no,YES
ECSCR,no,no,no,no,no,YES
PVT1,no,no,no,no,no,YES
TMEM158,no,no,no,no,no,YES
TUNAR,no,no,no,no,no,YES
LINC02381,no,no,no,no,no,YES
RASGRF2-AS1,no,no,no,no,no,YES
NKX2-1-AS1,no,no,no,no,no,YES
LINC01484,no,no,no,no,no,YES
LINC02744,no,no,no,no,no,YES
PGA5,no,no,no,no,no,YES
PAFAH1B2P2,no,no,no,no,no,YES
LINC01580,no,no,no,no,no,YES
AQP4-AS1,no,no,no,no,no,YES
LINC01616,no,no,no,no,no,YES
SCRT1,no,no,no,no,no,YES
LOC101928266,no,no,no,no,no,YES
LOC121725015,no,no,no,no,no,YES
LINC01909,no,no,no,no,no,YES
LIF-AS2,no,no,no,no,no,YES
SPIB,no,no,no,no,no,YES
NAMA,no,no,no,no,no,YES
CFAP206,no,no,no,no,no,YES
LOC283683,no,no,no,no,no,YES
DGKK,no,no,no,no,no,YES
BLACAT1,no,no,no,no,no,YES
PAX6-AS1,no,no,no,no,no,YES
EXOC3L2,no,no,no,no,no,YES
LOC105370689,no,no,no,no,no,YES
