"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044782","GO:0044782","cilium organization","30/362","410/20772",4.0445363841541e-11,1.49283837939128e-07,1.32405348997045e-07,"ENSG00000205084/ENSG00000122417/ENSG00000170264/ENSG00000068885/ENSG00000135315/ENSG00000160188/ENSG00000118965/ENSG00000105792/ENSG00000162543/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000110318/ENSG00000127328/ENSG00000188316/ENSG00000152582/ENSG00000196659/ENSG00000158716/ENSG00000204104/ENSG00000112981/ENSG00000032742/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000156050/ENSG00000204852/ENSG00000118997/ENSG00000125354/ENSG00000188596/ENSG00000164953",30
"GO:0060271","GO:0060271","cilium assembly","28/362","381/20772",1.67635642222031e-10,3.09371577720758e-07,2.7439307753185e-07,"ENSG00000205084/ENSG00000122417/ENSG00000170264/ENSG00000068885/ENSG00000135315/ENSG00000160188/ENSG00000118965/ENSG00000105792/ENSG00000162543/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000110318/ENSG00000127328/ENSG00000152582/ENSG00000196659/ENSG00000158716/ENSG00000204104/ENSG00000112981/ENSG00000032742/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000204852/ENSG00000118997/ENSG00000125354/ENSG00000188596/ENSG00000164953",28
"GO:0016055","GO:0016055","Wnt signaling pathway","28/362","485/20772",3.48015824135773e-08,3.50287210737864e-05,3.1068266349007e-05,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000187098/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000177283/ENSG00000182704/ENSG00000173218/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000075275/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104/ENSG00000164953",28
"GO:0198738","GO:0198738","cell-cell signaling by wnt","28/362","487/20772",3.79612257640601e-08,3.50287210737864e-05,3.1068266349007e-05,"ENSG00000065717/ENSG00000104953/ENSG00000163251/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000187098/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000177283/ENSG00000182704/ENSG00000173218/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000075275/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104/ENSG00000164953",28
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","22/362","351/20772",2.64298599702977e-07,0.000160767999134589,0.000142591075677272,"ENSG00000065717/ENSG00000104953/ENSG00000148737/ENSG00000103449/ENSG00000111087/ENSG00000068885/ENSG00000164690/ENSG00000188906/ENSG00000106723/ENSG00000182704/ENSG00000104964/ENSG00000187123/ENSG00000146678/ENSG00000070193/ENSG00000180730/ENSG00000162998/ENSG00000269113/ENSG00000110492/ENSG00000152284/ENSG00000101311/ENSG00000124766/ENSG00000107104",22
"GO:0001578","GO:0001578","microtubule bundle formation","13/362","124/20772",2.65217095649535e-07,0.000160767999134589,0.000142591075677272,"ENSG00000160188/ENSG00000105792/ENSG00000077274/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000152582/ENSG00000167566/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000118997",13
"GO:0035270","GO:0035270","endocrine system development","14/362","147/20772",3.04897316158798e-07,0.000160767999134589,0.000142591075677272,"ENSG00000125798/ENSG00000103449/ENSG00000111087/ENSG00000178919/ENSG00000164690/ENSG00000164093/ENSG00000070193/ENSG00000010310/ENSG00000136352/ENSG00000110492/ENSG00000124766/ENSG00000114315/ENSG00000134853/ENSG00000138083",14
"GO:0003341","GO:0003341","cilium movement","16/362","202/20772",5.50594648100881e-07,0.000254030605767544,0.000225309125736018,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000112981/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000154099/ENSG00000088727/ENSG00000118997/ENSG00000188596/ENSG00000179397",16
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","14/362","164/20772",1.15690190934477e-06,0.000427012494739154,0.000378733151374972,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000088727/ENSG00000118997/ENSG00000188596/ENSG00000179397",14
"GO:0060285","GO:0060285","cilium-dependent cell motility","14/362","164/20772",1.15690190934477e-06,0.000427012494739154,0.000378733151374972,"ENSG00000105792/ENSG00000181378/ENSG00000171811/ENSG00000206530/ENSG00000170703/ENSG00000188316/ENSG00000152582/ENSG00000151023/ENSG00000197748/ENSG00000111834/ENSG00000088727/ENSG00000118997/ENSG00000188596/ENSG00000179397",14
