"","line","type","day"
"PC1",0.903251607528501,0.531511471428194,2.7726015273631e-22
"PC2",0.914846012274737,6.04244968804615e-16,0.530800998490849
"PC3",3.38621536443857e-27,0.626883247074526,0.873438794281598
"PC4",0.898051488438119,0.231611006351599,0.0837412655201149
"PC5",0.104491593049297,0.503853000270285,0.923856082085229
