"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030901","GO:0030901","midbrain development","10/461","100/20772",7.65764709005671e-05,0.00847201992420175,0.0074191238153542,"ENSG00000125492/ENSG00000148798/ENSG00000154342/ENSG00000163132/ENSG00000115507/ENSG00000066468/ENSG00000114450/ENSG00000104290/ENSG00000148672/ENSG00000143869",10
"GO:0007628","GO:0007628","adult walking behavior","6/461","33/20772",7.70183629472886e-05,0.00847201992420175,0.0074191238153542,"ENSG00000152977/ENSG00000170893/ENSG00000064218/ENSG00000184845/ENSG00000184144/ENSG00000141458",6
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","12/461","142/20772",7.96558046058704e-05,0.0085430850439796,0.00748135701679872,"ENSG00000189120/ENSG00000134245/ENSG00000154342/ENSG00000163132/ENSG00000100592/ENSG00000104290/ENSG00000064218/ENSG00000164056/ENSG00000162738/ENSG00000156299/ENSG00000019549/ENSG00000126778",12
"GO:0060713","GO:0060713","labyrinthine layer morphogenesis","5/461","22/20772",0.000101529585673646,0.0106234615253644,0.00930318591191889,"ENSG00000188064/ENSG00000185650/ENSG00000066468/ENSG00000112175/ENSG00000138795",5
"GO:0090659","GO:0090659","walking behavior","6/461","35/20772",0.000108715082601151,0.0108158666366131,0.00947167906418162,"ENSG00000152977/ENSG00000170893/ENSG00000064218/ENSG00000184845/ENSG00000184144/ENSG00000141458",6
"GO:0071470","GO:0071470","cellular response to osmotic stress","7/461","50/20772",0.000110931965503724,0.0108158666366131,0.00947167906418162,"ENSG00000185650/ENSG00000171488/ENSG00000198771/ENSG00000104856/ENSG00000117394/ENSG00000215301/ENSG00000065534",7
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","7/461","50/20772",0.000110931965503724,0.0108158666366131,0.00947167906418162,"ENSG00000018625/ENSG00000069849/ENSG00000120457/ENSG00000064651/ENSG00000143153/ENSG00000075711/ENSG00000184185",7
"GO:0090596","GO:0090596","sensory organ morphogenesis","18/461","296/20772",0.000119994140986948,0.0114394414407557,0.0100177564721033,"ENSG00000101384/ENSG00000182968/ENSG00000118733/ENSG00000007372/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000008196/ENSG00000163132/ENSG00000115507/ENSG00000066468/ENSG00000064309/ENSG00000152977/ENSG00000104290/ENSG00000137203/ENSG00000184254/ENSG00000126778/ENSG00000060718",18
"GO:0008344","GO:0008344","adult locomotory behavior","9/461","87/20772",0.000133958156566959,0.0124930541667881,0.0109404270203084,"ENSG00000018625/ENSG00000167081/ENSG00000152977/ENSG00000170893/ENSG00000069696/ENSG00000064218/ENSG00000184845/ENSG00000184144/ENSG00000141458",9
"GO:0042594","GO:0042594","response to starvation","15/461","222/20772",0.000139488701375289,0.0127320538063828,0.0111497239688333,"ENSG00000163545/ENSG00000134245/ENSG00000149212/ENSG00000167196/ENSG00000170836/ENSG00000162772/ENSG00000109819/ENSG00000080546/ENSG00000169174/ENSG00000117394/ENSG00000197769/ENSG00000124762/ENSG00000128016/ENSG00000103257/ENSG00000180616",15
"GO:0021514","GO:0021514","ventral spinal cord interneuron differentiation","4/461","13/20772",0.000146027401166984,0.0130511989792992,0.0114292060255475,"ENSG00000182968/ENSG00000106571/ENSG00000064218/ENSG00000074047",4
"GO:0010092","GO:0010092","specification of animal organ identity","6/461","37/20772",0.000149978491206504,0.0131307699444061,0.011498887972417,"ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000066468/ENSG00000164056/ENSG00000126778",6
"GO:0021542","GO:0021542","dentate gyrus development","5/461","24/20772",0.000157982468399416,0.0135548957886699,0.0118703037835267,"ENSG00000170370/ENSG00000184845/ENSG00000138795/ENSG00000162992/ENSG00000112333",5
"GO:0072073","GO:0072073","kidney epithelium development","12/461","154/20772",0.000172574204805423,0.0145165360512797,0.0127124321352024,"ENSG00000101384/ENSG00000188064/ENSG00000106571/ENSG00000134245/ENSG00000008196/ENSG00000066468/ENSG00000164056/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778/ENSG00000115884",12
"GO:0021871","GO:0021871","forebrain regionalization","5/461","25/20772",0.000193899633958555,0.0159967198015808,0.0140086597894349,"ENSG00000188064/ENSG00000007372/ENSG00000170370/ENSG00000106571/ENSG00000134245",5
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","7/461","55/20772",0.00020488648661157,0.0165842080672384,0.0145231354660714,"ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000138798/ENSG00000064309/ENSG00000104290/ENSG00000112333",7
"GO:0001662","GO:0001662","behavioral fear response","6/461","40/20772",0.000234097302205621,0.0182595895720384,0.0159903018482653,"ENSG00000018625/ENSG00000109189/ENSG00000150551/ENSG00000069696/ENSG00000184845/ENSG00000112333",6
"GO:0048665","GO:0048665","neuron fate specification","6/461","40/20772",0.000234097302205621,0.0182595895720384,0.0159903018482653,"ENSG00000182968/ENSG00000106571/ENSG00000184486/ENSG00000064218/ENSG00000074047/ENSG00000126778",6
"GO:0006970","GO:0006970","response to osmotic stress","9/461","94/20772",0.000242379430772524,0.0185679956788237,0.0162603794817131,"ENSG00000185650/ENSG00000171488/ENSG00000064651/ENSG00000198771/ENSG00000104856/ENSG00000117394/ENSG00000215301/ENSG00000157005/ENSG00000065534",9
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","8/461","75/20772",0.000254331304103648,0.018986760762433,0.0166271007633722,"ENSG00000101384/ENSG00000007372/ENSG00000250366/ENSG00000106571/ENSG00000154342/ENSG00000074181/ENSG00000112333/ENSG00000184144",8
"GO:0072006","GO:0072006","nephron development","12/461","161/20772",0.000261082597076174,0.018986760762433,0.0166271007633722,"ENSG00000101384/ENSG00000188064/ENSG00000106571/ENSG00000134245/ENSG00000008196/ENSG00000120156/ENSG00000075711/ENSG00000091879/ENSG00000074181/ENSG00000105696/ENSG00000115596/ENSG00000126778",12
"GO:0002209","GO:0002209","behavioral defense response","6/461","41/20772",0.000269145024754141,0.018986760762433,0.0166271007633722,"ENSG00000018625/ENSG00000109189/ENSG00000150551/ENSG00000069696/ENSG00000184845/ENSG00000112333",6
"GO:0060485","GO:0060485","mesenchyme development","19/461","344/20772",0.000270618913491463,0.018986760762433,0.0166271007633722,"ENSG00000101384/ENSG00000189120/ENSG00000154342/ENSG00000185650/ENSG00000163132/ENSG00000066468/ENSG00000110880/ENSG00000112175/ENSG00000075213/ENSG00000120149/ENSG00000164056/ENSG00000138795/ENSG00000187553/ENSG00000138623/ENSG00000156299/ENSG00000019549/ENSG00000144730/ENSG00000126778/ENSG00000005102",19
"GO:0021953","GO:0021953","central nervous system neuron differentiation","13/461","186/20772",0.000275906895311717,0.018986760762433,0.0166271007633722,"ENSG00000182968/ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000078018/ENSG00000066468/ENSG00000173376/ENSG00000064218/ENSG00000074047/ENSG00000184845/ENSG00000143869/ENSG00000112333/ENSG00000184144",13
"GO:0006865","GO:0006865","amino acid transport","12/461","162/20772",0.000276428224451561,0.018986760762433,0.0166271007633722,"ENSG00000018625/ENSG00000163485/ENSG00000164466/ENSG00000171488/ENSG00000170893/ENSG00000164300/ENSG00000064651/ENSG00000091664/ENSG00000168003/ENSG00000164082/ENSG00000103257/ENSG00000105281",12
"GO:0048663","GO:0048663","neuron fate commitment","8/461","76/20772",0.000278826556651114,0.018986760762433,0.0166271007633722,"ENSG00000182968/ENSG00000007372/ENSG00000106571/ENSG00000184486/ENSG00000064218/ENSG00000074047/ENSG00000074181/ENSG00000126778",8
"GO:0002028","GO:0002028","regulation of sodium ion transport","9/461","96/20772",0.000284161580037645,0.0190477059118984,0.0166804716966177,"ENSG00000018625/ENSG00000069696/ENSG00000069849/ENSG00000198947/ENSG00000143153/ENSG00000075711/ENSG00000169174/ENSG00000168710/ENSG00000060237",9
"GO:0051098","GO:0051098","regulation of binding","21/461","407/20772",0.000329657119833374,0.0214991987416431,0.018827294886253,"ENSG00000007372/ENSG00000154342/ENSG00000163132/ENSG00000078018/ENSG00000111913/ENSG00000138798/ENSG00000064309/ENSG00000221818/ENSG00000147894/ENSG00000180875/ENSG00000120149/ENSG00000138795/ENSG00000169174/ENSG00000162992/ENSG00000106003/ENSG00000156299/ENSG00000124762/ENSG00000136810/ENSG00000123485/ENSG00000069275/ENSG00000101255",21
"GO:0048568","GO:0048568","embryonic organ development","24/461","497/20772",0.000336778060947718,0.0214991987416431,0.018827294886253,"ENSG00000165891/ENSG00000188064/ENSG00000007372/ENSG00000106571/ENSG00000154342/ENSG00000167081/ENSG00000185650/ENSG00000163132/ENSG00000115507/ENSG00000066468/ENSG00000112175/ENSG00000152977/ENSG00000104290/ENSG00000137203/ENSG00000074047/ENSG00000137285/ENSG00000075711/ENSG00000138795/ENSG00000162738/ENSG00000162992/ENSG00000184254/ENSG00000120254/ENSG00000126778/ENSG00000060718",24
"GO:0060669","GO:0060669","embryonic placenta morphogenesis","5/461","28/20772",0.000339549021678068,0.0214991987416431,0.018827294886253,"ENSG00000188064/ENSG00000185650/ENSG00000066468/ENSG00000112175/ENSG00000138795",5
"GO:0046942","GO:0046942","carboxylic acid transport","20/461","379/20772",0.000340779840193876,0.0214991987416431,0.018827294886253,"ENSG00000018625/ENSG00000007171/ENSG00000163485/ENSG00000164466/ENSG00000171488/ENSG00000005469/ENSG00000170893/ENSG00000069696/ENSG00000164300/ENSG00000064651/ENSG00000091664/ENSG00000168003/ENSG00000123983/ENSG00000117394/ENSG00000164082/ENSG00000166426/ENSG00000103257/ENSG00000105281/ENSG00000197696/ENSG00000176463",20
"GO:0015849","GO:0015849","organic acid transport","20/461","380/20772",0.00035249269385517,0.0216066222911265,0.0189213679197719,"ENSG00000018625/ENSG00000007171/ENSG00000163485/ENSG00000164466/ENSG00000171488/ENSG00000005469/ENSG00000170893/ENSG00000069696/ENSG00000164300/ENSG00000064651/ENSG00000091664/ENSG00000168003/ENSG00000123983/ENSG00000117394/ENSG00000164082/ENSG00000166426/ENSG00000103257/ENSG00000105281/ENSG00000197696/ENSG00000176463",20
"GO:0030007","GO:0030007","intracellular potassium ion homeostasis","4/461","16/20772",0.000352555608479919,0.0216066222911265,0.0189213679197719,"ENSG00000018625/ENSG00000069849/ENSG00000064651/ENSG00000143153",4
"GO:0098657","GO:0098657","import into cell","17/461","296/20772",0.000358981686624694,0.0216905836002808,0.0189948945821132,"ENSG00000018625/ENSG00000059804/ENSG00000171488/ENSG00000069696/ENSG00000069849/ENSG00000120457/ENSG00000064651/ENSG00000204442/ENSG00000184845/ENSG00000143153/ENSG00000168003/ENSG00000075711/ENSG00000123983/ENSG00000117394/ENSG00000103257/ENSG00000184185/ENSG00000105281",17
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","12/461","167/20772",0.000365157400926361,0.021757295138529,0.0190533152617863,"ENSG00000188064/ENSG00000134245/ENSG00000066468/ENSG00000112175/ENSG00000104290/ENSG00000137203/ENSG00000162738/ENSG00000143869/ENSG00000184254/ENSG00000120254/ENSG00000115596/ENSG00000126778",12
"GO:0048640","GO:0048640","negative regulation of developmental growth","10/461","121/20772",0.000370557454839742,0.0217765956337328,0.0190702171063164,"ENSG00000154342/ENSG00000078018/ENSG00000075213/ENSG00000138623/ENSG00000113739/ENSG00000047644/ENSG00000185386/ENSG00000124762/ENSG00000154639/ENSG00000120833",10
"GO:0071496","GO:0071496","cellular response to external stimulus","19/461","355/20772",0.000400233975762981,0.0230441497558368,0.020180240578722,"ENSG00000018625/ENSG00000163545/ENSG00000134245/ENSG00000149212/ENSG00000116717/ENSG00000167196/ENSG00000170836/ENSG00000162772/ENSG00000122779/ENSG00000080546/ENSG00000070961/ENSG00000169174/ENSG00000117394/ENSG00000136159/ENSG00000120889/ENSG00000197769/ENSG00000019549/ENSG00000124762/ENSG00000103257",19
"GO:0002052","GO:0002052","positive regulation of neuroblast proliferation","5/461","29/20772",0.000402869750976167,0.0230441497558368,0.020180240578722,"ENSG00000007372/ENSG00000106571/ENSG00000064309/ENSG00000104290/ENSG00000112333",5
"GO:0021987","GO:0021987","cerebral cortex development","11/461","146/20772",0.000425749002436432,0.0236479560930452,0.0207090063295493,"ENSG00000007372/ENSG00000170370/ENSG00000106571/ENSG00000184486/ENSG00000064309/ENSG00000137267/ENSG00000137285/ENSG00000118193/ENSG00000117394/ENSG00000112333/ENSG00000171450",11
"GO:0009914","GO:0009914","hormone transport","19/461","357/20772",0.000428853966527718,0.0236479560930452,0.0207090063295493,"ENSG00000007171/ENSG00000156675/ENSG00000163485/ENSG00000250366/ENSG00000008196/ENSG00000141433/ENSG00000118263/ENSG00000170893/ENSG00000148672/ENSG00000068366/ENSG00000115138/ENSG00000198355/ENSG00000186188/ENSG00000168003/ENSG00000162992/ENSG00000117139/ENSG00000107560/ENSG00000103257/ENSG00000197696",19
"GO:0060537","GO:0060537","muscle tissue development","22/461","445/20772",0.000429962838055367,0.0236479560930452,0.0207090063295493,"ENSG00000154342/ENSG00000008196/ENSG00000163132/ENSG00000066468/ENSG00000064309/ENSG00000112175/ENSG00000078114/ENSG00000167196/ENSG00000162772/ENSG00000198947/ENSG00000120149/ENSG00000109819/ENSG00000075711/ENSG00000138795/ENSG00000175183/ENSG00000185386/ENSG00000154639/ENSG00000126778/ENSG00000065534/ENSG00000170802/ENSG00000060718/ENSG00000152413",22
"GO:0060562","GO:0060562","epithelial tube morphogenesis","20/461","387/20772",0.000444778019517202,0.0239543198642645,0.0209772954473218,"ENSG00000198435/ENSG00000106571/ENSG00000134245/ENSG00000154342/ENSG00000138798/ENSG00000066468/ENSG00000112175/ENSG00000104290/ENSG00000120149/ENSG00000074047/ENSG00000164056/ENSG00000075711/ENSG00000138795/ENSG00000162738/ENSG00000143869/ENSG00000117139/ENSG00000105696/ENSG00000120254/ENSG00000115596/ENSG00000126778",20
"GO:0009953","GO:0009953","dorsal/ventral pattern formation","9/461","102/20772",0.000446700603529409,0.0239543198642645,0.0209772954473218,"ENSG00000182968/ENSG00000007372/ENSG00000164651/ENSG00000106571/ENSG00000154342/ENSG00000075290/ENSG00000064218/ENSG00000180875/ENSG00000074047",9
"GO:0061548","GO:0061548","ganglion development","4/461","17/20772",0.000452988654251669,0.0239916213177736,0.0210099611049279,"ENSG00000075213/ENSG00000138061/ENSG00000104290/ENSG00000126778",4
"GO:0031669","GO:0031669","cellular response to nutrient levels","15/461","249/20772",0.000478753289632753,0.0248122405546504,0.0217285944152981,"ENSG00000163545/ENSG00000134245/ENSG00000149212/ENSG00000167196/ENSG00000170836/ENSG00000162772/ENSG00000122779/ENSG00000080546/ENSG00000070961/ENSG00000169174/ENSG00000117394/ENSG00000197769/ENSG00000019549/ENSG00000124762/ENSG00000103257",15
"GO:0001657","GO:0001657","ureteric bud development","9/461","103/20772",0.00048005034173333,0.0248122405546504,0.0217285944152981,"ENSG00000106571/ENSG00000134245/ENSG00000066468/ENSG00000164056/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778/ENSG00000115884",9
"GO:0045444","GO:0045444","fat cell differentiation","16/461","277/20772",0.000498229810246914,0.0249753703495514,0.0218714505649733,"ENSG00000101384/ENSG00000154342/ENSG00000008196/ENSG00000185650/ENSG00000171488/ENSG00000221818/ENSG00000120149/ENSG00000109819/ENSG00000189077/ENSG00000186188/ENSG00000142611/ENSG00000184144/ENSG00000019549/ENSG00000128016/ENSG00000126778/ENSG00000101255",16
"GO:0060993","GO:0060993","kidney morphogenesis","9/461","104/20772",0.000515417754766667,0.0249753703495514,0.0218714505649733,"ENSG00000187210/ENSG00000188064/ENSG00000106571/ENSG00000134245/ENSG00000075711/ENSG00000176928/ENSG00000105696/ENSG00000115596/ENSG00000126778",9
"GO:0072080","GO:0072080","nephron tubule development","9/461","104/20772",0.000515417754766667,0.0249753703495514,0.0218714505649733,"ENSG00000101384/ENSG00000188064/ENSG00000106571/ENSG00000134245/ENSG00000008196/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778",9
"GO:0072163","GO:0072163","mesonephric epithelium development","9/461","104/20772",0.000515417754766667,0.0249753703495514,0.0218714505649733,"ENSG00000106571/ENSG00000134245/ENSG00000066468/ENSG00000164056/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778/ENSG00000115884",9
"GO:0072164","GO:0072164","mesonephric tubule development","9/461","104/20772",0.000515417754766667,0.0249753703495514,0.0218714505649733,"ENSG00000106571/ENSG00000134245/ENSG00000066468/ENSG00000164056/ENSG00000075711/ENSG00000105696/ENSG00000115596/ENSG00000126778/ENSG00000115884",9
"GO:0048762","GO:0048762","mesenchymal cell differentiation","16/461","278/20772",0.000518137053871811,0.0249753703495514,0.0218714505649733,"ENSG00000101384/ENSG00000189120/ENSG00000163132/ENSG00000066468/ENSG00000110880/ENSG00000112175/ENSG00000075213/ENSG00000120149/ENSG00000164056/ENSG00000138795/ENSG00000187553/ENSG00000138623/ENSG00000156299/ENSG00000019549/ENSG00000144730/ENSG00000126778",16
