"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043588","GO:0043588","skin development","15/375","335/20772",0.0012110983348684,0.036369939230704,0.0321282122639156,"ENSG00000205213/ENSG00000169744/ENSG00000178919/ENSG00000164690/ENSG00000122641/ENSG00000117632/ENSG00000091409/ENSG00000070193/ENSG00000170477/ENSG00000172936/ENSG00000133321/ENSG00000185640/ENSG00000101311/ENSG00000124193/ENSG00000127152",15
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","18/375","442/20772",0.00121265729083283,0.036369939230704,0.0321282122639156,"ENSG00000132386/ENSG00000148737/ENSG00000111087/ENSG00000104313/ENSG00000068885/ENSG00000164690/ENSG00000124813/ENSG00000248329/ENSG00000185920/ENSG00000070193/ENSG00000170477/ENSG00000115310/ENSG00000141736/ENSG00000184304/ENSG00000110492/ENSG00000114315/ENSG00000124193/ENSG00000127152",18
"GO:0021879","GO:0021879","forebrain neuron differentiation","5/375","45/20772",0.00126053215005318,0.0375033525283822,0.0331294386552924,"ENSG00000170381/ENSG00000122641/ENSG00000136352/ENSG00000114315/ENSG00000127152",5
"GO:0048839","GO:0048839","inner ear development","11/375","205/20772",0.00130402957494163,0.0382903021126259,0.0338246084526133,"ENSG00000150893/ENSG00000104313/ENSG00000170891/ENSG00000164690/ENSG00000182704/ENSG00000133216/ENSG00000065320/ENSG00000070193/ENSG00000032742/ENSG00000162998/ENSG00000114315",11
"GO:0060537","GO:0060537","muscle tissue development","18/375","445/20772",0.00130757417808645,0.0382903021126259,0.0338246084526133,"ENSG00000075223/ENSG00000116741/ENSG00000114861/ENSG00000111087/ENSG00000104313/ENSG00000164690/ENSG00000064655/ENSG00000181744/ENSG00000185920/ENSG00000170162/ENSG00000148814/ENSG00000183023/ENSG00000138435/ENSG00000117152/ENSG00000134853/ENSG00000149256/ENSG00000173706/ENSG00000163389",18
"GO:0021915","GO:0021915","neural tube development","10/375","175/20772",0.00133947631044324,0.0389180656135815,0.034379157606031,"ENSG00000075223/ENSG00000129514/ENSG00000169641/ENSG00000164690/ENSG00000185920/ENSG00000075275/ENSG00000204852/ENSG00000124766/ENSG00000114315/ENSG00000090539",10
"GO:0003002","GO:0003002","regionalization","18/375","450/20772",0.0014798001083109,0.0426618341302965,0.037686300595988,"ENSG00000075223/ENSG00000125798/ENSG00000163251/ENSG00000129514/ENSG00000164161/ENSG00000111087/ENSG00000164690/ENSG00000164093/ENSG00000185920/ENSG00000070193/ENSG00000151023/ENSG00000136352/ENSG00000154099/ENSG00000204852/ENSG00000114315/ENSG00000090539/ENSG00000138083/ENSG00000163389",18
"GO:0060479","GO:0060479","lung cell differentiation","4/375","28/20772",0.00151902067368005,0.0431239533237871,0.0380945240864238,"ENSG00000129514/ENSG00000070193/ENSG00000151090/ENSG00000136352",4
"GO:0060487","GO:0060487","lung epithelial cell differentiation","4/375","28/20772",0.00151902067368005,0.0431239533237871,0.0380945240864238,"ENSG00000129514/ENSG00000070193/ENSG00000151090/ENSG00000136352",4
"GO:0042073","GO:0042073","intraciliary transport","5/375","47/20772",0.00153675638738058,0.0432969470050634,0.0382473419857639,"ENSG00000068885/ENSG00000118965/ENSG00000196659/ENSG00000204104/ENSG00000032742",5
