#node	identifier	node_degree
A1CF	9606.ENSP00000378868	5
AARS1	9606.ENSP00000261772	14
ABCA1	9606.ENSP00000363868	28
ABCA5	9606.ENSP00000376443	2
ABCC4	9606.ENSP00000494609	8
ABHD11	9606.ENSP00000222800	3
ABHD3	9606.ENSP00000289119	2
ABI2	9606.ENSP00000295851	23
ABITRAM	9606.ENSP00000363753	2
ACAD8	9606.ENSP00000281182	16
ACCS	9606.ENSP00000263776	3
ACOT7	9606.ENSP00000367086	5
ACOXL	9606.ENSP00000407761	6
ACSL3	9606.ENSP00000350012	15
ACSS2	9606.ENSP00000253382	35
ACTC1	9606.ENSP00000290378	28
ACVR2B	9606.ENSP00000340361	16
ADAM33	9606.ENSP00000348912	2
ADCY8	9606.ENSP00000286355	17
ADCYAP1R1	9606.ENSP00000483721	5
ADD1	9606.ENSP00000264758	22
ADD2	9606.ENSP00000264436	17
ADD3	9606.ENSP00000348381	24
ADGRG2	9606.ENSP00000369198	2
ADGRL3	9606.ENSP00000422533	27
ADRA2A	9606.ENSP00000280155	14
ADRA2B	9606.ENSP00000480573	11
ADSS2	9606.ENSP00000355493	24
AEBP1	9606.ENSP00000223357	6
AFF3	9606.ENSP00000386834	10
AFMID	9606.ENSP00000328938	7
AGA	9606.ENSP00000264595	6
AGAP3	9606.ENSP00000380413	4
AGPAT3	9606.ENSP00000291572	4
AHCTF1	9606.ENSP00000355465	12
AHCYL1	9606.ENSP00000358814	12
AHSP	9606.ENSP00000307199	7
AIF1L	9606.ENSP00000361383	0
AK3	9606.ENSP00000371230	27
AK5	9606.ENSP00000346577	25
AK9	9606.ENSP00000410186	29
AKAP1	9606.ENSP00000478212	14
AKAP9	9606.ENSP00000348573	34
AKIP1	9606.ENSP00000310459	1
AKR1C3	9606.ENSP00000369927	11
ALDH1B1	9606.ENSP00000366927	10
ALDH7A1	9606.ENSP00000387123	15
ALDOC	9606.ENSP00000378731	16
ALG14	9606.ENSP00000359224	2
ALG2	9606.ENSP00000417764	7
ALG9	9606.ENSP00000482437	1
ALPK3	9606.ENSP00000258888	1
AMFR	9606.ENSP00000290649	12
AMIGO1	9606.ENSP00000358880	2
AMIGO2	9606.ENSP00000266581	4
AMOT	9606.ENSP00000361027	18
AMPH	9606.ENSP00000348602	22
ANAPC13	9606.ENSP00000421842	11
ANGPTL2	9606.ENSP00000362524	3
ANK3	9606.ENSP00000280772	54
ANKMY2	9606.ENSP00000303570	4
ANKRD11	9606.ENSP00000301030	8
ANKRD13D	9606.ENSP00000427130	1
ANKRD24	9606.ENSP00000471252	0
ANKRD28	9606.ENSP00000382379	7
ANKRD29	9606.ENSP00000468354	5
ANKRD6	9606.ENSP00000345767	11
ANKS1A	9606.ENSP00000353518	3
ANKS1B	9606.ENSP00000449629	3
ANTXR1	9606.ENSP00000301945	8
ANTXR2	9606.ENSP00000306185	6
ANXA5	9606.ENSP00000296511	46
AOAH	9606.ENSP00000479664	0
AP1M1	9606.ENSP00000388996	15
AP1M2	9606.ENSP00000465685	20
AP1S3	9606.ENSP00000379891	11
AP5M1	9606.ENSP00000261558	9
AP5S1	9606.ENSP00000481750	5
APC	9606.ENSP00000257430	29
APEX1	9606.ENSP00000216714	27
APLP2	9606.ENSP00000497691	9
APOBEC3F	9606.ENSP00000309749	10
APOE	9606.ENSP00000252486	68
APPBP2	9606.ENSP00000083182	6
APPL2	9606.ENSP00000446917	3
APRT	9606.ENSP00000367615	34
ARAP2	9606.ENSP00000302895	3
ARAP3	9606.ENSP00000239440	2
ARFGEF3	9606.ENSP00000251691	1
ARHGAP1	9606.ENSP00000310491	24
ARHGAP26	9606.ENSP00000274498	5
ARHGAP29	9606.ENSP00000260526	3
ARHGEF12	9606.ENSP00000380942	28
ARHGEF17	9606.ENSP00000263674	3
ARHGEF6	9606.ENSP00000250617	18
ARID4B	9606.ENSP00000264183	16
ARL10	9606.ENSP00000308496	2
ARL11	9606.ENSP00000282026	5
ARL14EP	9606.ENSP00000282032	1
ARL4A	9606.ENSP00000379898	6
ARL4D	9606.ENSP00000322628	2
ARL5A	9606.ENSP00000295087	1
ARMC2	9606.ENSP00000376417	5
ARMCX1	9606.ENSP00000361917	3
ARMCX3	9606.ENSP00000340672	3
ARNT2	9606.ENSP00000307479	4
ARX	9606.ENSP00000368332	8
ASCC3	9606.ENSP00000358159	9
ASIC1	9606.ENSP00000228468	4
ASTN1	9606.ENSP00000354536	6
ASXL2	9606.ENSP00000383920	18
ATAD3B	9606.ENSP00000500094	2
ATAD5	9606.ENSP00000313171	24
ATAT1	9606.ENSP00000327832	2
ATCAY	9606.ENSP00000390941	1
ATG14	9606.ENSP00000247178	24
ATG4D	9606.ENSP00000311318	8
ATL2	9606.ENSP00000368237	8
ATOH8	9606.ENSP00000304676	3
ATP13A4	9606.ENSP00000339182	0
ATP1B1	9606.ENSP00000356790	10
ATP1B3	9606.ENSP00000286371	7
ATP2B4	9606.ENSP00000350310	21
ATP2C1	9606.ENSP00000421326	7
ATP5F1E	9606.ENSP00000243997	19
ATP6V0E2	9606.ENSP00000411672	4
ATP6V1B1	9606.ENSP00000234396	14
ATP7A	9606.ENSP00000345728	15
ATP8B4	9606.ENSP00000284509	1
ATP9A	9606.ENSP00000342481	3
ATXN7	9606.ENSP00000295900	12
AUNIP	9606.ENSP00000443647	4
AVEN	9606.ENSP00000306822	1
B3GALNT1	9606.ENSP00000498660	4
B3GAT1	9606.ENSP00000433847	11
B3GNT2	9606.ENSP00000305595	8
B3GNT7	9606.ENSP00000287590	1
B4GALNT1	9606.ENSP00000341562	5
B4GALT1	9606.ENSP00000369055	15
B4GAT1	9606.ENSP00000309096	4
B9D2	9606.ENSP00000243578	10
BAG1	9606.ENSP00000489189	7
BAG2	9606.ENSP00000359727	12
BARX1	9606.ENSP00000253968	3
BAZ1A	9606.ENSP00000371859	6
BBS5	9606.ENSP00000295240	12
BCAR3	9606.ENSP00000260502	7
BCAS4	9606.ENSP00000351642	3
BCAT1	9606.ENSP00000443459	15
BCCIP	9606.ENSP00000357748	16
BCL11A	9606.ENSP00000496168	21
BCL2	9606.ENSP00000381185	110
BCL2L10	9606.ENSP00000453562	3
BCL2L11	9606.ENSP00000376943	32
BCR	9606.ENSP00000303507	19
BDH2	9606.ENSP00000296424	6
BEND3	9606.ENSP00000411268	3
BEND4	9606.ENSP00000421169	0
BEND5	9606.ENSP00000360899	2
BET1	9606.ENSP00000222547	14
BEX5	9606.ENSP00000446054	1
BICD1	9606.ENSP00000498700	7
BLACAT1	9606.ENSP00000499205	2
BMI1	9606.ENSP00000365851	56
BMP1	9606.ENSP00000305714	20
BMPER	9606.ENSP00000497748	3
BMPR1B	9606.ENSP00000401907	19
