#node	identifier	node_degree
BTG3	9606.ENSP00000344609	1
C11orf87	9606.ENSP00000331581	0
C14orf39	9606.ENSP00000324920	0
C16orf74	9606.ENSP00000284245	1
C17orf58	9606.ENSP00000402020	1
C19orf18	9606.ENSP00000321519	1
C1QL1	9606.ENSP00000253407	5
C1R	9606.ENSP00000444271	15
C2orf50	9606.ENSP00000370997	0
C2orf72	9606.ENSP00000362743	0
C3orf52	9606.ENSP00000399392	2
C3orf80	9606.ENSP00000313324	1
C4orf47	9606.ENSP00000368127	5
C9orf116	9606.ENSP00000395281	12
C9orf24	9606.ENSP00000297623	3
CA2	9606.ENSP00000285379	6
CA3	9606.ENSP00000285381	4
CA4	9606.ENSP00000300900	7
CABLES1	9606.ENSP00000256925	2
CABP7	9606.ENSP00000216144	3
CACHD1	9606.ENSP00000290039	7
CACNA1E	9606.ENSP00000356545	15
CACNG4	9606.ENSP00000262138	20
CACNG7	9606.ENSP00000375647	18
CALB1	9606.ENSP00000265431	58
CALCB	9606.ENSP00000433490	11
CALCRL	9606.ENSP00000376177	9
CALHM5	9606.ENSP00000357588	1
CALY	9606.ENSP00000252939	6
CAMK2A	9606.ENSP00000500386	56
CAMK4	9606.ENSP00000282356	22
CAP2	9606.ENSP00000229922	4
CAPN2	9606.ENSP00000295006	4
CAPN6	9606.ENSP00000317214	1
CAPN7	9606.ENSP00000253693	2
CAPN9	9606.ENSP00000271971	3
CARD11	9606.ENSP00000380150	15
CARMIL1	9606.ENSP00000331983	4
CASQ2	9606.ENSP00000261448	27
CAVIN1	9606.ENSP00000349541	13
CAVIN3	9606.ENSP00000307292	3
CCBE1	9606.ENSP00000497183	10
CCDC153	9606.ENSP00000423567	1
CCDC169	9606.ENSP00000426174	1
CCDC170	9606.ENSP00000239374	6
CCDC183	9606.ENSP00000338013	3
CCDC191	9606.ENSP00000295878	1
CCDC50	9606.ENSP00000376249	2
CCDC51	9606.ENSP00000379047	1
CCDC60	9606.ENSP00000333374	3
CCDC80	9606.ENSP00000206423	10
CCDC81	9606.ENSP00000415528	4
CCK	9606.ENSP00000379472	55
CCKBR	9606.ENSP00000435534	11
CCN2	9606.ENSP00000356954	79
CCND2	9606.ENSP00000261254	33
CCNO	9606.ENSP00000282572	13
CCR7	9606.ENSP00000246657	41
CD247	9606.ENSP00000354782	21
CD248	9606.ENSP00000308117	9
CD38	9606.ENSP00000226279	36
CD4	9606.ENSP00000011653	120
CD40	9606.ENSP00000361359	45
CD44	9606.ENSP00000398632	145
CD82	9606.ENSP00000227155	8
CD83	9606.ENSP00000368450	21
CD9	9606.ENSP00000371958	44
CDC42EP1	9606.ENSP00000249014	8
CDC42EP3	9606.ENSP00000480549	1
CDCP1	9606.ENSP00000296129	5
CDH1	9606.ENSP00000261769	136
CDH13	9606.ENSP00000268613	23
CDH17	9606.ENSP00000027335	60
CDH18	9606.ENSP00000371710	9
CDH2	9606.ENSP00000269141	118
CDH20	9606.ENSP00000262717	9
CDH7	9606.ENSP00000381058	11
CDH8	9606.ENSP00000462701	21
CDHR1	9606.ENSP00000485478	5
CDK5R2	9606.ENSP00000304250	4
CDK6	9606.ENSP00000265734	32
CDKN1A	9606.ENSP00000384849	69
CDKN2A	9606.ENSP00000418915	77
CDON	9606.ENSP00000376458	18
CEACAM19	9606.ENSP00000384887	0
CEBPD	9606.ENSP00000386165	34
CELF5	9606.ENSP00000292672	4
CEMIP2	9606.ENSP00000366243	0
CENPW	9606.ENSP00000357308	1
CEP126	9606.ENSP00000263468	0
CFAP100	9606.ENSP00000344749	3
CFAP43	9606.ENSP00000349568	23
CFAP44	9606.ENSP00000377428	12
CFAP46	9606.ENSP00000357575	3
CFAP52	9606.ENSP00000339449	24
CFAP54	9606.ENSP00000431759	10
CFAP57	9606.ENSP00000479773	7
CFAP58	9606.ENSP00000358718	9
CFAP65	9606.ENSP00000340776	7
CFAP70	9606.ENSP00000310829	21
CGREF1	9606.ENSP00000385452	0
CHI3L1	9606.ENSP00000255409	20
CHRD	9606.ENSP00000204604	38
CHRNA1	9606.ENSP00000261007	2
CHST15	9606.ENSP00000333947	1
