"","CRISPR","NKX21","SHH"
"PC1",0.00033598483330611,0.644788965629684,1.68431466096846e-08
"PC2",0.00330042605038709,1.59415810923127e-10,0.172457992627759
"PC3",0.71801488914376,0.60798257979768,0.885411638488994
"PC4",0.991199056430025,0.952572768122692,0.869099972759627
"PC5",0.86820564096718,0.784040953139872,0.764836531613303
