gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
AFF2,ARHGEF6,0.445,keep,tested,expressed,FALSE,0.259293759479568,0.00153385851767562
AFF2,GRM7,0.488,keep,tested,expressed,FALSE,0.259293759479568,2.31625824880652e-06
AFF2,NLGN3,0.439,keep,tested,expressed,FALSE,0.259293759479568,0.0635305170825713
AFF2,GRM4,0.545,keep,tested,expressed,FALSE,0.259293759479568,0.00111072790924883
AGA,RPS6,0.413,keep,NA,expressed,FALSE,0.0013397311711661,0.00208068130791036
AK3,FANCE,0.444,keep,NA,expressed,FALSE,0.00974490425983016,7.47188314924801e-05
AK3,AK5,0.519,keep,NA,expressed,FALSE,0.00974490425983016,0.00774441219196884
AK3,MANEAL,0.424,keep,NA,expressed,FALSE,0.00974490425983016,4.03785797587376e-05
AK3,ENPP3,0.902,keep,NA,expressed,FALSE,0.00974490425983016,3.56409797519516e-14
AK5,FANCE,0.444,keep,NA,expressed,FALSE,0.00774441219196884,7.47188314924801e-05
AK5,IGLON5,0.54,keep,NA,expressed,FALSE,0.00774441219196884,0.000853079880767648
AK5,PNMA2,0.454,keep,NA,expressed,FALSE,0.00774441219196884,0.141965824523325
AK5,ENPP3,0.902,keep,NA,expressed,FALSE,0.00774441219196884,3.56409797519516e-14
ALDH1B1,ALDH7A1,0.415,keep,NA,expressed,FALSE,9.85732431771271e-05,0.0640640646767524
ALPK3,WDR73,0.418,keep,NA,expressed,FALSE,3.12545918451766e-05,0.00025031974562936
ANGPTL2,CXCR4,0.561,keep,NA,expressed,FALSE,0.0138575381174038,0.106669358550061
ANKRD11,NCOA3,0.67,keep,NA,expressed,FALSE,0.000531011992078754,0.00236981990238958
ANTXR1,ZNF425,0.482,keep,NA,expressed,FALSE,0.0548608954176018,0.000192928699800916
ANTXR1,COL12A1,0.57,keep,NA,expressed,FALSE,0.0548608954176018,0.000441808597759817
APC,SFRP1,0.428,keep,NA,expressed,FALSE,0.119077011048641,0.261302351406635
APC,KHDRBS3,0.44,keep,NA,expressed,FALSE,0.119077011048641,0.00474702397319914
APC,UCKL1,0.475,keep,NA,expressed,FALSE,0.119077011048641,0.00260295368677482
APC,VANGL2,0.489,keep,NA,expressed,FALSE,0.119077011048641,0.00279506704500166
APC,TLE3,0.508,keep,NA,expressed,FALSE,0.119077011048641,0.00543477035828737
APC,TLE2,0.526,keep,NA,expressed,FALSE,0.119077011048641,0.113906165745265
APC,CDH10,0.549,keep,NA,expressed,FALSE,0.119077011048641,0.000196736594166434
APC,CDH6,0.552,keep,NA,expressed,FALSE,0.119077011048641,0.0162166096621244
APC,CDH15,0.552,keep,NA,expressed,FALSE,0.119077011048641,3.23981841784576e-06
