"","gene","category"
"SMAD6","SMAD6","kinetic"
"BCAR3","BCAR3","kinetic"
"SIX3","SIX3","kinetic"
"RASGEF1B","RASGEF1B","kinetic"
"CCNG2","CCNG2","kinetic"
"LEF1","LEF1","kinetic"
"FBN2","FBN2","kinetic"
"LRIG3","LRIG3","kinetic"
"TPM1","TPM1","kinetic"
"ELAC1","ELAC1","kinetic"
"CACNA1A","CACNA1A","kinetic"
"ILDR2","ILDR2","kinetic"
"RGL1","RGL1","kinetic"
"DUSP10","DUSP10","kinetic"
"LEFTY2","LEFTY2","kinetic"
"AFF3","AFF3","kinetic"
"TIFA","TIFA","kinetic"
"MYO10","MYO10","kinetic"
"PAM","PAM","kinetic"
"GPC3","GPC3","kinetic"
"RSPO2","RSPO2","kinetic"
"CDKN2A","CDKN2A","kinetic"
"GSN","GSN","kinetic"
"FAM13C","FAM13C","kinetic"
"TENM4","TENM4","kinetic"
"PRSS23","PRSS23","kinetic"
"MBIP","MBIP","kinetic"
"ME3","ME3","kinetic"
"SERP2","SERP2","kinetic"
"GLT1D1","GLT1D1","kinetic"
"ASTN1","ASTN1","kinetic"
"FEZF2","FEZF2","kinetic"
"ABCA5","ABCA5","kinetic"
"SH3RF1","SH3RF1","kinetic"
"TSPAN7","TSPAN7","kinetic"
"TSPAN18","TSPAN18","kinetic"
"BEND5","BEND5","kinetic"
"ANTXR2","ANTXR2","kinetic"
"PTPN13","PTPN13","kinetic"
"PTX3","PTX3","kinetic"
"PCDH19","PCDH19","kinetic"
"ATP7A","ATP7A","kinetic"
"PHYHIPL","PHYHIPL","kinetic"
"ZNF503","ZNF503","kinetic"
"STOX1","STOX1","kinetic"
"SCN3B","SCN3B","kinetic"
"ATOH8","ATOH8","kinetic"
"IRS1","IRS1","kinetic"
"CXCL10","CXCL10","kinetic"
"ZEB2","ZEB2","kinetic"
"SEMA3E","SEMA3E","kinetic"
"DCLK2","DCLK2","kinetic"
"TMC7","TMC7","kinetic"
"CYTL1","CYTL1","kinetic"
"FAM241B","FAM241B","kinetic"
"LRRN3","LRRN3","kinetic"
"YPEL2","YPEL2","kinetic"
"CLCF1","CLCF1","kinetic"
"VPS37D","VPS37D","kinetic"
"DNAJC22","DNAJC22","kinetic"
"C14orf39","C14orf39","kinetic"
"LDLRAD3","LDLRAD3","kinetic"
"RNF182","RNF182","kinetic"
"AMIGO1","AMIGO1","kinetic"
"GABRG3","GABRG3","kinetic"
"TBX1","TBX1","kinetic"
"IFITM2","IFITM2","kinetic"
"NRG3","NRG3","kinetic"
"TEAD1","TEAD1","kinetic"
"PLCD1","PLCD1","kinetic"
"MITF","MITF","kinetic"
"SESTD1","SESTD1","kinetic"
"ARL4C","ARL4C","kinetic"
"MVB12B","MVB12B","kinetic"
"ZNF763","ZNF763","kinetic"
"ZNF521","ZNF521","kinetic"
"GPRASP1","GPRASP1","kinetic"
"CCDC160","CCDC160","kinetic"
"TCEAL5","TCEAL5","kinetic"
"IGLV7-46","IGLV7-46","kinetic"
"DDAH2","DDAH2","kinetic"
"RPS3AP44","RPS3AP44","kinetic"
"ZNF503-AS2","ZNF503-AS2","kinetic"
"LINC00877","LINC00877","kinetic"
"STARD4-AS1","STARD4-AS1","kinetic"
"TMEM178B","TMEM178B","kinetic"
"SOCS3-DT","SOCS3-DT","kinetic"
"C17orf113","C17orf113","kinetic"
"NBPF14","NBPF14","kinetic"
"MCUB","MCUB","kinetic"
"HHAT","HHAT","kinetic"
"PKP2","PKP2","kinetic"
"SLC4A11","SLC4A11","kinetic"
"FGF9","FGF9","kinetic"
"SYT17","SYT17","kinetic"
"TLE4","TLE4","kinetic"
"GLIS3","GLIS3","kinetic"
"CUBN","CUBN","kinetic"
"DKK1","DKK1","kinetic"
"UGDH","UGDH","kinetic"
"QPCT","QPCT","kinetic"
"ID3","ID3","kinetic"
"PCDHB14","PCDHB14","kinetic"
"SPATA1","SPATA1","kinetic"
"AMOT","AMOT","kinetic"
"CCDC136","CCDC136","kinetic"
"C1QTNF6","C1QTNF6","kinetic"
"BTG1","BTG1","kinetic"
"GSC","GSC","kinetic"
"SOX3","SOX3","kinetic"
"FGF5","FGF5","kinetic"
"DUSP6","DUSP6","kinetic"
"GREB1L","GREB1L","kinetic"
"PLEKHA6","PLEKHA6","kinetic"
"LIX1","LIX1","kinetic"
"SHC3","SHC3","kinetic"
"DGKI","DGKI","kinetic"
"FNDC5","FNDC5","kinetic"
"DUSP19","DUSP19","kinetic"
"FZD5","FZD5","kinetic"
"SCG5","SCG5","kinetic"
"SMAGP","SMAGP","kinetic"
"FZD2","FZD2","kinetic"
"SKIDA1","SKIDA1","kinetic"
"SHISA2","SHISA2","kinetic"
"PCDH9","PCDH9","kinetic"
"ZBTB7C","ZBTB7C","kinetic"
"SORCS2","SORCS2","kinetic"
"LSAMP","LSAMP","kinetic"
"STK39","STK39","kinetic"
"S1PR3","S1PR3","kinetic"
"TINCR","TINCR","kinetic"
"ZNF469","ZNF469","kinetic"
"LINC00954","LINC00954","kinetic"
"LOC101929021","LOC101929021","kinetic"
"RHPN1-AS1","RHPN1-AS1","kinetic"
"LINC01833","LINC01833","kinetic"
"LASP1NB","LASP1NB","kinetic"
"LOC107986163","LOC107986163","kinetic"
"GPC3-AS1","GPC3-AS1","kinetic"
