"","gene","category"
"SSPN","SSPN","cyclo"
"ELF4","ELF4","cyclo"
"UPF3A","UPF3A","cyclo"
"ERMN","ERMN","both"
"CDH7","CDH7","cyclo"
"EPHB6","EPHB6","cyclo"
"EPPK1","EPPK1","cyclo"
"CLDN23","CLDN23","cyclo"
"CDH6","CDH6","cyclo"
"ODF2L","ODF2L","cyclo"
"S1PR1","S1PR1","cyclo"
"TMOD2","TMOD2","cyclo"
"CCDC191","CCDC191","cyclo"
"DCAF7","DCAF7","cyclo"
"PIK3C2B","PIK3C2B","cyclo"
"DHRS3","DHRS3","cyclo"
"ANGPTL2","ANGPTL2","cyclo"
"MPZ","MPZ","cyclo"
"COL14A1","COL14A1","cyclo"
"RPL5P18","RPL5P18","cyclo"
"PCNX4","PCNX4","cyclo"
"FXYD7","FXYD7","cyclo"
"RFX3-DT","RFX3-DT","cyclo"
"SMAD7","SMAD7","cyclo"
"KIT","KIT","cyclo"
"ST8SIA1","ST8SIA1","cyclo"
"EFHD1","EFHD1","cyclo"
"PATZ1","PATZ1","cyclo"
"ZMAT1","ZMAT1","cyclo"
"SCAMP1-AS1","SCAMP1-AS1","cyclo"
"EFHD2","EFHD2","cyclo"
"CPAMD8","CPAMD8","cyclo"
"RAB11B-AS1","RAB11B-AS1","cyclo"
"DYNLT2B","DYNLT2B","cyclo"
"ASAP3","ASAP3","cyclo"
"TEX2","TEX2","cyclo"
"LIN28A","LIN28A","cyclo"
"ULK1","ULK1","cyclo"
"CYRIA","CYRIA","cyclo"
"B4GAT1","B4GAT1","cyclo"
"SHANK1","SHANK1","cyclo"
"LRRN2","LRRN2","cyclo"
"AK3","AK3","cyclo"
"ULK3","ULK3","cyclo"
"CASQ2","CASQ2","cyclo"
"IKZF4","IKZF4","cyclo"
"PSD3","PSD3","cyclo"
"CDC42EP3","CDC42EP3","cyclo"
"ZNF69","ZNF69","cyclo"
"TUBA1A","TUBA1A","cyclo"
"RNASET2","RNASET2","cyclo"
"CMTM7","CMTM7","cyclo"
"AK5","AK5","cyclo"
"ULBP3","ULBP3","cyclo"
"TP53INP1","TP53INP1","cyclo"
"NDUFAF8","NDUFAF8","cyclo"
"HERPUD2-AS1","HERPUD2-AS1","cyclo"
"MBTPS1","MBTPS1","cyclo"
"ELAVL3","ELAVL3","cyclo"
"SLC38A10","SLC38A10","cyclo"
"MEAK7","MEAK7","cyclo"
"GREB1","GREB1","cyclo"
"FGF19","FGF19","cyclo"
"ZNF117","ZNF117","cyclo"
"IFT70A","IFT70A","cyclo"
"FBLN1","FBLN1","cyclo"
"STK38L","STK38L","cyclo"
"BCCIP","BCCIP","cyclo"
"MINDY4","MINDY4","cyclo"
"LINC00237","LINC00237","cyclo"
"QSOX2","QSOX2","cyclo"
"WDR35","WDR35","cyclo"
"C17orf58","C17orf58","cyclo"
"FAM228B","FAM228B","cyclo"
"DDAH1","DDAH1","cyclo"
"GPRIN2","GPRIN2","cyclo"
"FZD9","FZD9","cyclo"
"TLE3","TLE3","cyclo"
"C11orf71","C11orf71","cyclo"
"NEK11","NEK11","cyclo"
"USP3","USP3","cyclo"
"ANKRD20A8P","ANKRD20A8P","cyclo"
"NTRK3","NTRK3","cyclo"
"EID2","EID2","cyclo"
"ERGIC1","ERGIC1","cyclo"
"UNC119B","UNC119B","cyclo"
"E2F2","E2F2","cyclo"
"KHDRBS3","KHDRBS3","cyclo"
"CNPY2","CNPY2","cyclo"
"PNMT","PNMT","cyclo"
"SOX12","SOX12","cyclo"
"NFASC","NFASC","cyclo"
"P2RX3","P2RX3","both"
"LYST","LYST","cyclo"
"COL23A1","COL23A1","cyclo"
"SMOC2","SMOC2","cyclo"
"MDH1B","MDH1B","cyclo"
"CMTM3","CMTM3","cyclo"
"MLC1","MLC1","cyclo"
"COL8A1","COL8A1","cyclo"
"SHF","SHF","cyclo"
"DUSP23","DUSP23","cyclo"
"LCMT2","LCMT2","cyclo"
"ZNF358","ZNF358","cyclo"
"STAU2","STAU2","cyclo"
"GLP1R","GLP1R","cyclo"
"ATG14","ATG14","cyclo"
"OBI1","OBI1","cyclo"
"LRRC27","LRRC27","cyclo"
"SNX25","SNX25","cyclo"
"CHRNA3","CHRNA3","cyclo"
"HSDL1","HSDL1","cyclo"
"VTA1","VTA1","cyclo"
"TMEM154","TMEM154","cyclo"
"TM7SF2","TM7SF2","cyclo"
"TEKT2","TEKT2","cyclo"
"CCNL2","CCNL2","cyclo"
"LINC02984","LINC02984","cyclo"
"CYBC1","CYBC1","cyclo"
"CUX1","CUX1","cyclo"
"VANGL2","VANGL2","cyclo"
"G6PD","G6PD","cyclo"
"APPL2","APPL2","cyclo"
"PNRC1","PNRC1","cyclo"
"NEUROG3","NEUROG3","cyclo"
"UCKL1","UCKL1","cyclo"
"NKAPD1","NKAPD1","cyclo"
"MEX3B","MEX3B","both"
"SOHLH2","SOHLH2","cyclo"
"JRK","JRK","cyclo"
"NCOA3","NCOA3","cyclo"
"SNX1","SNX1","cyclo"
"ERCC6L2-AS1","ERCC6L2-AS1","both"
"NAA40","NAA40","cyclo"
"METTL9","METTL9","cyclo"
"MFSD6","MFSD6","cyclo"
"FBXL16","FBXL16","cyclo"
"C1R","C1R","cyclo"
"USP21","USP21","cyclo"
"CEBPA-DT","CEBPA-DT","cyclo"
"UBXN10","UBXN10","cyclo"
"ADCYAP1R1","ADCYAP1R1","cyclo"
"METTL25","METTL25","cyclo"
"RPS6","RPS6","cyclo"
"VIPAS39","VIPAS39","cyclo"
"ERCC6","ERCC6","cyclo"
"POLR2I","POLR2I","cyclo"
"PIERCE1","PIERCE1","cyclo"
"IQCD","IQCD","cyclo"
"FBRSL1","FBRSL1","cyclo"
"STK33","STK33","cyclo"
"DLL3","DLL3","cyclo"
"PPP1R16A","PPP1R16A","cyclo"
"RIN2","RIN2","cyclo"
"SMTNL1","SMTNL1","cyclo"
"LOC105378231","LOC105378231","cyclo"
"IFT88","IFT88","cyclo"
"COPS8","COPS8","cyclo"
"LYPD6","LYPD6","cyclo"
"NHERF1","NHERF1","cyclo"
"GALNS","GALNS","cyclo"
"FAM182A","FAM182A","cyclo"
"ARHGEF6","ARHGEF6","cyclo"
"CEP126","CEP126","cyclo"
"AIF1L","AIF1L","cyclo"
"ITPR1","ITPR1","cyclo"
"SYS1","SYS1","cyclo"
"AGA","AGA","cyclo"
"BMPER","BMPER","cyclo"
"ZC3H12A-DT","ZC3H12A-DT","cyclo"
"ZNF540","ZNF540","cyclo"
"ARK2C","ARK2C","cyclo"
"MRPL40","MRPL40","cyclo"
