"","genes","state"
"182","SPX","C_Het_DE"
"183","DDB2","C_Het_DE"
"184","SOX3","C_Het_DE"
"185","PDGFRA","C_Het_DE"
"186","CD36","C_Het_DE"
"187","CAPN9","C_Het_DE"
"188","NPL","C_Het_DE"
"189","USP44","C_Het_DE"
"190","CNMD","C_Het_DE"
"191","SPRY2","C_Het_DE"
"192","NKX2-8","C_Het_DE"
"193","NKX2-1","common"
"194","GAD2","C_Het_DE"
"195","LMX1B","C_Het_DE"
"196","FHDC1","C_Het_DE"
"197","PI15","C_Het_DE"
"198","DDX60","C_Het_DE"
"199","SORL1","C_Het_DE"
"200","STRA6","C_Het_DE"
"201","SPTBN5","C_Het_DE"
"202","BCAR3","C_Het_DE"
"203","IFI44L","common"
"204","SIX3","C_Het_DE"
"205","ADAMTS14","C_Het_DE"
"206","SLC40A1","common"
"207","PCDH10","C_Het_DE"
"208","CPNE8","C_Het_DE"
"209","AMIGO2","C_Het_DE"
"210","DUSP6","C_Het_DE"
"211","LUM","C_Het_DE"
"212","ASCL1","common"
"213","TMEM132B","common"
"214","SDSL","C_Het_DE"
"215","FOXN4","C_Het_DE"
"216","KCNH5","C_Het_DE"
"217","SLC27A2","C_Het_DE"
"218","HDC","C_Het_DE"
"219","ARRDC4","C_Het_DE"
"220","CDH11","C_Het_DE"
"221","MYOCD","C_Het_DE"
"222","SLC16A3","C_Het_DE"
"223","MAPK4","C_Het_DE"
"224","PMAIP1","C_Het_DE"
"225","HUNK","C_Het_DE"
"226","PRDM16","C_Het_DE"
"227","EPHA2","C_Het_DE"
"228","DMRTA2","C_Het_DE"
"229","RXRG","C_Het_DE"
"230","ILDR2","C_Het_DE"
"231","RGS5","C_Het_DE"
"232","DUSP10","C_Het_DE"
"233","EPHX1","C_Het_DE"
"234","MEIS1","C_Het_DE"
"235","ST6GAL2","C_Het_DE"
"236","TMEFF2","C_Het_DE"
"237","ACKR3","common"
"238","GRIP2","C_Het_DE"
"239","RBMS3","C_Het_DE"
"240","GADL1","C_Het_DE"
"241","IL17RD","C_Het_DE"
"242","LRTM1","C_Het_DE"
"243","IGSF11","C_Het_DE"
"244","TCTA","C_Het_DE"
"245","CORIN","common"
"246","DDIT4L","C_Het_DE"
"247","SFRP2","C_Het_DE"
"248","RNF175","C_Het_DE"
"249","CDH18","C_Het_DE"
"250","ADAMTS16","common"
"251","HAPLN1","C_Het_DE"
"252","MEGF10","C_Het_DE"
"253","ADAMTS19","C_Het_DE"
"254","TNFRSF21","C_Het_DE"
"255","PRSS35","C_Het_DE"
"256","CLVS2","C_Het_DE"
"257","RSPO3","C_Het_DE"
"258","CREB5","C_Het_DE"
"259","IGFBP3","C_Het_DE"
"260","SYTL5","C_Het_DE"
"261","LPAR4","C_Het_DE"
"262","HTR2C","C_Het_DE"
"263","RGS20","C_Het_DE"
"264","SYBU","C_Het_DE"
"265","MAL2","C_Het_DE"
"266","SHC3","C_Het_DE"
"267","AOPEP","C_Het_DE"
"268","CDHR1","C_Het_DE"
"269","ANKRD1","C_Het_DE"
"270","VAX1","C_Het_DE"
"271","INA","C_Het_DE"
"272","MTG1","C_Het_DE"
"273","SLC5A12","C_Het_DE"
"274","LRRC4C","C_Het_DE"
"275","KLHL35","C_Het_DE"
"276","ESAM","C_Het_DE"
"277","KIRREL3","C_Het_DE"
"278","ARID5B","C_Het_DE"
"279","HNMT","C_Het_DE"
"280","THRB","C_Het_DE"
"281","ANKRD50","C_Het_DE"
"282","PTPRO","C_Het_DE"
"283","SLC35F4","C_Het_DE"
"284","PDK1","C_Het_DE"
"285","ZSCAN1","C_Het_DE"
"286","BMP3","C_Het_DE"
"287","FEZF2","C_Het_DE"
"288","ANKRD29","C_Het_DE"
