gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
ADRA2B,GNG11,0.541,keep,NA,expressed,FALSE,-0.0114090780687987,-0.463246748231027
ADRA2B,VWF,0.492,keep,NA,expressed,FALSE,-0.0114090780687987,-0.00157783368216556
ADRA2B,GNB5,0.646,keep,NA,expressed,FALSE,-0.0114090780687987,-1.4018653009864e-05
ADRA2B,RGS16,0.504,keep,NA,expressed,FALSE,-0.0114090780687987,-0.391903539182906
AEN,PLK2,0.429,keep,NA,expressed,FALSE,-0.0855561508270728,-0.120569368828833
AEN,BBC3,0.4,keep,NA,expressed,FALSE,-0.0855561508270728,-0.00785677497126609
AHCYL1,SOX2,0.51,keep,NA,expressed,FALSE,-0.0479679506720206,-0.328292680666988
AHCYL1,TACC3,0.592,keep,NA,expressed,FALSE,-0.0479679506720206,-0.000919618203860543
AHCYL1,PRDX6,0.444,keep,NA,expressed,FALSE,-0.0479679506720206,-0.259321049343072
AHCYL1,TKTL1,0.412,keep,NA,expressed,FALSE,-0.0479679506720206,-7.64900737949211e-06
AHCYL1,BCL2L10,0.763,keep,NA,expressed,FALSE,-0.0479679506720206,-3.59114067004258e-05
AHCYL1,CTH,0.969,keep,NA,expressed,FALSE,-0.0479679506720206,-9.04037774451163e-05
AKAP9,VCL,0.411,keep,NA,expressed,FALSE,-0.00786389051997694,-0.241309174809143
AKAP9,CLCN6,0.565,keep,NA,expressed,FALSE,-0.00786389051997694,-2.33356604428568e-06
AKAP9,ZC3HAV1,0.521,keep,NA,expressed,FALSE,-0.00786389051997694,-0.00464680966324426
AKAP9,KMT2C,0.448,keep,NA,expressed,FALSE,-0.00786389051997694,-0.000508646362739686
AKAP9,CCDC6,0.534,keep,NA,expressed,FALSE,-0.00786389051997694,-0.000157198083287896
AKAP9,USO1,0.493,keep,NA,expressed,FALSE,-0.00786389051997694,-0.0615785920589213
AKAP9,TACC3,0.475,keep,NA,expressed,FALSE,-0.00786389051997694,-0.000919618203860543
AKAP9,PDE4D,0.809,keep,NA,expressed,FALSE,-0.00786389051997694,-0.105250653390443
AKAP9,PTTG1,0.467,keep,NA,expressed,FALSE,-0.00786389051997694,-0.0252675154847849
AKAP9,BCL2L11,0.5,keep,NA,expressed,FALSE,-0.00786389051997694,-0.528825391896885
AKAP9,TENT4A,0.514,keep,NA,expressed,FALSE,-0.00786389051997694,-4.5777654962916e-05
AKAP9,GOLGB1,0.515,keep,NA,expressed,FALSE,-0.00786389051997694,-6.15276935159406e-07
AKAP9,OPTN,0.52,keep,NA,expressed,FALSE,-0.00786389051997694,-0.109754227364951
AKAP9,KCNJ5,0.769,keep,NA,expressed,FALSE,-0.00786389051997694,-4.75018529110774e-05
AKAP9,GOLGA2,0.968,keep,NA,expressed,FALSE,-0.00786389051997694,-0.0379464773423775
ALDOC,PYGL,0.494,keep,NA,expressed,FALSE,-0.000495278811682459,-0.00055988442861448
ALDOC,TKTL1,0.962,keep,NA,expressed,FALSE,-0.000495278811682459,-7.64900737949211e-06
ALDOC,PFKP,0.979,keep,NA,expressed,FALSE,-0.000495278811682459,-0.00261783097503874
ALDOC,SNX9,0.487,keep,NA,expressed,FALSE,-0.000495278811682459,-0.00158480146383017
AMPH,BAIAP2L1,0.477,keep,NA,expressed,FALSE,-0.000711777344148948,-0.0131888951893347
AMPH,RAB5A,0.599,keep,NA,expressed,FALSE,-0.000711777344148948,-0.0463311541401034
AMPH,ANK3,0.434,keep,NA,expressed,FALSE,-0.000711777344148948,-4.2759640515481e-05
AMPH,TIAM1,0.426,keep,NA,expressed,FALSE,-0.000711777344148948,-0.273097556698402
AMPH,SOX1,0.736,keep,NA,expressed,FALSE,-0.000711777344148948,-0.162904383925206
AMPH,DNER,0.791,keep,NA,expressed,FALSE,-0.000711777344148948,-2.26527196833917e-06
AMPH,GRIA1,0.428,keep,NA,expressed,FALSE,-0.000711777344148948,-0.326505843993123
AMPH,SGIP1,0.8,keep,NA,expressed,FALSE,-0.000711777344148948,-0.000435010927419674
AMPH,CNTNAP2,0.805,keep,NA,expressed,FALSE,-0.000711777344148948,-0.000192842842075983
AMPH,SNX9,0.831,keep,NA,expressed,FALSE,-0.000711777344148948,-0.00158480146383017
ANK1,VCL,0.615,keep,NA,expressed,FALSE,-0.00562337037438442,-0.241309174809143
ANK1,BET1,0.5,keep,NA,expressed,FALSE,-0.00562337037438442,-0.0303909331982063
ANK1,HDAC5,0.479,keep,NA,expressed,FALSE,-0.00562337037438442,-0.000326787506427749
ANK1,JAG1,0.608,keep,NA,expressed,FALSE,-0.00562337037438442,-0.172576723978813
ANK1,UBE2S,0.535,keep,NA,expressed,FALSE,-0.00562337037438442,-0.00599582512525954
ANK1,EGF,0.489,keep,NA,expressed,FALSE,-0.00562337037438442,-0.144556025288887
ANK1,NGF,0.418,keep,NA,expressed,FALSE,-0.00562337037438442,-5.10186103539944e-05
ANK1,HOMER2,0.47,keep,NA,expressed,FALSE,-0.00562337037438442,-0.000129110854324201
ANK1,BET1L,0.499,keep,NA,expressed,FALSE,-0.00562337037438442,-1.42489925646586e-05
ANK1,NFKB2,0.508,keep,NA,expressed,FALSE,-0.00562337037438442,-0.000651671689561833
ANK1,GOLGA2,0.512,keep,NA,expressed,FALSE,-0.00562337037438442,-0.0379464773423775
ANK1,CNTNAP2,0.527,keep,NA,expressed,FALSE,-0.00562337037438442,-0.000192842842075983
ANK1,HOMER1,0.558,keep,NA,expressed,FALSE,-0.00562337037438442,-0.0511769182436247
ANK1,NAV1,0.589,keep,NA,expressed,FALSE,-0.00562337037438442,-0.1735233967266
ANK1,ARAP2,0.599,keep,NA,expressed,FALSE,-0.00562337037438442,-1.78808332774702e-05
ANK1,KCNQ3,0.605,keep,NA,expressed,FALSE,-0.00562337037438442,-0.00011883715004225
ANK1,DMD,0.635,keep,NA,expressed,FALSE,-0.00562337037438442,-0.280251419695225
ANK1,MSN,0.668,keep,NA,expressed,FALSE,-0.00562337037438442,-0.0472453208346769
ANK1,TRPM8,0.867,keep,NA,expressed,FALSE,-0.00562337037438442,-5.81094901336559e-05
ANK1,TRPV1,0.902,keep,NA,expressed,FALSE,-0.00562337037438442,-3.23595700897351e-06
ANK1,ANK3,0.909,keep,NA,expressed,FALSE,-0.00562337037438442,-4.2759640515481e-05
ANK1,TIAM1,0.967,keep,NA,expressed,FALSE,-0.00562337037438442,-0.273097556698402
ANK3,VCL,0.612,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.241309174809143
ANK3,BET1,0.5,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0303909331982063
ANK3,HDAC5,0.478,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.000326787506427749
ANK3,JAG1,0.605,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.172576723978813
ANK3,UBE2S,0.542,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.00599582512525954
ANK3,EGF,0.483,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.144556025288887
ANK3,PPFIBP1,0.407,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.00623279286762368
ANK3,TRPV1,0.447,keep,NA,expressed,FALSE,-4.2759640515481e-05,-3.23595700897351e-06
ANK3,HOMER2,0.482,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.000129110854324201
ANK3,GJA1,0.489,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0712522563520117
ANK3,BET1L,0.499,keep,NA,expressed,FALSE,-4.2759640515481e-05,-1.42489925646586e-05
ANK3,NFKB2,0.512,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.000651671689561833
ANK3,GOLGA2,0.519,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0379464773423775
ANK3,GRIA1,0.522,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.326505843993123
ANK3,FARP1,0.525,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.00339900999208686
ANK3,DTNA,0.594,keep,NA,expressed,FALSE,-4.2759640515481e-05,-3.61474057386867e-06
ANK3,PALM2AKAP2,0.598,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0960555416308688
ANK3,ARAP2,0.616,keep,NA,expressed,FALSE,-4.2759640515481e-05,-1.78808332774702e-05
ANK3,NDEL1,0.617,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.00297866364962463
ANK3,CNTNAP2,0.64,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.000192842842075983
ANK3,HOMER1,0.649,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0511769182436247
ANK3,DMD,0.667,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.280251419695225
ANK3,MSN,0.742,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.0472453208346769
ANK3,NAV1,0.752,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.1735233967266
ANK3,TRPM8,0.801,keep,NA,expressed,FALSE,-4.2759640515481e-05,-5.81094901336559e-05
ANK3,KCNQ3,0.942,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.00011883715004225
ANK3,TIAM1,0.968,keep,NA,expressed,FALSE,-4.2759640515481e-05,-0.273097556698402
ANXA3,ANXA5,0.485,keep,NA,expressed,FALSE,-0.0273061416353149,-0.0488417972369601
ANXA3,S100A10,0.504,keep,NA,expressed,FALSE,-0.0273061416353149,-0.00368489994891303
ANXA5,CD4,0.807,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00261997687017633
ANXA5,TNFRSF1A,0.544,keep,NA,expressed,FALSE,-0.0488417972369601,-4.03200619146244e-06
ANXA5,VCL,0.685,keep,NA,expressed,FALSE,-0.0488417972369601,-0.241309174809143
ANXA5,LGALS1,0.689,keep,NA,expressed,FALSE,-0.0488417972369601,-0.242276682199537
ANXA5,XBP1,0.539,keep,NA,expressed,FALSE,-0.0488417972369601,-0.205511865514058
ANXA5,CD38,0.587,keep,NA,expressed,FALSE,-0.0488417972369601,-2.45761270833305e-06
ANXA5,HSPB1,0.51,keep,NA,expressed,FALSE,-0.0488417972369601,-0.0378839497926255
ANXA5,LGALS3,0.477,keep,NA,expressed,FALSE,-0.0488417972369601,-0.183061250762565
ANXA5,VWF,0.441,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00157783368216556
ANXA5,FGF2,0.607,keep,NA,expressed,FALSE,-0.0488417972369601,-0.0334381598927772
ANXA5,EGF,0.659,keep,NA,expressed,FALSE,-0.0488417972369601,-0.144556025288887
ANXA5,ATP1A2,0.42,keep,NA,expressed,FALSE,-0.0488417972369601,-0.0219284905501494
ANXA5,FOS,0.426,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00716429557592088
ANXA5,GADD45A,0.439,keep,NA,expressed,FALSE,-0.0488417972369601,-0.33776188014671
ANXA5,NQO1,0.477,keep,NA,expressed,FALSE,-0.0488417972369601,-0.0036637109683351
ANXA5,BBC3,0.479,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00785677497126609
ANXA5,CHEK2,0.505,keep,NA,expressed,FALSE,-0.0488417972369601,-3.33392379287898e-05
ANXA5,CDC25C,0.519,keep,NA,expressed,FALSE,-0.0488417972369601,-2.91719532757414e-05
ANXA5,FOXO3,0.523,keep,NA,expressed,FALSE,-0.0488417972369601,-0.197110893411986
ANXA5,GPX8,0.555,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00109321640174066
ANXA5,SDC1,0.556,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00101412747539274
ANXA5,DDIT3,0.572,keep,NA,expressed,FALSE,-0.0488417972369601,-0.000602561109610281
ANXA5,GAS6,0.589,keep,NA,expressed,FALSE,-0.0488417972369601,-0.000602256432912541
ANXA5,SOX2,0.635,keep,NA,expressed,FALSE,-0.0488417972369601,-0.328292680666988
ANXA5,BCL2L11,0.712,keep,NA,expressed,FALSE,-0.0488417972369601,-0.528825391896885
ANXA5,S100A10,0.833,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00368489994891303
ANXA5,CCK,0.891,keep,NA,expressed,FALSE,-0.0488417972369601,-0.00025443212002661
AP1S2,SGIP1,0.757,keep,NA,expressed,FALSE,-0.0422852817123355,-0.000435010927419674
AP1S2,SNX9,0.5,keep,NA,expressed,FALSE,-0.0422852817123355,-0.00158480146383017
AP1S2,NCALD,0.548,keep,NA,expressed,FALSE,-0.0422852817123355,-0.0938153977413028
AP1S2,CLVS1,0.521,keep,NA,expressed,FALSE,-0.0422852817123355,-4.36356359287752e-05
APOL6,UBE2L6,0.444,keep,NA,NA,FALSE,-3.61464663644258e-17,-0.000210315886924575
APOL6,TRIM5,0.501,keep,NA,NA,FALSE,-3.61464663644258e-17,-0.000313634887738058
APOL6,OSBPL6,0.425,keep,NA,NA,FALSE,-3.61464663644258e-17,-0.0131891603480433
ARHGAP29,VAX1,0.505,keep,NA,expressed,FALSE,-0.0661824630781701,-0.242519199652834
ARID4B,HDAC5,0.482,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.000326787506427749
ARID4B,WHAMM,0.405,keep,NA,expressed,FALSE,-7.23885658783028e-05,-0.00901499625021422
