"","Figure4B"
"ENSG00000157796","Cluster 1"
"ENSG00000158079","Cluster 2"
"ENSG00000158122","Cluster 2"
"ENSG00000158163","Cluster 2"
"ENSG00000158201","Cluster 1"
"ENSG00000158246","Cluster 2"
"ENSG00000158290","Cluster 2"
"ENSG00000158402","Cluster 2"
"ENSG00000158711","Cluster 2"
"ENSG00000158716","Cluster 1"
"ENSG00000158792","Cluster 2"
"ENSG00000158813","Cluster 2"
"ENSG00000158887","Cluster 1"
"ENSG00000158966","Cluster 2"
"ENSG00000159164","Cluster 2"
"ENSG00000159251","Cluster 2"
"ENSG00000159388","Cluster 2"
"ENSG00000159403","Cluster 1"
"ENSG00000159479","Cluster 2"
"ENSG00000159792","Cluster 2"
"ENSG00000159921","Cluster 2"
"ENSG00000160072","Cluster 2"
"ENSG00000160094","Cluster 1"
"ENSG00000160111","Cluster 1"
"ENSG00000160179","Cluster 1"
"ENSG00000160211","Cluster 1"
"ENSG00000160233","Cluster 1"
"ENSG00000160298","Cluster 1"
"ENSG00000160345","Cluster 1"
"ENSG00000160360","Cluster 1"
"ENSG00000160606","Cluster 2"
"ENSG00000160888","Cluster 2"
"ENSG00000160972","Cluster 1"
"ENSG00000161638","Cluster 2"
"ENSG00000161681","Cluster 1"
"ENSG00000161896","Cluster 2"
"ENSG00000162105","Cluster 1"
"ENSG00000162300","Cluster 2"
"ENSG00000162344","Cluster 1"
"ENSG00000162426","Cluster 1"
"ENSG00000162438","Cluster 1"
"ENSG00000162496","Cluster 1"
"ENSG00000162543","Cluster 1"
"ENSG00000162552","Cluster 1"
"ENSG00000162576","Cluster 1"
"ENSG00000162694","Cluster 1"
"ENSG00000162738","Cluster 1"
"ENSG00000162746","Cluster 2"
"ENSG00000162769","Cluster 2"
"ENSG00000162783","Cluster 2"
"ENSG00000162971","Cluster 2"
"ENSG00000162976","Cluster 1"
"ENSG00000162998","Cluster 1"
"ENSG00000163053","Cluster 2"
"ENSG00000163071","Cluster 2"
"ENSG00000163156","Cluster 1"
"ENSG00000163162","Cluster 2"
"ENSG00000163171","Cluster 1"
"ENSG00000163249","Cluster 2"
"ENSG00000163377","Cluster 1"
"ENSG00000163453","Cluster 1"
"ENSG00000163482","Cluster 1"
"ENSG00000163510","Cluster 2"
"ENSG00000163531","Cluster 1"
"ENSG00000163545","Cluster 2"
"ENSG00000163602","Cluster 1"
"ENSG00000163617","Cluster 1"
"ENSG00000163635","Cluster 2"
"ENSG00000163811","Cluster 2"
"ENSG00000163873","Cluster 1"
"ENSG00000163935","Cluster 2"
"ENSG00000164040","Cluster 2"
"ENSG00000164056","Cluster 2"
"ENSG00000164109","Cluster 2"
"ENSG00000164111","Cluster 2"
"ENSG00000164120","Cluster 1"
"ENSG00000164244","Cluster 2"
"ENSG00000164294","Cluster 2"
"ENSG00000164296","Cluster 1"
"ENSG00000164307","Cluster 2"
"ENSG00000164611","Cluster 2"
"ENSG00000164619","Cluster 1"
"ENSG00000164649","Cluster 2"
"ENSG00000164651","Cluster 2"
"ENSG00000164659","Cluster 2"
"ENSG00000164683","Cluster 1"
"ENSG00000164690","Cluster 1"
"ENSG00000164758","Cluster 2"
"ENSG00000164850","Cluster 1"
"ENSG00000164879","Cluster 2"
"ENSG00000164904","Cluster 1"
"ENSG00000164929","Cluster 2"
"ENSG00000164938","Cluster 1"
"ENSG00000164946","Cluster 1"
"ENSG00000164951","Cluster 2"
"ENSG00000164976","Cluster 1"
"ENSG00000165029","Cluster 1"
"ENSG00000165181","Cluster 2"
"ENSG00000165215","Cluster 2"
"ENSG00000165443","Cluster 2"
"ENSG00000165475","Cluster 1"
"ENSG00000165588","Cluster 2"
"ENSG00000165661","Cluster 1"
"ENSG00000165795","Cluster 1"
"ENSG00000166002","Cluster 2"
"ENSG00000166037","Cluster 2"
"ENSG00000166171","Cluster 1"
"ENSG00000166250","Cluster 2"
"ENSG00000166265","Cluster 1"
"ENSG00000166343","Cluster 2"
"ENSG00000166407","Cluster 2"
"ENSG00000166432","Cluster 1"
"ENSG00000166450","Cluster 1"
"ENSG00000166452","Cluster 2"
"ENSG00000166471","Cluster 2"
"ENSG00000166492","Cluster 1"
"ENSG00000166573","Cluster 1"
"ENSG00000166578","Cluster 1"
"ENSG00000166579","Cluster 2"
"ENSG00000166848","Cluster 2"
"ENSG00000166886","Cluster 2"
"ENSG00000166987","Cluster 1"
"ENSG00000167107","Cluster 1"
"ENSG00000167110","Cluster 2"
"ENSG00000167272","Cluster 1"
"ENSG00000167434","Cluster 2"
"ENSG00000167460","Cluster 2"
"ENSG00000167522","Cluster 1"
"ENSG00000167552","Cluster 1"
"ENSG00000167654","Cluster 2"
"ENSG00000167657","Cluster 2"
"ENSG00000167680","Cluster 2"
"ENSG00000167904","Cluster 2"
"ENSG00000168003","Cluster 2"
"ENSG00000168209","Cluster 2"
"ENSG00000168264","Cluster 2"
"ENSG00000168461","Cluster 1"
"ENSG00000168487","Cluster 1"
"ENSG00000168546","Cluster 1"
"ENSG00000168575","Cluster 1"
"ENSG00000168679","Cluster 2"
"ENSG00000168710","Cluster 2"
"ENSG00000168806","Cluster 1"
"ENSG00000168811","Cluster 2"
"ENSG00000168874","Cluster 2"
"ENSG00000168961","Cluster 2"
"ENSG00000169062","Cluster 1"
"ENSG00000169241","Cluster 2"
"ENSG00000169251","Cluster 1"
"ENSG00000169604","Cluster 1"
"ENSG00000169750","Cluster 1"
"ENSG00000169760","Cluster 2"
"ENSG00000169857","Cluster 2"
"ENSG00000169877","Cluster 1"
"ENSG00000169891","Cluster 1"
"ENSG00000169946","Cluster 1"
"ENSG00000169967","Cluster 2"
"ENSG00000170006","Cluster 1"
"ENSG00000170043","Cluster 2"
"ENSG00000170153","Cluster 1"
"ENSG00000170264","Cluster 1"
"ENSG00000170275","Cluster 2"
"ENSG00000170340","Cluster 2"
"ENSG00000170345","Cluster 2"
"ENSG00000170382","Cluster 1"
"ENSG00000170419","Cluster 2"
"ENSG00000170571","Cluster 2"
"ENSG00000170734","Cluster 2"
"ENSG00000170743","Cluster 2"
"ENSG00000170893","Cluster 2"
"ENSG00000170989","Cluster 1"
"ENSG00000171004","Cluster 2"
"ENSG00000171056","Cluster 1"
"ENSG00000171100","Cluster 2"
"ENSG00000171148","Cluster 2"
"ENSG00000171223","Cluster 2"
"ENSG00000171476","Cluster 1"
"ENSG00000171488","Cluster 2"
"ENSG00000171596","Cluster 1"
"ENSG00000171617","Cluster 2"
"ENSG00000171724","Cluster 2"
"ENSG00000171812","Cluster 1"
"ENSG00000171817","Cluster 1"
"ENSG00000171956","Cluster 1"
"ENSG00000172007","Cluster 2"
"ENSG00000172020","Cluster 2"
"ENSG00000172037","Cluster 2"
"ENSG00000172123","Cluster 2"
"ENSG00000172159","Cluster 1"
"ENSG00000172175","Cluster 2"
"ENSG00000172264","Cluster 1"
"ENSG00000172296","Cluster 2"
"ENSG00000172318","Cluster 2"
"ENSG00000172339","Cluster 1"
"ENSG00000172403","Cluster 1"
"ENSG00000172893","Cluster 2"
"ENSG00000172965","Cluster 2"
"ENSG00000172986","Cluster 2"
"ENSG00000172987","Cluster 2"
"ENSG00000173041","Cluster 2"
"ENSG00000173065","Cluster 2"
"ENSG00000173110","Cluster 2"
"ENSG00000173230","Cluster 2"
"ENSG00000173258","Cluster 2"
"ENSG00000173275","Cluster 1"
"ENSG00000173320","Cluster 1"
"ENSG00000173334","Cluster 2"
"ENSG00000173376","Cluster 2"
"ENSG00000173535","Cluster 2"
"ENSG00000173548","Cluster 1"
"ENSG00000173599","Cluster 1"
"ENSG00000173811","Cluster 1"
"ENSG00000173812","Cluster 2"
"ENSG00000173890","Cluster 2"
"ENSG00000174010","Cluster 2"
"ENSG00000174080","Cluster 1"
"ENSG00000174151","Cluster 1"
"ENSG00000174469","Cluster 2"
"ENSG00000174498","Cluster 1"
"ENSG00000174684","Cluster 1"
"ENSG00000174938","Cluster 2"
"ENSG00000175197","Cluster 2"
"ENSG00000175536","Cluster 1"
"ENSG00000175550","Cluster 2"
"ENSG00000175611","Cluster 1"
"ENSG00000175868","Cluster 2"
"ENSG00000175906","Cluster 2"
"ENSG00000175931","Cluster 2"
"ENSG00000175970","Cluster 1"
"ENSG00000176092","Cluster 1"
"ENSG00000176165","Cluster 2"
"ENSG00000176208","Cluster 2"
"ENSG00000176293","Cluster 1"
"ENSG00000176371","Cluster 1"
"ENSG00000176396","Cluster 1"
"ENSG00000176407","Cluster 2"
"ENSG00000176438","Cluster 2"
"ENSG00000176463","Cluster 2"
"ENSG00000176542","Cluster 1"
"ENSG00000176658","Cluster 1"
"ENSG00000176788","Cluster 1"
"ENSG00000176971","Cluster 2"
"ENSG00000177051","Cluster 1"
"ENSG00000177082","Cluster 1"
"ENSG00000177169","Cluster 1"
"ENSG00000177182","Cluster 2"
"ENSG00000177200","Cluster 1"
"ENSG00000177311","Cluster 2"
"ENSG00000177519","Cluster 2"
"ENSG00000177640","Cluster 1"
"ENSG00000177732","Cluster 1"
"ENSG00000177951","Cluster 2"
"ENSG00000177990","Cluster 1"
"ENSG00000178235","Cluster 2"
"ENSG00000178403","Cluster 2"
"ENSG00000178585","Cluster 2"
"ENSG00000178796","Cluster 1"
"ENSG00000178927","Cluster 1"
"ENSG00000178966","Cluster 1"
"ENSG00000179057","Cluster 1"
"ENSG00000179104","Cluster 1"
"ENSG00000179242","Cluster 2"
"ENSG00000179431","Cluster 2"
"ENSG00000179546","Cluster 1"
"ENSG00000179796","Cluster 2"
"ENSG00000179889","Cluster 2"
"ENSG00000180209","Cluster 2"
"ENSG00000180264","Cluster 1"
"ENSG00000180425","Cluster 1"
"ENSG00000180447","Cluster 2"
"ENSG00000180626","Cluster 1"
"ENSG00000180747","Cluster 2"
"ENSG00000180764","Cluster 2"
"ENSG00000180881","Cluster 1"
"ENSG00000180884","Cluster 2"
"ENSG00000180992","Cluster 2"
"ENSG00000181019","Cluster 2"
"ENSG00000181026","Cluster 2"
"ENSG00000181378","Cluster 1"
"ENSG00000181449","Cluster 2"
"ENSG00000181634","Cluster 2"
"ENSG00000181652","Cluster 1"
"ENSG00000182118","Cluster 2"
"ENSG00000182150","Cluster 1"
"ENSG00000182158","Cluster 2"
"ENSG00000182175","Cluster 1"
"ENSG00000182272","Cluster 1"
"ENSG00000182287","Cluster 2"
"ENSG00000182473","Cluster 1"
"ENSG00000182492","Cluster 2"
"ENSG00000182670","Cluster 2"
"ENSG00000182870","Cluster 1"
"ENSG00000182968","Cluster 2"
"ENSG00000183036","Cluster 2"
"ENSG00000183087","Cluster 2"
"ENSG00000183092","Cluster 2"
"ENSG00000183137","Cluster 2"
"ENSG00000183145","Cluster 2"
"ENSG00000183273","Cluster 2"
"ENSG00000183386","Cluster 2"
"ENSG00000183496","Cluster 1"
"ENSG00000183715","Cluster 1"
"ENSG00000183765","Cluster 2"
"ENSG00000183935","Cluster 1"
"ENSG00000183955","Cluster 2"
"ENSG00000184156","Cluster 2"
"ENSG00000184208","Cluster 1"
"ENSG00000184209","Cluster 1"
"ENSG00000184226","Cluster 2"
"ENSG00000184349","Cluster 2"
"ENSG00000184368","Cluster 2"
"ENSG00000184388","Cluster 2"
"ENSG00000184470","Cluster 2"
"ENSG00000184497","Cluster 1"
"ENSG00000184515","Cluster 2"
"ENSG00000184524","Cluster 2"
"ENSG00000184840","Cluster 2"
"ENSG00000184867","Cluster 2"
"ENSG00000184897","Cluster 2"
"ENSG00000185022","Cluster 2"
"ENSG00000185090","Cluster 1"
"ENSG00000185189","Cluster 1"
"ENSG00000185215","Cluster 2"
"ENSG00000185585","Cluster 1"
"ENSG00000185608","Cluster 1"
"ENSG00000185615","Cluster 2"
"ENSG00000185697","Cluster 2"
"ENSG00000185875","Cluster 1"
"ENSG00000185920","Cluster 1"
"ENSG00000185946","Cluster 2"
"ENSG00000185950","Cluster 2"
"ENSG00000186047","Cluster 1"
"ENSG00000186105","Cluster 2"
"ENSG00000186166","Cluster 2"
"ENSG00000186197","Cluster 1"
"ENSG00000186297","Cluster 2"
"ENSG00000186350","Cluster 1"
"ENSG00000186409","Cluster 1"
"ENSG00000186480","Cluster 2"
"ENSG00000186665","Cluster 1"
"ENSG00000186732","Cluster 1"
"ENSG00000186960","Cluster 2"
"ENSG00000187017","Cluster 2"
"ENSG00000187094","Cluster 2"
"ENSG00000187122","Cluster 1"
"ENSG00000187123","Cluster 1"
"ENSG00000187605","Cluster 1"
"ENSG00000187650","Cluster 1"
"ENSG00000187736","Cluster 1"
"ENSG00000187775","Cluster 2"
"ENSG00000187790","Cluster 2"
"ENSG00000187955","Cluster 1"
"ENSG00000187957","Cluster 2"
"ENSG00000188042","Cluster 2"
"ENSG00000188070","Cluster 1"
"ENSG00000188162","Cluster 1"
"ENSG00000188211","Cluster 2"
"ENSG00000188517","Cluster 2"
"ENSG00000188582","Cluster 2"
"ENSG00000188729","Cluster 1"
"ENSG00000188763","Cluster 1"
"ENSG00000188766","Cluster 2"
"ENSG00000189127","Cluster 2"
"ENSG00000189134","Cluster 2"
"ENSG00000189184","Cluster 2"
"ENSG00000189266","Cluster 1"
"ENSG00000189431","Cluster 1"
"ENSG00000196072","Cluster 2"
"ENSG00000196182","Cluster 2"
"ENSG00000196208","Cluster 1"
"ENSG00000196268","Cluster 1"
"ENSG00000196277","Cluster 1"
"ENSG00000196338","Cluster 1"
"ENSG00000196361","Cluster 1"
"ENSG00000196376","Cluster 2"
"ENSG00000196428","Cluster 2"
"ENSG00000196542","Cluster 1"
"ENSG00000196689","Cluster 2"
"ENSG00000196739","Cluster 1"
"ENSG00000197006","Cluster 1"
"ENSG00000197045","Cluster 1"
"ENSG00000197063","Cluster 2"
"ENSG00000197093","Cluster 1"
"ENSG00000197128","Cluster 1"
"ENSG00000197217","Cluster 2"
"ENSG00000197406","Cluster 2"
"ENSG00000197415","Cluster 1"
"ENSG00000197555","Cluster 2"
"ENSG00000197557","Cluster 1"
"ENSG00000197565","Cluster 2"
"ENSG00000197586","Cluster 2"
"ENSG00000197724","Cluster 1"
"ENSG00000197747","Cluster 2"
"ENSG00000197872","Cluster 1"
"ENSG00000197965","Cluster 2"
"ENSG00000198087","Cluster 2"
"ENSG00000198121","Cluster 2"
"ENSG00000198142","Cluster 1"
"ENSG00000198203","Cluster 2"
"ENSG00000198276","Cluster 1"
"ENSG00000198355","Cluster 2"
"ENSG00000198363","Cluster 2"
"ENSG00000198369","Cluster 2"
"ENSG00000198429","Cluster 1"
"ENSG00000198478","Cluster 2"
"ENSG00000198556","Cluster 1"
"ENSG00000198598","Cluster 2"
"ENSG00000198612","Cluster 1"
"ENSG00000198707","Cluster 2"
"ENSG00000198723","Cluster 1"
"ENSG00000198729","Cluster 1"
"ENSG00000198732","Cluster 2"
"ENSG00000198743","Cluster 2"
"ENSG00000198756","Cluster 2"
"ENSG00000198780","Cluster 2"
"ENSG00000198795","Cluster 2"
"ENSG00000198816","Cluster 1"
"ENSG00000198846","Cluster 1"
"ENSG00000198887","Cluster 2"
"ENSG00000198894","Cluster 1"
"ENSG00000198938","Cluster 2"
"ENSG00000198947","Cluster 2"
"ENSG00000200257","Cluster 1"
"ENSG00000200792","Cluster 2"
"ENSG00000201863","Cluster 1"
"ENSG00000203685","Cluster 1"
"ENSG00000203780","Cluster 1"
"ENSG00000203805","Cluster 2"
"ENSG00000203865","Cluster 1"
"ENSG00000203880","Cluster 1"
"ENSG00000204070","Cluster 1"
"ENSG00000204104","Cluster 1"
"ENSG00000204128","Cluster 1"
"ENSG00000204175","Cluster 1"
"ENSG00000204217","Cluster 1"
"ENSG00000204767","Cluster 1"
"ENSG00000204832","Cluster 1"
"ENSG00000204899","Cluster 2"
"ENSG00000204904","Cluster 2"
"ENSG00000204947","Cluster 1"
"ENSG00000204950","Cluster 1"
"ENSG00000204954","Cluster 2"
"ENSG00000205085","Cluster 1"
"ENSG00000205213","Cluster 2"
"ENSG00000205856","Cluster 2"
"ENSG00000205885","Cluster 2"
"ENSG00000207112","Cluster 2"
"ENSG00000210825","Cluster 2"
"ENSG00000211455","Cluster 1"
"ENSG00000213123","Cluster 1"
"ENSG00000213186","Cluster 2"
"ENSG00000213398","Cluster 2"
"ENSG00000213753","Cluster 2"
"ENSG00000214198","Cluster 1"
"ENSG00000214491","Cluster 2"
"ENSG00000214548","Cluster 2"
"ENSG00000214595","Cluster 1"
"ENSG00000214629","Cluster 2"
"ENSG00000214872","Cluster 1"
"ENSG00000215241","Cluster 1"
"ENSG00000215274","Cluster 1"
"ENSG00000215397","Cluster 1"
"ENSG00000215644","Cluster 1"
"ENSG00000217767","Cluster 2"
"ENSG00000218426","Cluster 2"
"ENSG00000219626","Cluster 1"
"ENSG00000220472","Cluster 2"
"ENSG00000220744","Cluster 1"
"ENSG00000221946","Cluster 1"
"ENSG00000221963","Cluster 2"
"ENSG00000221978","Cluster 1"
"ENSG00000222005","Cluster 2"
"ENSG00000222041","Cluster 2"
"ENSG00000222844","Cluster 1"
"ENSG00000223561","Cluster 1"
"ENSG00000223604","Cluster 1"
"ENSG00000223658","Cluster 1"
"ENSG00000223768","Cluster 1"
"ENSG00000224165","Cluster 1"
"ENSG00000224609","Cluster 2"
"ENSG00000224775","Cluster 1"
"ENSG00000224877","Cluster 1"
"ENSG00000225127","Cluster 1"
"ENSG00000225224","Cluster 2"
"ENSG00000225420","Cluster 2"
"ENSG00000225783","Cluster 1"
"ENSG00000225828","Cluster 2"
"ENSG00000225830","Cluster 1"
"ENSG00000226235","Cluster 2"
"ENSG00000226419","Cluster 1"
"ENSG00000226525","Cluster 1"
"ENSG00000227036","Cluster 1"
"ENSG00000227051","Cluster 1"
"ENSG00000227115","Cluster 1"
"ENSG00000227165","Cluster 1"
"ENSG00000227199","Cluster 1"
"ENSG00000227337","Cluster 1"
"ENSG00000227437","Cluster 2"
"ENSG00000228141","Cluster 2"
"ENSG00000228213","Cluster 2"
"ENSG00000228412","Cluster 1"
"ENSG00000228606","Cluster 1"
"ENSG00000228999","Cluster 2"
"ENSG00000229089","Cluster 1"
"ENSG00000229419","Cluster 2"
"ENSG00000229654","Cluster 1"
"ENSG00000230076","Cluster 2"
"ENSG00000230316","Cluster 2"
"ENSG00000230453","Cluster 2"
"ENSG00000230590","Cluster 1"
"ENSG00000231419","Cluster 2"
"ENSG00000231725","Cluster 1"
"ENSG00000232104","Cluster 1"
"ENSG00000232527","Cluster 2"
"ENSG00000233178","Cluster 2"
"ENSG00000233621","Cluster 1"
"ENSG00000233723","Cluster 1"
"ENSG00000234380","Cluster 2"
"ENSG00000234494","Cluster 1"
"ENSG00000234546","Cluster 2"
"ENSG00000234616","Cluster 1"
"ENSG00000234684","Cluster 1"
"ENSG00000234779","Cluster 2"
"ENSG00000234912","Cluster 1"
"ENSG00000235001","Cluster 2"
"ENSG00000235098","Cluster 1"
"ENSG00000235703","Cluster 1"
"ENSG00000236404","Cluster 1"
"ENSG00000236552","Cluster 2"
"ENSG00000236577","Cluster 2"
"ENSG00000237807","Cluster 1"
"ENSG00000238372","Cluster 2"
"ENSG00000239504","Cluster 1"
"ENSG00000239697","Cluster 1"
"ENSG00000239794","Cluster 1"
"ENSG00000239884","Cluster 2"
"ENSG00000240392","Cluster 1"
"ENSG00000240694","Cluster 1"
"ENSG00000240739","Cluster 1"
"ENSG00000241002","Cluster 2"
"ENSG00000241322","Cluster 1"
"ENSG00000241684","Cluster 2"
"ENSG00000241829","Cluster 2"
"ENSG00000242082","Cluster 2"
"ENSG00000242193","Cluster 1"
"ENSG00000242477","Cluster 2"
"ENSG00000242852","Cluster 1"
"ENSG00000243709","Cluster 1"
"ENSG00000243927","Cluster 2"
"ENSG00000244247","Cluster 2"
"ENSG00000245532","Cluster 2"
"ENSG00000245534","Cluster 1"
"ENSG00000245556","Cluster 1"
"ENSG00000245849","Cluster 1"
"ENSG00000248008","Cluster 1"
"ENSG00000248027","Cluster 1"
"ENSG00000248329","Cluster 1"
"ENSG00000248746","Cluster 2"
"ENSG00000249628","Cluster 2"
"ENSG00000250227","Cluster 1"
"ENSG00000250286","Cluster 1"
"ENSG00000250312","Cluster 1"
"ENSG00000250565","Cluster 2"
"ENSG00000250722","Cluster 1"
"ENSG00000250846","Cluster 1"
"ENSG00000251136","Cluster 1"
"ENSG00000251359","Cluster 1"
"ENSG00000251493","Cluster 1"
"ENSG00000253230","Cluster 1"
"ENSG00000253438","Cluster 2"
"ENSG00000253558","Cluster 1"
"ENSG00000253563","Cluster 1"
"ENSG00000253958","Cluster 1"
"ENSG00000254656","Cluster 2"
"ENSG00000256061","Cluster 1"
"ENSG00000257242","Cluster 1"
"ENSG00000257621","Cluster 1"
"ENSG00000257727","Cluster 1"
"ENSG00000257923","Cluster 1"
"ENSG00000258498","Cluster 2"
"ENSG00000258701","Cluster 1"
"ENSG00000258920","Cluster 2"
"ENSG00000259118","Cluster 1"
"ENSG00000259129","Cluster 1"
"ENSG00000259426","Cluster 1"
"ENSG00000259664","Cluster 2"
"ENSG00000259803","Cluster 1"
"ENSG00000259974","Cluster 1"
"ENSG00000260581","Cluster 1"
"ENSG00000260807","Cluster 1"
"ENSG00000260917","Cluster 1"
"ENSG00000261150","Cluster 1"
"ENSG00000261472","Cluster 1"
"ENSG00000261716","Cluster 1"
"ENSG00000261949","Cluster 2"
"ENSG00000262655","Cluster 1"
"ENSG00000263002","Cluster 2"
"ENSG00000263465","Cluster 1"
"ENSG00000263753","Cluster 1"
"ENSG00000264026","Cluster 1"
"ENSG00000264345","Cluster 2"
"ENSG00000264364","Cluster 1"
"ENSG00000266074","Cluster 1"
"ENSG00000266524","Cluster 2"
"ENSG00000266709","Cluster 2"
"ENSG00000267296","Cluster 1"
"ENSG00000268089","Cluster 1"
"ENSG00000269386","Cluster 1"
"ENSG00000269891","Cluster 1"
"ENSG00000270049","Cluster 1"
"ENSG00000270112","Cluster 1"
"ENSG00000270392","Cluster 2"
"ENSG00000270920","Cluster 1"
"ENSG00000271122","Cluster 1"
"ENSG00000271383","Cluster 1"
"ENSG00000271824","Cluster 1"
"ENSG00000272232","Cluster 2"
"ENSG00000272398","Cluster 1"
"ENSG00000273032","Cluster 1"
"ENSG00000273148","Cluster 1"
"ENSG00000274286","Cluster 2"
"ENSG00000274659","Cluster 1"
"ENSG00000277586","Cluster 2"
"ENSG00000282556","Cluster 2"
"ENSG00000287005","Cluster 2"
"ENSG00000287560","Cluster 1"
"ENSG00000287595","Cluster 1"
"ENSG00000287769","Cluster 1"
