"","Figure4B"
"ENSG00000100867","Cluster 2"
"ENSG00000100934","Cluster 2"
"ENSG00000100991","Cluster 2"
"ENSG00000101182","Cluster 1"
"ENSG00000101220","Cluster 1"
"ENSG00000101255","Cluster 2"
"ENSG00000101384","Cluster 2"
"ENSG00000101463","Cluster 1"
"ENSG00000101665","Cluster 1"
"ENSG00000101670","Cluster 2"
"ENSG00000101825","Cluster 2"
"ENSG00000101843","Cluster 2"
"ENSG00000101856","Cluster 1"
"ENSG00000101955","Cluster 2"
"ENSG00000101986","Cluster 1"
"ENSG00000102034","Cluster 1"
"ENSG00000102119","Cluster 1"
"ENSG00000102290","Cluster 2"
"ENSG00000102317","Cluster 1"
"ENSG00000102401","Cluster 2"
"ENSG00000102547","Cluster 2"
"ENSG00000102554","Cluster 2"
"ENSG00000103005","Cluster 1"
"ENSG00000103042","Cluster 1"
"ENSG00000103145","Cluster 2"
"ENSG00000103154","Cluster 2"
"ENSG00000103160","Cluster 1"
"ENSG00000103196","Cluster 1"
"ENSG00000103449","Cluster 1"
"ENSG00000103460","Cluster 2"
"ENSG00000103942","Cluster 2"
"ENSG00000103966","Cluster 2"
"ENSG00000103994","Cluster 2"
"ENSG00000103995","Cluster 2"
"ENSG00000104112","Cluster 1"
"ENSG00000104267","Cluster 2"
"ENSG00000104290","Cluster 2"
"ENSG00000104332","Cluster 1"
"ENSG00000104490","Cluster 2"
"ENSG00000105251","Cluster 1"
"ENSG00000105258","Cluster 1"
"ENSG00000105281","Cluster 2"
"ENSG00000105327","Cluster 2"
"ENSG00000105376","Cluster 2"
"ENSG00000105516","Cluster 2"
"ENSG00000105668","Cluster 2"
"ENSG00000105696","Cluster 2"
"ENSG00000105784","Cluster 2"
"ENSG00000105825","Cluster 2"
"ENSG00000105829","Cluster 2"
"ENSG00000105877","Cluster 2"
"ENSG00000105939","Cluster 2"
"ENSG00000106003","Cluster 2"
"ENSG00000106049","Cluster 2"
"ENSG00000106123","Cluster 1"
"ENSG00000106125","Cluster 1"
"ENSG00000106211","Cluster 2"
"ENSG00000106236","Cluster 1"
"ENSG00000106290","Cluster 1"
"ENSG00000106336","Cluster 2"
"ENSG00000106537","Cluster 1"
"ENSG00000106571","Cluster 2"
"ENSG00000106689","Cluster 2"
"ENSG00000106772","Cluster 2"
"ENSG00000106799","Cluster 1"
"ENSG00000106868","Cluster 1"
"ENSG00000107338","Cluster 1"
"ENSG00000107679","Cluster 2"
"ENSG00000107864","Cluster 1"
"ENSG00000107929","Cluster 2"
"ENSG00000107949","Cluster 1"
"ENSG00000108018","Cluster 2"
"ENSG00000108091","Cluster 2"
"ENSG00000108106","Cluster 2"
"ENSG00000108175","Cluster 1"
"ENSG00000108828","Cluster 2"
"ENSG00000108840","Cluster 2"
"ENSG00000108861","Cluster 2"
"ENSG00000108950","Cluster 1"
"ENSG00000108960","Cluster 1"
"ENSG00000109062","Cluster 1"
"ENSG00000109107","Cluster 2"
"ENSG00000109113","Cluster 1"
"ENSG00000109436","Cluster 2"
"ENSG00000109472","Cluster 1"
"ENSG00000109670","Cluster 2"
"ENSG00000109758","Cluster 2"
"ENSG00000109762","Cluster 1"
"ENSG00000109790","Cluster 1"
"ENSG00000109819","Cluster 2"
"ENSG00000109854","Cluster 1"
"ENSG00000109911","Cluster 2"
"ENSG00000109991","Cluster 1"
"ENSG00000110148","Cluster 2"
"ENSG00000110195","Cluster 2"
"ENSG00000110318","Cluster 1"
"ENSG00000110328","Cluster 1"
"ENSG00000110583","Cluster 1"
"ENSG00000110723","Cluster 2"
"ENSG00000110799","Cluster 2"
"ENSG00000110841","Cluster 2"
"ENSG00000111011","Cluster 2"
"ENSG00000111087","Cluster 1"
"ENSG00000111186","Cluster 2"
"ENSG00000111261","Cluster 2"
"ENSG00000111300","Cluster 2"
"ENSG00000111432","Cluster 1"
"ENSG00000111678","Cluster 2"
"ENSG00000111679","Cluster 1"
"ENSG00000111728","Cluster 1"
"ENSG00000111799","Cluster 1"
"ENSG00000111817","Cluster 2"
"ENSG00000111846","Cluster 2"
