"","cyclo_dose_qual","type"
"PC1",2.96361577874734e-07,0.0913180379958279
"PC2",0.000950186178119115,3.17227597428561e-12
"PC3",0.963439565144805,0.356979596509539
"PC4",0.61375676480942,0.662006939094455
"PC5",0.951157651372464,0.677122328528616
