"Gene","Percentage"
"ZIC2",60.5769230769231
"SPRY1",50.3205128205128
"IRS2",20.8333333333333
"SMOC1",12.8205128205128
"ZIC5",27.8846153846154
"TMEM132B",12.5
"LHX2",39.7435897435897
"LPAR1",3.84615384615385
"FJX1",27.2435897435897
"PCSK5",14.1025641025641
"TNC",4.16666666666667
"BCL2L11",14.4230769230769
"BEGAIN",0.961538461538462
"MEG3",77.8846153846154
"COL11A1",26.2820512820513
"PRSS23",50.3205128205128
"NLGN1",20.5128205128205
"GNG11",12.1794871794872
"WNT5B",43.5897435897436
"PAMR1",7.69230769230769
"ZNF385B",0.32051282051282
"PLEKHA1",38.7820512820513
"GLI3",48.7179487179487
"FEZF1",20.1923076923077
"DSP",36.2179487179487
"RGS16",15.7051282051282
"TPM1",91.6666666666667
"CREB5",11.2179487179487
"LAMP5",25.9615384615385
"RHOU",41.025641025641
"TFPI2",0.641025641025641
"MYLK",22.7564102564103
"GLI2",15.3846153846154
"GADD45A",31.0897435897436
"FBN2",43.5897435897436
"PRDM16",2.56410256410256
"SOX2",96.1538461538462
"GRIA1",9.93589743589744
"LAMC1",18.2692307692308
"CDH11",13.7820512820513
"ZNF521",48.0769230769231
"SMC5",36.2179487179487
"SURF4",41.025641025641
"BCAT1",68.5897435897436
"MRPS6",88.1410256410256
"LGALSL",23.7179487179487
"ZFPL1",25.9615384615385
"DMD",20.5128205128205
"ARL4C",81.7307692307692
"RASGEF1B",5.12820512820513
"TIAM1",22.7564102564103
"PRDX6",97.4358974358974
"CTNNBIP1",50.6410256410256
"VAX1",2.56410256410256
"LGALS1",26.2820512820513
"VCL",25.9615384615385
"COL25A1",1.6025641025641
"ENC1",23.7179487179487
"SERTAD4",1.6025641025641
"CRTAP",40.3846153846154
"LARP1B",18.9102564102564
"DIO3",13.7820512820513
"ATL2",24.0384615384615
"SP8",0.32051282051282
"BTG3",47.7564102564103
"XBP1",29.1666666666667
"VAT1L",20.5128205128205
"TPBG",82.6923076923077
"HS6ST2",16.6666666666667
"FOXO3",36.5384615384615
"VGF",1.6025641025641
"DUSP4",39.1025641025641
"PDP1",2.88461538461538
"FEZF1-AS1",13.1410256410256
"COLGALT2",7.05128205128205
"LGALS3",3.52564102564103
"PRICKLE1",6.41025641025641
"CUL4B",18.9102564102564
"RAB1A",51.9230769230769
"OTX2",61.2179487179487
"NAV1",51.9230769230769
"JAG1",40.3846153846154
"MAN2A1",22.1153846153846
"RIPPLY3",2.24358974358974
"SOX1",27.8846153846154
"EPHA4",51.9230769230769
"FOXG1",12.5
"FDFT1",86.5384615384615
"SORCS1",6.41025641025641
"HS3ST3B1",6.41025641025641
"ATP2B1",84.6153846153846
"EGF",0
"LRIG1",32.6923076923077
"IRS4",10.5769230769231
"ME3",14.7435897435897
"CCNYL1",9.93589743589744
"PTPRG",26.6025641025641
"RAB11FIP1",20.1923076923077
"ID2",83.0128205128205
"PAX6",75.6410256410256
"PDLIM3",3.52564102564103
"TMSB10",99.3589743589744
"PALLD",49.0384615384615
"PLK2",8.65384615384615
"SLC3A2",78.8461538461538
"MZT1",63.4615384615385
"OPTN",2.24358974358974
"PDE4D",1.6025641025641
"CA2",9.61538461538462
"PAQR9",0.961538461538462
"PRRC1",26.9230769230769
"PERP",31.4102564102564
"YBX3",79.1666666666667
"CDON",21.474358974359
"NCALD",20.8333333333333
"LGR4",11.8589743589744
"CLDN3",17.9487179487179
"TMEM68",24.0384615384615
"ATCAY",3.52564102564103
"SMCO4",32.3717948717949
"SLC12A4",4.80769230769231
"MT2A",47.7564102564103
"COX17",65.7051282051282
"AEN",13.1410256410256
"ADD3",41.3461538461538
"TTC3",79.1666666666667
"EIF1",98.3974358974359
"GJA1",66.6666666666667
"C1orf21",50.3205128205128
"INSIG1",26.9230769230769
"DNAJC15",72.7564102564102
"ARHGAP29",11.2179487179487
"KLF9",0
"TRIB1",10.2564102564103
"GABRA5",0.32051282051282
"SLC35F1",13.4615384615385
"CDR2",6.08974358974359
"PIM3",26.9230769230769
"USO1",30.7692307692308
"LOXL2",11.5384615384615
"UNC5D",3.52564102564103
"GCNT2",5.44871794871795
"GAS1",32.0512820512821
"IER2",67.6282051282051
"C12orf57",93.9102564102564
"NEAT1",56.7307692307692
"KCMF1",49.6794871794872
"RPLP1",100
"HOMER1",20.1923076923077
"DBF4",50.9615384615385
"NUAK2",43.9102564102564
"ANXA5",61.5384615384615
"AHCYL1",57.6923076923077
"MSN",29.8076923076923
"FRMD4A",16.6666666666667
"RAB5A",35.5769230769231
"UBC",89.1025641025641
"ZIC3",3.2051282051282
"IFITM3",72.7564102564102
"CD82",28.2051282051282
"AP1S2",71.7948717948718
"CXCL14",3.84615384615385
"HERPUD1",21.474358974359
"SCRN1",24.3589743589744
"SH3BGRL2",14.7435897435897
"GOLGA2",25.6410256410256
"HSPB1",80.448717948718
"BHLHE41",2.56410256410256
"GXYLT1",12.8205128205128
"PCDH9",6.41025641025641
"TERF2IP",60.2564102564103
"ECT2",39.4230769230769
"FAM171B",25
"SGCE",26.6025641025641
"CDV3",67.3076923076923
"GORASP2",39.4230769230769
"DPF2",46.7948717948718
"CNN3",92.3076923076923
"FGF2",25.3205128205128
"IDI1",81.0897435897436
"SEC23A",35.5769230769231
"NOTCH2",19.5512820512821
"MPZL1",36.8589743589744
"BET1",40.3846153846154
"SAMD4A",1.6025641025641
"ATP6V1B1",0.641025641025641
"MERTK",2.24358974358974
"TNRC6C",26.2820512820513
"LMO4",67.948717948718
"LIG3",26.2820512820513
"B3GALT1",2.88461538461538
