"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Thr1_5"
"ENSG00000000003",327.153914789822,-0.0943804424355622,0.0711171954570043,-1.32711142261821,0.184471827323903,0.27749240063484,"TSPAN6",FALSE
"ENSG00000000419",99.7357930774115,0.175871675744026,0.123279876898159,1.42660489423843,0.15369381270038,0.239893786182473,"DPM1",FALSE
"ENSG00000000457",13.8477267908717,0.536911618910353,0.282642315270891,1.89961513156926,0.0574836450131764,0.105621252289245,"SCYL3",FALSE
"ENSG00000000460",3.35951345663252,0.989067683625285,0.643379112564806,1.53730151369448,0.124219490983914,0.200765622337539,"FIRRM",FALSE
"ENSG00000000971",1.61588596825172,1.05253295659504,1.03597380336655,1.01598414281778,0.30963693778518,0.418008582594019,"CFH",FALSE
"ENSG00000001036",169.423692112978,-0.0772921525041681,0.0916176061694273,-0.843638638202714,0.398871366236556,0.5099840900364,"FUCA2",FALSE
"ENSG00000001084",36.0219447215436,-0.248286280557657,0.173835253610108,-1.42828497328013,0.153209851194693,0.239399580378581,"GCLC",FALSE
"ENSG00000001167",110.103575187206,-0.566371434414182,0.102620371743114,-5.51909357561049,3.40752716493147e-08,2.45320865963347e-07,"NFYA",FALSE
"ENSG00000001460",19.2271623872642,0.141911278863759,0.241199941862274,0.588355360984253,0.55629379354688,0.656358427643792,"STPG1",FALSE
"ENSG00000001461",29.4350909822002,-0.251493957581063,0.182900771057115,-1.37502950986755,0.169122296105435,0.258800657026594,"NIPAL3",FALSE
"ENSG00000001497",74.4510695765476,-0.0771631334717496,0.114708112584034,-0.672691161361589,0.50114379181815,0.606504655897635,"LAS1L",FALSE
"ENSG00000001561",32.0992054601187,0.144607422002182,0.183934618709313,0.786189261254386,0.431756616441933,0.541942076364797,"ENPP4",FALSE
"ENSG00000001617",11.4473966548111,-3.20721724119773,0.372872464611325,-8.60137860954916,7.87641817750118e-18,1.44608196190086e-16,"SEMA3F",TRUE
"ENSG00000001626",2.09146586768316,2.44878293666747,1.01917905405654,2.40270139669846,0.0162744703491464,0.0360143701095052,"CFTR",TRUE
"ENSG00000001629",127.905498194279,-0.306230265272133,0.0928380901767448,-3.29854119886711,0.000971886170594319,0.00304778861700914,"ANKIB1",FALSE
"ENSG00000001630",389.483510040925,0.562061239555122,0.0717237788419108,7.83646997732766,4.63389081558696e-15,6.86650700016684e-14,"CYP51A1",FALSE
"ENSG00000001631",19.4366950825111,0.964273826550999,0.239959617424046,4.01848376365335,5.85738445153664e-05,0.000243708497172392,"KRIT1",FALSE
"ENSG00000002016",42.1820353946035,-1.58332694889216,0.161689344193113,-9.79240132856947,1.21378363115264e-22,3.04099483589549e-21,"RAD52",TRUE
"ENSG00000002330",46.7832124330459,0.606554229421522,0.17942988061224,3.38045272811793,0.000723665221447657,0.00233225571566893,"BAD",FALSE
"ENSG00000002549",77.2139627273854,0.734368328503855,0.128889711690635,5.69764893466833,1.21470855052782e-08,9.39293862552022e-08,"LAP3",FALSE
"ENSG00000002834",29.3329967631601,0.858125747740595,0.227877040095984,3.76574027545357,0.000166056342822204,0.000621947456959429,"LASP1",FALSE
"ENSG00000002919",20.8639231469461,0.635747368171029,0.230383114361782,2.75952241522651,0.00578859158744473,0.0146856541519765,"SNX11",FALSE
"ENSG00000002933",3.5418745286742,2.89059368498042,0.791825350059306,3.65054451055896,0.000261684953788175,0.000941984852440414,"TMEM176A",TRUE
"ENSG00000003056",8.57397144345012,-0.27511566637376,0.363743018697824,-0.756346245100883,0.449441628190407,0.558154888928766,"M6PR",FALSE
"ENSG00000003096",42.3319896846705,0.130485632158182,0.155642578478849,0.838367196389738,0.401824506998087,0.513111589152658,"KLHL13",FALSE
"ENSG00000003147",9.02774278038435,0.444165708007821,0.349856441701159,1.26956561339299,0.204239404677854,0.300536613822974,"ICA1",FALSE
"ENSG00000003249",2.56651277217,0.339091080601702,0.619361837426255,0.547484620639186,0.584045833514001,0.68097561385949,"DBNDD1",FALSE
"ENSG00000003393",142.986220035163,-0.261978467259527,0.0908076981962172,-2.88498081620178,0.00391437513639888,0.0104261692993549,"ALS2",FALSE
"ENSG00000003402",90.3767457744125,0.764233658719168,0.117079523209702,6.5274749825411,6.68876751810958e-11,6.82497362358487e-10,"CFLAR",FALSE
"ENSG00000003436",71.6863208064117,-0.473759150397103,0.11665913370365,-4.06105493291762,4.88514743033474e-05,0.000206742790808215,"TFPI",FALSE
"ENSG00000003509",37.5751137627167,0.0175325935232948,0.172272923043177,0.101772195035552,0.918937496176871,0.942492576221209,"NDUFAF7",FALSE
"ENSG00000003756",275.150668880872,0.0463652093578153,0.085460539489744,0.542533543956618,0.587451005826421,0.68385515810101,"RBM5",FALSE
"ENSG00000003987",3.56096248999423,-0.468176155221474,0.54253996309318,-0.862933953385228,0.388173781314342,0.500001137109889,"MTMR7",FALSE
"ENSG00000003989",31.3580421382626,0.707695298933433,0.205706330588393,3.44031852062682,0.000581029950272264,0.00191579871244591,"SLC7A2",FALSE
"ENSG00000004059",138.17339668482,-0.519719416295225,0.104420862788374,-4.9771607169012,6.45237450146231e-07,3.81820198969163e-06,"ARF5",FALSE
"ENSG00000004139",13.7447727362204,2.29302801755397,0.408549350113962,5.61260963189476,1.99297861288099e-08,1.48131705663017e-07,"SARM1",TRUE
"ENSG00000004142",125.089166225109,0.506910354594699,0.10164108691166,4.98725830269085,6.12421621675507e-07,3.63457948578193e-06,"POLDIP2",FALSE
"ENSG00000004399",40.8265609801373,0.165713965298051,0.189194271691265,0.875893143152188,0.3810881274946,0.492628402434174,"PLXND1",FALSE
"ENSG00000004455",65.8780182208843,0.541601591470796,0.129453669295121,4.18374847480053,2.86741359426381e-05,0.000126856371590834,"AK2",FALSE
"ENSG00000004478",62.5842097850521,-0.563639342933188,0.125925410226407,-4.47597781829573,7.60623820773626e-06,3.75242621063269e-05,"FKBP4",FALSE
"ENSG00000004487",409.917817402907,0.00729874914792681,0.0606593886646925,0.12032348674452,0.904226899540348,0.931806306335162,"KDM1A",FALSE
"ENSG00000004534",281.027859867421,-0.466425835811645,0.0909343217931579,-5.12926062034742,2.90882400023975e-07,1.81983091985802e-06,"RBM6",FALSE
"ENSG00000004660",9.12580830893544,-0.781584425267798,0.322580458951148,-2.42291311696026,0.0153966085193339,0.0343565044857978,"CAMKK1",FALSE
"ENSG00000004700",19.0611621760302,0.598597326081261,0.243148494145687,2.46185907169386,0.013821896525078,0.0313277084079187,"RECQL",FALSE
"ENSG00000004766",31.2719269866303,0.778149548329367,0.193558579448085,4.02022762591144,5.81419361852292e-05,0.000242468996357608,"VPS50",FALSE
"ENSG00000004777",13.0236151268461,0.992591861886061,0.293963592606819,3.37658093331873,0.000733927763942154,0.00236065843092988,"ARHGAP33",FALSE
"ENSG00000004779",334.698332397505,-0.286784593936448,0.0892503530288803,-3.21326005112437,0.00131237404787955,0.00397207954992539,"NDUFAB1",FALSE
"ENSG00000004799",8.37595024996652,3.44711664396206,0.773792761886818,4.45483185388889,8.39589700554176e-06,4.11209572136083e-05,"PDK4",TRUE
"ENSG00000004838",6.33758351843001,3.23047759817247,0.718389652837466,4.49683202620314,6.89734352865394e-06,3.43306662915838e-05,"ZMYND10",TRUE
"ENSG00000004848",246.139268505049,4.28643789566102,0.188007141120842,22.7993355470785,4.65525942433089e-115,1.16632153423429e-112,"ARX",TRUE
"ENSG00000004864",79.05422262941,0.761855475088744,0.130931467047641,5.81873473403865,5.92947468953449e-09,4.78027204549848e-08,"SLC25A13",FALSE
"ENSG00000004866",17.7033350600407,1.29115083250662,0.273668910075702,4.71793026160503,2.3825613176492e-06,1.28095117391605e-05,"ST7",FALSE
"ENSG00000004897",170.913852889325,0.452967686416454,0.0880734751035012,5.14306589905917,2.70290758128888e-07,1.69818093986456e-06,"CDC27",FALSE
"ENSG00000004961",35.0166873723407,-0.287337060138199,0.181315456574984,-1.58473560702404,0.113026418186304,0.185547905258464,"HCCS",FALSE
"ENSG00000004975",110.900693099194,0.00363821450217346,0.0975878546612741,0.0372814272308951,0.970260614119915,0.980009557833084,"DVL2",FALSE
"ENSG00000005007",57.2314863793962,-0.176763862214023,0.14283299864466,-1.23755619423615,0.21588066577334,0.313950405618757,"UPF1",FALSE
"ENSG00000005020",14.0370126089554,1.02200811073851,0.392917363667884,2.60107647368408,0.00929317352075783,0.022259057329834,"SKAP2",FALSE
"ENSG00000005022",426.950916013569,-0.424186307557998,0.0678138968181302,-6.25515310962916,3.9712610966447e-10,3.76437642368213e-09,"SLC25A5",FALSE
"ENSG00000005059",64.946250682967,0.325076362254833,0.126256948457519,2.57472056965015,0.0100321098375151,0.0237564212162184,"MCUB",FALSE
"ENSG00000005075",87.4514260031324,-0.00296265173129138,0.125516635138279,-0.0236036580173415,0.981168754289433,0.987658126072655,"POLR2J",FALSE
"ENSG00000005100",116.654930594832,0.589535087944706,0.111196318546874,5.30175005475736,1.14697806344506e-07,7.60836568765896e-07,"DHX33",FALSE
