"","cyclo_dose_qual","type"
"PC1",7.73463941495776e-08,8.94912938437759e-08
"PC2",0.0538592253996951,0.945892092720296
"PC3",0.926389608179292,0.118269892649396
"PC4",0.67885983307904,0.991269175144773
"PC5",0.652867543914424,0.321332954807717
