"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Thr1_5"
"ENSG00000000003",327.153914789822,0.310178868768635,0.0704625389966585,4.40203934154778,1.07238105151084e-05,4.33343062626651e-05,"TSPAN6",FALSE
"ENSG00000000419",99.7357930774115,0.152512331463671,0.125480310740621,1.21542838524625,0.224202747320387,0.307723703338601,"DPM1",FALSE
"ENSG00000000457",13.8477267908717,0.518516527724131,0.288548982228084,1.79697922938529,0.0723389172516359,0.1185627282048,"SCYL3",FALSE
"ENSG00000000460",3.35951345663252,1.58430258415601,0.629516059014815,2.51669923502098,0.0118459903576737,0.0246816725914428,"FIRRM",TRUE
"ENSG00000000971",1.61588596825172,2.08950667661162,0.99342854706701,2.10332860151912,0.0354370549266557,0.0643358349476687,"CFH",FALSE
"ENSG00000001036",169.423692112978,0.310324542407808,0.0907131499719352,3.42094329767863,0.000624043416315545,0.00179550300966407,"FUCA2",FALSE
"ENSG00000001084",36.0219447215436,0.223174837691798,0.169923832671864,1.31338161447174,0.189054389620274,0.267345496263126,"GCLC",FALSE
"ENSG00000001167",110.103575187206,-0.40601962213553,0.103444454859559,-3.92500132256252,8.6729261457461e-05,0.000298223400091797,"NFYA",FALSE
"ENSG00000001460",19.2271623872642,0.388117727763315,0.241026692587624,1.6102686536356,0.107339219329649,0.166513941938122,"STPG1",FALSE
"ENSG00000001461",29.4350909822002,-0.160381897938568,0.185732213738649,-0.86351147552814,0.387856312782599,0.484077257331746,"NIPAL3",FALSE
"ENSG00000001497",74.4510695765476,-0.179211218428012,0.118772136360153,-1.50886583267804,0.131333072896859,0.197499119937051,"LAS1L",FALSE
"ENSG00000001561",32.0992054601187,0.375309504089994,0.1840333520209,2.03935591004924,0.0414145193639844,0.0736283240002714,"ENPP4",FALSE
"ENSG00000001617",11.4473966548111,-3.26051774972445,0.397660644934718,-8.19924674783875,2.41897952218294e-16,3.10181744242119e-15,"SEMA3F",TRUE
"ENSG00000001626",2.09146586768316,4.43126293516462,0.944792483442414,4.6901970674227,2.72942045264563e-06,1.20424307968935e-05,"CFTR",TRUE
"ENSG00000001629",127.905498194279,-0.384121903033838,0.0957881704754388,-4.0101183802475,6.06883133036999e-05,0.000214943275804861,"ANKIB1",FALSE
"ENSG00000001630",389.483510040925,0.500522812933732,0.0727904139324431,6.87621880263338,6.14620765022078e-12,5.48177212563349e-11,"CYP51A1",FALSE
"ENSG00000001631",19.4366950825111,0.637886367073992,0.25037476730083,2.5477262503356,0.0108427518112737,0.0228604626160788,"KRIT1",FALSE
"ENSG00000002016",42.1820353946035,-1.75795180003266,0.171976968541793,-10.2220187676203,1.58015266187217e-24,3.47271067457331e-23,"RAD52",TRUE
"ENSG00000002330",46.7832124330459,0.616005304713705,0.182012969344077,3.38440335836293,0.000713331255815616,0.00202567668381608,"BAD",FALSE
"ENSG00000002549",77.2139627273854,1.07693561665503,0.127982031353449,8.41474076685693,3.93764723601668e-17,5.37957929853453e-16,"LAP3",FALSE
"ENSG00000002834",29.3329967631601,0.959239064336885,0.229797803456185,4.17427429640241,2.989374145425e-05,0.000111681481895495,"LASP1",FALSE
"ENSG00000002919",20.8639231469461,0.752444921749497,0.232548495281849,3.23564734675033,0.00121367226964318,0.00326688477870069,"SNX11",FALSE
"ENSG00000002933",3.5418745286742,1.98945852361881,0.823749031164223,2.41512699663763,0.015729724215867,0.0316362305613677,"TMEM176A",TRUE
"ENSG00000003056",8.57397144345012,0.459311347660563,0.347088049189047,1.32332803948082,0.185726310969097,0.263623548690991,"M6PR",FALSE
"ENSG00000003096",42.3319896846705,0.257365992760885,0.157226148142996,1.63691596977122,0.101648028617159,0.158876873599236,"KLHL13",FALSE
"ENSG00000003147",9.02774278038435,0.612116925150195,0.351816291461617,1.73987657765126,0.0818806922793002,0.132061708801466,"ICA1",FALSE
"ENSG00000003249",2.56651277217,0.16167140636695,0.643680133862833,0.251167307893647,0.801684759055614,0.853129210038598,"DBNDD1",FALSE
"ENSG00000003393",142.986220035163,0.352074075819942,0.0877741896201915,4.01113445015448,6.04276837965697e-05,0.000214113322590761,"ALS2",FALSE
"ENSG00000003402",90.3767457744125,0.783257459334712,0.118909505644221,6.58700458883608,4.48788417280551e-11,3.65060907862826e-10,"CFLAR",FALSE
"ENSG00000003436",71.6863208064117,-0.543737337152176,0.120845556269741,-4.49944006164773,6.8132686380825e-06,2.83842619010421e-05,"TFPI",FALSE
"ENSG00000003509",37.5751137627167,-0.119362465752977,0.178262224566504,-0.669589230378123,0.503119681287566,0.594493107659847,"NDUFAF7",FALSE
"ENSG00000003756",275.150668880872,0.0837366312187115,0.0864223429643537,0.968923409693371,0.332583404470982,0.426197729132038,"RBM5",FALSE
"ENSG00000003987",3.56096248999423,-0.470503535710001,0.556714011294167,-0.845144052717918,0.398030414884659,0.49366185046028,"MTMR7",FALSE
"ENSG00000003989",31.3580421382626,1.19725740271254,0.202275355886616,5.91894844265483,3.24006506056529e-09,2.15014097438084e-08,"SLC7A2",FALSE
"ENSG00000004059",138.17339668482,-0.0129245396120285,0.10241667154172,-0.126195661482355,0.899577045547185,0.928222534716743,"ARF5",FALSE
"ENSG00000004139",13.7447727362204,2.56847477968187,0.408061227952231,6.29433674101119,3.08716996847891e-10,2.29774053641129e-09,"SARM1",TRUE
"ENSG00000004142",125.089166225109,0.621052129320927,0.102569103205386,6.05496304357195,1.40449905250741e-09,9.74116996170494e-09,"POLDIP2",FALSE
