"","CRISPR","PAX6"
"PC1",6.00708753430206e-07,3.5680662291009e-11
"PC2",0.0656582530603974,0.564838367239956
"PC3",0.940420868747772,0.963284951417447
"PC4",0.990402077481575,0.97656117608882
"PC5",0.993134473833852,0.503073187247327
