gene1,gene2,STRING_score,double,gene_sc,gene_mouse,gene_pattern,gene_SHH_link,gene_SHH_corr,combined_score_SHH
ASPH,OLFM1,0.42,keep,expressed,NA,FALSE,FALSE,-0.0245881150047242,0
ATL2,RTN4,0.61,keep,expressed,NA,FALSE,FALSE,-0.221109930497087,0
ATL2,RRBP1,0.456,keep,expressed,NA,FALSE,FALSE,-0.221109930497087,0
ATP1A2,CASQ2,0.605,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,FXYD7,0.599,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,GJA1,0.541,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,ATP1B3,0.978,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,NLGN3,0.548,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,HOPX,0.42,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,TLE2,0.468,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1A2,NLGN1,0.528,keep,expressed,NA,FALSE,FALSE,-0.0219284905501494,0
ATP1B3,FXYD7,0.499,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP1B3,ATP2B4,0.401,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP1B3,ATP2B1,0.405,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP1B3,SLC1A5,0.523,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP1B3,RTN4,0.526,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP1B3,TMEM98,0.547,keep,expressed,NA,FALSE,FALSE,-0.011518602823223,0
ATP2B1,ULK3,0.418,keep,expressed,NA,FALSE,FALSE,-0.14710603508079,0
ATP2B1,ATP2C2,0.634,keep,expressed,NA,FALSE,FALSE,-0.14710603508079,0
ATP2B4,BMP1,0.487,keep,expressed,NA,FALSE,FALSE,0.0208533618926688,0
ATP2B4,DMD,0.416,keep,expressed,NA,FALSE,FALSE,0.0208533618926688,0
ATP2B4,EDA2R,0.42,keep,expressed,NA,FALSE,FALSE,0.0208533618926688,0
ATP2B4,ATP2C2,0.633,keep,expressed,NA,FALSE,FALSE,0.0208533618926688,0
ATP2C2,GNPTG,0.52,keep,expressed,NA,FALSE,FALSE,0.161793086395196,0
ATP5F1E,ATP6V1B1,0.54,keep,NA,NA,FALSE,FALSE,-0.0182327975574375,0
ATP5F1E,COX17,0.6,keep,NA,NA,FALSE,FALSE,-0.0182327975574375,0
ATP6V1B1,VAX2,0.478,keep,expressed,NA,FALSE,FALSE,-0.029793180347325,0
ATP6V1B1,RRAGD,0.562,keep,expressed,NA,FALSE,FALSE,-0.029793180347325,0
ATP6V1B1,CA2,0.841,keep,expressed,NA,FALSE,FALSE,-0.029793180347325,0
B3GALT1,GCNT2,0.417,keep,expressed,NA,FALSE,FALSE,-0.027520393462234,0
BAIAP2L1,BASP1,0.4,keep,expressed,NA,FALSE,FALSE,-0.0131888951893347,0
BAIAP2L1,EGF,0.429,keep,expressed,NA,FALSE,FALSE,-0.0131888951893347,0
BAIAP2L1,SOWAHC,0.44,keep,expressed,NA,FALSE,FALSE,-0.0131888951893347,0
BAIAP2L1,FGFR3,0.511,keep,expressed,NA,FALSE,FALSE,-0.0131888951893347,0
BAIAP2L1,SHANK1,0.54,keep,expressed,NA,FALSE,FALSE,-0.0131888951893347,0
BASP1,SOWAHC,0.411,keep,expressed,NA,FALSE,FALSE,0.0617639973124515,0
BASP1,NCAM1,0.502,keep,expressed,NA,FALSE,FALSE,0.0617639973124515,0
BCAT1,HIBADH,0.574,keep,expressed,NA,FALSE,FALSE,-0.301274353841572,0
BCAT1,IDH1,0.709,keep,expressed,NA,FALSE,FALSE,-0.301274353841572,0
BCL2L11,XBP1,0.689,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,EGF,0.445,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,KIT,0.427,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,FOXO3,0.984,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,QKI,0.541,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,GADD45A,0.58,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,FOXO1,0.874,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,IGF1R,0.447,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BCL2L11,DYNLL2,0.748,keep,expressed,NA,FALSE,FALSE,-0.528825391896885,0
BEGAIN,SGCE,0.401,keep,expressed,NA,FALSE,FALSE,-0.528029401945661,0
BEGAIN,DIO3,0.432,keep,expressed,NA,FALSE,FALSE,-0.528029401945661,0
BEGAIN,RTL1,0.602,keep,expressed,NA,FALSE,FALSE,-0.528029401945661,0
BET1,GRIA1,0.499,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,GORASP2,0.67,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,GOLGA2,0.753,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,SEC23A,0.816,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,RAB1A,0.884,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,USO1,0.982,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BET1,SCFD1,0.999,keep,expressed,NA,FALSE,FALSE,-0.0303909331982063,0
BHLHE41,DBP,0.552,keep,expressed,NA,FALSE,FALSE,-0.0377708588456552,0
BHLHE41,FOXO3,0.407,keep,expressed,NA,FALSE,FALSE,-0.0377708588456552,0
BHLHE41,SSPN,0.657,keep,expressed,NA,FALSE,FALSE,-0.0377708588456552,0
BHLHE41,RORA,0.909,keep,expressed,NA,FALSE,FALSE,-0.0377708588456552,0
BMP1,EGF,0.48,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMP1,LRP4,0.439,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMP1,COL11A1,0.578,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMP1,BMPR2,0.707,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMP1,CRTAP,0.724,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMP1,LOXL2,0.846,keep,expressed,NA,FALSE,FALSE,0.0642225946313085,0
BMPR2,SMAD7,0.884,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,FGF2,0.434,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,KIT,0.683,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,NES,0.428,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,RUNX2,0.474,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,ID1,0.592,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BMPR2,TGFBR1,0.722,keep,expressed,NA,FALSE,FALSE,0.176559803563537,0
BOC,GLI1,0.481,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,GLI2,0.495,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,GLI3,0.544,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,CDON,0.942,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,GAS1,0.982,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,PTCH1,0.993,keep,expressed,NA,FALSE,FALSE,-0.0208598302031611,0
BOC,SHH,0.996,keep,expressed,NA,FALSE,TRUE,-0.0208598302031611,0.996
BTG2,GDF15,0.442,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
BTG2,EGF,0.431,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
BTG2,PLK2,0.416,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
BTG2,TRIB1,0.481,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
BTG2,IER2,0.636,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
BTG2,GADD45A,0.714,keep,expressed,NA,FALSE,FALSE,-0.00873757141838495,0
C12orf57,PNMA2,0.426,keep,expressed,NA,FALSE,FALSE,-0.0587039041612277,0
CA2,CA4,0.557,keep,expressed,NA,FALSE,FALSE,-0.10185160359013,0
CA4,MERTK,0.48,keep,expressed,NA,FALSE,FALSE,-0.00931500455863445,0
CAPN6,DCX,0.56,keep,expressed,tested,TRUE,FALSE,0.424366701381111,0
CASQ2,GJA1,0.426,keep,expressed,NA,FALSE,FALSE,0.00919388542495639,0
CASQ2,MYLPF,0.441,keep,expressed,NA,FALSE,FALSE,0.00919388542495639,0
CASQ2,MYOCD,0.444,keep,expressed,NA,FALSE,FALSE,0.00919388542495639,0
CASQ2,TPM1,0.556,keep,expressed,NA,FALSE,FALSE,0.00919388542495639,0
CASQ2,PDLIM3,0.563,keep,expressed,NA,FALSE,FALSE,0.00919388542495639,0
CATSPERG,PDE4D,0.541,keep,expressed,NA,FALSE,FALSE,0.0214818190067102,0
CCDC170,TOX3,0.501,keep,expressed,NA,FALSE,FALSE,0.1090821144463,0
CD2AP,PDLIM3,0.568,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,STOM,0.601,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,FERMT2,0.664,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,PIK3C2B,0.414,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,NES,0.451,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,PLEKHO1,0.474,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,PODXL,0.609,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CD2AP,UBC,0.947,keep,expressed,NA,FALSE,FALSE,-0.0197599609834709,0
CDH11,VCL,0.603,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,CDH6,0.724,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,RUNX2,0.446,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,COL11A1,0.455,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,GJA1,0.507,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,DSP,0.516,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,NCAM1,0.602,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH11,CDH7,0.715,keep,expressed,NA,FALSE,FALSE,-0.324307796664263,0
CDH6,RUNX2,0.511,keep,expressed,NA,FALSE,FALSE,0.0162166096621244,0
CDH6,CDH7,0.799,keep,expressed,NA,FALSE,FALSE,0.0162166096621244,0
CDH7,ZIC2,0.418,keep,expressed,NA,FALSE,FALSE,0.0177319801105296,0
CDH7,FBN2,0.402,keep,expressed,NA,FALSE,FALSE,0.0177319801105296,0
CDON,GLI1,0.552,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDON,SHH,0.999,keep,expressed,NA,FALSE,TRUE,-0.0948277803847061,0.999
CDON,GAS1,0.995,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDON,PTCH1,0.998,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDON,ZIC2,0.464,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDON,GLI3,0.526,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDON,GLI2,0.623,keep,expressed,NA,FALSE,FALSE,-0.0948277803847061,0
CDV3,QKI,0.462,keep,expressed,NA,FALSE,FALSE,-0.0341327858218706,0
CELSR1,SHROOM3,0.613,keep,expressed,NA,FALSE,FALSE,0.0432256505475225,0
CELSR1,PRICKLE1,0.788,keep,expressed,NA,FALSE,FALSE,0.0432256505475225,0
CELSR2,SORCS1,0.693,keep,expressed,NA,FALSE,FALSE,0.0396321235814428,0
CELSR2,EGF,0.512,keep,expressed,NA,FALSE,FALSE,0.0396321235814428,0
CELSR2,MRPS6,0.43,keep,expressed,NA,FALSE,FALSE,0.0396321235814428,0
CELSR2,TRIB1,0.479,keep,expressed,NA,FALSE,FALSE,0.0396321235814428,0
CELSR2,PRICKLE1,0.621,keep,expressed,NA,FALSE,FALSE,0.0396321235814428,0
CEP57,FGF2,0.517,keep,expressed,NA,FALSE,FALSE,-0.0110498827232415,0
CEP57,OPTN,0.507,keep,expressed,NA,FALSE,FALSE,-0.0110498827232415,0
CLDN23,CLDN3,0.728,keep,expressed,NA,FALSE,FALSE,0.0167311695433298,0
CNN3,VCL,0.644,keep,expressed,NA,FALSE,FALSE,-0.0335287387086642,0
CNTN6,NTRK2,0.466,keep,expressed,NA,FALSE,FALSE,0.620569213455202,0
CNTN6,PTPRG,0.934,keep,expressed,NA,FALSE,FALSE,0.620569213455202,0
COL11A1,SFRP1,0.539,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,LAMC1,0.432,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,COL14A1,0.73,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,P3H2,0.596,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,CRTAP,0.57,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,COLGALT2,0.568,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,PCDH9,0.413,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,UNC5D,0.414,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,HOPX,0.419,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,FBN2,0.481,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL11A1,COL25A1,0.505,keep,expressed,NA,FALSE,FALSE,-0.5085539937859,0
COL14A1,LAMC1,0.646,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,NID1,0.596,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,UBC,0.426,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,LOXL2,0.476,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,CRTAP,0.521,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,COLGALT2,0.549,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,COL25A1,0.554,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL14A1,P3H2,0.598,keep,expressed,NA,FALSE,FALSE,0.0136473389625893,0
COL25A1,P3H2,0.503,keep,expressed,NA,FALSE,FALSE,-0.233286752429632,0
COL25A1,CRTAP,0.503,keep,expressed,NA,FALSE,FALSE,-0.233286752429632,0
COL25A1,COLGALT2,0.629,keep,expressed,NA,FALSE,FALSE,-0.233286752429632,0
COX17,LGALS3,0.474,keep,expressed,NA,FALSE,FALSE,-0.0865234556674469,0
CPAMD8,P3H2,0.4,keep,expressed,NA,FALSE,FALSE,0.0116003195301816,0
CREB3L2,XBP1,0.495,keep,expressed,NA,FALSE,FALSE,-0.014752063592496,0
CREB3L2,SEC23A,0.553,keep,expressed,NA,FALSE,FALSE,-0.014752063592496,0
CREB3L2,CREB5,0.922,keep,expressed,NA,FALSE,FALSE,-0.014752063592496,0
CREB5,RAB31,0.405,keep,expressed,NA,FALSE,FALSE,-0.383372880062472,0
CRTAP,P3H2,0.517,keep,expressed,NA,FALSE,FALSE,-0.225053380149574,0
CRTAP,FGFR3,0.412,keep,expressed,NA,FALSE,FALSE,-0.225053380149574,0
CTNNBIP1,FOXO3,0.435,keep,expressed,NA,FALSE,FALSE,-0.242525659348949,0
CUL4B,SMC5,0.554,keep,expressed,NA,FALSE,FALSE,-0.180122912517595,0
CUL4B,LIG3,0.464,keep,expressed,NA,FALSE,FALSE,-0.180122912517595,0
CUL4B,UBC,0.611,keep,expressed,NA,FALSE,FALSE,-0.180122912517595,0
CUL4B,DCAF7,0.984,keep,expressed,NA,FALSE,FALSE,-0.180122912517595,0
