"gene","W3-1","W4-1","W5-1"
"MXRA8",50.9727626459144,45.7142857142857,23.800066203244
"CCNL2",45.9143968871595,43,54.8824892419729
"ANKRD65",1.16731517509728,5.42857142857143,20.5230056272757
"ATAD3B",4.28015564202335,14.5714285714286,8.6395233366435
"PRDM16",0,1.57142857142857,0.496524329692155
"ESPN",2.72373540856031,0.714285714285714,4.33631247931149
"SLC45A1",0.778210116731518,1.85714285714286,5.62727573651109
"CTNNBIP1",70.0389105058366,56,42.8997020854022
"CASZ1",3.50194552529183,6.71428571428571,9.66567361800728
"CLCN6",5.83657587548638,8.85714285714286,8.50711684872559
"TNFRSF8",0,0,0.264812975835816
"DHRS3",2.33463035019455,4,7.41476332340285
"FHAD1",1.55642023346304,3.57142857142857,0.165508109897385
"EFHD2",9.72762645914397,20.7142857142857,3.27706057596822
"CTRC",0,0,0
"UBXN10",1.16731517509728,1.57142857142857,0.595829195630586
"WNT4",0,13,1.02615028136379
"HTR1D",5.83657587548638,3.42857142857143,0.198609731876862
"ASAP3",0.778210116731518,5.85714285714286,5.0314465408805
"E2F2",3.50194552529183,6.71428571428571,0.728235683548494
"LYPLA2",77.431906614786,43.7142857142857,61.3704071499503
"PNRC2",10.1167315175097,11.8571428571429,11.7841774246938
"CEP85",10.5058365758755,13.8571428571429,8.01059251903343
"LIN28A",90.6614785992218,87.8571428571429,49.7186362131744
"OPRD1",0,0,0
"FAM229A",3.89105058365759,6.14285714285714,3.21085733200927
"ZNF362",7.00389105058366,14.8571428571429,13.1413439258524
"ZSCAN20",0.778210116731518,3.14285714285714,1.82058920887123
"DLGAP3",0.389105058365759,0.857142857142857,1.7212843429328
"TEKT2",3.11284046692607,4.28571428571429,2.48262164846077
"COL8A2",0,0,0.033101621979477
"STK40",1.94552529182879,9.85714285714286,12.1482952664681
"GRIK3",1.16731517509728,1.14285714285714,4.83283680900364
"MANEAL",0.389105058365759,0.571428571428571,24.2634889109566
"FHL3",29.1828793774319,15.8571428571429,13.2406487917908
"CCDC30",4.28015564202335,8.28571428571428,7.67957629923866
"MED8",25.6809338521401,36.5714285714286,47.8649453823237
"PTCH2",3.11284046692607,3.71428571428571,2.05230056272757
"UROD",57.9766536964981,42.8571428571429,46.7394902350215
"ZFYVE9",9.72762645914397,16.5714285714286,11.2876530950017
"ECHDC2",9.33852140077821,9.14285714285714,3.50877192982456
"SSBP3",35.0194552529183,47.2857142857143,74.6441575637206
"CACHD1",9.72762645914397,19.7142857142857,12.5124131082423
"SGIP1",0.389105058365759,4.14285714285714,25.3558424362794
"GADD45A",30.3501945525292,30.7142857142857,53.8232373386296
"CTH",22.1789883268482,10.7142857142857,16.8156239655743
"TNNI3K",0,0.142857142857143,0.198609731876862
"AK5",1.55642023346304,4.71428571428571,3.34326381992718
"MCOLN2",0.389105058365759,0.428571428571429,0
"DDAH1",2.72373540856031,13.8571428571429,5.82588546838795
"ODF2L",41.2451361867704,37.4285714285714,54.683879510096
"LMO4",60.7003891050584,69.5714285714286,72.8897715988083
"LRRC8C",0.778210116731518,3.42857142857143,0.827540549486925
"ARHGAP29",17.5097276264591,22,1.91989407480967
"CNN3",97.6653696498054,89.8571428571429,88.9771598808342
"ALG14",12.84046692607,7.57142857142857,24.0979808010593
"PTBP2",15.5642023346303,51,62.3303541873552
"EXTL2",51.3618677042802,55.1428571428571,37.7689506785833
"S1PR1",1.94552529182879,4.14285714285714,2.48262164846077
"COL11A1",7.39299610894942,34.4285714285714,4.93214167494207
"RNPC3",11.284046692607,16.2857142857143,18.9341277722608
"VAV3",0.389105058365759,3.14285714285714,4.46871896722939
"CELSR2",11.284046692607,18.1428571428571,24.1310824230387
"PSRC1",33.4630350194552,31.4285714285714,8.40781198278716
"CYB561D1",0.778210116731518,1.57142857142857,2.54882489241973
"AHCYL1",30.7392996108949,58.5714285714286,47.5008275405495
"SLC16A4",2.72373540856031,3.14285714285714,2.54882489241973
"SLC16A1-AS1",9.33852140077821,4,2.68123138033764
"OLFML3",22.9571984435798,3.85714285714286,5.13075140681893
"NGF",0.389105058365759,0,0.430321085733201
"CASQ2",0,0,2.71433300231711
"ZNF697",2.33463035019455,3.71428571428571,9.40086064217147
"NOTCH2",13.6186770428016,21.8571428571429,4.56802383316783
"ITGA10",0,0,0.529625951671632
"FMO5",0,0.285714285714286,0.231711353856339
"SV2A",12.84046692607,29.2857142857143,38.2654750082754
"PLEKHO1",47.4708171206226,63,63.1247931148626
"SCNM1",43.9688715953307,26,51.5061238000662
"RIIAD1",0,0.285714285714286,1.7212843429328
"S100A10",36.5758754863813,16.1428571428571,16.7494207216154
"SLC39A1",87.15953307393,66.2857142857143,45.1175107580271
"SLC50A1",45.9143968871595,24.8571428571429,12.4462098642834
"NES",67.3151750972763,77,81.5954981794108
"DUSP23",55.2529182879377,21.7142857142857,17.8748758689176
"PIGM",11.6731517509728,14,17.5769612711023
"ATP1A2",27.6264591439689,17.1428571428571,1.52267461105594
"VANGL2",16.7315175097276,23.8571428571429,27.0440251572327
"USP21",5.83657587548638,8.28571428571428,7.21615359152598
"MPZ",2.33463035019455,5.28571428571429,4.43561734524992
"HSPA6",0,6,0.562727573651109
"FCRLB",1.16731517509728,3,0.926845415425356
"HSD17B7",34.2412451361868,37.8571428571429,30.5196954650778
"CREG1",45.5252918287938,32.2857142857143,16.8487255875538
"MPZL1",35.408560311284,34,41.7742469381
"PRDX6",98.8326848249027,97.1428571428571,79.2783846408474
"TNN",0,0,0
"IER5",3.89105058365759,19.7142857142857,7.71267792121814
