"","genes","state"
"166","STOML1","Het_Hom_DE"
"167","METTL22","Het_Hom_DE"
"168","ZFY","Het_Hom_DE"
"169","ROGDI","Het_Hom_DE"
"170","RASSF1","Het_Hom_DE"
"171","REEP1","common"
"172","PPP2R5B","Het_Hom_DE"
"173","PYGM","Het_Hom_DE"
"174","BCL3","Het_Hom_DE"
"175","ABCC9","Het_Hom_DE"
"176","DGCR2","Het_Hom_DE"
"177","ZXDC","Het_Hom_DE"
"178","NDST1","Het_Hom_DE"
"179","PABPC1","Het_Hom_DE"
"180","OSBPL3","Het_Hom_DE"
"181","RPL31","Het_Hom_DE"
"182","LMCD1","Het_Hom_DE"
"183","SEL1L","Het_Hom_DE"
"184","TRIB2","Het_Hom_DE"
"185","MYO3B","Het_Hom_DE"
"186","SLC6A15","Het_Hom_DE"
"187","ADGRL1","Het_Hom_DE"
"188","RPS6KA6","common"
"189","LIMS2","Het_Hom_DE"
"190","RHOBTB1","Het_Hom_DE"
"191","HSD17B10","Het_Hom_DE"
"192","TRHDE","Het_Hom_DE"
"193","P4HA2","Het_Hom_DE"
"194","CRMP1","Het_Hom_DE"
"195","SCARB1","Het_Hom_DE"
"196","CYP2W1","Het_Hom_DE"
"197","GSDMB","Het_Hom_DE"
"198","GLI2","common"
"199","MGLL","common"
"200","LMAN1","Het_Hom_DE"
"201","ENO1","Het_Hom_DE"
"202","TIPIN","Het_Hom_DE"
"203","SEMA3C","common"
"204","ADD2","Het_Hom_DE"
"205","VPS9D1","Het_Hom_DE"
"206","FOSL2","Het_Hom_DE"
"207","CACNG4","Het_Hom_DE"
"208","PLD1","Het_Hom_DE"
"209","KIFAP3","Het_Hom_DE"
"210","UNG","Het_Hom_DE"
"211","FMO4","Het_Hom_DE"
"212","PLXNA2","Het_Hom_DE"
"213","PAG1","Het_Hom_DE"
"214","NMRK2","Het_Hom_DE"
"215","RARB","Het_Hom_DE"
"216","CAPN6","common"
"217","DCX","common"
"218","SPAG6","Het_Hom_DE"
"219","FGFR1","Het_Hom_DE"
"220","MAP2","Het_Hom_DE"
"221","NEBL","Het_Hom_DE"
"222","ADCY2","Het_Hom_DE"
"223","ITM2A","Het_Hom_DE"
"224","CBFA2T2","Het_Hom_DE"
"225","RUNX1T1","common"
"226","CDH17","Het_Hom_DE"
"227","SLC1A3","Het_Hom_DE"
"228","TNS1","Het_Hom_DE"
"229","RAPGEF3","Het_Hom_DE"
"230","CEACAM1","Het_Hom_DE"
"231","OPHN1","Het_Hom_DE"
"232","SCGN","Het_Hom_DE"
"233","CARMIL1","Het_Hom_DE"
"234","EPB41L2","Het_Hom_DE"
"235","RIMS1","Het_Hom_DE"
"236","KEAP1","Het_Hom_DE"
"237","DCT","common"
"238","SLC4A4","Het_Hom_DE"
"239","SMARCA2","Het_Hom_DE"
"240","SESN1","Het_Hom_DE"
"241","MOK","Het_Hom_DE"
"242","RBL1","Het_Hom_DE"
"243","TCF7","Het_Hom_DE"
"244","CDH7","common"
"245","MEF2C","Het_Hom_DE"
"246","STK17B","Het_Hom_DE"
"247","JMJD4","Het_Hom_DE"
"248","CADPS2","Het_Hom_DE"
"249","PCDHB4","Het_Hom_DE"
"250","EPB41L3","common"
"251","SERTAD4","common"
"252","TRAF5","Het_Hom_DE"
"253","SEMA5B","Het_Hom_DE"
"254","ITGB5","Het_Hom_DE"
"255","TRPM3","Het_Hom_DE"
"256","DOP1A","Het_Hom_DE"
"257","PLOD1","Het_Hom_DE"
"258","OXCT1","Het_Hom_DE"
"259","ZNF416","Het_Hom_DE"
"260","RPS5","Het_Hom_DE"
"261","YTHDC1","Het_Hom_DE"
"262","SLCO1A2","Het_Hom_DE"
"263","CD82","Het_Hom_DE"
"264","OVGP1","Het_Hom_DE"
"265","SLC25A24","Het_Hom_DE"
"266","EPDR1","Het_Hom_DE"
"267","MYBPC2","Het_Hom_DE"
"268","FTL","Het_Hom_DE"
"269","SRRT","Het_Hom_DE"
"270","PSMC5","Het_Hom_DE"
"271","L2HGDH","Het_Hom_DE"
"272","PIR","Het_Hom_DE"
"273","RFX2","Het_Hom_DE"
"274","FER1L4","Het_Hom_DE"
"275","TGDS","Het_Hom_DE"
"276","KIF9","Het_Hom_DE"
"277","ARHGAP28","Het_Hom_DE"
"278","KIZ","Het_Hom_DE"
"279","DYNLL1","Het_Hom_DE"
"280","TESC","Het_Hom_DE"
"281","SLC23A2","Het_Hom_DE"
"282","CFAP61","Het_Hom_DE"
"283","LHX5","Het_Hom_DE"
"284","FUS","Het_Hom_DE"
"285","FXYD5","Het_Hom_DE"
"286","RGS1","Het_Hom_DE"
"287","MAEA","Het_Hom_DE"
"288","THPO","Het_Hom_DE"
"289","CHRD","Het_Hom_DE"
"290","GNPTG","Het_Hom_DE"
"291","CERS4","Het_Hom_DE"
"292","EFNB1","Het_Hom_DE"
"293","DLL3","Het_Hom_DE"
"294","PITPNM2","Het_Hom_DE"
"295","PUS7","Het_Hom_DE"
"296","NRCAM","Het_Hom_DE"
"297","MAP3K20","Het_Hom_DE"
"298","TF","Het_Hom_DE"
"299","MYO15A","Het_Hom_DE"
"300","CD200","Het_Hom_DE"
"301","CCDC80","Het_Hom_DE"
"302","JPH4","Het_Hom_DE"
"303","SLC7A8","Het_Hom_DE"
"304","SLC22A17","Het_Hom_DE"
"305","WDR76","Het_Hom_DE"
"306","SNAP23","Het_Hom_DE"
"307","COL9A3","Het_Hom_DE"
"308","EZR","Het_Hom_DE"
"309","CLSPN","Het_Hom_DE"
"310","RFFL","Het_Hom_DE"
"311","TGFB2","Het_Hom_DE"
"312","CDC45","Het_Hom_DE"
"313","CDC6","Het_Hom_DE"
"314","SUCO","Het_Hom_DE"
"315","EPB41L4B","Het_Hom_DE"
"316","SH2D3C","Het_Hom_DE"
