"","genes","state"
"210","DUSP6","Het_Con"
"211","LUM","Het_Con"
"212","ASCL1","common"
"213","TMEM132B","common"
"214","SDSL","Het_Con"
"215","FOXN4","Het_Con"
"216","KCNH5","Het_Con"
"217","SLC27A2","Het_Con"
"218","HDC","Het_Con"
"219","ARRDC4","Het_Con"
"220","CDH11","common"
"221","MYOCD","common"
"222","SLC16A3","Het_Con"
"223","MAPK4","Het_Con"
"224","PMAIP1","Het_Con"
"225","HUNK","Het_Con"
"226","PRDM16","common"
"227","EPHA2","Het_Con"
"228","DMRTA2","Het_Con"
"229","RXRG","Het_Con"
"230","ILDR2","Het_Con"
"231","RGS5","Het_Con"
"232","DUSP10","Het_Con"
"233","EPHX1","Het_Con"
"234","MEIS1","Het_Con"
"235","ST6GAL2","Het_Con"
"236","TMEFF2","Het_Con"
"237","ACKR3","common"
"238","GRIP2","Het_Con"
"239","RBMS3","Het_Con"
"240","GADL1","Het_Con"
"241","IL17RD","Het_Con"
"242","LRTM1","Het_Con"
"243","IGSF11","Het_Con"
"244","TCTA","Het_Con"
"245","CORIN","common"
"246","DDIT4L","common"
"247","SFRP2","Het_Con"
"248","RNF175","Het_Con"
"249","CDH18","Het_Con"
"250","ADAMTS16","Het_Con"
"251","HAPLN1","Het_Con"
"252","MEGF10","Het_Con"
"253","ADAMTS19","Het_Con"
"254","TNFRSF21","Het_Con"
"255","PRSS35","Het_Con"
"256","CLVS2","Het_Con"
"257","RSPO3","Het_Con"
"258","CREB5","common"
"259","IGFBP3","Het_Con"
"260","SYTL5","Het_Con"
"261","LPAR4","common"
"262","HTR2C","Het_Con"
"263","RGS20","Het_Con"
"264","SYBU","Het_Con"
"265","MAL2","Het_Con"
"266","SHC3","Het_Con"
"267","AOPEP","Het_Con"
"268","CDHR1","Het_Con"
"269","ANKRD1","Het_Con"
"270","VAX1","Het_Con"
"271","INA","Het_Con"
"272","MTG1","Het_Con"
"273","SLC5A12","Het_Con"
"274","LRRC4C","Het_Con"
"275","KLHL35","Het_Con"
"276","ESAM","Het_Con"
"277","KIRREL3","common"
"278","ARID5B","Het_Con"
"279","HNMT","Het_Con"
"280","THRB","Het_Con"
"281","ANKRD50","Het_Con"
"282","PTPRO","Het_Con"
"283","SLC35F4","Het_Con"
"284","PDK1","Het_Con"
"285","ZSCAN1","Het_Con"
"286","BMP3","Het_Con"
"287","FEZF2","Het_Con"
"288","ANKRD29","Het_Con"
"289","CHST9","common"
"290","ABCA5","Het_Con"
"291","PDLIM3","Het_Con"
"292","ACSS1","Het_Con"
"293","FMN2","Het_Con"
"294","ADCY8","Het_Con"
"295","AFF2","Het_Con"
