"","genes","state"
"179","CD82","C_Hom_DE"
"180","OVGP1","C_Hom_DE"
"181","SLC25A24","C_Hom_DE"
"182","CHERP","C_Hom_DE"
"183","EPDR1","C_Hom_DE"
"184","MYBPC2","C_Hom_DE"
"185","HSD17B14","C_Hom_DE"
"186","FTL","C_Hom_DE"
"187","GNAO1","C_Hom_DE"
"188","L2HGDH","C_Hom_DE"
"189","FER1L4","C_Hom_DE"
"190","KIF9","C_Hom_DE"
"191","ARHGAP28","C_Hom_DE"
"192","KIZ","C_Hom_DE"
"193","DYNLL1","C_Hom_DE"
"194","TESC","C_Hom_DE"
"195","CFAP61","C_Hom_DE"
"196","LHX5","C_Hom_DE"
"197","RPLP0","C_Hom_DE"
"198","TBX5","C_Hom_DE"
"199","FXYD5","C_Hom_DE"
"200","PCBP4","C_Hom_DE"
"201","THPO","C_Hom_DE"
"202","CHRD","C_Hom_DE"
"203","GNPTG","C_Hom_DE"
"204","CERS4","C_Hom_DE"
"205","EFNB1","C_Hom_DE"
"206","PUS7","C_Hom_DE"
"207","NRCAM","C_Hom_DE"
"208","MYO15A","C_Hom_DE"
"209","ZFHX4","C_Hom_DE"
"210","ANGPT2","C_Hom_DE"
"211","CD200","C_Hom_DE"
"212","CCDC80","C_Hom_DE"
"213","SLC7A8","C_Hom_DE"
"214","WDR76","C_Hom_DE"
"215","COL9A3","C_Hom_DE"
"216","EZR","C_Hom_DE"
"217","CLSPN","C_Hom_DE"
"218","UNC13D","C_Hom_DE"
"219","TGFB2","C_Hom_DE"
"220","CDC45","C_Hom_DE"
"221","BAMBI","C_Hom_DE"
"222","IL11","C_Hom_DE"
"223","PCSK5","common"
"224","ABLIM1","C_Hom_DE"
"225","PRTFDC1","C_Hom_DE"
"226","KCNK6","C_Hom_DE"
"227","CBARP","C_Hom_DE"
"228","GADD45B","C_Hom_DE"
"229","MADCAM1","C_Hom_DE"
"230","LZTR1","C_Hom_DE"
"231","SMARCB1","C_Hom_DE"
"232","SLC35E4","C_Hom_DE"
"233","MICALL1","C_Hom_DE"
"234","CENPM","C_Hom_DE"
"235","RAB36","C_Hom_DE"
"236","MCM5","C_Hom_DE"
"237","PDGFB","C_Hom_DE"
"238","APOL1","C_Hom_DE"
"239","FAM118A","C_Hom_DE"
"240","POLR3H","C_Hom_DE"
"241","HDAC10","C_Hom_DE"
"242","TRIM9","common"
"243","GNPNAT1","C_Hom_DE"
"244","GALNT16","C_Hom_DE"
"245","CEP128","C_Hom_DE"
"246","PAPLN","C_Hom_DE"
"247","RPS6KA5","C_Hom_DE"
"248","NFATC4","C_Hom_DE"
"249","ABHD12","C_Hom_DE"
"250","UQCC1","C_Hom_DE"
"251","MYBL2","C_Hom_DE"
"252","ARFGAP1","C_Hom_DE"
"253","CHRNA4","C_Hom_DE"
"254","SPEF1","C_Hom_DE"
"255","ISM1","C_Hom_DE"
"256","PLCB4","C_Hom_DE"
"257","PAK5","C_Hom_DE"
"258","E2F1","C_Hom_DE"
"259","WFDC2","C_Hom_DE"
"260","AHCY","C_Hom_DE"
"261","SYNDIG1","common"
"262","RBFA","C_Hom_DE"
"263","SMAD7","common"
"264","NOL4","C_Hom_DE"
"265","CACNA1F","C_Hom_DE"
"266","SYP","C_Hom_DE"
"267","KCND1","C_Hom_DE"
"268","PCSK1N","C_Hom_DE"
"269","PGK1","C_Hom_DE"
"270","SMS","C_Hom_DE"
"271","TIMP1","C_Hom_DE"
"272","SRPX2","C_Hom_DE"
"273","SYTL4","C_Hom_DE"
"274","ZDHHC15","C_Hom_DE"
"275","CENPI","C_Hom_DE"
"276","TNFSF13B","C_Hom_DE"
"277","CORO1A","C_Hom_DE"
"278","TSNAXIP1","C_Hom_DE"
"279","TANGO6","C_Hom_DE"
"280","HCFC1R1","C_Hom_DE"
"281","NECAB2","C_Hom_DE"
"282","WFDC1","C_Hom_DE"
"283","CLCN7","C_Hom_DE"
"284","HAGHL","C_Hom_DE"
"285","METRN","C_Hom_DE"
"286","RHBDL1","C_Hom_DE"
"287","CRYM","C_Hom_DE"
"288","PIEZO1","C_Hom_DE"
"289","TOX3","C_Hom_DE"
"290","SYT17","C_Hom_DE"
"291","IQCH","C_Hom_DE"
"292","BMF","common"
"293","SCG3","C_Hom_DE"
"294","CA2","C_Hom_DE"
"295","EYA1","C_Hom_DE"
"296","CPQ","C_Hom_DE"
"297","CALB1","C_Hom_DE"
"298","SFRP1","C_Hom_DE"
"299","NIPAL2","C_Hom_DE"
"300","PLAT","C_Hom_DE"
"301","JPH1","C_Hom_DE"
"302","GDAP1","C_Hom_DE"
"303","NDRG1","C_Hom_DE"
"304","STMN2","C_Hom_DE"
"305","TRPS1","C_Hom_DE"
"306","SPAG1","C_Hom_DE"
"307","CHRAC1","C_Hom_DE"
"308","UBR5","C_Hom_DE"
"309","TNFRSF10A","common"
"310","MCM4","C_Hom_DE"
"311","DHDH","C_Hom_DE"
"312","SARS2","C_Hom_DE"
"313","CLASRP","C_Hom_DE"
"314","PPP1R13L","C_Hom_DE"
"315","SLC17A7","common"
"316","SF3A2","C_Hom_DE"
"317","TBC1D17","C_Hom_DE"
"318","TLE6","C_Hom_DE"
"319","ASF1B","C_Hom_DE"
"320","TNNT1","C_Hom_DE"
"321","OLFM2","C_Hom_DE"
"322","AURKC","C_Hom_DE"
"323","CCNE1","C_Hom_DE"
"324","RPS16","C_Hom_DE"
"325","TJP3","C_Hom_DE"
"326","CCDC9","C_Hom_DE"
"327","BBC3","C_Hom_DE"
"328","LIM2","C_Hom_DE"
"329","RPS19","C_Hom_DE"
"330","PTPRS","C_Hom_DE"
"331","KDELR1","C_Hom_DE"
"332","PLA2G4C","C_Hom_DE"
"333","CACNG7","C_Hom_DE"
"334","JAK3","C_Hom_DE"
"335","RPL18A","C_Hom_DE"
"336","KCNN1","C_Hom_DE"
"337","TMEM59L","C_Hom_DE"
"338","ERF","C_Hom_DE"
"339","SMG9","C_Hom_DE"
"340","CFAP69","C_Hom_DE"
"341","CDK6","C_Hom_DE"
"342","TFPI2","common"
"343","ITGB8","C_Hom_DE"
"344","DNAH11","C_Hom_DE"
"345","ZC3HAV1","C_Hom_DE"
"346","IFT56","C_Hom_DE"
"347","CAV2","C_Hom_DE"
"348","CAV1","C_Hom_DE"
"349","MET","common"
"350","IQCE","C_Hom_DE"
"351","COBL","common"
"352","HSPB1","C_Hom_DE"
"353","NPTX2","C_Hom_DE"
"354","PTPRZ1","C_Hom_DE"
"355","PCOLCE","C_Hom_DE"
"356","AP1S1","C_Hom_DE"
"357","POU6F2","C_Hom_DE"
"358","TMEM176B","C_Hom_DE"
"359","LHX2","common"
"360","CNTNAP3","C_Hom_DE"
"361","PRUNE2","C_Hom_DE"
"362","MEGF9","C_Hom_DE"
"363","TRIM14","C_Hom_DE"
"364","C5","C_Hom_DE"
"365","TLE4","C_Hom_DE"
"366","AK1","C_Hom_DE"
"367","DOCK8","C_Hom_DE"
"368","KANK1","C_Hom_DE"
"369","RASSF4","C_Hom_DE"
"370","PLEKHA1","C_Hom_DE"
"371","UNC5B","C_Hom_DE"
"372","CDH23","C_Hom_DE"
"373","FBXW4","C_Hom_DE"
"374","FGF8","common"
"375","NPM3","C_Hom_DE"
"376","STN1","C_Hom_DE"
"377","EBF3","C_Hom_DE"
"378","SORCS1","common"
"379","PBLD","C_Hom_DE"
"380","RPL19","C_Hom_DE"
"381","UBTF","C_Hom_DE"
"382","PIGL","C_Hom_DE"
