genes,percent_cell
MXRA8,36.9323594791997
CCNL2,42.7913623372499
ANKRD65,7.24039377580184
ATAD3B,10.0190536678311
PRDM16,0.936805335026993
ESPN,1.42902508732931
SLC45A1,1.11146395681169
CTNNBIP1,36.0273102572245
CASZ1,7.76436964115592
CLCN6,7.30390600190537
DHRS3,8.24071133693236
FHAD1,2.81041600508098
EFHD2,10.7018100984439
UBXN10,1.76246427437282
WNT4,20.2604001270245
HTR1D,3.68370911400445
ASAP3,4.84280724039378
E2F2,7.30390600190537
LYPLA2,32.216576691013
PNRC2,8.49476024134646
CEP85,9.12988250238171
LIN28A,65.4175928866307
FAM229A,2.98507462686567
ZNF362,11.9720546205144
ZSCAN20,2.46109876151159
DLGAP3,0.508097808828199
TEKT2,6.63702762781836
STK40,9.32041918069228
GRIK3,2.3658304223563
MANEAL,5.52556367100667
FHL3,12.9882502381708
CCDC30,7.1927596062242
MED8,31.8037472213401
PTCH2,4.87456335344554
UROD,32.9628453477294
ZFYVE9,15.2746903778977
ECHDC2,6.01778342330899
SSBP3,51.7624642743728
CACHD1,20.4668148618609
SGIP1,3.1279771355986
GADD45A,27.5484280724039
CTH,9.06637027627818
AK5,4.57288027945379
MCOLN2,0.349317243569387
DDAH1,7.79612575420768
ODF2L,37.8056525881232
LMO4,69.5935217529374
LRRC8C,2.71514766592569
ARHGAP29,8.24071133693236
CNN3,83.820260400127
ALG14,9.86027310257225
PTBP2,50.9526833915529
EXTL2,52.270562083201
S1PR1,7.38329628453477
COL11A1,15.8621784693554
RNPC3,12.6071768815497
VAV3,2.71514766592569
CELSR2,23.8329628453477
PSRC1,27.9295014290251
CYB561D1,1.46078120038107
AHCYL1,50
SLC16A4,3.25500158780565
SLC16A1-AS1,5.01746586217847
OLFML3,4.52524610987615
ZNF697,2.84217211813274
NOTCH2,15.1794220387425
FMO5,0.365195300095268
SV2A,18.2438869482375
PLEKHO1,57.4944426802159
SCNM1,25.6430612892982
S100A10,38.0438234360114
SLC39A1,52.6992696093998
SLC50A1,20.4985709749127
NES,84.5506510003176
DUSP23,20.323912353128
PIGM,16.9418863131153
ATP1A2,9.8126389329946
VANGL2,37.1228961575103
USP21,6.54175928866307
MPZ,2.1117815179422
HSPA6,6.03366147983487
FCRLB,1.50841536995872
HSD17B7,33.6138456652906
CREG1,21.0225468402668
MPZL1,31.3750396951413
PRDX6,92.3944109241029
IER5,23.531279771356
RGS16,21.2448396316291
LAMC1,14.5919339472849
NMNAT2,2.30231819625278
COLGALT2,8.08193077167355
C1orf21,39.9809463321689
UCHL5,27.1514766592569
CRB1,1.71483010479517
NAV1,25.67481740235
BTG2,24.7697681803747
ATP2B4,13.9885677993014
PIK3C2B,27.1991108288345
LRRN2,3.22324547475389
NFASC,8.60590663702763
NUAK2,28.7869164814227
ELK4,12.6865671641791
PFKFB2,1.03207367418228
SERTAD4,1.31787869164814
NEK2,24.32518259765
FLVCR1,22.991425849476
PTPN14,10.0031756113052
LEFTY2,0.317561130517625
JMJD4,12.1467132422991
RHOU,33.7091140044459
FAM89A,17.9898380438234
IRF2BP2,28.8504287075262
ARID4B,65.2111781517942
LYST,4.52524610987615
NID1,10.9717370593839
EDARADD,2.3658304223563
RNF144A,13.4804699904732
ID2,79.3902826294062
GREB1,37.4722134010797
WDR35,10.6382978723404
SDC1,18.4979358526516
FAM228B,15.8304223563036
DNAJC27-AS1,1.58780565258812
HADHB,46.0463639250556
CENPA,22.7850111146396
TMEM214,8.66941886313115
FOSL2,1.42902508732931
WDR43,47.8882184820578
CDC42EP3,9.59034614163226
ATL2,20.8002540489044
THADA,14.3696411559225
ZFP36L2,65.782788186726
ATP6V1E2,5.49380755795491
EML6,1.30200063512226
RTN4,84.1378215306447
LINC01122,2.25468402667513
FAM161A,48.5392187996189
B3GNT2,6.71641791044776
LGALSL,18.6567164179104
RAB1A,47.189583994919
SPRED2,10.5747856462369
ANTXR1,10.9876151159098
VAX2,1.44490314385519
ATP6V1B1,0.682756430612893
MCEE,8.70117497618292
SFXN5,5.97014925373134
TET3,8.36773578913941
CCDC142,3.66783105747856
TMSB10,99.4442680215942
KCMF1,39.8221657669101
ATOH8,8.52651635439822
RNF149,11.0828834550651
SULT1C2,0.793902826294062
SOWAHC,9.95554144172753
ACOXL,0.396951413147031
BCL2L11,12.4642743728168
MERTK,2.19117180057161
GLI2,14.1473483645602
MAP3K2,20.3874245792315
HS6ST1,18.7996189266434
MCM6,41.5846300412829
CXCR4,73.2295966973642
LYPD6,2.90568434423627
RPRM,32.8516989520483
ERMN,1.87361067005399
B3GALT1,2.47697681803747
SSB,94.8872657986662
GORASP2,29.3902826294062
OSBPL6,5.31914893617021
ZNF385B,0.412829469672912
CWC22,30.3270879644332
FRZB,28.1517942203874
ZC3H15,83.7567481740235
FAM171B,13.3058113686885
MFSD6,0.793902826294062
COQ10B,9.03461416322642
TYW5,13.766275007939
BMPR2,10.4795173070816
MDH1B,4.25531914893617
KLF7,9.28866306764052
CCNYL1,6.19244204509368
IDH1,58.2248332804065
UNC80,1.8577326135281
PECR,8.06605271514767
TNS1,2.63575738329628
CTDSP1,17.3070816132105
STK36,5.39853921879962
NHEJ1,0.968561448078755
EPHA4,30.4382343601143
DAW1,1.41314703080343
