"","CRISPR","type","NKX21"
"PC1",0.0506142170392744,2.46987532148466e-08,3.76858371869642e-07
"PC2",1.88483285999543e-05,0.000135306624836225,0.00257694682486291
"PC3",0.0078970944859053,0.29862944395914,0.400672344202437
"PC4",0.00227000429422463,0.55460220762157,0.0490090530346202
"PC5",0.709975682128086,0.892684476204,0.105230573705629
