,W3-1,W4-1,W5-1,total
PTCH1,25.6034482758621,50.8732931089235,25.7597102032602,34.0788171960153
NKX2-1,0.689655172413793,3.46141632264211,0.020124773596297,1.3903987562174
DRC1,0.258620689655172,2.92156240076215,0.295163346079023,1.15844881216545
CAPN6,1.55172413793103,2.41346459193395,0.77144965452472,1.57887946146323
CNTNAP2,58.1896551724138,29.0727214988885,16.0193197826524,34.4272321513183
FREM1,6.98275862068965,6.22419815814544,1.06661300060374,4.75785659314628
SIX3,16.3793103448276,9.0504922197523,0,8.47660085485996
CLSTN2,0.344827586206897,3.54080660527151,8.130408532904,4.00534757479414
SHH,0.948275862068966,8.36773578913941,0.160998188770376,3.15900327999292
GADL1,0,0.0952683391552874,0.127456899443215,0.0742417461995007
