"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000000003",434.069753837744,-0.176878397285236,0.0647462551749415,-2.73187069749932,0.00629758511011879,0.0156540289158774,"TSPAN6"
"ENSG00000000419",164.356636212696,-0.0218283722345484,0.111812795829302,-0.195222488380242,0.845218774575148,0.891737202576936,"DPM1"
"ENSG00000000457",24.5378145197132,-0.00467085922240676,0.217703206130359,-0.0214551696570325,0.982882564653244,0.98821958840982,"SCYL3"
"ENSG00000000460",5.06602533069284,-0.183849318378803,0.466251958848524,-0.394313235343494,0.693349792853513,0.774167994854191,"FIRRM"
"ENSG00000001036",210.404359055007,-0.440769163931845,0.0897741115854037,-4.90975801539995,9.1188847875927e-07,5.47625590380775e-06,"FUCA2"
"ENSG00000001084",57.1633140032287,0.494820929651793,0.152407376327805,3.24669934995474,0.00116751651434107,0.00359226292354198,"GCLC"
"ENSG00000001167",142.593975138032,-0.0659682742588151,0.101412628267568,-0.65049368491628,0.515373379620163,0.619056190992974,"NFYA"
"ENSG00000001460",23.8371300070181,-0.800089686181968,0.231807766286181,-3.45152234974823,0.000557433587418876,0.00187170789921948,"STPG1"
"ENSG00000001461",45.3635703640912,0.183093878279467,0.163814098188857,1.11769304537136,0.263698114053005,0.366656044501364,"NIPAL3"
"ENSG00000001497",130.277537353543,0.275461397906302,0.101938230941288,2.70223835907999,0.00688743674423059,0.0168999996838997,"LAS1L"
"ENSG00000001561",52.6460952912153,0.183776511729397,0.159732556209352,1.15052633032762,0.249927155870091,0.350713235423956,"ENPP4"
"ENSG00000001617",5.09902228542764,0.226702846467301,0.490162451159548,0.462505534503926,0.643718834351155,0.732500649495863,"SEMA3F"
"ENSG00000001629",213.160834452629,0.334118877722846,0.0820050483613055,4.07436961991356,4.61391528638353e-05,0.000199444214906322,"ANKIB1"
"ENSG00000001630",518.565154414283,-1.23067021167086,0.0903026617661425,-13.6282827947856,2.71903162469529e-42,3.57305473954277e-40,"CYP51A1"
"ENSG00000001631",35.5572823038096,-0.397565016830916,0.183803636869663,-2.16298776020865,0.030542121032018,0.0611053784799752,"KRIT1"
"ENSG00000002016",50.76265186052,0.593202161196283,0.21240542621809,2.79278251859351,0.00522568124929289,0.0132847735593614,"RAD52"
"ENSG00000002330",68.1038858219444,-0.773495201989469,0.160703616389307,-4.81317856665816,1.48548444438868e-06,8.58220529322076e-06,"BAD"
"ENSG00000002549",207.433227320811,1.24649361481856,0.127573106888311,9.7708180448239,1.50234067369137e-22,5.74506202069016e-21,"LAP3"
"ENSG00000002587",4.39064666017077,3.87223995773219,0.929551456719115,4.16570801943488,3.10387752112887e-05,0.000139380396296731,"HS3ST1"
"ENSG00000002834",60.0022991956739,0.361816274533897,0.152564571172412,2.37156157391883,0.0177130950289873,0.0382210462224229,"LASP1"
"ENSG00000002919",37.4679603749016,0.113813753565106,0.175520336417888,0.648436277458654,0.51670281302355,0.619983328816752,"SNX11"
"ENSG00000002933",7.25914351013856,-1.28903913216677,0.445294399672084,-2.89480203010867,0.00379397724934446,0.0100572054170684,"TMEM176A"
"ENSG00000003056",11.3077589633466,0.215962238959858,0.338886482635687,0.637270148045485,0.523948892127764,0.626908470797685,"M6PR"
"ENSG00000003096",73.2153417361888,0.237098530159404,0.129487888886332,1.83104792423897,0.0670933902653571,0.118619735357845,"KLHL13"
"ENSG00000003147",21.9250177775084,0.989077452088244,0.25740890674052,3.84243678516253,0.000121818795708472,0.000475919224953388,"ICA1"
"ENSG00000003393",174.418399849605,-0.138844712102884,0.0924129117610935,-1.50243845212698,0.132983912018478,0.209650174307678,"ALS2"
"ENSG00000003402",145.447584384952,-0.435064977147853,0.104035280888992,-4.18189842359419,2.89085124603046e-05,0.000130748606887892,"CFLAR"
"ENSG00000003436",65.4716980031831,-2.24423433005957,0.19835511335527,-11.3142247361174,1.11584291244436e-29,7.20067379436752e-28,"TFPI"
"ENSG00000003509",67.3113921421121,0.283068329180038,0.141989601475776,1.99358492620552,0.0461974340330726,0.0863550897385316,"NDUFAF7"
"ENSG00000003756",483.157776330251,0.293660449257443,0.0634422190947646,4.62878590073904,3.67815798137696e-06,1.98535375731157e-05,"RBM5"
"ENSG00000003987",7.18886983151887,0.995951485367998,0.429448007522382,2.31914333731329,0.0203872656091132,0.0431855106066428,"MTMR7"
"ENSG00000003989",59.269137027244,0.550117354116881,0.158847718547385,3.46317441098645,0.00053384223853924,0.00180128140945021,"SLC7A2"
"ENSG00000004059",178.737717379014,0.164848284460354,0.0902755163850264,1.82605750774411,0.0678415999104113,0.119693680789088,"ARF5"
"ENSG00000004139",17.9306545374298,-1.81126444118473,0.286958038981114,-6.31194876998701,2.75543448726181e-10,2.84701969359325e-09,"SARM1"
"ENSG00000004142",194.488415549183,-0.327024440764577,0.087876545708695,-3.72140755109607,0.000198115396609625,0.000737511732678889,"POLDIP2"
"ENSG00000004399",55.0570803551984,-0.62765903984244,0.160885891766049,-3.90126836450734,9.56899974071314e-05,0.000384756303899885,"PLXND1"
"ENSG00000004455",119.979518225188,0.0073267659404297,0.114958568408636,0.0637339699150196,0.949182055641396,0.96452911172558,"AK2"
"ENSG00000004478",81.6379502135825,-0.220527928145759,0.125498802187385,-1.75721141797421,0.0788817797923548,0.135629371583025,"FKBP4"
"ENSG00000004487",695.78831743921,0.0464508519004632,0.0571588922667302,0.812661863419286,0.416411952140037,0.525330316650744,"KDM1A"
"ENSG00000004534",465.210564156903,0.434065633584609,0.0750729754696988,5.78191594070769,7.3854611545735e-09,6.25406215520562e-08,"RBM6"
"ENSG00000004660",19.3191709754516,1.0997198281409,0.303602827585708,3.62223183784559,0.000292072175005832,0.00104839912831122,"CAMKK1"
"ENSG00000004700",34.5361970087808,0.0426440163614532,0.19338408270406,0.220514614052866,0.825470392114805,0.876592309581216,"RECQL"
"ENSG00000004766",54.6506837025635,-0.0854309286391889,0.150825248815052,-0.56642325678473,0.571106088682086,0.66774557242575,"VPS50"
"ENSG00000004777",29.7830387399301,0.0817743548565121,0.236930619424712,0.34514051014203,0.729988739764476,0.804226988718908,"ARHGAP33"
"ENSG00000004779",491.572480425203,0.112277204098281,0.0733527860660804,1.53064675685441,0.125856719255108,0.20051530551132,"NDUFAB1"
"ENSG00000004799",8.37573859396528,-4.06385623561255,0.671863059834922,-6.0486377039557,1.46075735991988e-09,1.35475586438362e-08,"PDK4"
"ENSG00000004838",10.3476316429698,-1.91883577300169,0.385316307383925,-4.97989764832294,6.36179094641868e-07,3.93831640815769e-06,"ZMYND10"
"ENSG00000004848",304.273541296837,-1.44876685298347,0.256325827953031,-5.6520517832832,1.58543807913627e-08,1.27248791970654e-07,"ARX"
"ENSG00000004864",130.198309492363,-0.23562977912905,0.116912986973652,-2.01542861258136,0.0438597589538882,0.082680335899642,"SLC25A13"
"ENSG00000004866",28.8761897078583,-0.972831596142364,0.211197790186419,-4.60625840489937,4.09978878027236e-06,2.19571866687058e-05,"ST7"
"ENSG00000004897",268.636943111587,-0.365477452579716,0.0781456248968009,-4.67687670374849,2.91277268389179e-06,1.60640682127242e-05,"CDC27"
"ENSG00000004961",53.0852069883801,0.172635075349905,0.163820887131556,1.05380381203327,0.291972747875139,0.397529022824245,"HCCS"
"ENSG00000004975",162.585194926941,-0.258023969401514,0.091040463232803,-2.8341680197926,0.00459451681053509,0.0118532465636774,"DVL2"
"ENSG00000005007",81.1796387651691,-0.35007269476469,0.125874728808827,-2.7811197535636,0.00541717501475244,0.0137089049086566,"UPF1"
"ENSG00000005020",19.5784486191797,0.943631682653596,0.269900060163171,3.49622627754552,0.000471888356487983,0.00161294542280298,"SKAP2"
"ENSG00000005022",653.393165554054,0.415569435241736,0.068415932859152,6.07416164444135,1.24637132782152e-09,1.16384351057236e-08,"SLC25A5"
"ENSG00000005059",116.868561395883,-0.538655413564319,0.111371588508644,-4.83656039010805,1.32105149951661e-06,7.70924482257272e-06,"MCUB"
"ENSG00000005075",136.016696907858,0.0633642624204335,0.102185190861649,0.62009242128073,0.535196941474827,0.636520634278314,"POLR2J"
"ENSG00000005100",203.326935131685,-0.389735527304189,0.0898747010621549,-4.33643197360577,1.44814216666018e-05,7.00799967160123e-05,"DHX33"
"ENSG00000005102",5.20656602093243,2.28470937865332,0.581691423339725,3.92769995736895,8.57621101794896e-05,0.000348619601418594,"MEOX1"
"ENSG00000005108",62.1274175145017,-1.86106480649769,0.200872795068376,-9.2648922710723,1.95274353113603e-20,6.14965310295673e-19,"THSD7A"
"ENSG00000005156",93.4056018465864,-0.0148027313071316,0.142093106129635,-0.104176280681955,0.917029456810808,0.941720715984671,"LIG3"
"ENSG00000005175",128.317695961919,0.243143077045426,0.110935398527489,2.19175376185426,0.028397291459592,0.0573620525500841,"RPAP3"
"ENSG00000005189",13.4117389527178,0.555132007881518,0.297385999995633,1.86670525138934,0.0619427600041341,0.110842113872216,"REXO5"
