"","line","type"
"PC1",0.0277004549895454,1.68222004995155e-07
"PC2",5.9929508376375e-08,0.0306504389994104
"PC3",0.981326415114073,0.419098779792628
"PC4",0.983147407566944,0.989324100813696
"PC5",0.931476480467757,0.951799722572409
