"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2"
"ENSG00000003147",15.2506679816438,-1.17433539590493,0.197821119645851,-5.93634996105208,2.91437373105731e-09,2.74963387656621e-08,"ICA1",1,1
"ENSG00000003436",178.863646990977,2.37375523531734,0.136267353018796,17.4198381544104,5.83419279798912e-68,8.28954026271548e-66,"TFPI",2,2
"ENSG00000003989",40.1476945889346,-1.55712750259064,0.28130307464125,-5.53540875646834,3.10503348013437e-08,2.54401560245214e-07,"SLC7A2",1,3
"ENSG00000004799",4.19714876292783,-3.83773275564529,0.653800455290842,-5.86988388366613,4.36100463008844e-09,4.05466112810908e-08,"PDK4",1,1
"ENSG00000004838",6.11289230587296,-1.89090084058649,0.372573480082132,-5.07524271499317,3.87001683690478e-07,2.68847304206875e-06,"ZMYND10",1,1
"ENSG00000005020",12.2893188273152,-1.70804915462418,0.254135724242821,-6.72101161579383,1.80467205550415e-11,2.17627061895059e-10,"SKAP2",1,1
"ENSG00000005102",22.6545950630371,2.77435416757302,0.338722271696474,8.19064584586599,2.598281016973e-16,4.73616487128938e-15,"MEOX1",2,4
"ENSG00000005108",42.5467509396921,-1.04601052959128,0.34616850989679,-3.02168019241018,0.00251375975144009,0.00792053489536392,"THSD7A",1,1
"ENSG00000005469",79.4074876464855,1.46963811177454,0.0950649654580352,15.4593030638957,6.53012257697887e-54,6.31143940230795e-52,"CROT",2,2
"ENSG00000005513",18.5296182214478,-1.40814497672381,0.32051554078383,-4.39337503972552,1.11604350544835e-05,5.98680452874261e-05,"SOX8",1,3
"ENSG00000006128",4.0305372583281,4.88958334751068,0.655854682802581,7.45528464722802,8.96740149388793e-14,1.33459339690594e-12,"TAC1",2,4
"ENSG00000006327",41.1094012461189,2.47494975262066,0.18922259593061,13.079567693534,4.30883740549983e-39,2.53039624191495e-37,"TNFRSF12A",2,2
"ENSG00000006453",25.4607819817706,1.20863182137525,0.150117217612623,8.05125381749427,8.19501181942412e-16,1.4416283226043e-14,"BAIAP2L1",2,2
"ENSG00000007171",615.529826624701,5.69359283080662,0.184659515514448,30.8329241249479,9.49016323222098e-209,1.4342224870222e-205,"NOS2",2,2
"ENSG00000007372",80.0471126904259,5.5569371620779,0.254294926231623,21.8523320320453,7.38632234716968e-106,2.40765142547742e-103,"PAX6",2,4
"ENSG00000007968",22.9929026802742,-1.27449359683783,0.196659407869164,-6.48071511374496,9.12888980174656e-11,1.01851452392104e-09,"E2F2",1,1
"ENSG00000008196",13.6514601450597,6.94788596536114,0.64101588719219,10.8388670299493,2.25243169567752e-27,8.0525644105254e-26,"TFAP2B",2,2
"ENSG00000008226",9.15684008319747,-2.70423780186316,0.322307812788864,-8.39023348042337,4.85177643946876e-17,9.29215801033741e-16,"DLEC1",1,1
"ENSG00000008277",28.8868735023032,-1.06000620338083,0.141041434225379,-7.51556596969212,5.66652537186688e-14,8.57926391456421e-13,"ADAM22",1,1
"ENSG00000008323",10.9217405755712,3.17696831686331,0.327670731561134,9.69561212173927,3.1474462350284e-22,8.61995818963955e-21,"PLEKHG6",2,2
"ENSG00000008516",2.26930690282609,1.85914024436804,0.544947952926392,3.41159230782387,0.000645846298216736,0.002377446603533,"MMP25",2,2
"ENSG00000009694",6.78283592296094,-1.83079724037657,0.320302948321045,-5.71583012261734,1.0916975818081e-08,9.55680916270552e-08,"TENM1",1,3
"ENSG00000010030",5.26447237008143,1.44936679544332,0.320795090783028,4.51804543487732,6.24130935396703e-06,3.49934322766772e-05,"ETV7",2,4
"ENSG00000010278",22.4757798793908,1.84315719191776,0.183839961916857,10.0258788823691,1.17311206406095e-23,3.47007383504434e-22,"CD9",2,2
"ENSG00000010310",11.0519539881089,-3.43875963240295,0.361688709232934,-9.50751169340023,1.95277560386409e-21,5.15284787914866e-20,"GIPR",1,1
"ENSG00000010610",3.52118842346758,1.3225113784159,0.39153067149129,3.37779764067683,0.000730688295836384,0.00264755061682303,"CD4",2,4
"ENSG00000011201",18.6828966922875,2.00563520382696,0.216055165262296,9.28297734234713,1.64807570787899e-20,4.07096739491536e-19,"ANOS1",2,2
"ENSG00000011478",3.78586137246083,1.34997596464475,0.408872818474082,3.30170141826224,0.000961003091890076,0.00337967323875198,"QPCTL",2,5
"ENSG00000014914",15.5658794863955,1.13409737915643,0.207384759500005,5.46856664824687,4.53689468837774e-08,3.6242833877747e-07,"MTMR11",2,5
"ENSG00000015592",21.9721682251882,1.18039596813584,0.239242147816118,4.9338963845246,8.06052119892861e-07,5.34922572498959e-06,"STMN4",2,4
"ENSG00000017483",4.7119093108471,1.92190098138949,0.413813842617305,4.64436126455746,3.41130189362438e-06,2.01240179842483e-05,"SLC38A5",2,2
"ENSG00000018625",88.4701856498752,2.32859583208609,0.191094911901945,12.1855459620031,3.71159364674245e-34,1.83090601731295e-32,"ATP1A2",2,2
"ENSG00000019549",34.1391964383597,2.38172851967763,0.15802297319392,15.0720396632132,2.47357037075032e-51,2.22273696450558e-49,"SNAI2",2,2
"ENSG00000021300",24.9299160274582,-2.69225450621065,0.219829696165853,-12.2470009883444,1.74323851293457e-34,8.67652605958809e-33,"PLEKHB1",1,1
"ENSG00000023171",73.9261823758534,1.08167537953991,0.0985525595208608,10.975619352747,5.0061600423917e-28,1.85764295858749e-26,"GRAMD1B",2,4
"ENSG00000026103",42.1780826098269,1.56000026510014,0.133650024804004,11.6722781562358,1.76629014048323e-31,7.7679384379347e-30,"FAS",2,2
