"","Figure1E"
"ENSG00000099715","dAN"
"ENSG00000099866","vAN"
"ENSG00000100003","dAN"
"ENSG00000100060","vAN"
"ENSG00000100097","dAN"
"ENSG00000100100","vAN"
"ENSG00000100167","vAN"
"ENSG00000100228","vAN"
"ENSG00000100276","dAN"
"ENSG00000100314","dAN"
"ENSG00000100344","vAN"
"ENSG00000100427","vAN"
"ENSG00000100505","vAN"
"ENSG00000100678","dAN"
"ENSG00000100867","dAN"
"ENSG00000101000","dAN"
"ENSG00000101017","dAN"
"ENSG00000101096","dAN"
"ENSG00000101134","dAN"
"ENSG00000101194","vAN"
"ENSG00000101222","vAN"
"ENSG00000101311","vAN"
"ENSG00000101333","dAN"
"ENSG00000101336","dAN"
"ENSG00000101349","vAN"
"ENSG00000101384","dAN"
"ENSG00000101463","vAN"
"ENSG00000101542","dAN"
"ENSG00000101605","vAN"
"ENSG00000101665","vAN"
"ENSG00000101695","vAN"
"ENSG00000101825","dAN"
"ENSG00000101871","dAN"
"ENSG00000101986","vAN"
"ENSG00000102109","vAN"
"ENSG00000102271","dAN"
"ENSG00000102383","vAN"
"ENSG00000102445","dAN"
"ENSG00000102452","vAN"
"ENSG00000102554","dAN"
"ENSG00000102678","vAN"
"ENSG00000102760","dAN"
"ENSG00000103145","dAN"
"ENSG00000103175","vAN"
"ENSG00000103196","vAN"
"ENSG00000103316","vAN"
"ENSG00000103335","vAN"
"ENSG00000103355","vAN"
"ENSG00000103449","vAN"
"ENSG00000103460","dAN"
"ENSG00000103490","vAN"
"ENSG00000104044","vAN"
"ENSG00000104205","vAN"
"ENSG00000104267","dAN"
"ENSG00000104313","vAN"
"ENSG00000104327","dAN"
"ENSG00000104332","vAN"
"ENSG00000104611","dAN"
"ENSG00000104689","dAN"
"ENSG00000104722","dAN"
"ENSG00000104856","dAN"
"ENSG00000104953","vAN"
"ENSG00000104964","vAN"
"ENSG00000105048","dAN"
"ENSG00000105251","vAN"
"ENSG00000105281","dAN"
"ENSG00000105327","dAN"
"ENSG00000105559","dAN"
"ENSG00000105605","vAN"
"ENSG00000105643","vAN"
"ENSG00000105672","dAN"
"ENSG00000105696","dAN"
"ENSG00000105810","dAN"
"ENSG00000105825","dAN"
"ENSG00000105976","vAN"
"ENSG00000105996","dAN"
"ENSG00000106003","dAN"
"ENSG00000106333","vAN"
"ENSG00000106366","dAN"
"ENSG00000106571","dAN"
"ENSG00000106689","vAN"
"ENSG00000106772","dAN"
"ENSG00000106789","vAN"
"ENSG00000106829","dAN"
"ENSG00000107099","dAN"
"ENSG00000107242","dAN"
"ENSG00000107249","dAN"
"ENSG00000107438","dAN"
"ENSG00000107551","vAN"
"ENSG00000107611","vAN"
"ENSG00000107731","dAN"
"ENSG00000107796","dAN"
"ENSG00000107831","vAN"
"ENSG00000107968","dAN"
"ENSG00000108231","dAN"
"ENSG00000108515","vAN"
"ENSG00000108798","dAN"
"ENSG00000108950","vAN"
"ENSG00000109072","vAN"
"ENSG00000109079","dAN"
"ENSG00000109255","dAN"
"ENSG00000109424","dAN"
"ENSG00000109738","vAN"
"ENSG00000109743","dAN"
"ENSG00000109819","dAN"
"ENSG00000109832","vAN"
"ENSG00000110148","dAN"
"ENSG00000110318","vAN"
"ENSG00000110427","vAN"
"ENSG00000110436","dAN"
"ENSG00000110723","dAN"
"ENSG00000110852","vAN"
"ENSG00000111057","dAN"
"ENSG00000111087","vAN"
"ENSG00000111145","dAN"
"ENSG00000111262","dAN"
"ENSG00000111275","dAN"
"ENSG00000111432","dAN"
"ENSG00000111679","vAN"
"ENSG00000111834","vAN"
"ENSG00000111846","dAN"
"ENSG00000111859","dAN"
"ENSG00000111907","dAN"
"ENSG00000111913","dAN"
"ENSG00000112149","vAN"
"ENSG00000112164","vAN"
"ENSG00000112175","dAN"
"ENSG00000112182","dAN"
"ENSG00000112246","vAN"
"ENSG00000112333","dAN"
"ENSG00000112343","dAN"
"ENSG00000112394","dAN"
"ENSG00000112414","dAN"
"ENSG00000112530","vAN"
"ENSG00000112619","vAN"
"ENSG00000112773","dAN"
"ENSG00000112782","vAN"
"ENSG00000112796","vAN"
"ENSG00000112902","vAN"
"ENSG00000112981","vAN"
"ENSG00000113070","dAN"
"ENSG00000113319","vAN"
"ENSG00000113356","vAN"
"ENSG00000113448","dAN"
"ENSG00000113532","dAN"
"ENSG00000113645","dAN"
"ENSG00000113721","dAN"
"ENSG00000113739","dAN"
"ENSG00000113805","dAN"
"ENSG00000113916","dAN"
"ENSG00000114200","vAN"
"ENSG00000114251","vAN"
"ENSG00000114279","dAN"
"ENSG00000114315","vAN"
"ENSG00000114529","dAN"
"ENSG00000114541","vAN"
"ENSG00000114670","vAN"
"ENSG00000114737","vAN"
"ENSG00000114861","vAN"
"ENSG00000115107","vAN"
"ENSG00000115252","dAN"
"ENSG00000115255","vAN"
"ENSG00000115257","vAN"
"ENSG00000115339","vAN"
"ENSG00000115380","vAN"
"ENSG00000115457","dAN"
"ENSG00000115474","dAN"
"ENSG00000115507","dAN"
"ENSG00000115594","dAN"
"ENSG00000115596","dAN"
"ENSG00000115641","dAN"
"ENSG00000115738","dAN"
"ENSG00000115828","vAN"
"ENSG00000115844","vAN"
"ENSG00000115896","vAN"
"ENSG00000115902","dAN"
"ENSG00000116096","vAN"
"ENSG00000116106","dAN"
"ENSG00000116285","dAN"
