"","Figure1E"
"ENSG00000162745","dAN"
"ENSG00000162761","dAN"
"ENSG00000162772","dAN"
"ENSG00000162814","vAN"
"ENSG00000162825","vAN"
"ENSG00000162878","vAN"
"ENSG00000162976","vAN"
"ENSG00000162998","vAN"
"ENSG00000163013","vAN"
"ENSG00000163032","dAN"
"ENSG00000163064","dAN"
"ENSG00000163121","dAN"
"ENSG00000163132","dAN"
"ENSG00000163171","vAN"
"ENSG00000163191","dAN"
"ENSG00000163251","vAN"
"ENSG00000163273","dAN"
"ENSG00000163293","dAN"
"ENSG00000163347","dAN"
"ENSG00000163435","dAN"
"ENSG00000163485","dAN"
"ENSG00000163508","dAN"
"ENSG00000163536","vAN"
"ENSG00000163545","dAN"
"ENSG00000163590","vAN"
"ENSG00000163617","vAN"
"ENSG00000163638","dAN"
"ENSG00000163661","dAN"
"ENSG00000163666","vAN"
"ENSG00000163694","dAN"
"ENSG00000163710","dAN"
"ENSG00000163762","dAN"
"ENSG00000163814","dAN"
"ENSG00000163864","vAN"
"ENSG00000163873","vAN"
"ENSG00000163885","vAN"
"ENSG00000163909","dAN"
"ENSG00000164023","dAN"
"ENSG00000164051","dAN"
"ENSG00000164093","vAN"
"ENSG00000164106","vAN"
"ENSG00000164120","vAN"
"ENSG00000164125","vAN"
"ENSG00000164142","dAN"
"ENSG00000164161","vAN"
"ENSG00000164188","vAN"
"ENSG00000164251","dAN"
"ENSG00000164292","vAN"
"ENSG00000164300","dAN"
"ENSG00000164330","dAN"
"ENSG00000164418","vAN"
"ENSG00000164434","vAN"
"ENSG00000164440","vAN"
"ENSG00000164591","vAN"
"ENSG00000164604","vAN"
"ENSG00000164651","dAN"
"ENSG00000164683","vAN"
"ENSG00000164687","vAN"
"ENSG00000164690","vAN"
"ENSG00000164692","dAN"
"ENSG00000164694","vAN"
"ENSG00000164761","dAN"
"ENSG00000164841","dAN"
"ENSG00000164853","dAN"
"ENSG00000164879","dAN"
"ENSG00000164929","dAN"
"ENSG00000164932","dAN"
"ENSG00000164946","vAN"
"ENSG00000164949","dAN"
"ENSG00000164951","dAN"
"ENSG00000164972","vAN"
"ENSG00000164976","vAN"
"ENSG00000165072","dAN"
"ENSG00000165092","dAN"
"ENSG00000165105","vAN"
"ENSG00000165194","dAN"
"ENSG00000165197","dAN"
"ENSG00000165215","dAN"
"ENSG00000165272","vAN"
"ENSG00000165309","vAN"
"ENSG00000165325","vAN"
"ENSG00000165376","vAN"
"ENSG00000165474","dAN"
"ENSG00000165475","vAN"
"ENSG00000165507","vAN"
"ENSG00000165588","dAN"
"ENSG00000165617","dAN"
"ENSG00000165644","dAN"
"ENSG00000165655","dAN"
"ENSG00000165795","vAN"
"ENSG00000165879","vAN"
"ENSG00000165891","dAN"
"ENSG00000165905","dAN"
"ENSG00000165912","vAN"
"ENSG00000165966","vAN"
"ENSG00000166016","vAN"
"ENSG00000166073","vAN"
"ENSG00000166106","dAN"
"ENSG00000166183","vAN"
"ENSG00000166292","vAN"
"ENSG00000166426","dAN"
"ENSG00000166473","dAN"
"ENSG00000166546","dAN"
"ENSG00000166573","vAN"
"ENSG00000166596","vAN"
"ENSG00000166823","vAN"
"ENSG00000166825","vAN"
"ENSG00000167107","vAN"
"ENSG00000167157","vAN"
"ENSG00000167332","vAN"
"ENSG00000167434","dAN"
"ENSG00000167553","dAN"
"ENSG00000167600","dAN"
"ENSG00000167601","dAN"
"ENSG00000167612","vAN"
"ENSG00000167646","vAN"
"ENSG00000167703","vAN"
"ENSG00000167723","dAN"
"ENSG00000167858","vAN"
"ENSG00000167861","vAN"
"ENSG00000167912","vAN"
"ENSG00000168003","dAN"
"ENSG00000168004","vAN"
"ENSG00000168077","dAN"
"ENSG00000168079","vAN"
"ENSG00000168389","dAN"
"ENSG00000168421","dAN"
"ENSG00000168481","vAN"
"ENSG00000168505","vAN"
"ENSG00000168589","vAN"
"ENSG00000168615","dAN"
"ENSG00000168646","dAN"
"ENSG00000168671","dAN"
"ENSG00000168672","dAN"
"ENSG00000168676","vAN"
"ENSG00000168811","dAN"
"ENSG00000168843","vAN"
"ENSG00000168918","dAN"
"ENSG00000168952","dAN"
"ENSG00000169116","dAN"
"ENSG00000169129","dAN"
"ENSG00000169136","dAN"
"ENSG00000169218","dAN"
"ENSG00000169245","vAN"
"ENSG00000169251","vAN"
"ENSG00000169306","dAN"
"ENSG00000169439","dAN"
"ENSG00000169499","vAN"
"ENSG00000169744","vAN"
"ENSG00000169836","dAN"
"ENSG00000169856","dAN"
"ENSG00000169884","dAN"
"ENSG00000169891","vAN"
"ENSG00000169908","dAN"
"ENSG00000169933","dAN"
"ENSG00000170091","dAN"
"ENSG00000170153","vAN"
"ENSG00000170190","vAN"
"ENSG00000170293","vAN"
"ENSG00000170345","dAN"
"ENSG00000170369","dAN"
"ENSG00000170370","dAN"
"ENSG00000170381","vAN"
"ENSG00000170477","vAN"
"ENSG00000170542","dAN"
"ENSG00000170545","dAN"
"ENSG00000170549","dAN"
"ENSG00000170561","dAN"
"ENSG00000170703","vAN"
"ENSG00000170745","vAN"
"ENSG00000170873","dAN"
"ENSG00000170891","vAN"
"ENSG00000170893","dAN"
"ENSG00000170955","dAN"
"ENSG00000170959","vAN"
"ENSG00000170962","vAN"
"ENSG00000170989","dAN"
"ENSG00000171004","dAN"
"ENSG00000171045","vAN"
"ENSG00000171223","dAN"
"ENSG00000171224","vAN"
"ENSG00000171227","vAN"
"ENSG00000171243","dAN"
"ENSG00000171345","dAN"
"ENSG00000171368","vAN"
"ENSG00000171388","dAN"
"ENSG00000171408","vAN"
"ENSG00000171450","dAN"
"ENSG00000171476","vAN"
"ENSG00000171488","dAN"
"ENSG00000171517","vAN"
"ENSG00000171540","vAN"
"ENSG00000171724","dAN"
"ENSG00000171786","dAN"
"ENSG00000171811","vAN"
"ENSG00000171855","dAN"
"ENSG00000171864","dAN"
"ENSG00000171873","dAN"
"ENSG00000171944","dAN"
"ENSG00000171951","dAN"
"ENSG00000172005","dAN"
"ENSG00000172014","vAN"
"ENSG00000172020","dAN"
"ENSG00000172197","vAN"
"ENSG00000172260","vAN"
"ENSG00000172318","vAN"
"ENSG00000172382","vAN"
"ENSG00000172572","dAN"
"ENSG00000172594","vAN"
"ENSG00000172667","dAN"
"ENSG00000172794","vAN"
"ENSG00000172935","dAN"
"ENSG00000172965","dAN"
"ENSG00000172985","dAN"
"ENSG00000172987","dAN"
"ENSG00000173110","dAN"
"ENSG00000173157","dAN"
"ENSG00000173253","dAN"
"ENSG00000173262","dAN"
"ENSG00000173267","dAN"
"ENSG00000173334","dAN"
"ENSG00000173376","dAN"
"ENSG00000173530","dAN"
"ENSG00000173531","vAN"
"ENSG00000173535","dAN"
"ENSG00000173706","vAN"
"ENSG00000173811","vAN"
"ENSG00000173826","vAN"
"ENSG00000173917","dAN"
"ENSG00000174307","dAN"
"ENSG00000174403","vAN"
"ENSG00000174428","vAN"
"ENSG00000174450","vAN"
"ENSG00000174469","dAN"
"ENSG00000174572","vAN"
"ENSG00000174807","vAN"
"ENSG00000174844","vAN"
"ENSG00000174963","dAN"
"ENSG00000175084","dAN"
"ENSG00000175267","vAN"
"ENSG00000175287","vAN"
"ENSG00000175352","dAN"
"ENSG00000175356","dAN"
"ENSG00000175445","dAN"
"ENSG00000175497","dAN"
"ENSG00000175591","dAN"
"ENSG00000175592","dAN"
"ENSG00000175745","dAN"
"ENSG00000175866","dAN"
"ENSG00000175868","dAN"
"ENSG00000175874","vAN"
"ENSG00000176040","dAN"
"ENSG00000176165","vAN"
"ENSG00000176170","dAN"
"ENSG00000176204","dAN"
"ENSG00000176383","dAN"
"ENSG00000176463","dAN"
"ENSG00000176641","dAN"
"ENSG00000176840","vAN"
"ENSG00000176842","dAN"
"ENSG00000176907","vAN"
"ENSG00000176928","dAN"
"ENSG00000176978","vAN"
"ENSG00000177025","vAN"
"ENSG00000177106","dAN"
"ENSG00000177108","vAN"
"ENSG00000177181","vAN"
"ENSG00000177182","dAN"
"ENSG00000177283","vAN"
"ENSG00000177337","dAN"
"ENSG00000177359","vAN"
"ENSG00000177426","dAN"
"ENSG00000177468","dAN"
"ENSG00000177469","dAN"
"ENSG00000177508","dAN"
"ENSG00000177551","dAN"
"ENSG00000177822","dAN"
"ENSG00000177989","vAN"
"ENSG00000177990","vAN"
"ENSG00000178033","dAN"
"ENSG00000178125","vAN"
"ENSG00000178385","vAN"
"ENSG00000178401","vAN"
"ENSG00000178403","dAN"
"ENSG00000178568","dAN"
"ENSG00000178700","vAN"
"ENSG00000178734","vAN"
"ENSG00000178919","vAN"
"ENSG00000179008","vAN"
"ENSG00000179023","dAN"
"ENSG00000179059","dAN"
"ENSG00000179104","vAN"
"ENSG00000179388","dAN"
"ENSG00000179455","dAN"
"ENSG00000179546","vAN"
"ENSG00000179627","vAN"
"ENSG00000179673","dAN"
"ENSG00000179761","vAN"
"ENSG00000179796","dAN"
"ENSG00000179869","dAN"
"ENSG00000179981","vAN"
"ENSG00000180044","dAN"
"ENSG00000180113","vAN"
"ENSG00000180176","dAN"
"ENSG00000180209","dAN"
"ENSG00000180340","vAN"
"ENSG00000180440","vAN"
"ENSG00000180447","dAN"
"ENSG00000180481","vAN"
"ENSG00000180628","dAN"
"ENSG00000180730","vAN"
"ENSG00000180739","dAN"
"ENSG00000180801","vAN"
"ENSG00000180875","dAN"
"ENSG00000180902","vAN"
"ENSG00000180914","dAN"
"ENSG00000181019","dAN"
"ENSG00000181031","vAN"
"ENSG00000181274","vAN"
"ENSG00000181378","vAN"
"ENSG00000181649","dAN"
"ENSG00000181744","vAN"
"ENSG00000181773","dAN"
"ENSG00000181965","dAN"
"ENSG00000182022","dAN"
"ENSG00000182070","dAN"
"ENSG00000182158","dAN"
"ENSG00000182165","dAN"
"ENSG00000182168","dAN"
"ENSG00000182240","dAN"
"ENSG00000182255","vAN"
"ENSG00000182256","vAN"
"ENSG00000182393","dAN"
"ENSG00000182405","vAN"
"ENSG00000182580","vAN"
"ENSG00000182752","dAN"
"ENSG00000182771","dAN"
"ENSG00000182836","dAN"
"ENSG00000182968","dAN"
"ENSG00000183018","dAN"
"ENSG00000183023","vAN"
"ENSG00000183036","dAN"
"ENSG00000183044","vAN"
"ENSG00000183055","vAN"
"ENSG00000183145","dAN"
"ENSG00000183208","vAN"
"ENSG00000183273","dAN"
"ENSG00000183287","dAN"
"ENSG00000183508","dAN"
"ENSG00000183690","vAN"
"ENSG00000183709","dAN"
"ENSG00000183715","vAN"
"ENSG00000183775","vAN"
"ENSG00000183778","vAN"
"ENSG00000183779","dAN"
"ENSG00000183873","vAN"
"ENSG00000183876","dAN"
"ENSG00000183908","dAN"
"ENSG00000184005","vAN"
"ENSG00000184012","dAN"
"ENSG00000184058","vAN"
"ENSG00000184144","dAN"
"ENSG00000184156","dAN"
"ENSG00000184254","dAN"
"ENSG00000184261","vAN"
"ENSG00000184302","vAN"
"ENSG00000184319","dAN"
"ENSG00000184347","dAN"
"ENSG00000184408","vAN"
"ENSG00000184441","vAN"
"ENSG00000184486","dAN"
"ENSG00000184500","vAN"
"ENSG00000184588","dAN"
"ENSG00000184611","vAN"
"ENSG00000184697","dAN"
"ENSG00000184698","dAN"
"ENSG00000184785","vAN"
"ENSG00000184809","vAN"
"ENSG00000184828","vAN"
"ENSG00000184838","vAN"
"ENSG00000184845","dAN"
"ENSG00000184867","dAN"
"ENSG00000184922","dAN"
"ENSG00000185008","dAN"
"ENSG00000185022","dAN"
"ENSG00000185052","vAN"
"ENSG00000185070","vAN"
"ENSG00000185088","dAN"
"ENSG00000185149","dAN"
"ENSG00000185250","vAN"
"ENSG00000185274","dAN"
"ENSG00000185386","dAN"
"ENSG00000185442","vAN"
"ENSG00000185477","vAN"
"ENSG00000185483","dAN"
"ENSG00000185551","dAN"
"ENSG00000185559","vAN"
"ENSG00000185567","dAN"
"ENSG00000185585","vAN"
"ENSG00000185640","vAN"
"ENSG00000185650","dAN"
"ENSG00000185664","vAN"
"ENSG00000185668","vAN"
"ENSG00000185742","dAN"
"ENSG00000185760","dAN"
"ENSG00000185811","dAN"
"ENSG00000185885","dAN"
"ENSG00000185920","vAN"
"ENSG00000185950","dAN"
"ENSG00000186047","vAN"
"ENSG00000186051","dAN"
"ENSG00000186056","dAN"
"ENSG00000186188","dAN"
"ENSG00000186197","vAN"
"ENSG00000186231","vAN"
"ENSG00000186417","vAN"
"ENSG00000186487","dAN"
"ENSG00000186496","vAN"
"ENSG00000186564","vAN"
"ENSG00000186567","vAN"
"ENSG00000186642","dAN"
"ENSG00000186665","vAN"
"ENSG00000186684","vAN"
"ENSG00000186732","vAN"
"ENSG00000186960","vAN"
"ENSG00000186973","vAN"
"ENSG00000186976","vAN"
"ENSG00000187094","dAN"
"ENSG00000187098","vAN"
"ENSG00000187122","vAN"
"ENSG00000187123","vAN"
"ENSG00000187135","dAN"
"ENSG00000187210","dAN"
"ENSG00000187244","vAN"
"ENSG00000187553","dAN"
"ENSG00000187608","dAN"
"ENSG00000187800","dAN"
"ENSG00000187824","vAN"
"ENSG00000188042","dAN"
"ENSG00000188064","dAN"
"ENSG00000188266","vAN"
"ENSG00000188290","dAN"
"ENSG00000188316","vAN"
"ENSG00000188505","vAN"
"ENSG00000188517","vAN"
"ENSG00000188522","dAN"
"ENSG00000188582","dAN"
"ENSG00000188596","vAN"
"ENSG00000188610","dAN"
"ENSG00000188611","vAN"
"ENSG00000188643","dAN"
"ENSG00000188729","vAN"
"ENSG00000188906","vAN"
"ENSG00000189120","dAN"
"ENSG00000189127","dAN"
"ENSG00000189129","dAN"
"ENSG00000189143","dAN"
"ENSG00000189157","vAN"
"ENSG00000189182","vAN"
"ENSG00000189212","vAN"
"ENSG00000189292","dAN"
"ENSG00000189350","vAN"
"ENSG00000189431","vAN"
"ENSG00000196092","dAN"
"ENSG00000196218","vAN"
"ENSG00000196338","vAN"
"ENSG00000196376","dAN"
"ENSG00000196391","vAN"
"ENSG00000196431","vAN"
"ENSG00000196482","vAN"
"ENSG00000196542","vAN"
"ENSG00000196562","vAN"
"ENSG00000196581","dAN"
"ENSG00000196639","dAN"
"ENSG00000196754","dAN"
"ENSG00000196767","vAN"
"ENSG00000197110","dAN"
"ENSG00000197177","vAN"
"ENSG00000197191","vAN"
"ENSG00000197291","vAN"
"ENSG00000197380","vAN"
"ENSG00000197385","vAN"
"ENSG00000197406","vAN"
"ENSG00000197410","vAN"
"ENSG00000197415","dAN"
"ENSG00000197467","vAN"
"ENSG00000197558","vAN"
"ENSG00000197565","dAN"
"ENSG00000197580","vAN"
"ENSG00000197696","dAN"
"ENSG00000197705","dAN"
"ENSG00000197747","dAN"
"ENSG00000197748","vAN"
"ENSG00000197769","dAN"
"ENSG00000197776","vAN"
"ENSG00000197859","dAN"
"ENSG00000197901","vAN"
"ENSG00000197959","vAN"
"ENSG00000198203","dAN"
"ENSG00000198216","dAN"
"ENSG00000198286","dAN"
"ENSG00000198336","vAN"
"ENSG00000198355","dAN"
"ENSG00000198417","dAN"
"ENSG00000198626","dAN"
"ENSG00000198682","vAN"
"ENSG00000198734","vAN"
"ENSG00000198756","dAN"
"ENSG00000198771","dAN"
"ENSG00000198774","vAN"
"ENSG00000198795","dAN"
"ENSG00000198796","dAN"
"ENSG00000198821","dAN"
"ENSG00000198844","vAN"
"ENSG00000198846","vAN"
"ENSG00000198914","dAN"
"ENSG00000198939","vAN"
"ENSG00000199366","dAN"
"ENSG00000199962","dAN"
"ENSG00000200385","vAN"
"ENSG00000200818","dAN"
"ENSG00000201608","dAN"
"ENSG00000203392","vAN"
"ENSG00000203497","vAN"
"ENSG00000203527","vAN"
"ENSG00000203688","vAN"
"ENSG00000203706","dAN"
"ENSG00000203711","vAN"
"ENSG00000203727","dAN"
"ENSG00000203760","dAN"
"ENSG00000203780","vAN"
"ENSG00000203805","dAN"
"ENSG00000204103","vAN"
"ENSG00000204128","vAN"
"ENSG00000204228","vAN"
"ENSG00000204311","vAN"
"ENSG00000204334","vAN"
"ENSG00000204335","dAN"
"ENSG00000204381","dAN"
"ENSG00000204634","vAN"
"ENSG00000204950","vAN"
"ENSG00000205056","vAN"
"ENSG00000205129","vAN"
"ENSG00000205221","dAN"
"ENSG00000205300","dAN"
"ENSG00000205683","dAN"
"ENSG00000205763","dAN"
"ENSG00000205922","dAN"
"ENSG00000206052","dAN"
"ENSG00000206417","vAN"
"ENSG00000206530","vAN"
"ENSG00000206538","dAN"
"ENSG00000206579","dAN"
"ENSG00000212864","vAN"
"ENSG00000212993","dAN"
"ENSG00000213145","dAN"
"ENSG00000213213","vAN"
"ENSG00000213468","vAN"
"ENSG00000213694","vAN"
"ENSG00000213889","dAN"
"ENSG00000213931","dAN"
"ENSG00000214336","dAN"
"ENSG00000214491","dAN"
"ENSG00000214578","vAN"
"ENSG00000214595","vAN"
"ENSG00000215196","vAN"
"ENSG00000215237","vAN"
"ENSG00000215452","vAN"
"ENSG00000215559","dAN"
"ENSG00000215612","vAN"
"ENSG00000215644","vAN"
"ENSG00000216775","vAN"
"ENSG00000217801","dAN"
"ENSG00000218336","dAN"
"ENSG00000218996","dAN"
"ENSG00000219404","vAN"
"ENSG00000221818","dAN"
"ENSG00000221869","dAN"
"ENSG00000221955","vAN"
"ENSG00000222041","dAN"
"ENSG00000223509","vAN"
"ENSG00000223518","dAN"
"ENSG00000223561","vAN"
"ENSG00000223749","vAN"
"ENSG00000223843","vAN"
"ENSG00000223949","dAN"
"ENSG00000224063","dAN"
"ENSG00000224165","vAN"
"ENSG00000224243","dAN"
"ENSG00000224331","dAN"
"ENSG00000224383","vAN"
"ENSG00000224525","dAN"
"ENSG00000224812","vAN"
"ENSG00000224945","dAN"
"ENSG00000225127","vAN"
"ENSG00000225156","vAN"
"ENSG00000225792","vAN"
"ENSG00000225872","vAN"
"ENSG00000225933","dAN"
"ENSG00000226049","dAN"
"ENSG00000226089","dAN"
"ENSG00000226124","vAN"
"ENSG00000226887","dAN"
"ENSG00000226926","dAN"
"ENSG00000226928","dAN"
"ENSG00000227028","vAN"
"ENSG00000227036","vAN"
"ENSG00000227195","vAN"
"ENSG00000227248","dAN"
"ENSG00000227525","vAN"
"ENSG00000227528","dAN"
"ENSG00000227560","vAN"
"ENSG00000228140","vAN"
"ENSG00000228219","dAN"
"ENSG00000228288","dAN"
"ENSG00000228528","dAN"
"ENSG00000228649","dAN"
"ENSG00000228835","dAN"
"ENSG00000228878","vAN"
"ENSG00000228956","vAN"
"ENSG00000228999","dAN"
"ENSG00000229154","dAN"
"ENSG00000229191","vAN"
"ENSG00000229240","vAN"
"ENSG00000229415","vAN"
"ENSG00000229497","dAN"
"ENSG00000229847","dAN"
"ENSG00000229989","vAN"
"ENSG00000230432","vAN"
"ENSG00000230699","vAN"
"ENSG00000230832","dAN"
"ENSG00000230863","vAN"
"ENSG00000230910","vAN"
"ENSG00000231028","vAN"
"ENSG00000231233","vAN"
"ENSG00000231324","dAN"
"ENSG00000231609","dAN"
"ENSG00000231764","vAN"
"ENSG00000231793","vAN"
"ENSG00000231902","vAN"
"ENSG00000232021","dAN"
"ENSG00000232022","vAN"
"ENSG00000232160","vAN"
"ENSG00000232712","vAN"
"ENSG00000232821","vAN"
"ENSG00000233237","dAN"
"ENSG00000233429","dAN"
"ENSG00000233451","vAN"
"ENSG00000233579","vAN"
"ENSG00000233593","dAN"
"ENSG00000233639","dAN"
"ENSG00000233661","vAN"
"ENSG00000233695","dAN"
"ENSG00000234189","dAN"
"ENSG00000234383","dAN"
"ENSG00000234546","dAN"
"ENSG00000234710","vAN"
"ENSG00000234899","vAN"
"ENSG00000235026","dAN"
"ENSG00000235098","vAN"
"ENSG00000235169","vAN"
"ENSG00000235269","dAN"
"ENSG00000235688","vAN"
"ENSG00000235865","vAN"
"ENSG00000236154","vAN"
"ENSG00000236279","dAN"
"ENSG00000236325","vAN"
"ENSG00000236453","dAN"
"ENSG00000236502","vAN"
"ENSG00000236816","vAN"
"ENSG00000236824","dAN"
"ENSG00000237187","dAN"
"ENSG00000237289","dAN"
"ENSG00000237512","dAN"
"ENSG00000237515","dAN"
"ENSG00000237732","dAN"
"ENSG00000237750","vAN"
"ENSG00000237807","vAN"
"ENSG00000237819","dAN"
"ENSG00000237854","vAN"
"ENSG00000237994","dAN"
"ENSG00000238057","vAN"
"ENSG00000238113","vAN"
"ENSG00000238372","dAN"
"ENSG00000239713","vAN"
"ENSG00000239911","vAN"
"ENSG00000239922","dAN"
"ENSG00000240038","vAN"
"ENSG00000240057","dAN"
"ENSG00000240356","dAN"
"ENSG00000240694","vAN"
"ENSG00000240775","dAN"
"ENSG00000241158","dAN"
"ENSG00000241213","dAN"
"ENSG00000241418","vAN"
"ENSG00000241570","dAN"
"ENSG00000241684","dAN"
"ENSG00000241743","dAN"
"ENSG00000241859","vAN"
"ENSG00000242094","vAN"
"ENSG00000242540","vAN"
"ENSG00000242715","vAN"
"ENSG00000242889","dAN"
"ENSG00000243069","vAN"
"ENSG00000243197","dAN"
"ENSG00000243422","vAN"
"ENSG00000243710","vAN"
"ENSG00000243730","vAN"
"ENSG00000243836","vAN"
"ENSG00000244227","dAN"
"ENSG00000244621","dAN"
"ENSG00000244694","dAN"
"ENSG00000244968","vAN"
"ENSG00000245213","vAN"
"ENSG00000245322","vAN"
"ENSG00000245384","vAN"
"ENSG00000245498","vAN"
"ENSG00000245532","dAN"
"ENSG00000245534","vAN"
"ENSG00000246308","vAN"
"ENSG00000248008","vAN"
"ENSG00000248309","vAN"
"ENSG00000248329","vAN"
"ENSG00000248441","dAN"
"ENSG00000248445","vAN"
"ENSG00000248543","vAN"
"ENSG00000248544","dAN"
"ENSG00000248550","dAN"
"ENSG00000248712","vAN"
"ENSG00000248746","dAN"
"ENSG00000248890","vAN"
"ENSG00000248905","dAN"
"ENSG00000249087","vAN"
"ENSG00000249306","dAN"
"ENSG00000249364","vAN"
"ENSG00000249465","vAN"
"ENSG00000249631","vAN"
"ENSG00000249736","vAN"
"ENSG00000249743","vAN"
"ENSG00000249859","dAN"
"ENSG00000249896","vAN"
"ENSG00000249992","dAN"
"ENSG00000250056","vAN"
"ENSG00000250069","dAN"
"ENSG00000250208","dAN"
"ENSG00000250366","dAN"
"ENSG00000250420","vAN"
"ENSG00000250508","dAN"
"ENSG00000250538","dAN"
"ENSG00000250722","vAN"
"ENSG00000251095","dAN"
"ENSG00000251372","vAN"
"ENSG00000251408","vAN"
"ENSG00000251450","vAN"
"ENSG00000251680","dAN"
"ENSG00000251869","vAN"
"ENSG00000253369","vAN"
"ENSG00000253438","dAN"
"ENSG00000253520","vAN"
"ENSG00000253554","dAN"
"ENSG00000253563","vAN"
"ENSG00000253661","dAN"
"ENSG00000253734","dAN"
"ENSG00000253764","vAN"
"ENSG00000253773","vAN"
"ENSG00000253821","vAN"
"ENSG00000253958","vAN"
"ENSG00000253978","vAN"
"ENSG00000254166","dAN"
"ENSG00000254187","dAN"
"ENSG00000254226","dAN"
"ENSG00000254377","dAN"
"ENSG00000254510","dAN"
"ENSG00000254579","dAN"
"ENSG00000254911","vAN"
"ENSG00000255092","dAN"
"ENSG00000255099","dAN"
"ENSG00000255145","vAN"
"ENSG00000255248","dAN"
"ENSG00000255471","dAN"
"ENSG00000255760","vAN"
"ENSG00000255794","dAN"
"ENSG00000255871","vAN"
"ENSG00000256340","vAN"
"ENSG00000256552","vAN"
"ENSG00000256576","vAN"
"ENSG00000256713","vAN"
"ENSG00000257438","dAN"
"ENSG00000257501","dAN"
"ENSG00000257604","dAN"
"ENSG00000257704","dAN"
"ENSG00000257842","dAN"
"ENSG00000257935","dAN"
"ENSG00000258136","dAN"
"ENSG00000258312","dAN"
"ENSG00000258498","vAN"
"ENSG00000258531","dAN"
"ENSG00000258647","vAN"
"ENSG00000258675","dAN"
"ENSG00000258692","vAN"
"ENSG00000258920","dAN"
"ENSG00000259223","dAN"
"ENSG00000259370","dAN"
"ENSG00000259376","dAN"
"ENSG00000259417","dAN"
"ENSG00000259439","vAN"
"ENSG00000259658","vAN"
"ENSG00000259664","vAN"
"ENSG00000259803","vAN"
"ENSG00000259867","dAN"
"ENSG00000259877","vAN"
"ENSG00000259905","vAN"
"ENSG00000259969","vAN"
"ENSG00000259974","vAN"
"ENSG00000260086","vAN"
"ENSG00000260121","vAN"
"ENSG00000260125","dAN"
"ENSG00000260230","vAN"
"ENSG00000260232","vAN"
"ENSG00000260400","vAN"
"ENSG00000260563","vAN"
"ENSG00000260581","vAN"
"ENSG00000260585","vAN"
"ENSG00000260807","vAN"
"ENSG00000261103","dAN"
"ENSG00000261189","dAN"
"ENSG00000261238","vAN"
"ENSG00000261340","vAN"
"ENSG00000261572","vAN"
"ENSG00000261829","vAN"
"ENSG00000262001","dAN"
"ENSG00000262655","vAN"
"ENSG00000262801","dAN"
"ENSG00000262877","vAN"
"ENSG00000262966","vAN"
"ENSG00000263934","dAN"
"ENSG00000264345","dAN"
"ENSG00000264449","vAN"
"ENSG00000265179","dAN"
"ENSG00000265477","dAN"
"ENSG00000265972","vAN"
"ENSG00000266074","vAN"
"ENSG00000266369","dAN"
"ENSG00000266378","dAN"
"ENSG00000266524","dAN"
"ENSG00000266709","dAN"
"ENSG00000266714","vAN"
"ENSG00000267128","dAN"
"ENSG00000267284","vAN"
"ENSG00000267325","vAN"
"ENSG00000267327","vAN"
"ENSG00000267374","dAN"
"ENSG00000267519","dAN"
"ENSG00000268812","dAN"
"ENSG00000269113","vAN"
"ENSG00000269404","dAN"
"ENSG00000269609","vAN"
"ENSG00000269993","vAN"
"ENSG00000270049","vAN"
"ENSG00000270127","vAN"
"ENSG00000270190","dAN"
"ENSG00000270210","dAN"
"ENSG00000270419","vAN"
"ENSG00000270540","vAN"
"ENSG00000270605","vAN"
"ENSG00000270640","dAN"
"ENSG00000270953","vAN"
"ENSG00000271086","vAN"
"ENSG00000271259","vAN"
"ENSG00000271327","vAN"
"ENSG00000271474","dAN"
"ENSG00000271590","dAN"
"ENSG00000271730","vAN"
"ENSG00000271824","vAN"
"ENSG00000271857","vAN"
"ENSG00000272163","dAN"
"ENSG00000272512","dAN"
"ENSG00000272541","vAN"
"ENSG00000272562","vAN"
"ENSG00000272733","vAN"
"ENSG00000272824","vAN"
"ENSG00000272870","vAN"
"ENSG00000272871","vAN"
"ENSG00000272954","vAN"
"ENSG00000273079","dAN"
"ENSG00000273297","vAN"
"ENSG00000273321","dAN"
"ENSG00000273372","vAN"
"ENSG00000273540","dAN"
"ENSG00000273650","vAN"
"ENSG00000273802","dAN"
"ENSG00000274021","vAN"
"ENSG00000274184","vAN"
"ENSG00000274204","dAN"
"ENSG00000274238","dAN"
"ENSG00000274253","vAN"
"ENSG00000274561","vAN"
"ENSG00000274565","vAN"
"ENSG00000274588","vAN"
"ENSG00000274659","vAN"
"ENSG00000274922","vAN"
"ENSG00000275216","dAN"
"ENSG00000275350","vAN"
"ENSG00000275481","vAN"
"ENSG00000275620","vAN"
"ENSG00000275630","dAN"
"ENSG00000276136","vAN"
"ENSG00000276141","vAN"
"ENSG00000276600","dAN"
"ENSG00000276831","vAN"
"ENSG00000277013","vAN"
"ENSG00000277283","vAN"
"ENSG00000277586","dAN"
"ENSG00000277639","dAN"
"ENSG00000277695","dAN"
"ENSG00000277954","vAN"
"ENSG00000278041","vAN"
"ENSG00000278530","vAN"
"ENSG00000278532","dAN"
"ENSG00000278740","vAN"
"ENSG00000278840","dAN"
"ENSG00000278926","dAN"
"ENSG00000278957","vAN"
"ENSG00000279029","dAN"
"ENSG00000279066","vAN"
"ENSG00000279091","vAN"
"ENSG00000279099","dAN"
"ENSG00000279118","vAN"
"ENSG00000279161","vAN"
"ENSG00000279221","dAN"
"ENSG00000279278","vAN"
"ENSG00000279289","dAN"
