"","fe_info.coord...1.","gene_converter.names.fe_info.coord...1.....ENSEMBL....SYMBOL.."
"ENSG00000115380",0.976821709692389,"EFEMP1"
"ENSG00000154342",-1.18630337347898,"WNT3A"
"ENSG00000226278",0.586265318774574,NA
"ENSG00000106366",-1.16498050803871,"SERPINE1"
"ENSG00000164651",-1.12046300845487,"SP8"
"ENSG00000130226",0.614622612789287,"DPP6"
"ENSG00000144857",-1.10526864523889,"BOC"
"ENSG00000165949",0.346512612175307,"IFI27"
"ENSG00000204525",0.644609305267806,"HLA-C"
"ENSG00000170893",-0.951824572630438,"TRH"
"ENSG00000139800",-1.12311362851438,"ZIC5"
"ENSG00000134531",-1.1272143820029,"EMP1"
"ENSG00000189229",0.586995519498198,NA
"ENSG00000225156",1.08435964733168,NA
"ENSG00000125084",-1.1810658437608,"WNT1"
"ENSG00000175745",-0.971451145754666,"NR2F1"
"ENSG00000138061",-1.03288139421309,"CYP1B1"
"ENSG00000180447",-0.973796989161079,"GAS1"
"ENSG00000135549",0.975567312385693,"PKIB"
"ENSG00000183145",-0.86588564930476,"RIPPLY3"
"ENSG00000134326",0.474953056089569,"CMPK2"
"ENSG00000198692",-0.654689081082156,"EIF1AY"
"ENSG00000111432",-0.729855765336379,"FZD10"
"ENSG00000150551",-0.946986105903052,"LYPD1"
"ENSG00000135842",0.667327664154419,"NIBAN1"
"ENSG00000155511",-1.14840403921805,"GRIA1"
"ENSG00000152402",0.142979905739842,"GUCY1A2"
"ENSG00000091656",-1.11863599253936,"ZFHX4"
"ENSG00000164692",-1.11830791360114,"COL1A2"
"ENSG00000137267",-1.1368248713281,"TUBB2A"
"ENSG00000241743",-1.0402629965859,NA
"ENSG00000120675",-0.711120013779109,"DNAJC15"
"ENSG00000182968",-0.959286982790446,"SOX1"
"ENSG00000159263",-1.12672424526213,"SIM2"
"ENSG00000116717",-1.05506539426905,"GADD45A"
"ENSG00000067066",0.260383423562017,"SP100"
"ENSG00000278318",0.548264797252965,"ZNF229"
"ENSG00000091986",-1.11897490273687,"CCDC80"
"ENSG00000178568",-0.915289579079958,"ERBB4"
"ENSG00000100505",0.455671595206985,"TRIM9"
"ENSG00000152785",0.921807727091204,"BMP3"
"ENSG00000215146",0.529072982273745,NA
"ENSG00000066382",1.04914065343763,"MPPED2"
"ENSG00000167785",0.56479835974948,"ZNF558"
"ENSG00000078328",-0.0871069750935686,"RBFOX1"
"ENSG00000163694",-1.08256679156873,"RBM47"
"ENSG00000164093",0.582759367591926,"PITX2"
"ENSG00000136099",-0.875601197007166,"PCDH8"
"ENSG00000064218",-0.72656081539119,"DMRT3"
"ENSG00000174963",-0.715976434141185,"ZIC4"
"ENSG00000115415",0.491071686392443,"STAT1"
"ENSG00000088970",0.970160311215302,"KIZ"
"ENSG00000124785",-1.04279122373341,"NRN1"
"ENSG00000127920",-1.11409163895717,"GNG11"
"ENSG00000255794",-0.988169408087811,"RMST"
"ENSG00000164951",-1.02828917250486,"PDP1"
"ENSG00000070193",0.814663185486436,"FGF10"
"ENSG00000148737",0.983934389682989,"TCF7L2"
"ENSG00000176165",0.769544074056022,"FOXG1"
"ENSG00000089116",-0.434277903409183,"LHX5"
"ENSG00000180730",0.922460882603624,"SHISA2"
