"","line","type"
"PC1",0.200553828713677,8.85077530806817e-12
"PC2",3.07349391107773e-12,0.203503652138652
"PC3",0.984769449526342,0.620763091273621
"PC4",0.848678011259631,0.959311621955146
"PC5",0.916467672231682,0.972720274654725
