"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000000003",368.08996187626,0.396625386243809,0.055571183752766,7.13724919030662,9.52171397967303e-13,1.505547310345e-11,"TSPAN6",NA
"ENSG00000000419",163.168975081729,-0.0560337582695943,0.0732863363820347,-0.764586702458363,0.444517689917448,0.595385053619145,"DPM1",NA
"ENSG00000000457",20.6380923371135,0.381230400829539,0.16851167882596,2.26233815653381,0.0236765186750819,0.0612811543106877,"SCYL3",NA
"ENSG00000000460",5.17879602616472,-0.280640366068306,0.321252185785505,-0.873582744292003,0.382345526789752,0.535602615185468,"FIRRM",NA
"ENSG00000000938",0.792850177080992,0.575018809279138,0.81855540215017,0.702480012676829,0.482379862182185,0.629325448052359,"FGR",NA
"ENSG00000001036",227.167039597769,-0.318174929406272,0.0551212827097026,-5.77227005187719,7.82106361695814e-09,8.06449790724364e-08,"FUCA2",NA
"ENSG00000001084",51.2795116070682,0.230568538225057,0.103324408743678,2.23150116248951,0.0256479506002314,0.0655592277939496,"GCLC",NA
"ENSG00000001167",128.937186297455,0.261082951023245,0.0912399416011676,2.86149844510536,0.00421643571952648,0.0139681800182017,"NFYA",NA
"ENSG00000001460",21.8040921828766,0.0723339197016282,0.174363708923886,0.414845039418172,0.678255345960702,0.786273731860545,"STPG1",NA
"ENSG00000001461",38.6569070265494,0.395634011185053,0.116836515985225,3.38621883619915,0.000708628501066301,0.00290615089706951,"NIPAL3",NA
"ENSG00000001497",127.310396751277,-0.038171862073806,0.0692610326984632,-0.551130420477444,0.581544273206174,0.710891837547997,"LAS1L",NA
"ENSG00000001561",41.4583387572378,0.691751820758184,0.118739814220036,5.82577819665696,5.68470757335076e-09,5.99728818812785e-08,"ENPP4",NA
"ENSG00000001617",7.52469071405004,-0.905712876563977,0.278388277591647,-3.25341600012526,0.00114026432120367,0.00443505610855328,"SEMA3F",NA
"ENSG00000001626",1.09388117972072,0.550503420110487,0.695304065217195,0.791744860485641,0.428509459131244,0.580525964498037,"CFTR",NA
"ENSG00000001629",205.324222871579,0.0319589040550618,0.0573384706012471,0.557372802586868,0.577272743722997,0.707728373977744,"ANKIB1",NA
"ENSG00000001630",584.42148757173,-0.450229456935732,0.0677688000873211,-6.64360968993998,3.06092488583082e-11,4.13332790648015e-10,"CYP51A1",NA
"ENSG00000001631",29.34072538764,0.43516206640167,0.137702263569272,3.1601663990277,0.00157679058294039,0.00590271477656747,"KRIT1",NA
"ENSG00000002016",52.821181919304,-0.198147040085812,0.159548949303058,-1.24192005620443,0.214266059389676,0.351625514672053,"RAD52",NA
"ENSG00000002079",1.43679438853696,-1.00153273387763,0.592429867759056,-1.69055071052723,0.0909226452524954,0.182493376445994,"MYH16",NA
"ENSG00000002330",63.7299703471634,0.0610774702392412,0.109652731853526,0.557008194933332,0.577521830134698,0.707872743785635,"BAD",NA
"ENSG00000002549",200.042901836794,0.113040321628439,0.105602167920386,1.07043561561785,0.284423275162574,0.433936406539041,"LAP3",NA
"ENSG00000002587",3.83087681226854,0.354798357815367,0.428763587487334,0.827491811733776,0.407958361257095,0.562092113143918,"HS3ST1",NA
"ENSG00000002746",1.35451402869284,-0.369981062186556,0.587409546678432,-0.629851973429189,0.528791437492615,0.667394911833525,"HECW1",NA
"ENSG00000002834",59.6994586696635,-0.086194607497108,0.108081382207845,-0.797497272299428,0.425162286387745,0.577376415585286,"LASP1",NA
"ENSG00000002919",36.3928049638048,-0.0187929982823775,0.114761861711305,-0.163756477998355,0.86992285459453,0.919580590690961,"SNX11",NA
"ENSG00000002933",7.8108506467223,-0.456490368021942,0.295685147420903,-1.54383935751814,0.122627254088081,0.231291042285124,"TMEM176A",NA
"ENSG00000003056",13.6682231984967,-0.524433675431384,0.215722430304895,-2.43105770081566,0.0150548168136512,0.0417721536513249,"M6PR",NA
"ENSG00000003096",68.772085758007,0.170584629286188,0.138829654300564,1.22873337217188,0.219171789578687,0.357378985510746,"KLHL13",NA
"ENSG00000003137",1.97024841480318,-1.50717299410509,0.537177572719766,-2.80572583563788,0.00502033875996789,0.0162573053569872,"CYP26B1",NA
"ENSG00000003147",15.2512099649404,1.17431318031655,0.197712138016282,5.939509794891,2.85875597173478e-09,3.11196471556438e-08,"ICA1",1
"ENSG00000003249",2.97947484553188,0.605596502066572,0.43295952111358,1.39873700088398,0.161891864253898,0.285758242692998,"DBNDD1",NA
"ENSG00000003393",162.808394661285,0.100833233347445,0.0698596848371152,1.44336799661419,0.148916834442216,0.268387316826331,"ALS2",NA
"ENSG00000003400",1.44409661186639,0.19313813745708,0.644540271210071,0.299652552499906,0.764442193915652,0.84938359577492,"CASP10",NA
"ENSG00000003402",109.535630943048,0.870308633888619,0.0787758986652299,11.0479048622108,2.24390572654009e-28,9.72088390311983e-27,"CFLAR",NA
"ENSG00000003436",178.864271202812,-2.37368951512484,0.136152979424251,-17.4339887761726,4.55546458730231e-68,7.45538768527049e-66,"TFPI",2
"ENSG00000003509",65.5827373291676,-0.0277821916008955,0.0901257190016271,-0.308260415657754,0.757884184072335,0.84468864878714,"NDUFAF7",NA
"ENSG00000003756",444.913332851017,0.147971380185445,0.0457045657447002,3.23756232609219,0.00120555603140514,0.00464279704130041,"RBM5",NA
"ENSG00000003987",6.5836575318917,0.162827467376949,0.267735732128488,0.608164872437747,0.543078129926309,0.678998369691738,"MTMR7",NA
"ENSG00000003989",40.1487626943668,1.55696741780527,0.28049126441543,5.55085885134475,2.84269541674365e-08,2.69999661903806e-07,"SLC7A2",1
"ENSG00000004059",184.247441974511,-0.186959624075349,0.0596065183808368,-3.1365634020231,0.00170940472299465,0.00634950177224086,"ARF5",NA
"ENSG00000004139",14.7161191177749,0.29192655160398,0.319442719018169,0.913861967182217,0.360789380409507,0.513482611571372,"SARM1",NA
"ENSG00000004142",183.508606468037,0.0480448512761482,0.0872712554154425,0.550523205463672,0.581960565024096,0.711309900362658,"POLDIP2",NA
"ENSG00000004399",59.2474383936725,-0.28537355498499,0.115705363293856,-2.46638139202094,0.0136485921921994,0.0383814751668756,"PLXND1",NA
"ENSG00000004455",106.742589374202,0.23873349161836,0.0898273256925805,2.65769341097148,0.00786774309378822,0.0240465354764337,"AK2",NA
"ENSG00000004468",1.8859314222062,-2.09039547428142,0.597180483895001,-3.50044171009609,0.000464487808210174,0.00200436838818871,"CD38",2
"ENSG00000004478",98.5105521677354,-0.520271166307054,0.0905746036364995,-5.74411750555425,9.24016079456464e-09,9.42122464826005e-08,"FKBP4",NA
"ENSG00000004487",603.664798944276,0.349706888808934,0.0520655936381695,6.71665997394031,1.85937160603353e-11,2.57434906090601e-10,"KDM1A",NA
"ENSG00000004534",439.039524743884,0.0730274078316076,0.0618218692661459,1.18125525317297,0.237501337477787,0.379151596587755,"RBM6",NA
"ENSG00000004660",15.7225692316441,0.546386804036151,0.214147845850018,2.55144665064164,0.0107276746540316,0.0312606169951906,"CAMKK1",NA
"ENSG00000004700",37.9299441576345,-0.337543657421945,0.127759178758249,-2.6420305820896,0.00824106142704895,0.0250356725694325,"RECQL",NA
"ENSG00000004766",47.9288294350527,0.272548857466544,0.128892394514353,2.11454569133785,0.0344686865697088,0.0834817114137091,"VPS50",NA
"ENSG00000004777",21.9114918525104,0.911765935317669,0.189224047647925,4.81844642185292,1.44680365142961e-06,1.04817995904556e-05,"ARHGAP33",NA
"ENSG00000004779",485.758276412251,-0.0467167426990146,0.0551402891379176,-0.847234271517258,0.396864554553919,0.550504382106523,"NDUFAB1",NA
"ENSG00000004799",4.19713020736205,3.83851343988011,0.652911982223729,5.87906723170657,4.12584782676413e-09,4.42834832886096e-08,"PDK4",1
"ENSG00000004838",6.1129530125837,1.8911813778221,0.372064890380434,5.08293425882881,3.7164836084734e-07,2.97132476555527e-06,"ZMYND10",1
"ENSG00000004848",229.941225950605,0.896888970513747,0.367587106603791,2.43993588023334,0.0146898690134862,0.0408780136419464,"ARX",NA
"ENSG00000004864",121.158779029492,0.133511954188889,0.14044000622282,0.950668956657982,0.341772451632319,0.49450346863047,"SLC25A13",NA
"ENSG00000004866",30.7270923936299,-0.364904055696908,0.175613737371334,-2.07787876483331,0.0377205268361887,0.0898460813359051,"ST7",NA
