"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","lineage"
"ENSG00000000003",368.080267693947,0.401567805303175,0.0598598966972938,6.70846138164701,1.96687206349889e-11,4.13989223694424e-10,"TSPAN6","exclusive"
"ENSG00000000419",163.165267162225,-0.0590034444879404,0.0793623845657739,-0.743468644632767,0.457197998178642,0.623956690226072,"DPM1","exclusive"
"ENSG00000000457",20.6374711922456,0.369113551578363,0.186724854281108,1.97677782638767,0.0480667491539093,0.121025727578923,"SCYL3","exclusive"
"ENSG00000000460",5.17857163686381,-0.303114545812288,0.357114733992127,-0.848787565900235,0.395999510251064,0.566570285360066,"FIRRM","exclusive"
"ENSG00000001036",227.161985054625,-0.303280114564864,0.0957122894619123,-3.16866429870066,0.00153141165601082,0.00694228817234131,"FUCA2","exclusive"
"ENSG00000001084",51.2776950969004,0.225079432476266,0.132243567971496,1.70200665279071,0.0887541211466326,0.194440517315706,"GCLC","exclusive"
"ENSG00000001167",128.934300571388,0.223299834720166,0.123783742811017,1.80395122694814,0.0712389532574359,0.16445132874356,"NFYA","exclusive"
"ENSG00000001460",21.8036002320785,0.119365808503073,0.200907177954064,0.594134115657953,0.552422414535988,0.702967774462723,"STPG1","exclusive"
"ENSG00000001461",38.6558788938754,0.38928516988974,0.125294909389193,3.10695120645753,0.00189027595886117,0.00833284958747175,"NIPAL3","exclusive"
"ENSG00000001497",127.306298857069,-0.0371672034365429,0.101041923699011,-0.367839428188825,0.712992967571631,0.820971336111148,"LAS1L","exclusive"
"ENSG00000001561",41.4572107761951,0.689122829140298,0.12399244116075,5.55778096381607,2.73225952779604e-08,3.64330484588552e-07,"ENPP4","exclusive"
"ENSG00000001617",7.52457534677351,-0.937747214449636,0.300143244890002,-3.12433223274209,0.00178209114222062,0.00792739740846561,"SEMA3F","exclusive"
"ENSG00000001629",205.318332833155,0.0266370021621047,0.0708243751549345,0.376099359914351,0.706843030160681,0.816320732428935,"ANKIB1","exclusive"
"ENSG00000001630",584.414218855323,-0.410134388609517,0.233431225801022,-1.75698168572836,0.0789209309107115,0.17762550611577,"CYP51A1","exclusive"
"ENSG00000001631",29.3400336919941,0.447753594401143,0.145598893143445,3.07525410897193,0.00210323275463642,0.00916952130154544,"KRIT1","exclusive"
"ENSG00000002016",52.8195723464903,-0.182469062169883,0.167857499732203,-1.08704742094331,0.277015852911492,0.444658712444472,"RAD52","exclusive"
"ENSG00000002330",63.7287095114779,0.0947115030083838,0.171315244714535,0.552849240977959,0.580366647291351,0.724445357793002,"BAD","exclusive"
"ENSG00000002549",200.034000534769,0.00718100976313899,0.321159032177203,0.0223596693340911,0.982161051510748,0.98997278361887,"LAP3","exclusive"
"ENSG00000002587",3.83066613660477,0.295038722758438,0.918315966534359,0.321282361965116,0.747996421586944,0.846043432293566,"HS3ST1","exclusive"
"ENSG00000002834",59.6975237086153,-0.086228894131118,0.135439573045655,-0.636659524185381,0.524346643728992,0.681497364428285,"LASP1","exclusive"
"ENSG00000002919",36.3917479954629,-0.0213233889176521,0.120528991253019,-0.176915020162155,0.859575140338887,0.918311042170215,"SNX11","exclusive"
"ENSG00000002933",7.81074414085338,-0.394361081135077,0.317964025296049,-1.24026949516662,0.214875731396964,0.371742943280978,"TMEM176A","exclusive"
"ENSG00000003056",13.6678657051598,-0.530400684315604,0.224750582154268,-2.35995243808329,0.0182772782134054,0.05558057464018,"M6PR","exclusive"
"ENSG00000003096",68.7704024313206,0.119408927850344,0.157556889340374,0.757878175624437,0.448523916613209,0.615960991529934,"KLHL13","exclusive"
"ENSG00000003147",15.2506679816438,1.14663781084855,0.285941325801944,4.01004579394994,6.07069729067468e-05,0.000407358977196685,"ICA1","common"
"ENSG00000003249",2.97943427914092,0.642010214801825,0.458792575917549,1.39934743607796,0.161708821229131,0.30341844723516,"DBNDD1","exclusive"
"ENSG00000003393",162.804067107408,0.103414589318588,0.0741260058749967,1.39511886682499,0.16297999768494,0.304893680012161,"ALS2","exclusive"
"ENSG00000003402",109.533583759336,0.863006466068549,0.131009231908757,6.58737138974757,4.47681475612972e-11,8.97955075572074e-10,"CFLAR","exclusive"
"ENSG00000003436",178.863646990977,-2.22180930033944,0.410322127084587,-5.41479280224489,6.13597173633709e-08,7.71193787088534e-07,"TFPI","common"
"ENSG00000003509",65.5807803327745,-0.0293777345207915,0.11118759536731,-0.26421773421524,0.791612146565502,0.874961896642593,"NDUFAF7","exclusive"
"ENSG00000003756",444.900425421338,0.145808833802001,0.0804329051135653,1.81280078838542,0.0698625523345626,0.161838188941085,"RBM5","exclusive"
"ENSG00000003987",6.58341847770429,0.142847559935886,0.324202562804339,0.440612062718631,0.65949386851405,0.783514150160876,"MTMR7","exclusive"
"ENSG00000003989",40.1476945889346,1.36687245944876,0.302423359705961,4.51973174551641,6.19180366706712e-06,5.2315706999996e-05,"SLC7A2","common"
"ENSG00000004059",184.242081090158,-0.185658508283239,0.0806596279672981,-2.30175259869176,0.0213491280884285,0.0632223155573266,"ARF5","exclusive"
"ENSG00000004139",14.7159285542108,0.462843812403951,0.344812844579698,1.34230444045124,0.179497304252446,0.327519057951242,"SARM1","exclusive"
"ENSG00000004142",183.503933501484,0.0537643799411298,0.0907381614956937,0.592522253646074,0.553500923447521,0.703909243218767,"POLDIP2","exclusive"
"ENSG00000004399",59.2466070666198,-0.286661373383461,0.171483701425545,-1.67165375484925,0.0945926182066468,0.20403243683229,"PLXND1","exclusive"
"ENSG00000004455",106.739391442687,0.231692495281407,0.104671897161068,2.21351195082364,0.0268623702339403,0.0762231215443618,"AK2","exclusive"
"ENSG00000004478",98.5087823866581,-0.565203676801855,0.138280489505258,-4.08737110219996,4.36288934599911e-05,0.000303286471761176,"FKBP4","exclusive"
"ENSG00000004487",603.64915893863,0.3438236311805,0.0587711878682871,5.85020728100729,4.9096078204608e-09,7.3282727862318e-08,"KDM1A","exclusive"
"ENSG00000004534",439.026480530482,0.0787986550917135,0.0837574934588562,0.940795286936582,0.34680977662261,0.51682675799254,"RBM6","exclusive"
"ENSG00000004660",15.721821546206,0.549525541960588,0.275560031380227,1.99421352657031,0.0461287245422471,0.11730057068183,"CAMKK1","exclusive"
"ENSG00000004700",37.9290837616783,-0.339176511134808,0.133987200314261,-2.53140979391527,0.0113605034674912,0.0373546473516797,"RECQL","exclusive"
"ENSG00000004766",47.9275974984269,0.263662943645497,0.139631565354262,1.88827607122038,0.0589888979814418,0.142260435276319,"VPS50","exclusive"
"ENSG00000004777",21.9108967891168,0.893342802171568,0.202754420790546,4.40603365731015,1.05280611716197e-05,8.44072329612786e-05,"ARHGAP33","exclusive"
"ENSG00000004779",485.746057325952,-0.0494194721762322,0.0577034376608435,-0.856438960650819,0.391755022062221,0.562287657043643,"NDUFAB1","exclusive"
"ENSG00000004799",4.19714876292783,4.62096057882964,0.942328730037301,4.90376705233928,9.40159763348527e-07,9.46879257720127e-06,"PDK4","common"
"ENSG00000004838",6.11289230587296,2.129660443017,0.453606221212497,4.69495422114006,2.66666437248991e-06,2.44979531413051e-05,"ZMYND10","common"
"ENSG00000004848",229.936744805767,0.82609849543356,0.333872138020958,2.47429599945146,0.0133499038481193,0.0427958745298877,"ARX","exclusive"
"ENSG00000004864",121.155411863537,0.0958617042239197,0.153618511148595,0.624024432388834,0.532611539660647,0.688025534608238,"SLC25A13","exclusive"
"ENSG00000004866",30.7265341122465,-0.3082398237553,0.196040781831916,-1.57232500745474,0.115875196289977,0.237060785222394,"ST7","exclusive"
"ENSG00000004897",247.477382261932,0.139599011286996,0.0808220033638497,1.72724017565539,0.0841245382882468,0.186534580965058,"CDC27","exclusive"
"ENSG00000004961",58.3900968651675,-0.328168410957495,0.111490038991151,-2.94347740773094,0.00324547510098083,0.0132231008264853,"HCCS","exclusive"
"ENSG00000004975",154.434243969865,0.0582126227235558,0.0813005434020818,0.716017633924759,0.473980460504106,0.639149063114287,"DVL2","exclusive"
"ENSG00000005007",86.6633802885466,-0.262256615603886,0.114988230437129,-2.28072572824988,0.0225646817315498,0.0661388203476486,"UPF1","exclusive"
"ENSG00000005020",12.2893188273152,1.68675644822428,0.317067920503677,5.31985842511219,1.03848031651065e-07,1.25493101038801e-06,"SKAP2","common"
"ENSG00000005022",646.829971943927,-0.0584997217977626,0.100994554927428,-0.579236393880826,0.562429677133105,0.710590431682188,"SLC25A5","exclusive"
"ENSG00000005059",130.330860564275,-0.397268067342976,0.113576279704744,-3.49780841893856,0.000469097972623931,0.00250005163102267,"MCUB","exclusive"
"ENSG00000005075",139.842653753957,-0.184055683842991,0.0741671814322841,-2.48163244562606,0.0130782097856211,0.0420377236718352,"POLR2J","exclusive"
"ENSG00000005100",175.710630797792,0.333718510732383,0.0856239369498198,3.89749084917644,9.7194493750697e-05,0.000616615811555356,"DHX33","exclusive"
"ENSG00000005102",22.6545950630371,-2.97928325979159,0.736507965668493,-4.04514736929891,5.22902200941486e-05,0.000357370234165846,"MEOX1","common"
"ENSG00000005108",42.5467509396921,1.23824356766516,0.333924324786816,3.70815623706263,0.000208773836244432,0.00121759926847016,"THSD7A","common"
"ENSG00000005156",102.366018402014,-0.326251554209819,0.10832265232566,-3.01184975815566,0.00259661078312081,0.0109473742651453,"LIG3","exclusive"
"ENSG00000005175",140.580449256189,-0.31610246463442,0.0780358558353128,-4.05073361790923,5.10573057104644e-05,0.000349662635648106,"RPAP3","exclusive"
"ENSG00000005189",13.7816758647427,-0.183033223458144,0.220507896758029,-0.830052919415367,0.406508864259797,0.577038534651861,"REXO5","exclusive"
"ENSG00000005194",178.710431013236,0.144386184166555,0.072841708072743,1.98219108237227,0.0474578583824567,0.119801012476619,"CIAPIN1","exclusive"
"ENSG00000005206",73.6628307007786,0.309189007630504,0.114426206658574,2.70208212488477,0.00689067401234625,0.0246988849918718,"SPPL2B","exclusive"
"ENSG00000005238",56.6705256585505,-0.0213333294145455,0.157581774618007,-0.135379421041929,0.892311893964117,0.938458720895866,"ATOSB","exclusive"
"ENSG00000005243",4.91738605908161,-0.189911040374213,0.332221092007048,-0.571640527778964,0.567565532953281,0.714473440983206,"COPZ2","exclusive"
"ENSG00000005249",73.592520522057,0.505364795018749,0.10235989042503,4.93713692854024,7.92778105561107e-07,8.12218998106598e-06,"PRKAR2B","exclusive"
"ENSG00000005302",63.0531040067272,0.28320190855573,0.121804195757955,2.32505872883476,0.0200688200878072,0.0601485833489652,"MSL3","exclusive"
"ENSG00000005339",225.293339634054,0.0484019119317926,0.0866984335447654,0.55827896713729,0.576653905010456,0.72170714530437,"CREBBP","exclusive"
"ENSG00000005379",24.6116135206791,0.810515089456685,0.18199102824625,4.45359915412965,8.44426842877852e-06,6.93007001837731e-05,"TSPOAP1","exclusive"
"ENSG00000005436",135.87898264834,-0.0514047866527069,0.101323847584428,-0.507331569795294,0.611922191082747,0.749046097859535,"GCFC2","exclusive"
"ENSG00000005448",205.633524626691,0.389405559053251,0.0742164297484464,5.24689156259774,1.54686881968168e-07,1.80500594622224e-06,"WDR54","exclusive"
"ENSG00000005469",79.4074876464855,-1.47088051844379,0.0982541083220015,-14.97016810354,1.15030127357384e-50,3.13560812737471e-48,"CROT","common"
"ENSG00000005471",7.5243965336243,0.265666119427822,0.269782088419239,0.984743357071873,0.324750149910235,0.495001143988461,"ABCB4","exclusive"
"ENSG00000005483",705.052040749314,-0.120535239648352,0.0773477655657585,-1.55835451440258,0.119149232779199,0.24214292870356,"KMT2E","exclusive"
"ENSG00000005486",213.782044176061,-0.202403496690602,0.0822670781086841,-2.4603219336805,0.0138812436363729,0.0442857481169626,"RHBDD2","exclusive"
"ENSG00000005513",18.5296182214478,1.1103068979321,0.37709284432242,2.94438601699577,0.00323596117043625,0.0131976062313279,"SOX8","exclusive"
"ENSG00000005700",141.725151550284,-0.0563062690464404,0.117157036640164,-0.480605097749096,0.630797191671596,0.763161794464151,"IBTK","exclusive"
"ENSG00000005801",127.857096792454,-0.100085858263418,0.107408833149108,-0.93182148366211,0.351428789978445,0.522014854801193,"ZNF195","exclusive"
"ENSG00000005810",281.843582658303,-0.118204633876636,0.0873738599628529,-1.35286038555342,0.176100237043241,0.322417390613853,"MYCBP2","exclusive"
"ENSG00000005812",64.4267384910865,0.364298752419369,0.174750348130948,2.08468112547841,0.0370982550513175,0.0985601985497238,"FBXL3","exclusive"
"ENSG00000005884",37.9534028952113,-0.82293365818266,0.156311808420267,-5.26469283734525,1.40423936574331e-07,1.6501549239279e-06,"ITGA3","exclusive"
"ENSG00000005889",52.6962506342212,0.0784350859810547,0.141664267781396,0.553668805898811,0.579805527469138,0.724125455216826,"ZFX","exclusive"
"ENSG00000005893",149.504518215644,0.0320479169846494,0.111836702224468,0.286559924847621,0.774449303333626,0.863279681962294,"LAMP2","exclusive"
"ENSG00000005961",12.0967795628266,0.747812340042558,0.438768757608364,1.70434272512639,0.0883170773644667,0.193687201584853,"ITGA2B","exclusive"
"ENSG00000006007",123.858866932743,0.0447809369871056,0.0967744181147731,0.462735275080612,0.643554130244497,0.771415845787588,"GDE1","exclusive"
"ENSG00000006015",81.4236658683609,-0.00734431633763595,0.131933882102302,-0.0556666431746557,0.955607373170594,0.975076055540049,"REX1BD","exclusive"
"ENSG00000006016",2.25469230401399,-1.51173104004915,0.563554952661744,-2.68249091398993,0.00730761368411425,0.0259638889614213,"CRLF1","exclusive"
"ENSG00000006025",15.5434687543316,0.195695079443259,0.228060452355821,0.858084237849071,0.3908459502874,0.56175870527953,"OSBPL7","exclusive"
"ENSG00000006042",298.66391462622,0.426187344947659,0.066097752886387,6.44783409929558,1.13459860114211e-10,2.15120929758165e-09,"TMEM98","exclusive"
"ENSG00000006047",17.9848940650025,-0.552291024266855,0.471190307826502,-1.17211881291543,0.241149357786184,0.404298398998656,"YBX2","exclusive"
"ENSG00000006071",2.64264125348507,0.246905206144115,0.430728468719999,0.573227042265969,0.566490976665144,0.7135758135191,"ABCC8","exclusive"
"ENSG00000006118",147.148289832585,0.84395870877526,0.139753338529841,6.03891626241939,1.55152730052235e-09,2.50717161837566e-08,"TMEM132A","exclusive"
"ENSG00000006125",107.896968546119,-0.247819913804179,0.142706077933158,-1.73657574641113,0.0824620836097686,0.183550144635689,"AP2B1","exclusive"
"ENSG00000006128",4.0305372583281,-5.03038039517592,0.709888963430682,-7.086151009963,1.37893341193057e-12,3.27088513175201e-11,"TAC1","common"
"ENSG00000006194",57.8768161280178,0.0768629910242026,0.120678050855491,0.636926023243816,0.524173031049555,0.681465923400469,"ZNF263","exclusive"
"ENSG00000006210",33.305714748518,-0.3514784464096,0.17206713359871,-2.04268205704704,0.0410839221638141,0.107000711460387,"CX3CL1","exclusive"
"ENSG00000006282",42.1481071927627,0.321233234973357,0.179007281593892,1.79452607800686,0.072729240080283,0.16715159696682,"SPATA20","exclusive"
"ENSG00000006283",7.1793727895564,-0.0261790649300591,0.257328301937726,-0.101734106714754,0.918967729341545,0.953844906584969,"CACNA1G","exclusive"
"ENSG00000006327",41.1094012461189,-2.61963852546355,0.388943541383865,-6.73526681055778,1.63629392816166e-11,3.47932166719592e-10,"TNFRSF12A","common"
"ENSG00000006432",75.647016785366,-0.576584776921766,0.125805288229604,-4.58315214754294,4.58018523951069e-06,3.99576705994668e-05,"MAP3K9","exclusive"
"ENSG00000006451",318.180518447745,-0.149816782480292,0.100517005425651,-1.49046205511072,0.13610278642942,0.267476318726911,"RALA","exclusive"
"ENSG00000006453",25.4607819817706,-1.20915446642411,0.234112940261299,-5.16483396891493,2.40652438564245e-07,2.72714404854983e-06,"BAIAP2L1","common"
"ENSG00000006459",61.4076780949885,-0.251686314327355,0.138021401326025,-1.82353107495872,0.068222994987136,0.158881226981246,"KDM7A","exclusive"
"ENSG00000006468",147.136096274764,-0.162170245397388,0.114978576925574,-1.41043879419695,0.158410157146198,0.299129586649711,"ETV1","exclusive"
"ENSG00000006576",87.8552809703399,0.189236946945052,0.099783450794834,1.89647627374748,0.0578970944527877,0.140234943417473,"PHTF2","exclusive"
"ENSG00000006607",3.26128986889718,-0.494995972361141,0.386708153742948,-1.28002465831164,0.200536463844269,0.354509921412131,"FARP2","exclusive"
"ENSG00000006625",157.050503257265,-0.34117989496771,0.0890476171830358,-3.83143205580022,0.000127399558206318,0.000782563669691413,"GGCT","exclusive"
"ENSG00000006634",190.201409294256,-0.217374322570425,0.0641539868299001,-3.38832133919873,0.000703218252316247,0.00355629960447523,"DBF4","exclusive"
"ENSG00000006652",151.612651656075,-0.519689618766361,0.108524886569647,-4.78866769819517,1.67892228742651e-06,1.61650954228882e-05,"IFRD1","exclusive"
"ENSG00000006695",49.8207372016838,-0.229156167010511,0.128907552775799,-1.77767836000322,0.0754566957862325,0.171899429720986,"COX10","exclusive"
"ENSG00000006704",122.309679530009,-0.411581275509439,0.0695743723020652,-5.91570231812529,3.30462418244471e-09,5.04121934914593e-08,"GTF2IRD1","exclusive"
"ENSG00000006712",119.628531123721,-0.265616553002276,0.114126817718856,-2.32738070079729,0.0199450120052888,0.059839410739442,"PAF1","exclusive"
"ENSG00000006715",158.01145625697,0.0967854229046219,0.0793284541794992,1.2200593583435,0.222442373774652,0.381238073709021,"VPS41","exclusive"
"ENSG00000006740",7.57549187720236,0.156456552946241,0.286067045437165,0.546922672295738,0.584431858714222,0.727989583242197,"ARHGAP44","exclusive"
"ENSG00000006744",143.094222326139,0.339838006989591,0.105156810127417,3.23172609151814,0.00123044940386525,0.00577800414783151,"ELAC2","exclusive"
"ENSG00000006756",24.4235511018786,0.490124320765854,0.219205907652413,2.23590835673565,0.0253577748020125,0.0726938175150434,"ARSD","exclusive"
"ENSG00000006757",52.802762781966,-0.066391096020817,0.188251946812013,-0.352671497666447,0.724334729635993,0.829550098793808,"PNPLA4","exclusive"
"ENSG00000006831",117.007932697048,0.155890739486141,0.0728135274701002,2.14095848536051,0.0322773860455841,0.0883616027602851,"ADIPOR2","exclusive"
"ENSG00000006837",9.87727173655542,0.0713081982182999,0.238558131315786,0.298913299768883,0.765006199044258,0.856883708436235,"CDKL3","exclusive"
"ENSG00000007047",81.4492654088308,-0.155710583451905,0.116545109789433,-1.33605420024259,0.181531558338383,0.330180130392763,"MARK4","exclusive"
"ENSG00000007062",41.3653819623158,0.547970446711874,0.3350000984334,1.63573219612296,0.101895648072843,0.215794427615199,"PROM1","exclusive"
"ENSG00000007080",45.5493389202915,-0.25183996908475,0.123508504047585,-2.03904962679916,0.0414450748737568,0.107713145514353,"CCDC124","exclusive"
"ENSG00000007168",574.7007176817,-0.156750836838887,0.108218000049473,-1.44847286742711,0.147484848818645,0.283675889665289,"PAFAH1B1","exclusive"
"ENSG00000007171",615.529826624701,-5.42767009619509,0.403084979754768,-13.4653246059856,2.50216171428367e-41,4.33395260261551e-39,"NOS2","common"
"ENSG00000007174",2.78445680214073,0.332414479767281,0.501781110396864,0.662469098337262,0.507670632726062,0.667052333541602,"DNAH9","exclusive"
"ENSG00000007202",81.5254902884996,0.289838638648679,0.150001438525066,1.93223906049572,0.0533300061115752,0.131607500982973,"BLTP2","exclusive"
"ENSG00000007237",54.4038144782937,-0.715418405529875,0.173394787731572,-4.12595104437279,3.69205807386952e-05,0.000261129483846459,"GAS7","exclusive"
"ENSG00000007255",65.0526020332608,0.786584634527574,0.204266654039235,3.85077357940414,0.000117745318751711,0.00073300979416078,"TRAPPC6A","exclusive"
"ENSG00000007314",5.18598238089364,0.204044306665856,0.43454603385126,0.469557401910836,0.638671264939402,0.768828335148945,"SCN4A","exclusive"
"ENSG00000007341",13.1370745668083,-0.977653738490842,0.218619994387196,-4.4719319531192,7.75160954726973e-06,6.40943627807066e-05,"ST7L","exclusive"
"ENSG00000007372",80.0471126904259,-5.46784802982924,0.489513167690171,-11.1699712913341,5.71993648910219e-29,4.85260734391792e-27,"PAX6","common"
"ENSG00000007376",20.4435059478764,0.0996785034862346,0.173499067814283,0.574518957029398,0.565616676110616,0.712937696358954,"RPUSD1","exclusive"
